科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"135,337,823.85","272,243,576.95","547,307,676.70","616,975,537.67","171,983,677.88","358,110,343.11","542,939,128.09","781,278,445.02","140,066,715.15","314,186,758.23","2,069,223,222.27","2,747,492,649.33","603,635,803.95","1,251,411,633.53","1,957,917,069.85","3,214,265,065.08","1,041,710,601.52","2,244,993,761.80","3,133,105,589.94","4,474,612,996.74","908,201,029.62","2,369,360,270.38","3,364,271,070.12","4,622,812,951.07","745,037,320.43","1,621,282,647.51","2,467,580,449.95","3,751,645,178.75","788,935,916.28","1,993,187,655.46","2,914,796,094.02","3,818,433,467.51","589,934,401.83","1,443,314,803.82","2,198,089,716.46","2,809,208,894.25","539,042,366.65","1,445,802,846.92","2,312,065,267.64","2,959,427,988.88","793,941,914.54","1,834,783,936.68","3,664,418,810.10","4,221,177,781.43","501,714,452.21"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,216,000.00",,,,"25,733,920.00",,,,,"38,600,880.00","38,600,880.00",,,
收到的税费返还,"1,846,575.55","10,062,654.19","16,657,446.60","21,578,748.46","2,202,300.00","8,454,275.01","8,454,275.01","38,770,723.56","7,104,945.75","17,767,628.79","68,864,084.18","154,629,043.84","23,491,823.31","66,225,621.93","79,090,995.63","131,790,208.42","790,955.13","2,044,272.34","13,735,784.83","140,824,753.17","16,185,643.56","42,045,645.66","66,692,561.58","204,813,380.04","48,210,138.00","85,041,601.63","106,041,674.79","234,586,292.27","23,536,461.29","75,293,446.82","116,201,570.09","202,443,725.75","46,988,461.92","82,042,431.54","106,115,864.05","145,191,590.62","9,406,516.51","25,150,871.94","34,456,505.90","80,368,867.07","6,010,874.62","18,434,761.56","34,248,706.08","33,950,630.53",
支付其他与投资活动有关的现金,,"24,000.00","24,000.00",,,,,,,,"1,980,123.18",,"17,500.00",,"20,001.05",,"277,138.00",,"1,994,974.19","4,588,008.93","220,532,731.75","468,655,588.47","469,338,155.99","483,515,511.74","17,500.00","120,108,730.84","120,290,360.64","103,204,997.29","980,591.15","5,550.70","34,571.23",,"13,750.00","963,290.86","61,080.70","23,250.00",,"961,694.53","2,195,015.78",,,"200,000.00","623,711,458.77","411,789,000.00",
收到其他与经营活动有关的现金,"4,005,563.39",,"13,239,854.49","29,300,374.24","22,270,841.82","18,842,906.55","37,264,028.32","28,068,730.61","3,793,846.43","16,981,612.83","88,389,516.00","62,273,428.93","23,412,888.21","53,092,445.06","108,268,353.71","108,004,299.37","42,449,133.10","105,260,901.19","153,812,462.03","52,909,292.99","45,741,593.19","97,984,600.86","148,963,741.39","85,097,397.21","26,970,042.44","75,877,606.05","144,094,397.07","102,126,605.94","23,638,281.66","86,804,269.69","126,173,780.85","117,376,851.46","34,246,148.99","87,261,355.65","122,411,314.89","987,420,612.20","52,476,326.98","104,406,103.73","146,317,531.58","179,123,735.60","57,706,947.59","175,259,560.27","865,599,839.27","703,517,074.47","12,887,646.97"
投资活动现金流出小计,"35,800,067.30","72,637,517.67","92,413,158.34","120,865,687.51","11,123,455.94","13,178,601.80","14,561,393.83","17,367,814.27","749,033.88","74,212,982.46","193,287,776.34","307,491,120.99","92,426,915.16","264,187,854.07","453,239,234.47","597,642,254.53","107,400,742.56","226,650,187.85","231,524,052.03","327,075,457.62","265,703,177.26","535,213,916.73","553,143,702.79","616,600,848.02","37,957,282.64","175,054,005.95","291,809,957.14","333,980,629.57","16,313,210.38","150,578,456.58","351,618,066.53","722,244,262.62","196,252,681.86","297,627,598.46","553,295,853.09","1,060,380,240.48","348,154,361.57","551,992,001.10","737,164,878.37","1,015,658,143.96","291,506,103.45","501,516,843.67","2,846,130,259.68","2,019,121,346.16","696,336,711.31"
经营活动现金流入小计,"141,189,962.79","282,306,231.14","577,204,977.79","667,854,660.37","196,456,819.70","385,407,524.67","588,657,431.42","848,117,899.19","150,965,507.33","348,935,999.85","2,226,476,822.45","2,964,395,122.10","650,540,515.47","1,370,729,700.52","2,145,276,419.19","3,454,059,572.87","1,084,950,689.75","2,352,298,935.33","3,300,653,836.80","4,668,347,042.90","970,128,266.37","2,509,390,516.90","3,579,927,373.09","4,912,723,728.32","820,217,500.87","1,782,201,855.19","2,717,716,521.81","4,088,358,076.96","836,110,659.23","2,155,285,371.97","3,157,171,444.96","4,138,254,044.72","671,169,012.74","1,612,618,591.01","2,426,616,895.40","3,941,821,097.07","600,925,210.14","1,575,359,822.59","2,492,839,305.12","3,218,920,591.55","857,659,736.75","2,028,478,258.51","4,564,267,355.45","4,958,645,486.43","514,602,099.18"
投资活动产生的现金流量净额,"-35,800,067.30","-68,837,517.67","-92,227,158.34","-119,594,680.38","-11,076,623.77","-12,623,163.02","-13,964,005.77","6,471,746.10","-522,849.45","-73,338,334.50","-186,325,869.92","-292,541,138.99","-91,995,300.88","-259,941,244.82","-447,177,434.92","-584,235,601.12","-106,074,169.70","-223,841,765.40","-226,727,340.79","-319,485,951.87","-263,550,792.50","-524,391,842.19","-539,190,758.58","-598,502,161.34","-33,347,037.64","-171,983,918.69","-287,460,030.53","-328,829,409.88","-14,853,039.70","-80,473,469.73","-139,200,290.81","-235,613,249.22","-17,880,853.10","-24,911,816.23","-147,408,658.21","200,374,264.96","-324,443,776.09","-480,123,842.91","-624,861,245.64","-774,870,154.36","-279,916,313.61","-477,543,476.52","-1,475,395,476.44","-126,729,017.53","-603,853,456.31"
购买商品、接受劳务支付的现金,"112,801,783.32","170,200,840.57","388,221,171.14","412,035,560.35","128,269,210.82","190,139,626.08","280,548,383.75","581,114,590.18","135,245,482.77","232,761,455.30","1,436,669,098.76","2,040,933,886.87","414,775,607.13","913,865,014.90","1,433,306,422.66","2,340,244,739.71","611,438,402.60","1,294,239,380.70","1,959,979,071.57","3,009,778,547.34","586,320,844.87","1,616,775,621.69","2,094,659,969.01","3,206,324,064.67","615,142,104.87","1,224,643,195.55","1,794,777,745.73","2,642,282,720.36","615,037,745.05","1,188,777,559.11","1,742,135,065.93","2,234,285,404.22","430,095,612.48","978,082,001.08","1,460,374,923.12","1,829,070,228.25","362,886,009.35","981,390,487.34","1,516,216,515.78","1,740,786,805.77","401,360,949.66","951,856,396.05","1,350,308,925.35","1,480,161,141.23","52,342,161.23"
吸收投资收到的现金,,,,,,,,,"6,000,000.00","6,000,000.00","12,574,200.00","20,131,000.00","20,000,000.00","20,000,000.00","23,783,500.00","38,428,500.00","9,900,000.00","9,900,000.00","9,900,000.00","9,900,000.00",,,,"36,000,000.00",,,"4,000,000.00","5,000,000.00",,"294,900,000.00","299,900,000.00","304,900,000.00",,"3,000,000.00","13,940,000.00","68,940,000.00","23,534,000.00","23,534,000.00","23,534,000.00","23,534,000.00","299,999,530.00","299,999,530.00","358,840,130.00","291,699,530.00",
