科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"171,380,202.20","202,866,497.88","206,104,796.68","64,265,380.99","115,221,091.91","153,666,904.42","193,986,387.17","41,710,631.25","67,918,748.58","112,060,522.62","140,246,329.63","27,309,075.83","48,983,777.16","79,378,020.66","113,667,323.85","25,475,708.30","38,085,919.15","59,754,302.56","79,594,200.66","15,683,955.34","34,942,431.70","51,018,715.08","76,591,525.89","23,636,063.15","46,194,927.41","73,320,580.62","118,292,351.12","48,754,448.69","96,953,620.58","149,741,401.67","207,305,054.88","55,472,999.48","118,958,948.22","191,399,664.28","279,373,470.02","73,463,730.19"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"3,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,"22,990,941.10","3,183,443.60","3,185,502.53","3,185,502.53","7,904,100.48","752,899.95","1,358,371.26","2,524,355.84","4,044,444.23",,"425,955.74","1,126,534.44","2,120,080.51","164,951.98","588,540.88","3,666,864.64","3,667,264.47","1,141,877.77","1,549,060.43","1,889,136.88","2,586,319.38","136,106.64","1,036,257.58","2,336,658.38","4,303,862.71","27,973.06","4,132,268.55","8,287,722.34","12,370,135.79","2,013,084.56","4,408,440.44","7,460,277.25","12,078,888.86","4,706,012.11"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,"3,057,804.37",,,,"1,050,000.00",,,,"61,261.82",,,,,
收到其他与经营活动有关的现金,"9,624,605.00","17,284,371.01","20,117,299.68","7,374,017.48","2,564,646.90","4,478,859.31","25,571,174.55","17,912,038.65","30,194,492.88","41,899,619.72","55,937,333.29","4,652,374.79","11,237,023.37","47,263,372.00","55,483,733.76","5,482,683.07","8,015,806.52","13,224,531.82","20,489,960.28","10,156,562.06","20,840,126.68","74,284,280.47","89,450,134.59","1,080,940.75","4,387,018.90","11,827,428.99","14,836,594.26","943,724.66","10,510,090.66","13,522,689.24","17,777,154.64","9,081,263.35","10,936,851.37","14,186,088.22","34,736,011.04","1,930,612.77"
投资活动现金流出小计,"854,364.32","24,258,187.55","1,255,217.83","1,165,876.80","1,666,022.44","19,478,974.03","25,665,944.51","5,273,198.48","20,308,972.62","30,462,178.47","41,853,899.83","5,784,331.65","16,076,376.93","35,311,071.00","124,370,049.36","17,795,849.96","33,857,118.77","75,630,264.12","86,445,222.73","14,041,770.00","364,737,711.63","1,036,007,538.04","2,651,366,940.12","830,254,757.99","1,677,207,459.16","2,425,194,461.00","3,373,013,779.15","426,033,620.01","1,595,941,616.70","2,216,903,970.46","3,261,915,219.64","470,560,060.17","1,357,571,804.67","1,612,902,772.66","2,479,478,312.93","265,624,168.00"
经营活动现金流入小计,"181,004,807.20","220,150,868.89","249,213,037.46","74,822,842.07","120,971,241.34","161,331,266.26","227,461,662.20","60,375,569.85","99,471,612.72","156,484,498.18","200,228,107.15","31,961,450.62","60,646,756.27","127,767,927.10","171,271,138.12","31,123,343.35","46,690,266.55","76,645,699.02","103,751,425.41","26,982,395.17","57,331,618.81","127,192,132.43","168,627,979.86","24,853,110.54","51,618,203.89","87,484,667.99","137,432,808.09","49,726,146.41","111,595,979.79","171,551,813.25","237,452,345.31","66,567,347.39","134,304,240.03","213,046,029.75","326,188,369.92","80,100,355.07"
投资活动产生的现金流量净额,"-854,364.32","-24,257,997.55","-1,255,217.83","-1,165,876.80","-1,666,022.44","-19,478,974.03","-25,665,944.51","-5,273,198.48","-20,308,972.62","-30,462,178.47","-41,853,899.83","-5,784,331.65","-16,076,376.93","-34,306,879.22","-90,614,093.77","-2,684,891.06","-3,635,675.07","-45,408,820.42","-360,765.34","-14,040,270.00","-334,950,378.20","-607,212,350.38","-844,825,631.56","35,569,760.85","46,911,099.27","292,857,664.32","232,331,030.89","-142,015,679.11","-92,122,251.96","-135,998,778.49","-146,572,598.33","-13,746,181.90","10,338,543.00","57,099,418.27","78,943,472.80","-67,710,888.52"
购买商品、接受劳务支付的现金,"108,803,570.45","82,307,531.88","78,629,433.46","17,247,778.50","55,681,724.67","87,749,633.96","103,555,922.40","20,253,392.01","36,500,654.90","62,400,074.06","81,580,179.71","14,322,922.60","33,899,099.63","58,166,386.43","67,534,691.63","10,641,581.48","18,253,438.18","26,847,626.36","36,743,879.64","7,073,231.49","18,756,563.83","35,095,505.96","42,886,174.12","23,663,963.53","37,560,767.63","76,684,967.77","110,036,050.87","37,062,873.72","89,144,178.68","143,503,917.07","176,628,378.95","37,669,270.20","101,092,276.03","144,773,083.39","162,904,761.43","57,695,800.20"
吸收投资收到的现金,"700,635.25",,,,"834,904,000.00","834,904,000.00","834,904,000.00",,,,,"1,000,000.00","1,000,000.00","1,000,000.00","4,000,000.00",,,,,,,,,,,,,,,"13,242,863.39","13,242,863.39","3,379,539.70","7,420,614.27","7,506,477.77","7,625,997.77","240,637.75"
支付给职工以及为职工支付的现金,"7,329,722.66","10,491,388.51","16,820,344.87","7,468,393.35","12,526,857.32","19,236,969.83","26,468,449.13","10,015,602.83","18,384,975.35","27,440,658.36","36,216,840.25","13,373,895.41","22,975,298.58","32,709,040.98","42,348,984.77","12,498,426.99","22,580,611.28","32,659,352.19","42,901,826.90","13,710,759.83","24,423,471.84","35,744,044.00","48,245,238.99","16,962,881.53","28,027,141.25","39,373,381.67","50,737,035.10","17,028,365.46","28,479,095.97","40,396,689.78","52,502,309.45","17,333,581.53","29,738,435.59","43,899,192.60","56,852,506.09","19,205,723.57"
取得借款收到的现金,,"15,000,000.00","15,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付的各项税费,"1,600,552.65","41,160,897.33","37,756,852.89","7,220,799.58","16,189,768.71","23,932,488.00","28,099,218.23","3,792,930.34","7,412,821.68","10,148,879.94","13,180,387.50","1,812,633.52","4,383,528.59","6,173,760.88","10,787,454.91","1,165,315.52","3,224,372.91","4,601,654.05","7,062,872.81","780,314.24","1,889,059.05","3,005,085.50","4,491,107.08","4,288,736.97","6,782,782.92","12,918,495.79","15,944,367.54","3,708,217.56","8,319,847.86","10,760,227.31","14,662,318.37","847,812.01","3,568,397.91","8,770,098.63","15,151,351.67","5,342,461.86"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,"2,683.74","2,683.74","2,683.74",,,,,,,,,,,,,,,"799,438.21",,,,,,
支付其他与经营活动有关的现金,"15,803,173.03","30,723,450.29","21,686,360.60","11,894,346.96","11,159,730.15","14,961,799.78","28,279,735.42","13,664,492.97","20,495,765.06","26,349,329.62","34,193,141.41","3,240,889.82","7,685,073.76","10,895,038.46","14,654,382.56","2,876,916.88","8,457,151.61","13,229,967.87","18,123,527.08","4,253,149.62","9,134,623.35","14,604,955.45","20,762,786.52","8,885,887.58","13,366,883.83","18,334,750.30","26,438,685.11","7,024,964.60","9,363,891.84","18,358,093.91","24,353,376.23","6,523,867.56","11,936,655.37","25,123,835.76","54,909,009.07","9,113,709.69"
筹资活动现金流入小计,"700,635.25","15,000,000.00","15,000,000.00",,"834,904,000.00","834,904,000.00","834,904,000.00",,,,,"1,000,000.00","1,002,683.74","1,002,683.74","4,002,683.74",,,,,,,,,,,,,,,"14,042,301.60","13,242,863.39","3,379,539.70","7,420,614.27","7,506,477.77","7,625,997.77","240,637.75"
经营活动现金流出小计,"133,537,018.79","164,683,268.01","154,892,991.82","43,831,318.39","95,558,080.85","145,880,891.57","186,403,325.18","47,726,418.15","82,794,216.99","126,338,941.98","165,170,548.87","32,750,341.35","68,943,000.56","107,944,226.75","135,325,513.87","27,182,240.87","52,515,573.98","77,338,600.47","104,832,106.43","25,817,455.18","54,203,718.07","88,449,590.91","116,385,306.71","53,801,469.61","85,737,575.63","147,311,595.53","203,156,138.62","64,824,421.34","135,307,014.35","213,018,928.07","268,146,383.00","62,374,531.30","146,335,764.90","222,566,210.38","289,817,628.26","91,357,695.32"
偿还债务支付的现金,,,"30,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
经营活动产生的现金流量净额,"47,467,788.41","55,467,600.88","94,320,045.64","30,991,523.68","25,413,160.49","15,450,374.69","41,058,337.02","12,649,151.70","16,677,395.73","30,145,556.20","35,057,558.28","-788,890.73","-8,296,244.29","19,823,700.35","35,945,624.25","3,941,102.48","-5,825,307.43","-692,901.45","-1,080,681.02","1,164,939.99","3,127,900.74","38,742,541.52","52,242,673.15","-28,948,359.07","-34,119,371.74","-59,826,927.54","-65,723,330.53","-15,098,274.93","-23,711,034.56","-41,467,114.82","-30,694,037.69","4,192,816.09","-12,031,524.87","-9,520,180.63","36,370,741.66","-11,257,340.25"
分配股利、利润或偿还利息支付的现金,,,"35,800,807.50",,,,,,"48,000,000.00","48,000,000.00","48,000,000.00",,"31,132,404.13","31,310,438.89","31,283,324.63",,"10,433,486.96","10,433,486.96","10,421,347.74",,,,,,"4,998,884.97","4,998,884.97","4,998,884.37",,,,,,"3,376,457.49","3,376,488.82","3,376,488.82",
收回投资收到的现金,,,,,,,,,,,,,,"1,000,000.00","33,500,000.00","15,000,000.00","30,000,000.00","30,000,000.00","85,000,000.00",,"28,000,000.00","421,340,222.22","1,789,340,222.22","858,562,164.73","1,711,469,572.14","2,696,136,324.68","3,576,442,560.98","282,140,256.20","1,491,489,829.42","2,062,889,829.42","3,088,209,829.42","453,000,000.00","1,352,979,000.00","1,652,218,269.36","2,527,535,199.92","196,693,732.39"
支付其他与筹资活动有关的现金,,,,,"5,009,402.90","6,362,202.90","8,437,020.00",,"56,683.38","56,683.38","56,683.38",,,,,,,,,,,,,,,,,,,,,,,,,
