科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"1,382,640.00","24,341,761.79","43,042,948.66","58,264,197.52","574,526,346.28","372,104,583.31","253,493,362.61","252,751,551.11","226,821,807.75","216,839,027.00","180,854,792.55","111,424,701.82","177,628,201.24","263,785,365.54","95,799,066.46","78,531,042.83","132,641,920.20","136,906,023.01","134,847,132.17","226,623,742.92","105,529,981.37","1,783,232,804.97","1,535,312,215.21","641,071,680.94","650,810,783.04","637,264,838.92","640,893,019.48","819,274,485.66","707,138,152.69","718,882,634.92","547,067,571.06","628,405,332.21","603,836,383.95","511,177,487.15","568,708,867.02","283,138,256.53","319,926,664.05","369,143,430.52","446,538,307.77"
短期借款,"38,000,000.00","72,000,000.00","117,000,000.00","101,714,266.07","136,651,926.60","40,000,000.00",,"30,000,000.00","92,467,030.00","197,974,537.20","159,291,957.00","160,000,000.00","260,000,000.00","442,636,914.07","260,000,000.00","378,445,001.20","465,548,269.01","579,282,967.88","399,035,894.38","568,626,516.11","793,660,644.04","1,180,915,675.05","1,117,335,896.63","1,122,202,789.68","962,851,279.89","1,256,328,189.37","1,543,596,323.69","1,408,604,575.96","1,304,786,105.97","1,264,024,398.99","1,267,218,347.67","1,377,064,799.28","1,467,110,923.17","1,234,767,664.66","1,269,966,648.00","1,219,279,208.80","935,124,566.37","817,270,960.00","1,194,528,696.11"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400,000.00"
交易性金融负债,,,,,,,,,,,,,,,,,,"78,572,456.58","119,692,240.77","120,062,233.89","80,353,062.91",,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000.00",,,,,,,,,,,,,,,"10,600,437.00"
应付票据,,"28,000,000.00","2,500,000.00","53,000,000.00","53,000,000.00",,,,,,,,,,"414,466.80","2,954,712.15","4,328,512.75","1,373,800.60",,,,,,,,,,"200,000,000.00","200,000,000.00","200,000,000.00",,,,"10,760,010.48","16,476,223.98","16,476,223.98",,,
应收账款,"12,345,056.10","23,637,647.95","26,532,046.70","30,164,494.94","40,846,231.31","35,624,679.01","49,337,537.96","34,222,707.11","35,409,615.31","52,112,447.40","53,518,561.53","95,179,648.74","50,205,844.91","68,195,660.69","71,669,406.83","76,948,478.55","81,371,549.50","71,050,997.34","67,984,134.45","66,410,898.56","65,395,072.55","95,171,394.53","68,293,902.65","119,480,481.10","118,526,898.38","203,183,572.74","255,349,760.13","276,959,101.50","237,094,176.43","225,667,044.50","195,283,398.49","192,905,207.64","177,792,676.01","198,199,482.44","223,341,521.19","206,995,721.76","179,348,320.26","183,069,671.41","166,200,558.61"
应付账款,"12,586,880.69","67,902,290.95","28,787,250.50","13,647,205.18","17,184,938.22","14,690,556.05","12,000,289.10","71,888,430.72","87,174,937.87","130,663,970.52","56,771,366.14","57,793,884.40","52,142,758.34","56,154,651.90","115,375,259.80","157,913,759.28","55,181,864.35","48,151,970.12","54,587,097.96","49,714,884.84","55,518,715.99","43,245,284.44","30,983,891.15","35,160,646.41","36,202,171.75","67,310,382.38","87,551,631.03","55,510,381.24","67,732,236.14","93,051,199.90","66,050,694.00","106,749,846.86","142,372,601.46","178,152,332.67","201,547,142.61","179,993,043.12",,"176,923,982.58",
预付款项,"5,249,547.04","6,092,939.19","5,757,972.32","51,956,103.53","71,272,324.82","72,689,237.03","82,807,516.86","95,331,673.22","79,363,723.57","102,016,472.19","144,858,528.47","141,671,797.27","156,828,266.82","108,696,721.04","107,688,660.17","80,268,329.32","69,508,877.53","52,959,027.35","121,447,487.20","64,570,161.62","51,796,717.07","72,778,940.38","98,146,456.16","120,460,667.93","192,944,171.01","170,380,864.21","277,425,217.15","201,989,692.64","245,724,282.75","251,339,593.43","123,303,400.32","54,655,913.90","167,368,329.39","76,861,107.87","263,879,742.37","89,460,015.18","79,708,754.82","40,487,252.95","221,147,446.85"
预收款项,"3,488,589.05","4,088,727.87","20,919,403.47","67,191,449.09","13,288,551.42","19,012,752.27","20,512,972.76","22,295,653.06","25,336,646.79","29,239,510.03","24,465,673.75","37,513,056.85","40,864,331.41","21,612,035.67","25,211,382.53","17,561,592.82","30,306,182.09","15,354,534.60","12,429,114.26","18,891,027.61","39,264,210.65","12,373,297.20","15,876,693.87","15,980,007.90","17,963,159.21","31,887,173.69","35,513,205.93","43,108,414.06","43,744,706.04","106,290,647.54","60,140,501.77","137,413,638.50","188,472,959.86","205,490,343.09","177,389,064.64","122,719,231.52","125,174,729.82","85,051,968.98","72,033,832.13"
