科目,2009-12-31,2010-12-31,2011-12-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"71,405,198.26","73,385,753.08","41,237,258.43","291,733,091.91","208,199,103.40","163,545,734.49","140,269,633.67","130,822,495.92","143,567,266.98","114,351,062.45","93,785,583.76","41,653,100.03","10,916,401.18","10,179,421.48","8,328,834.17","5,295,425.64","3,838,461.29","2,743,739.23","74,400,872.47","28,180,663.51","187,679,867.13","122,269,593.30","42,007,761.62","75,614,938.91","37,345,638.55","50,572,479.35"
短期借款,"15,800,000.00","5,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,,"20,000,000.00","20,000,000.00","50,000,000.00","30,000,000.00","30,000,000.00",,,,,"40,000,000.00","40,000,000.00",,"4,100,000.00","262,000,000.00","261,400,000.00","289,200,000.00","289,200,000.00","29,200,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,"8,650,000.00","5,000,000.00","6,480,000.00","12,283,962.14","142,000.00","18,792,082.29","12,795,446.29","2,183,000.00","7,378,370.00","9,395,012.00","3,000,000.00","15,500,000.00","1,300,000.00","20,000.00","3,994,400.00",,"600,000.00","1,050,629.55",,"10,000,000.00","1,590,000.00","1,174,140.00","224,729.70","665,230.00","1,201,923.66"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"98,357,258.98","111,380,053.05","145,295,254.10","250,835,399.08","205,945,867.57","181,458,051.64","244,971,661.80","260,000,097.73","252,534,396.14","231,208,084.51","217,658,776.45","206,021,921.10","164,332,944.57","121,917,616.67","134,099,491.53","139,185,827.78","127,688,079.87","107,836,145.96","103,177,266.64","287,906,075.12","206,016,122.23","171,694,758.69","185,377,558.30","199,852,074.63","212,000,685.11","234,366,635.33"
应付账款,"41,008,454.44","67,425,835.23","73,755,835.14","52,905,886.80","90,040,887.38","72,551,140.98","93,410,311.03","113,922,320.28","105,493,168.42","113,683,952.31","90,328,490.21","95,558,180.47","94,966,456.72","72,521,310.56","95,679,515.91","105,813,477.10","108,392,668.86","79,401,706.76","83,942,596.83","99,118,364.08","62,822,003.21","35,480,256.69","60,196,974.07","56,331,616.66","81,725,038.21","104,643,542.30"
预付款项,"1,598,728.13","43,042,937.03","23,729,623.48","39,803,299.49","54,190,124.88","61,973,934.62","53,737,494.15","60,426,301.92","67,398,816.71","61,441,300.05","65,423,024.70","59,587,247.77","33,795,910.13","66,592,296.96","27,490,048.39","24,471,043.96","20,476,786.28","27,047,937.99","40,737,310.87","22,780,645.65","25,496,916.30","33,605,549.61","29,647,954.28","33,327,473.39","9,306,356.44","15,426,399.00"
预收款项,"72,203,077.09","47,255,466.19","30,054,361.72","2,949,708.70","1,891,452.84","3,561,139.72","3,965,710.75","6,686,840.89","7,958,208.81","10,970,183.92","2,935,883.92","5,647,963.12","3,757,879.14","29,216,219.82","17,335,480.03","16,205,806.02","4,606,413.87","6,368,151.65","6,888,141.08","27,002,179.95","12,609,759.06","25,614,555.91","33,094,450.54","46,107,451.77","24,505,822.26","27,778,182.95"
