科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"516,278,688.67","860,904,468.09","1,308,638,992.06","320,898,269.28","872,579,797.77","1,249,575,666.71","1,850,812,389.87","373,412,611.42","1,099,954,127.88","1,621,576,797.06","2,393,430,328.86","453,096,740.47","1,567,901,930.36","2,239,588,323.37","3,160,862,677.72","405,690,802.49","1,145,960,002.56","1,772,488,259.15","2,432,631,636.39","434,648,763.50","1,098,479,867.44","1,866,097,735.54","2,718,530,816.36","600,738,250.30","1,588,744,912.17","2,429,132,185.98"
二、营业利润,"71,559,605.09","70,609,356.39","200,577,897.91","36,529,723.37","141,696,067.55","174,621,707.93","283,300,916.41","45,921,041.76","182,593,886.13","226,297,264.47","363,762,173.08","37,990,949.81","235,271,816.87","297,598,495.28","478,545,936.61","34,180,248.52","159,225,593.68","203,993,865.99","201,519,696.84","12,057,388.53","84,869,266.21","122,021,746.65","110,828,465.78","21,050,191.32","117,415,628.74","152,568,735.32"
减:营业成本,"384,225,662.73","630,150,412.12","957,455,483.89","237,184,214.95","642,667,870.48","938,653,811.40","1,366,518,218.27","278,801,243.87","817,043,770.65","1,218,476,474.57","1,774,314,914.92","341,770,536.57","1,172,758,047.76","1,698,891,810.52","2,334,799,134.71","312,758,146.86","859,381,916.85","1,352,861,790.02","1,925,569,765.80","342,778,625.38","866,948,728.08","1,528,461,802.32","2,262,004,323.97","494,619,551.56","1,308,106,481.14","2,038,177,252.03"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"18,586,653.60","30,374,380.01","46,106,503.07","11,412,072.79","30,548,972.13","43,276,746.61","59,835,652.13","11,834,683.64","34,525,634.63","50,725,965.79","75,099,795.41","13,699,706.30","47,552,230.23","67,976,727.09","96,698,033.84","11,653,705.38","34,685,978.35","53,834,076.02","71,697,202.43","12,304,333.70","10,918,165.68","11,565,373.15","17,066,235.21","4,049,951.63","12,389,686.54","18,419,183.56"
营业外收入,"585,969.36","395,360.29","709,850.47","384,103.33","487,903.33","1,988,503.33","5,144,213.63","140,000.00","232,526.79","2,921,734.60","3,839,551.53","204,250.17","2,557,926.55","1,978,135.40","3,753,134.42","273,446.26","347,801.11","6,630,144.80","16,050,905.53","412,338.21","1,276,417.00","6,089,178.15","11,596,785.63","1,604,687.44","7,147,436.60","11,778,306.71"
销售费用,,,,,,,,,,,,,,,,,,,"3,254,654.27","1,710,195.93","3,380,690.66","6,059,537.41","8,814,029.22","3,476,483.14","8,162,166.69","13,213,487.33"
减:营业外支出,"560,372.90","275,957.40","198,603.14","182,200.00","214,050.00","271,500.00","417,850.00","5,400.00","450,043.47","512,977.92","703,240.34","104,550.11","839,757.79","923,897.74","1,450,535.45","142,627.15","334,824.70","339,407.04","684,729.09","21,001.79","52,756.46","338,210.36","624,030.57","15,408.55","109,782.34","370,121.01"
管理费用,"37,666,073.72","129,489,070.41","101,678,357.72","30,427,323.59","52,018,775.81","93,363,745.05","142,422,376.88","43,245,138.16","62,283,126.75","120,186,386.58","172,840,052.12","52,241,024.51","95,143,040.69","147,483,168.15","216,668,546.35","50,648,082.27","96,508,741.60","160,585,687.01","199,306,646.38","62,972,997.31","114,784,814.30","169,752,264.43","239,607,860.15","67,709,896.98","126,948,508.38","203,063,997.55"
其中:非流动资产处置净损失,,,"13,208.14",,,,,,,,"13,685.09","91,738.93","93,670.53","158,386.33","393,799.41","18,919.67","31,042.78","33,494.65","35,840.15","15,246.91","40,999.76","61,861.60","72,875.10","8,825.20","101,971.63","121,667.21"
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"581,460.97","2,750,081.61","-491,430.82","295,486.90","-8,294,992.39","-15,490,748.18","-21,227,231.75","-5,534,006.95","3,258,542.88","3,657,929.12","-1,174,676.43","4,808,982.87","9,845,579.66","18,666,460.48","24,615,075.55","1,891,618.74","5,720,197.91","9,342,704.94","21,821,338.18","6,041,563.67","13,535,304.47","20,868,881.14","36,005,606.58","11,897,036.76","24,432,551.80","37,391,593.41"
