科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"177,339,925.42","340,983,721.79","578,777,110.28","170,737,974.81","315,369,928.72","408,875,108.49","522,076,348.88","121,359,331.01","234,363,487.20","338,672,199.93","444,544,365.51","118,478,265.42","290,967,562.87","435,892,848.28","605,614,316.03","165,856,521.17","350,074,098.34","575,893,909.19","1,148,762,591.41","303,725,192.42","593,186,663.32","1,028,096,628.94","1,803,192,598.13","410,104,951.59","1,019,803,110.76","1,684,751,048.55","2,950,146,669.43","568,340,246.56","1,494,592,821.75","2,520,035,334.60","3,888,516,098.95","688,291,199.05","1,790,836,692.93"
二、营业利润,"27,341,096.30","58,071,743.61","95,913,971.64","27,882,356.03","37,157,739.69","45,903,991.74","57,275,226.73","14,751,859.86","21,086,311.16","23,240,311.78","19,254,006.16","7,402,541.75","23,779,751.74","31,507,040.21","37,011,919.53","12,023,793.90","31,315,292.28","45,315,731.76","126,805,483.45","25,889,691.27","61,619,311.25","115,541,160.56","239,045,649.07","45,283,127.51","177,742,409.89","292,522,861.02","529,232,695.52","96,427,981.60","284,378,577.05","455,359,804.14","756,169,424.93","152,209,633.67","367,329,078.37"
减:营业成本,"121,913,285.14","226,705,312.88","383,840,228.55","120,016,026.04","222,869,087.78","291,634,953.26","372,149,591.12","85,929,542.95","167,108,624.11","249,379,402.17","324,417,017.65","83,759,169.14","205,432,265.79","309,793,911.02","425,774,994.35","110,877,270.02","234,388,282.12","393,513,541.43","785,890,229.49","205,319,584.08","389,160,391.32","694,139,972.04","1,202,969,935.88","264,129,299.56","689,046,811.30","1,118,616,883.75","1,964,223,423.38","361,704,441.48","984,367,730.86","1,681,566,755.11","2,559,759,058.83","440,810,583.88","1,204,479,901.59"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"953,775.98","2,027,974.80","3,159,442.67","835,569.52","1,440,660.06","1,794,366.18","1,993,899.90","381,242.15","1,136,385.16","2,132,801.25","2,568,963.04","339,782.08","1,714,375.21","2,801,415.33","3,842,216.54","1,130,551.53","2,702,421.63","7,101,708.18","19,406,103.00","4,925,710.85","10,352,348.18","20,096,226.38","38,744,299.02","5,807,528.68","-36,798,574.43","-34,184,652.13","9,758,768.01","3,654,767.16","8,984,360.77","14,082,934.76","19,529,104.28","5,178,633.74","10,648,775.02"
营业外收入,"188,711.63","195,953.09","490,163.61","61,223.63","226,368.99","480,233.91","870,481.30","31,563.14","185,552.61","1,009,010.90","1,470,906.27","241,497.10","731,439.25","667,307.74","873,192.21","483,153.23","533,149.24","629,917.07","6,012,667.28","168,633.79","11,039,472.44","16,303,391.25","18,474,087.36","1,535,799.86","6,192,835.42","6,824,995.09","8,207,757.04","1,691,398.82","5,869,999.23","7,011,808.26","4,672,047.42","1,106,608.28","3,029,255.48"
销售费用,"5,545,300.02","21,357,899.63","35,870,695.73","10,560,344.92","21,457,530.91","27,842,883.40","34,977,761.22","8,505,771.45","17,571,519.47","24,531,920.48","40,927,825.26","11,051,946.47","24,579,965.96","37,815,726.61","57,920,107.77","17,681,269.75","33,135,366.80","47,596,106.74","66,216,256.32","26,896,972.57","44,265,539.88","62,634,876.21","90,064,918.05","31,146,026.84","64,439,029.40","90,400,788.75","116,722,930.56","34,020,427.82","69,116,882.85","100,952,100.48","158,396,931.03","48,323,535.69","97,643,187.98"
减:营业外支出,"949,764.97","366,461.11","2,069,336.57","2,000.00","101,559.00","121,559.00","662,564.27","47,835.29","153,982.49","208,689.17","228,277.20","352,947.04","541,161.95","755,705.09","854,125.78","236,299.97","934,299.97","988,213.23","4,793,544.25","55,200.00","7,084,047.56","7,193,945.79","8,260,885.50","670,442.09","794,782.34","10,281,372.96","16,006,575.09","639,825.26","679,481.76","2,895,831.17","2,666,571.84","396,291.73","622,862.80"
管理费用,"16,721,533.94","26,719,191.26","49,469,053.82","8,811,515.51","21,709,619.64","31,912,395.44","44,612,930.72","9,596,060.91","20,250,873.72","29,767,503.66","42,403,960.55","13,445,326.85","26,268,044.99","41,717,513.12","52,848,835.14","17,413,566.01","35,152,901.10","64,886,090.19","121,332,445.68","34,310,595.82","69,141,404.96","102,837,379.39","162,710,081.53","50,659,046.77","92,738,081.90","142,114,856.83","237,324,002.43","55,656,057.18","102,666,792.73","172,249,910.50","287,253,171.61","67,766,735.86","138,138,191.79"
其中:非流动资产处置净损失,"558,983.70","104,406.63","308,310.56",,,,"268,791.27",,,,"23,192.71",,"341,361.95",,"432,918.19",,"172,868.97",,"118,942.45",,"95,335.54",,"1,172,896.92",,,,,,"360,267.70",,,,
