科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"51,514,421.15","71,684,950.01","60,039,572.82","439,789,625.14","69,385,632.39","78,007,489.54","83,782,396.98","204,845,318.47","83,615,104.49","107,840,100.03","109,268,948.72","172,334,806.77","128,888,336.67","150,974,412.33","220,605,492.13","166,030,243.51"
短期借款,"173,780,000.00","176,860,000.00","155,000,000.00","156,000,000.00","50,000,000.00",,,,,,,,"20,000,000.00","20,000,000.00","20,000,000.00","30,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,
应收票据,"60,617,628.53","103,207,981.68","88,327,420.84","91,440,718.73","134,928,162.33","72,780,388.70","100,689,320.62","60,510,555.30","157,767,862.91","140,935,716.79","197,421,092.16","221,883,646.73","261,175,799.08","234,329,964.21","224,348,547.87","188,008,531.78"
应付票据,"40,000,000.00","66,000,000.00","58,000,000.00","46,000,000.00","40,000,000.00","30,000,000.00","24,000,000.00","14,000,000.00","24,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","32,000,000.00","24,000,000.00","23,000,000.00","20,400,000.00"
应收账款,"18,034,477.74","28,000,244.19","36,730,331.03","89,611,627.74","46,739,246.08","76,920,568.20","66,509,526.98","101,451,201.34","69,682,168.96","89,078,886.12","69,243,961.97","96,379,889.16","82,195,436.93","87,209,483.66","72,639,091.23","122,388,498.21"
应付账款,"39,094,794.25","54,426,997.76","45,698,258.30","55,240,516.34","52,815,645.25","43,585,800.98","48,127,922.98","45,678,265.78","49,039,956.94","41,074,068.08","63,004,356.78","81,576,744.88","67,154,651.17","56,842,463.42","78,254,179.87","68,890,601.91"
预付款项,"9,323,022.08","13,705,503.02","6,330,291.39","4,773,724.14","16,707,243.07","5,590,288.25","5,483,597.59","8,361,787.07","10,594,199.75","7,174,242.77","15,412,791.89","20,660,712.56","11,005,736.02","13,415,564.68","12,327,322.29","20,545,997.72"
预收款项,"7,614,726.02","10,509,016.99","4,821,123.34","6,105,198.56","7,470,116.27","8,820,208.62","4,658,250.10","5,773,365.70","12,627,746.25","7,421,761.81","9,058,378.10","5,961,855.73","8,342,988.42","9,048,713.36","7,610,513.32","7,040,351.41"
