科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"661,299,872.81","726,774,832.79","701,687,523.35","143,630,179.63","325,598,913.23","564,587,588.69","780,773,521.79","119,620,383.67","385,550,654.62","662,905,347.24","905,183,648.38","268,867,858.09","611,452,973.88","1,064,653,458.57","1,436,483,821.23"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,"464,292.12","464,292.12","464,292.12"
支付其他与投资活动有关的现金,"2,348,956.44",,,,,,,"15,730,000.00","15,730,000.00","15,730,000.00","15,730,000.00",,,,
收到其他与经营活动有关的现金,"12,208,389.25","1,650,296.28","1,840,981.92","66,664.68","161,398.76","545,090.45","5,198,388.83","913,716.55","2,050,721.84","3,146,434.04","8,353,316.30","3,659,375.66","5,387,772.03","8,279,589.00","9,442,943.15"
投资活动现金流出小计,"120,800,290.68","263,898,156.55","215,010,810.01","30,233,229.18","98,212,674.13","144,109,136.83","157,453,777.44","65,753,613.53","153,676,545.32","155,446,719.86","177,090,060.53","148,787,466.85","223,680,535.70","265,174,672.48","364,504,515.79"
经营活动现金流入小计,"673,508,262.06","728,425,129.07","703,528,505.27","143,696,844.31","325,760,311.99","565,132,679.14","785,971,910.62","120,534,100.22","387,601,376.46","666,051,781.28","913,536,964.68","272,527,233.75","617,305,038.03","1,073,397,339.69","1,446,391,056.50"
投资活动产生的现金流量净额,"-95,934,925.69","-259,688,366.55","-211,864,940.01","-29,708,329.18","-96,589,274.13","-139,530,236.83","-147,366,864.44","-63,028,113.53","-147,778,457.32","-143,919,131.86","-156,778,972.53","-143,556,117.85","-215,239,931.70","-251,122,726.00","-343,721,793.79"
购买商品、接受劳务支付的现金,"544,741,305.03","520,927,269.07","552,508,251.22","72,373,386.07","207,491,533.18","400,304,671.90","500,948,901.65","137,120,429.77","241,356,830.96","397,345,908.32","552,296,283.68","144,753,022.86","404,736,579.12","742,204,440.00","922,468,949.90"
吸收投资收到的现金,,,,,"421,660,000.00","421,660,000.00","406,980,000.00",,,,"379,475,381.56",,,,
支付给职工以及为职工支付的现金,"17,959,782.93","23,798,598.04","26,945,628.07","2,762,761.23","9,175,453.06","18,103,450.02","26,541,372.78","8,790,473.38","22,254,747.61","37,032,379.15","53,060,973.10","14,924,206.53","31,038,806.30","45,663,632.37","66,947,487.57"
取得借款收到的现金,"104,000,000.00","307,000,000.00","478,234,420.40","80,000,000.00","395,000,000.00","585,000,000.00","770,000,000.00","80,000,000.00","499,107,019.81","602,107,019.81","992,107,019.81","119,500,000.00","309,500,000.00","591,949,373.23","936,500,000.00"
支付的各项税费,"68,475,566.21","67,159,271.69","34,471,218.69","15,203,844.13","34,604,250.53","49,597,534.31","68,812,367.53","12,513,218.30","20,231,199.96","41,894,811.55","63,469,942.06","17,900,935.37","51,372,290.60","74,369,066.75","93,473,094.54"
收到其他与筹资活动有关的现金,"19,300,000.00",,,,,,,,,"5,605,002.85","2,962,279.71","7,068,192.40","20,420,727.83","20,420,727.83","4,746,196.15"
支付其他与经营活动有关的现金,"22,313,767.21","24,982,306.84","28,304,600.58","4,395,293.24","8,902,151.94","24,012,445.03","17,419,621.72","6,403,799.06","15,544,579.01","20,385,129.43","32,179,317.96","8,023,433.62","16,224,333.65","27,191,049.18","36,240,885.80"
