科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"86,290,154.43","88,561,082.45","104,457,243.90","96,045,120.13","157,586,329.40","1,003,399,788.04","924,601,693.71","894,002,033.62","927,880,389.09","892,966,599.61","827,066,929.06","839,257,560.42","808,282,917.49","1,084,058,896.06","680,573,280.28","702,376,611.14","458,962,545.68","557,809,025.88","549,059,457.23","548,459,785.90","649,902,553.75","494,367,658.54","515,405,496.59","497,028,905.06","703,032,128.98","683,155,407.29","1,137,324,940.03","748,432,087.45","850,899,424.59","783,246,727.98","602,710,915.06","451,016,530.96","405,630,955.08","410,083,824.79","399,484,360.04","703,560,819.37","556,188,480.87","473,714,317.34"
短期借款,"84,150,059.03","91,000,000.00","70,000,000.00","90,000,000.00","90,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","574,080,144.22","508,606,246.08","366,555,531.05","664,850,804.99","695,807,436.35","834,868,160.00","860,385,886.30","873,901,840.30","1,007,127,954.62","1,126,243,352.05","1,320,018,791.90","1,245,691,152.37","1,222,515,728.92","978,476,088.28","913,566,922.12","999,042,496.00","1,035,554,168.00","884,737,920.00","882,396,800.00","803,000,000.00","933,371,360.00","1,073,484,300.00","921,369,770.00","879,206,411.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"254,750.00",,,,,,,"23,250.00"
应收票据,"38,357,278.60","53,390,398.34","44,320,263.79","86,761,580.15","94,774,724.94","55,000,000.00","103,552,597.69","97,971,151.51","94,353,169.28","57,197,084.27","67,187,350.39","82,456,570.07","114,061,187.28","87,963,142.36","95,142,200.03","94,915,278.06","179,181,320.66","165,562,443.83","166,142,077.00","128,890,710.36","105,062,519.60","87,875,528.52","151,363,423.45","184,657,051.46","191,630,352.75","108,320,891.19","89,951,578.19","150,936,807.28","149,803,314.22","128,075,574.05","115,208,511.51","95,648,626.00","72,853,399.72","102,013,856.90","141,332,194.43","144,404,233.37","155,204,471.66","146,979,370.23"
应付票据,"64,469,407.71","100,556,368.16","156,999,922.12","145,216,000.00","128,906,000.00","136,600,000.00","131,625,733.30","121,824,958.02","114,118,259.68","62,269,034.96","70,400,000.00","133,014,790.33","168,923,190.33","176,425,236.46","287,701,940.93","318,076,327.07","404,022,838.99","333,581,726.93","372,254,483.19","363,906,036.04","385,029,708.61","333,172,235.82","387,862,156.93","381,885,102.90","492,954,685.96","494,075,535.77","511,408,640.28","628,669,663.50","515,767,244.49","472,058,044.05","544,651,393.60","545,062,872.42","447,725,228.48","653,720,236.60","795,809,683.80","963,995,979.31","968,925,782.46","954,704,331.08"
应收账款,"79,433,160.36","75,816,947.91","101,987,356.28","99,998,871.98","92,224,747.97","168,662,339.97","121,597,286.47","118,318,718.53","151,202,995.51","159,908,038.63","143,909,429.91","150,276,808.93","179,787,822.98","176,846,350.46","428,921,272.30","439,240,228.51","426,420,144.20","451,895,504.16","436,204,413.73","508,280,322.43","465,116,190.36","550,402,272.35","553,342,892.87","582,625,848.29","584,818,026.66","603,768,128.10","620,881,633.64","627,341,205.35","571,875,903.78","603,519,660.28","589,903,043.72","623,425,058.07","695,387,549.41","742,248,039.78","832,546,255.45","938,843,063.09","987,299,505.56","1,015,974,502.19"
应付账款,"65,693,528.67","50,122,353.08","57,336,211.97","67,487,741.77","72,323,664.13","86,043,748.73","56,642,139.20","68,994,476.93","83,133,769.58","73,091,088.82","79,762,266.60","90,806,511.09","78,113,609.87","129,392,315.07","284,317,958.67","345,274,613.71","251,510,156.77","195,488,967.40","174,871,282.28","210,103,384.66","228,065,681.65","277,368,226.32","285,412,946.62","346,631,033.62","322,109,896.09","359,346,812.09","298,349,916.77","236,308,795.71","242,163,324.50","264,360,200.51","179,059,643.13","267,454,327.62","296,360,755.70","271,807,590.61","281,675,722.34","300,147,205.40","297,192,834.90","331,880,431.77"
预付款项,"9,014,792.46","26,001,361.44","6,611,147.98","6,478,712.00","6,214,863.58","15,496,017.60","1,874,229.18","5,073,237.55","2,005,542.84","15,639,984.59","19,158,135.69","22,548,454.44","7,257,852.82","9,757,653.71","53,903,019.13","61,459,253.66","95,627,047.65","91,164,586.11","135,715,167.74","145,469,886.93","84,345,565.55","98,598,939.68","25,505,047.34","40,011,632.00","25,114,990.41","23,272,499.47","25,169,545.22","34,884,343.51","29,247,289.43","29,845,580.25","41,088,286.28","64,364,051.34","37,067,195.18","46,652,380.08","73,211,696.75","186,307,755.78","142,509,108.79","208,789,867.74"
预收款项,"5,743,590.84","5,551,776.76","314,126.78","72,684.00","983,858.06","1,886,543.16","948,687.12","444,949.93","516,450.43","279,626.33","392,588.85","603,586.45","1,423,911.29","279,425.11","1,151,249.57","1,714,378.19","9,919,197.08","1,375,917.23","10,006,924.73","11,817,883.65","14,580,326.47","25,620,413.65","12,612,467.44","11,353,126.59","11,421,460.54","9,068,523.98","6,551,897.92","12,289,729.80","4,911,492.72","5,621,148.32","5,611,618.34","9,324,600.96","9,608,983.12","10,809,454.36","12,383,698.85","8,508,580.00","14,087,874.79","9,704,574.63"
其他应收款,"515,500.00","31,500.00",,"51,917.24","1,549,624.88",,"125,940.55","144,013.35",,"124,500.00","778,285.10","215,175.00","1,976,475.00","276,500.00","2,609,458.38","2,719,772.88","6,551,588.91","1,391,615.06","5,296,508.50","7,375,438.97","4,582,148.46","2,057,876.08","2,259,536.65","5,656,111.46","7,002,228.23","1,876,929.16","4,794,523.09","12,125,679.58","1,370,947.83","66,773,453.36","69,483,619.41","69,057,451.43","69,663,186.58","4,185,948.75","5,237,588.79","114,850,177.26","221,240,700.70","216,848,661.94"
应付职工薪酬,"575,529.66","822,734.66","996,276.96","1,109,924.57","1,772,226.39","1,402,946.24","1,617,233.19","1,937,774.68","2,243,099.49","2,529,421.00","2,892,506.85","3,247,833.86","3,479,963.78","4,004,200.82","5,004,171.94","5,154,686.84","6,911,387.53","4,660,587.75","6,251,668.22","6,541,957.36","6,648,938.80","4,713,752.16","4,058,100.95","6,103,361.96","6,191,294.36","4,797,326.39","6,151,503.29","6,574,897.86","7,256,383.80","7,248,527.64","7,049,945.86","7,099,714.64","13,482,086.90","10,675,035.27","10,560,649.01","8,939,354.92","17,182,730.45","9,897,391.14"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"7,089,862.43","11,344,405.10","10,958,219.06","3,474,951.45","11,458,760.26","13,600,563.45","10,637,583.02","3,013,133.95","16,349,087.21","8,549,619.14","210,463.25","-6,510,764.36","4,776,436.06","-6,421,005.34","-41,678,414.55","-18,102,515.37","1,900,440.35","-12,696,813.80","-17,461,282.95","-15,252,465.30","17,558,067.30","15,970,347.52","10,394,225.30","13,696,922.68","24,089,827.01","11,740,711.60","12,481,591.10","7,759,437.55","12,945,676.99","8,199,656.57","5,203,063.64","9,499,931.73","13,397,551.22","7,850,713.64","10,447,445.71","13,178,908.93","17,064,107.25","10,233,392.65"
应收利息,,,,,,,,,"11,657,250.00","4,603,500.00","4,603,500.00","4,603,500.00","10,183,500.00","963,583.35","4,687,446.67","4,465,729.84","615,453.41","1,199,393.66","2,548,584.00","5,024,178.00","7,234,789.00","4,592,767.53","4,759,358.00","4,964,145.55","6,395,578.78","5,497,550.70","4,740,646.00","5,402,849.42","5,985,896.28","4,561,218.71","1,288,076.95","1,602,352.87","738,438.20","451,694.52","740,932.41","1,124,572.73","1,418,740.06","1,922,433.54"
应付利息,,,,,,,,,,,,,,,"4,093,113.83","2,017,842.79","2,171,927.40","1,887,404.51","2,631,121.31","2,619,633.50","3,505,599.81","2,575,836.81","4,483,092.39","3,637,692.32","5,680,919.59","4,024,857.19","3,346,985.85","4,813,497.79","3,720,627.15","3,928,914.77","4,366,114.41","4,625,079.61","5,853,137.41","2,495,167.98","2,070,919.47","2,640,740.93","3,202,855.72","2,945,589.13"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,"540,000.00",,,,,,,"5,000,000.00","4,750,000.00",,,,,,,,,,,
存货,"142,850,803.87","179,214,510.64","176,949,556.90","173,044,835.28","134,945,706.58","126,945,387.08","93,788,913.37","127,447,181.59","100,480,636.76","91,973,876.99","138,127,559.86","171,020,199.39","146,231,201.42","221,870,616.82","490,875,476.43","473,764,349.37","444,301,413.53","493,647,372.96","527,191,897.46","550,800,735.26","565,711,357.65","568,570,034.00","629,542,194.85","666,881,630.11","639,645,016.67","662,034,721.93","634,756,681.48","597,623,517.56","546,176,606.89","574,145,334.30","580,321,848.80","608,422,381.83","627,941,992.24","636,066,317.62","684,554,459.72","690,965,810.92","701,812,077.74","685,603,873.00"
其他应付款,"100,000.00","6,220.97","10,953,970.80","8,872,672.13","8,253,970.80","4,783,192.80","1,110,000.00","407,898.21",,"67,412.30","131,222.30","72,908.89",,"9,521.52","30,409,326.27","24,708,153.44","4,951,714.54","25,467,061.74","20,118,683.94","21,667,417.53","2,183,885.75","506,493.42","585,269.18","262,006.51","3,103,733.44","976,753.87","3,448,250.58","2,296,777.90","66,732,975.29","66,742,230.58","68,726,420.81","67,582,726.37","67,275,944.92","1,896,574.69","65,462,915.12","270,411,530.72","242,958,939.73","238,614,405.07"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"8,100,000.00","10,800,000.00","10,800,000.00","8,100,000.00","8,100,000.00",,,,,,,,,,,,,,,,"223,800,000.00","175,000,000.00","134,760,000.00","67,760,000.00","40,000,000.00","30,000,000.00",,,,,,,"34,685,000.00","12,000,000.00","10,000,000.00","2,000,000.00","55,000,000.00","29,500,000.00"
其他流动资产,,,,,,,,,,,,,,,"241,780.00",,,,"1,393,980.64","1,393,980.64","20,470,277.43","15,090,883.50","24,898,212.19","29,541,819.39","38,788,741.63","44,807,786.29","32,880,924.56","28,887,024.47","33,830,267.80","41,137,999.21","48,551,040.39","50,532,861.77","56,887,709.28","51,671,822.86","72,983,724.93","56,712,611.16","63,938,773.47","55,360,197.74"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"356,461,689.72","423,015,800.78","434,325,568.85","462,381,036.78","487,295,997.35","1,369,503,532.69","1,245,540,660.97","1,242,956,336.15","1,287,579,983.48","1,222,413,584.09","1,200,831,190.01","1,270,378,268.25","1,267,780,956.99","1,581,736,742.76","1,756,953,933.22","1,778,941,223.46","1,611,659,514.04","1,762,669,941.66","1,823,552,086.30","1,895,695,038.49","1,902,425,401.80","1,821,555,960.20","1,907,076,161.94","2,011,367,143.32","2,196,427,064.11","2,132,733,914.13","2,550,500,472.21","2,205,633,514.62","2,189,189,650.82","2,231,305,548.14","2,048,555,342.12","1,964,069,314.27","1,966,170,425.69","1,993,373,885.30","2,210,091,212.52","2,836,769,043.68","2,830,528,685.17","2,805,193,223.72"
流动负债合计,"235,921,978.34","270,203,858.73","318,358,727.69","324,333,973.92","321,798,479.64","249,316,994.38","207,581,375.83","201,623,191.72","221,360,666.39","151,786,202.55","158,789,047.85","226,234,866.26","261,717,111.33","308,689,693.64","1,145,079,490.88","1,187,449,732.75","1,047,943,193.71","1,214,615,656.75","1,265,020,317.07","1,436,272,007.44","1,741,758,094.69","1,708,829,146.00","1,847,296,213.43","1,957,572,598.63","2,225,570,608.89","2,164,721,673.26","2,069,004,514.71","1,877,188,888.39","1,767,064,647.06","1,827,201,218.44","1,850,477,117.79","1,795,387,173.35","1,770,785,487.75","1,774,254,773.15","2,121,782,394.30","2,643,306,600.21","2,536,984,895.30","2,466,709,776.47"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,"27,900,000.00","8,100,000.00","2,700,000.00","2,700,000.00",,,,,,,,,,"300,000,000.00","617,560,000.00","614,560,000.00","608,200,000.00","589,200,000.00","588,360,000.00","516,360,000.00","267,000,000.00","257,000,000.00","229,000,000.00","167,000,000.00","139,000,000.00","139,000,000.00","200,136,000.00","63,613,000.00","64,936,000.00","64,612,000.00","89,937,000.00","33,389,000.00","20,000,000.00","88,000,000.00","88,000,000.00","138,000,000.00","208,000,000.00","208,000,000.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,"39,872,514.03",,,,,,,,,,,,,,,,,"24,750,000.00","24,608,710.62","24,714,128.57","100,261,173.51","24,614,523.93","24,436,077.05","24,240,056.89","24,222,648.29"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,372,933.42","6,308,456.73","6,243,980.04","6,179,503.35","6,115,026.66","6,050,549.97","5,986,073.28","5,921,596.59","5,857,119.90","5,792,643.21"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"103,558,931.21","112,019,170.32","114,100,395.40","109,522,934.27","113,688,610.68","112,479,155.57","121,676,493.80","132,313,837.69","127,381,262.62","123,128,933.77","119,673,499.01","115,825,269.14","115,053,904.98","113,190,088.62","673,020,383.71","659,816,723.48","900,138,062.46","1,069,307,187.52","1,061,312,394.02","1,146,685,483.23","1,285,502,955.82","1,300,174,942.39","1,332,029,046.85","1,313,645,505.65","1,522,352,419.03","1,510,437,912.13","1,491,438,444.11","1,474,286,127.74","1,496,774,226.21","1,476,048,086.73","1,532,031,225.87","1,539,557,504.19","1,643,310,008.43","1,741,614,357.85","1,968,357,767.53","1,928,796,090.44","2,037,955,205.31","2,022,727,760.85"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程,,,"3,809,000.00","6,796,542.26","1,290,556.46","8,781,579.66","34,769,843.03","33,669,221.78","47,985,532.65","67,245,709.56","76,463,294.84","96,439,209.18","165,654,332.91","180,342,043.03","496,706,886.55","565,874,967.93","400,147,514.07","265,907,125.61","288,641,888.90","270,191,294.27","235,476,790.56","290,334,033.15","324,125,628.97","332,206,148.49","351,775,412.45","372,140,025.05","388,435,980.77","398,313,876.56","374,818,025.82","458,319,691.06","441,554,847.92","427,508,969.82","312,079,321.58","203,693,364.73","186,828,870.00","190,724,909.49","74,566,687.29","59,568,777.17"
其他非流动负债,,,,,,,,,,,,,,,,,,,,,,,,"13,720,000.00",,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"27,900,000.00","8,100,000.00","2,700,000.00","2,700,000.00",,,,,,,,,,"300,000,000.00","617,560,000.00","614,560,000.00","608,200,000.00","589,200,000.00","588,360,000.00","516,360,000.00","267,000,000.00","257,000,000.00","229,000,000.00","180,720,000.00","171,034,000.00","170,472,000.00","231,046,000.00","100,365,454.82","99,585,226.82","98,610,648.37","123,304,954.95","68,172,204.45","56,720,434.45","123,499,183.82","121,808,392.30","170,298,791.53","239,230,000.00","238,634,666.67"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,683.33,,,,,,,,,,,,
负债合计,"263,821,978.34","278,303,858.73","321,058,727.69","327,033,973.92","321,798,479.64","249,316,994.38","207,581,375.83","201,623,191.72","221,360,666.39","151,786,202.55","158,789,047.85","226,234,866.26","261,717,111.33","608,689,693.64","1,762,639,490.88","1,802,009,732.75","1,656,143,193.71","1,803,815,656.75","1,853,380,317.07","1,952,632,007.44","2,008,758,094.69","1,965,829,146.00","2,076,296,213.43","2,138,292,598.63","2,396,604,608.89","2,335,193,673.26","2,300,050,514.71","1,977,554,343.21","1,866,649,873.88","1,925,811,866.81","1,973,782,072.74","1,863,559,377.80","1,827,505,922.20","1,897,753,956.97","2,243,590,786.60","2,813,605,391.74","2,776,214,895.30","2,705,344,443.14"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"158,000,000.00","158,000,000.00","158,000,000.00","158,000,000.00","158,000,000.00","211,000,000.00","211,000,000.00","211,000,000.00","211,000,000.00","211,000,000.00","422,000,000.00","422,000,000.00","422,000,000.00","422,000,000.00","422,000,000.00","422,000,000.00","422,000,000.00","422,000,000.00","422,000,000.00","422,000,000.00","422,000,000.00","422,000,000.00","422,000,000.00","422,000,000.00","422,000,000.00","422,000,000.00","439,664,781.00","439,664,781.00","439,664,781.00","439,664,781.00","439,664,781.00","439,664,781.00","439,664,781.00","439,664,781.00","439,664,781.00","439,664,781.00","439,664,781.00","439,664,781.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"59,684,766.07","59,684,766.07","59,684,766.07","59,684,766.07","59,684,766.07","944,871,648.41","944,871,648.41","944,871,648.41","948,542,272.67","948,542,272.67","737,542,272.67","737,542,272.67","737,542,272.67","737,542,272.67","737,542,272.67","737,542,272.67","737,542,272.67","737,542,272.67","750,803,050.30","750,803,050.30","750,803,050.30","750,803,050.30","781,692,073.54","781,692,073.54","781,692,073.54","781,692,073.54","1,224,645,716.56","1,224,645,716.56","1,231,468,169.99","1,231,468,169.99","1,231,468,169.99","1,231,468,169.99","1,231,468,169.99","1,231,468,169.99","1,231,468,169.99","1,231,468,169.99","1,231,468,169.99","1,231,468,169.99"
无形资产,"22,524,869.76","22,029,623.94","59,995,945.48","59,672,282.80","59,348,620.21","59,024,957.53","58,701,294.85","58,377,632.17","58,053,969.49","57,730,306.81","57,406,644.13","57,082,981.45","56,759,318.77","56,435,656.09","128,871,451.71","128,136,760.35","127,402,068.99","126,667,377.69","125,932,686.39","125,197,995.09","124,418,342.59","123,661,172.07","122,904,000.85","122,146,831.03","145,707,319.70","144,812,742.74","143,918,172.08","143,023,601.42","142,129,030.76","141,336,309.50","208,155,597.91","206,845,316.31","205,599,148.28","204,373,466.03","235,980,526.88","234,575,768.60","233,123,385.15","231,716,572.74"
盈余公积,"301,812.17","6,246,269.44","6,246,269.44","6,246,269.44","14,352,964.03","14,352,964.03","14,352,964.03","14,352,964.03","22,606,236.55","22,606,236.55","22,606,236.55","22,606,236.55","30,933,761.89","30,933,761.89","30,933,761.89","30,933,761.89","36,459,633.49","36,459,633.49","36,459,633.49","36,459,633.49","40,811,673.77","40,811,673.77","40,811,673.77","40,811,673.77","45,783,461.41","45,783,461.41","45,783,461.41","45,783,461.41","50,791,793.39","50,791,793.39","50,791,793.39","50,791,793.39","54,156,664.34","54,156,664.34","54,156,664.34","54,156,664.34","58,371,152.51","58,371,152.51"
开发支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商誉,,,"12,941.68","12,941.68","12,941.68","12,941.68","12,941.68","12,941.68","12,941.68","12,941.68","12,941.68","12,941.68","12,941.68","12,941.68","254,166,502.83","250,624,902.09","250,624,902.09","250,624,902.09","250,624,902.09","250,624,902.09","250,624,902.09","250,624,902.09","250,624,902.09","250,624,902.09","250,624,902.09","250,624,902.09","250,624,902.09","250,624,902.09","250,624,902.09","250,624,902.09","348,836,173.04","348,836,173.04","348,836,173.04","348,836,173.04","348,836,173.04","348,836,173.04","332,166,901.83","332,166,901.83"
