科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"492,657,103.47","605,643,205.07","729,766,270.96","365,916,939.42","526,149,559.78","782,546,739.58","232,098,378.17","397,881,989.99","583,857,660.47","861,163,349.22","225,935,814.84","403,684,131.60","602,531,411.25","773,505,645.30","277,057,695.08","437,703,610.06","624,955,556.72","882,268,092.33","290,135,297.57","448,459,208.10","642,219,972.59","891,838,902.74","256,294,960.91","405,225,917.23","628,295,376.59","947,588,697.53"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,"63,943,102.27","64,225,106.94","64,225,106.94",,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,"45,748.00",,,"24,375.76","24,375.76",,,"1,352.32","283,126.08",,"54,326.14","327,408.17","327,408.17"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"7,034,316.84","11,682,842.50","5,958,792.85","3,200,182.10","3,586,384.95","4,970,626.69","3,187,199.44","4,534,499.70","7,136,702.78","12,647,331.05","6,673,740.73","12,709,361.65","17,617,436.04","12,875,068.82","6,205,838.21","10,663,632.65","9,192,245.65","12,015,230.02","6,858,023.78","6,208,586.20","7,294,453.81","8,638,824.54","5,291,982.18","11,387,402.03","3,092,410.87","7,866,647.77"
投资活动现金流出小计,"21,279,302.66","28,369,935.17","32,437,629.91","10,064,054.21","27,255,379.61","45,575,573.32","12,913,398.96","22,889,796.36","736,619,909.45","671,570,053.41","378,957,372.80","858,409,303.39","1,137,450,403.86","1,284,579,201.03","170,041,200.06","355,664,803.26","406,631,577.80","439,643,453.26","147,699,204.32","414,034,397.21","877,298,434.41","1,075,809,313.72","362,629,882.40","685,699,987.66","895,801,653.99","1,095,250,945.42"
经营活动现金流入小计,"499,691,420.31","617,326,047.57","735,725,063.81","369,117,121.52","529,735,944.73","787,517,366.27","235,285,577.61","402,416,489.69","590,994,363.25","873,810,680.27","232,609,555.57","416,393,493.25","620,148,847.29","786,426,462.12","283,263,533.29","448,367,242.71","634,172,178.13","894,307,698.11","296,993,321.35","454,667,794.30","649,515,778.72","900,760,853.36","261,586,943.09","416,667,645.40","631,715,195.63","955,782,753.47"
投资活动产生的现金流量净额,"-21,279,302.66","-28,137,888.45","-28,254,696.72","-9,184,726.79","-25,990,466.87","-43,590,714.01","-12,513,449.34","-22,324,247.04","-403,931,303.22","-232,731,927.45","31,946,844.87","-197,981,037.99","-200,405,720.94","-185,077,564.84","-10,406,501.37","4,573,124.80","-7,045,757.63","7,211,467.68","-76,775,298.31","-135,662,547.42","-295,489,942.12","-309,866,898.95","-14,942,042.15","11,449,502.75","153,919,252.37","158,415,824.58"
购买商品、接受劳务支付的现金,"341,228,083.52","378,151,430.72","504,801,934.64","196,067,884.81","296,081,253.26","467,297,018.33","127,271,298.29","294,522,853.00","363,818,863.68","505,584,120.91","125,785,139.53","241,251,713.75","386,087,876.82","474,236,837.28","135,306,321.83","244,694,041.39","351,365,039.80","497,596,076.37","108,964,666.21","205,894,918.13","319,155,158.75","468,692,562.23","143,244,089.54","268,036,976.99","392,576,455.53","548,350,714.92"
吸收投资收到的现金,,,,,"513,300,000.00","513,300,000.00",,,,,,,,,,,,,,,"154,328,000.00","154,328,000.00",,,,
支付给职工以及为职工支付的现金,"34,836,767.36","54,328,911.64","71,255,212.29","39,520,266.15","58,049,477.24","84,264,923.57","29,041,800.85","56,143,194.54","80,440,571.89","110,180,138.74","34,226,175.74","66,711,235.33","98,450,815.05","136,581,925.66","40,739,815.18","77,235,553.65","109,922,812.27","150,281,645.30","41,260,607.63","79,241,271.48","111,956,132.33","156,974,688.09","49,396,865.70","90,372,811.26","128,826,722.41","178,953,969.75"
取得借款收到的现金,"35,110,000.00","59,280,000.00","39,900,000.00",,"10,000,000.00","10,000,000.00",,"38,000,000.00","38,000,000.00","38,000,000.00",,,,,,,,,,,,,,,,
支付的各项税费,"51,021,865.70","48,485,671.87","61,927,447.80","41,040,202.22","54,362,721.53","71,552,812.76","25,217,565.10","44,118,492.25","53,721,475.20","75,991,706.59","24,771,115.10","45,688,462.56","55,542,193.53","68,762,600.27","18,492,557.22","39,834,008.89","58,576,206.40","74,746,069.94","21,482,172.17","38,800,831.02","52,403,754.28","73,316,437.83","19,257,479.10","35,353,957.60","51,618,413.66","76,559,297.87"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,"1,500,000.00",,,,,,,,
支付其他与经营活动有关的现金,"62,297,541.07","70,435,056.61","75,575,379.85","47,719,631.21","65,696,438.10","99,272,128.54","32,519,570.97","60,556,572.71","80,496,666.40","122,003,964.55","33,605,140.88","64,876,192.82","90,202,197.35","119,988,549.06","50,881,129.12","81,530,854.52","105,562,949.46","151,851,526.87","31,297,370.53","55,297,922.01","84,841,211.30","118,439,239.89","35,627,097.56","63,445,992.07","89,842,908.57","142,453,985.17"
筹资活动现金流入小计,"35,110,000.00","59,280,000.00","39,900,000.00",,"523,300,000.00","523,300,000.00",,"38,000,000.00","38,000,000.00","38,000,000.00",,,,,,,,"1,500,000.00",,,"154,328,000.00","154,328,000.00",,,,
经营活动现金流出小计,"489,384,257.65","551,401,070.84","713,559,974.58","324,347,984.39","474,189,890.13","722,386,883.20","214,050,235.21","455,341,112.50","578,477,577.17","813,759,930.79","218,387,571.25","418,527,604.46","630,283,082.75","799,569,912.27","245,419,823.35","443,294,458.45","625,427,007.93","874,475,318.48","203,004,816.54","379,234,942.64","568,356,256.66","817,422,928.04","247,525,531.90","457,209,737.92","662,864,500.17","946,317,967.71"
偿还债务支付的现金,"23,720,000.00","75,110,000.00","29,280,000.00","29,900,000.00","29,900,000.00","29,900,000.00","10,000,000.00","39,000,000.00","48,000,000.00","48,000,000.00",,,,,,,,,,,,,,,"103,828,000.00",
