科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"83,523,735.97","164,806,493.70","137,935,764.82","95,582,903.41","84,244,125.28","137,134,836.90","123,736,708.67","187,051,268.33","48,259,171.57","67,878,341.44","35,617,580.76","23,271,489.78","401,920,628.62","1,438,416,197.40","543,322,370.84","919,610,093.37","654,310,344.88","1,300,978,401.49","1,531,128,361.77","1,412,643,265.83","846,171,524.30","1,517,156,975.49","1,502,953,214.02"
短期借款,"183,324,532.00","224,984,553.98","412,173,095.12","390,830,912.51","427,521,629.60","459,503,278.00","286,450,296.00","278,820,000.00","260,627,404.12","215,052,392.40","269,000,000.00","268,000,000.00","335,000,000.00","439,100,000.00","520,600,000.00","409,000,000.00","327,000,000.00","765,190,000.00","677,300,000.00","832,720,000.00","1,007,720,000.00","804,530,000.00","845,420,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"6,800,000.00","14,772,730.00","31,986,300.32","45,029,402.00","61,845,078.62","29,203,708.14","13,258,150.00","3,279,948.70","1,042,100.00","50,325,800.00","3,611,419.20","2,300,000.00","2,141,910.00","4,560,950.57","8,031,223.52","24,912,414.40","795,535.00","12,828,053.00","16,266,500.00","98,899,929.95","3,299,765.00","4,391,741.00","320,000.00"
应付票据,"63,929,883.00","117,180,000.00","46,814,000.00","34,986,400.00","33,766,000.00","26,187,660.00","37,923,660.00","19,286,000.00","8,100,000.00","21,450,000.00","25,830,000.00","11,580,000.00","6,000,000.00","7,000,000.00","1,000,000.00",,"29,384,635.75","34,745,655.75","34,745,655.75","34,745,655.75","5,361,020.00","100,000,000.00","100,000,000.00"
应收账款,"132,751,565.15","143,926,315.01","172,703,411.02","221,245,532.02","232,623,048.98","202,475,663.12","197,621,131.73","200,866,570.25","206,008,797.97","195,907,101.09","225,036,060.83","273,876,172.17","344,816,100.64","375,765,611.16","420,858,703.57","554,931,174.17","670,958,992.87","945,335,560.73","911,095,438.18","808,433,715.74","1,301,370,209.54","557,664,550.01","588,799,290.86"
应付账款,"53,723,132.89","72,318,781.85","96,886,768.65","104,442,672.12","90,355,292.24","120,092,484.80","98,104,947.48","99,562,468.31","140,547,970.62","161,306,586.62","191,355,066.14","165,626,666.07","120,475,797.65","141,580,498.03","139,566,100.82","157,720,494.95","181,362,664.33","195,236,713.07","197,745,055.36","202,459,043.55","226,398,152.00","486,876,432.19","444,992,943.65"
预付款项,"31,830,568.48","50,646,573.88","52,101,841.59","50,781,584.82","79,057,687.83","80,859,322.95","93,398,425.77","85,561,930.30","126,253,156.38","67,890,498.10","84,091,156.71","98,141,684.59","100,038,161.06","116,404,636.54","142,536,220.96","113,468,711.74","175,598,894.86","143,360,138.04","180,978,957.57","96,297,447.46","179,542,001.88","176,324,624.73","176,861,993.60"
预收款项,"44,596,297.35","68,851,807.21","83,359,373.99","84,756,903.82","85,477,616.74","61,064,102.76","50,767,353.12","8,849,362.96","40,578,773.80","97,517,755.76","74,953,708.40","66,152,555.04","67,514,856.32","27,675,624.04","45,364,902.12","24,423,884.02","29,579,319.99","28,629,330.66","29,240,747.00","17,019,200.27","37,247,055.18","32,710,175.86","36,641,796.87"
其他应收款,"26,255,604.04","38,210,139.85","44,437,890.27","42,744,735.86","48,773,986.71","42,511,395.90","44,628,700.15","40,993,922.14","52,265,128.90","27,826,337.37","31,935,413.54","35,424,284.49","60,391,683.28","46,766,192.32","899,855,755.69","60,078,566.70","138,521,549.09","73,665,816.44","109,342,388.95","82,610,657.61","105,014,926.75","97,037,055.35","122,494,050.04"
应付职工薪酬,,,,,,,,,,"4,954,549.92","51,600.00","5,244,311.87","1,154,484.29","622,141.62","1,179,815.36","164,660.92","629,299.72","1,454,187.44","1,299,948.81","1,697,579.48","115,251.91","8,815,283.86","1,691,649.73"
