科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"17,576,901.44","36,240,553.69","53,897,473.78","70,436,341.61","19,399,168.44","41,943,859.40","64,211,996.04","79,214,279.96","16,635,175.08","33,702,885.23","51,309,163.77","90,352,907.07","22,357,058.48","42,977,257.65","69,873,910.66","99,864,455.18","24,741,857.14","42,652,044.45","72,025,376.73","119,779,489.99","26,512,939.45","55,660,313.34","85,971,170.57","129,584,203.49","30,616,972.63","63,831,976.98","99,177,989.16","132,719,694.70","38,492,386.10","65,170,984.69","104,362,188.17","135,076,221.01","15,433,193.10","35,492,950.50","41,523,031.31","73,693,094.59","18,125,391.60","30,600,310.51","48,806,261.08","69,999,211.75","11,695,916.70","32,521,184.50","61,655,190.85","92,736,770.41","20,511,414.45","44,339,747.17"
三、利润总额,"47,643,367.85","87,757,580.51","127,533,073.49","139,021,497.71","35,525,442.87","84,005,246.04","153,325,750.83","126,711,912.60","12,185,380.21","31,543,724.93","7,158,319.74","-669,888,817.39","-32,048,899.26","-43,086,638.94","-101,947,491.39","-464,343,580.60","21,339,310.14","69,881,586.54","102,640,874.69","169,480,617.01","20,217,187.08","43,801,011.47","459,578,160.48","158,252,641.91","-36,618,487.28","-36,026,742.07","-29,701,899.85","-114,709,382.81","-55,477,569.08","-88,861,278.59","-153,378,716.89","56,104,319.87","-53,588,460.60","-100,242,202.91","-148,204,399.32","-219,962,486.85","-36,016,367.15","-73,070,512.18","-85,720,039.12","29,333,035.68","-37,975,460.05","-155,174,117.13","-245,062,449.78","-412,245,124.78","-42,138,120.52","-109,854,606.04"
资产减值损失,,"938,552.92","938,552.92","-1,300,241.67",,"423,831.65","423,831.65","6,206,863.97",,"-3,380,109.54","-3,347,059.19","147,128,160.68",,"1,212,631.82","1,212,631.82","251,966,399.02",,"-277,979.15","-277,979.15","-23,486,577.97",,"2,186,213.94","2,186,213.94","47,710,302.49",,"7,312,443.00","7,312,443.00","31,991,400.13",,"1,564,383.68","1,564,383.68","5,524,662.65",,"6,014,725.30","6,014,725.30","17,513,237.48",,"12,234,862.37","12,234,861.37","5,606,210.07",,"11,491,806.89","11,491,806.89","37,857,485.64",,"20,381,530.39"
减:所得税,"11,221,599.24","21,348,851.33","31,404,510.62","39,057,789.14","9,891,932.33","24,329,423.97","39,510,909.13","40,761,606.43","7,157,880.55","14,733,080.29","12,797,255.99","22,854,123.09","6,195,176.36","13,599,488.29","20,357,225.15","28,652,007.09","10,202,495.87","21,356,532.75","32,604,625.48","45,996,226.36","6,646,815.53","13,724,983.69","15,352,782.04","14,355,798.76","848,656.01","2,924,420.73","8,387,940.36","14,634,497.86","673,411.07","1,709,590.31","3,180,167.57","6,253,213.81","1,032,998.53","1,441,075.43","1,485,593.61","2,600,363.80","584,858.01","2,937,354.03","5,679,583.26","11,306,851.55","2,443,901.69","6,697,208.34","10,717,387.65","18,562,258.00","3,786,617.65","8,815,418.54"
加:公允价值变动净收益,,"20,190.00","20,190.00",,,,,"15,900.00","12,000.00","28,800.00",,"-15,900.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,"1,005,276.46","995,865.44",,"5,319,000.00","5,319,000.00","5,319,000.00",,,"64,234.91","1,088,152.69",,"1,182,000.00","1,748,449.08","1,729,558.70",,"1,244,490.99","1,244,490.99","2,366,369.38",,"-504,345.64","447,165,667.76","454,803,545.39",,"-7,236,834.62","-7,236,834.62","-20,591,968.50",,"-7,767,873.04","-7,767,873.04","234,899,955.11",,"-4,046,881.36","-4,046,881.36","3,578,299.86",,"265,275.48","265,275.48","89,800,625.78",,"159,901.95","159,901.95","1,818,201.60",,"435,088.43"
四、净利润,"36,421,768.61","66,408,729.18","96,128,562.87","99,963,708.57","25,633,510.54","59,675,822.07","113,814,841.70","85,950,306.17","5,027,499.66","16,810,644.64","-5,638,936.25","-692,742,940.48","-38,244,075.62","-56,686,127.23","-122,304,716.54","-492,995,587.69","11,136,814.27","48,525,053.79","70,036,249.21","123,484,390.65","13,570,371.55","30,076,027.78","444,225,378.44","143,896,843.15","-37,467,143.29","-38,951,162.80","-38,089,840.21","-129,343,880.67","-56,150,980.15","-90,570,868.90","-156,558,884.46","49,851,106.06","-54,621,459.13","-101,683,278.34","-149,689,992.93","-222,562,850.65","-36,601,225.16","-76,007,866.21","-91,399,622.38","18,026,184.13","-40,419,361.74","-161,871,325.47","-255,779,837.43","-430,807,382.78","-45,924,738.17","-118,670,024.58"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,"-34,801.49",,,,,,,,"-10,036,825.21",,,,"-20,591,968.50",,,,"-13,321,484.39",,"-4,046,881.36","-4,046,881.36","-4,054,747.84",,"265,275.48","265,275.48","269,713.89",,"159,901.95",,"652,225.76",,
归属于母公司所有者的净利润,"16,293,789.29","31,633,463.48","43,502,254.64","29,589,797.42","11,557,350.54","20,842,093.42","40,520,803.39","7,478,837.25","-11,827,450.60","-22,512,604.06","-48,309,725.75","-695,486,084.26","-52,645,128.38","-86,838,718.54","-164,158,496.62","-511,284,915.34","-9,319,293.53","12,036,079.80","16,405,858.20","53,425,530.69","3,730,921.55","7,366,448.01","419,796,856.32","140,122,576.90","-38,142,165.11","-45,024,825.42","-49,904,491.77","-131,096,635.90","-55,519,345.16","-88,706,067.95","-152,953,572.37","32,192,613.87","-54,045,368.74","-100,726,222.66","-147,737,851.53","-220,623,191.66","-35,727,757.45","-73,623,546.95","-88,416,208.28","20,942,261.05","-39,881,464.62","-159,974,111.87","-252,911,083.79","-420,581,661.94","-44,791,928.70","-114,234,508.86"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"20,127,979.32","34,775,265.70","52,626,308.23","70,373,911.15","14,076,160.33","38,833,728.65","73,294,038.31","78,471,468.92","16,854,950.26","39,323,248.70","42,670,789.50","2,743,143.78","14,401,052.76","30,152,591.31","41,853,780.08","18,289,327.65","20,456,107.80","36,488,973.99","53,630,391.01","70,058,859.96","9,839,450.00","22,709,579.77","24,428,522.12","3,774,266.25","675,021.82","6,073,662.62","11,814,651.56","1,752,755.23","-631,634.99","-1,864,800.95","-3,605,312.09","17,658,492.19","-576,090.39","-957,055.68","-1,952,141.40","-1,939,658.99","-873,467.71","-2,384,319.26","-2,983,414.10","-2,916,076.92","-537,897.12","-1,897,213.60","-2,868,753.64","-10,225,720.84","-1,132,809.47","-4,435,515.72"
