科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"1,018,141,017.78","1,251,805,403.86","1,606,132,310.94","345,964,589.63","770,206,710.98","1,228,493,701.39","1,907,808,430.00","394,498,157.55","925,398,849.33","1,431,836,949.25","2,177,413,843.00","453,241,537.66"
取得子公司及其他营业单位支付的现金净额,"19,357,034.00","27,600,822.75",,,,,,,,,"31,835,682.09","3,374,608.37"
收到的税费返还,,,,,,,,,,,,
支付其他与投资活动有关的现金,"615,000,000.00","9,995,784,400.00","4,213,232,000.00","1,878,000,000.00","2,950,000,000.00","4,727,000,000.00","5,788,000,000.00","1,915,000,000.00","2,880,000,000.00","3,335,348,347.82","3,947,000,000.00","450,000,000.00"
收到其他与经营活动有关的现金,"43,132,741.19","117,518,335.21","27,931,703.41","2,764,451.64","8,498,997.96","12,896,379.93","20,198,176.58","14,499,049.18","25,116,752.47","30,973,908.39","61,402,545.43","5,104,955.02"
投资活动现金流出小计,"1,209,838,751.03","10,270,097,922.00","4,546,156,674.88","1,893,841,870.68","3,047,163,050.37","4,944,981,309.26","6,163,657,457.78","2,033,879,756.79","3,217,668,021.70","3,833,859,408.70","4,818,322,986.24","496,000,918.78"
经营活动现金流入小计,"1,061,273,758.97","1,369,323,739.07","1,634,064,014.35","348,729,041.27","778,705,708.94","1,241,390,081.32","1,928,006,606.58","408,997,206.73","950,515,601.80","1,462,810,857.64","2,238,816,388.43","458,346,492.68"
投资活动产生的现金流量净额,"-535,392,705.35","-1,969,347,148.92","78,103,999.87","190,306,500.26","-64,907,181.90","-430,395,796.01","-392,766,605.03","341,248,318.42","419,807,963.10","353,359,976.11","501,998,108.92","363,263,134.02"
购买商品、接受劳务支付的现金,"485,948,781.78","348,889,413.72","591,314,867.03","185,163,098.66","276,945,690.61","473,102,531.60","761,643,607.16","264,419,252.01","482,659,886.80","739,777,331.21","1,050,794,143.90","406,474,180.32"
吸收投资收到的现金,"780,603,738.65","1,575,817,508.00",,,,"494,195,200.00","494,195,200.00",,,,,
支付给职工以及为职工支付的现金,"385,808,335.14","360,244,625.76","408,113,220.77","143,545,540.87","254,178,621.45","411,139,854.23","504,575,259.89","185,942,894.71","314,258,702.32","488,272,094.52","613,653,076.83","210,150,567.00"
取得借款收到的现金,"10,257,500.00","33,420,906.37","3,000,000.00",,"3,000,000.00","8,000,000.00","8,000,000.00",,,,,
支付的各项税费,"35,207,641.34","70,479,819.11","122,684,040.20","23,958,565.24","53,120,715.08","72,385,840.09","141,722,902.22","35,394,550.59","51,814,913.36","68,712,522.15","153,034,422.79","20,884,755.49"
收到其他与筹资活动有关的现金,"5,235,434.14","76,790,895.45",,,,,,,,,,
支付其他与经营活动有关的现金,"162,473,447.61","261,027,065.06","277,878,262.18","55,451,391.46","158,885,481.87","204,930,197.81","293,493,989.33","75,852,401.88","180,825,905.98","320,838,864.20","406,647,418.24","118,636,426.72"
筹资活动现金流入小计,"796,096,672.79","1,686,029,309.82","3,000,000.00",,"3,000,000.00","502,195,200.00","502,195,200.00",,,,,
经营活动现金流出小计,"1,069,438,205.87","1,040,640,923.65","1,399,990,390.18","408,118,596.23","743,130,509.01","1,161,558,423.73","1,701,435,758.60","561,609,099.19","1,029,559,408.46","1,617,600,812.08","2,224,129,061.76","756,145,929.53"
偿还债务支付的现金,"3,470,000.00","34,469,506.37","8,128,578.02",,"3,000,000.00","3,000,000.00","3,000,000.00",,"3,000,000.00","8,000,000.00","8,000,000.00",
经营活动产生的现金流量净额,"-8,164,446.90","328,682,815.42","234,073,624.17","-59,389,554.96","35,575,199.93","79,831,657.59","226,570,847.98","-152,611,892.46","-79,043,806.66","-154,789,954.44","14,687,326.67","-297,799,436.85"
分配股利、利润或偿还利息支付的现金,"298,159.62","770,341.45","88,143,090.38","112,049,794.85","112,133,306.98","112,526,269.75","112,526,269.75","113,100.00","119,753,211.10","202,051,176.25","202,070,553.21",
收回投资收到的现金,,"362,619.35",,,,,,,,,"9,969,899.20",
支付其他与筹资活动有关的现金,"56,158,154.55",,,,,"13,320,773.58","14,120,020.00",,,,"278,091,395.65","7,500,000.00"
取得投资收益收到的现金,"487,969.87","46,461,192.48","76,407,362.91","16,625,366.04","23,674,681.75","46,696,920.08","57,242,937.15","41,344,914.32","55,672,823.91","60,397,123.92","71,134,197.51","1,264,052.80"
筹资活动现金流出小计,"59,926,314.17","35,239,847.82","96,271,668.40","112,049,794.85","115,133,306.98","128,847,043.33","129,646,289.75","113,100.00","122,753,211.10","210,051,176.25","488,161,948.86","7,500,000.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"19,141,280.85","82,216,961.25","40,261,745.17","12,725.44","12,725.44","12,725.44","2,455,031.86","5,420.09","25,420.09","44,520.09","1,466,518.45",
筹资活动产生的现金流量净额,"736,170,358.62","1,650,789,462.00","-93,271,668.40","-112,049,794.85","-112,133,306.98","373,348,156.67","372,548,910.25","-113,100.00","-122,753,211.10","-210,051,176.25","-488,161,948.86","-7,500,000.00"
处置子公司及其他营业单位收到的现金净额,"5,005,963.74",,,,,,,,,,,
四、汇率变动对现金的影响,"43,433.13","-1,962,505.66","13,132,580.02","-2,147,214.96","-4,893,660.79","-6,188,101.62","-8,351,375.06","-7,782,560.19","5,770,051.60","22,333,705.85","15,698,951.57","-11,132,773.50"
收到其他与投资活动有关的现金,"649,810,831.22","8,171,710,000.00","4,507,591,566.67","2,067,510,279.46","2,958,568,461.28","4,467,875,867.73","5,711,192,883.74","2,333,777,740.80","3,581,777,740.80","4,126,777,740.80","5,237,750,480.00","858,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"674,446,045.68","8,300,750,773.08","4,624,260,674.75","2,084,148,370.94","2,982,255,868.47","4,514,585,513.25","5,770,890,852.75","2,375,128,075.21","3,637,475,984.80","4,187,219,384.81","5,320,321,095.16","859,264,052.80"
五、现金及现金等价物净增加额,"192,656,639.50","8,162,622.84","232,038,535.66","16,719,935.49","-146,358,949.74","16,595,916.63","198,001,778.14","180,740,765.77","223,780,996.94","10,852,551.27","44,222,438.30","46,830,923.67"
购建固定资产、无形资产和其他长期资产支付的现金,"556,254,074.26","177,260,644.25","246,006,834.88","15,841,870.68","88,743,900.90","142,688,325.26","291,329,745.86","111,879,756.79","318,929,240.43","458,389,028.87","678,125,949.39","38,616,310.41"
期初现金及现金等价物余额,"315,590,626.48","508,247,265.98","516,409,888.82","748,448,424.48","748,448,424.48","748,643,124.48","748,448,424.48","946,450,202.62","946,450,202.62","946,450,202.62","946,450,202.62","990,672,640.92"
投资支付的现金,"19,227,642.77","69,452,055.00","86,917,840.00",,"8,419,149.47","75,292,984.00","84,327,711.92","7,000,000.00","18,738,781.27","40,122,032.01","161,361,354.76","4,010,000.00"
期末现金及现金等价物余额,"508,247,265.98","516,409,888.82","748,448,424.48","765,168,359.97","602,089,474.74","765,239,041.11","946,450,202.62","1,127,190,968.39","1,170,231,199.56","957,302,753.89","990,672,640.92","1,037,503,564.59"
