科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"14,533,181.11","27,894,644.90","68,537,153.53","41,921,000.30","45,697,945.08","969,080,214.24","944,820,932.36","905,723,670.93","796,645,922.57","773,165,630.03","672,881,080.30","603,635,931.69","572,596,455.63","615,147,685.30","579,292,926.30","540,063,185.20","443,816,532.41","418,020,507.13","504,001,672.18","497,593,401.64","449,165,460.99","616,184,555.38","423,891,766.93","303,347,696.97","403,204,700.69","2,241,663,874.61","1,679,598,238.55","1,489,514,265.12","1,821,366,574.45","1,530,238,449.15","1,037,556,493.80","1,047,498,119.30","1,003,605,458.88","1,665,522,595.13","1,227,492,573.38","1,512,568,491.65","1,362,576,392.93","2,186,692,502.95","1,768,707,911.07"
短期借款,,"20,000,000.00","18,000,000.00",,,,,,,,,,,,,,,,"25,040,000.00","113,368,000.00","188,358,000.00","189,970,000.00","150,000,000.00","290,000,000.00","625,000,000.00","639,790,000.00","809,790,000.00","759,790,000.00","795,000,000.00","845,000,000.00","945,000,000.00","935,000,000.00","820,000,000.00","930,000,000.00","1,070,000,000.00","1,300,000,000.00","1,880,000,000.00","1,920,000,000.00","1,660,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,"1,770,246.30","1,899,292.40","2,208,228.00","5,052,267.20","5,062,157.00","4,247,977.20","2,312,340.60","3,227,076.60","2,898,671.00","2,632,723.80","2,680,617.06","2,689,001.20","2,733,480.00","2,863,141.53","3,140,986.82",,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,"87,422,788.33","87,422,788.33","87,422,788.33","66,960,164.58","49,471,520.84","49,471,520.84","50,471,520.84","47,999,520.84","47,346,418.27","47,346,418.27","41,082,418.27","23,346,418.27","24,035,737.47","24,035,737.47","24,035,737.47","24,035,737.47","24,244,170.63","24,244,170.63"
应收票据,,"714,443.83",,"991,583.00","268,555.50",,,"1,000,000.00","680,000.00","3,543,398.00",,"382,000.00","5,900,000.00","15,696,890.27","16,152,374.53","35,341,694.07","24,050,156.03","10,686,345.40","28,433,914.90","31,442,210.84","42,450,973.00","32,174,078.66","48,968,035.21","14,455,000.00","13,673,373.00","8,803,930.09","68,348,646.38","38,105,286.96","11,616,618.81","49,419,423.86","27,216,436.31","37,637,858.28","54,299,805.20","19,247,205.20","46,021,005.20","112,028,188.90","111,394,640.00","75,709,900.00","140,766,900.00"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42,000,000.00",,,,"93,000,000.00",
应收账款,"14,333,381.50","23,997,494.33","48,771,206.77","70,588,093.12","60,364,826.31","36,636,664.07","73,918,915.15","98,571,319.80","128,562,117.54","140,721,537.96","176,391,749.69","252,496,276.24","245,798,149.85","334,467,328.88","370,642,085.59","509,545,772.33","534,244,410.89","528,328,419.56","802,270,217.93","946,415,016.37","980,380,160.41","1,138,365,095.38","1,126,039,017.67","1,352,633,524.96","1,408,738,536.00","1,946,448,461.34","1,958,598,046.39","2,360,183,198.44","2,153,180,322.09","2,874,244,273.16","3,041,433,492.25","3,235,428,592.89","3,027,063,597.31","4,024,869,079.00","4,108,809,193.45","4,228,046,095.79","4,416,219,124.96","4,248,267,150.81","3,960,599,795.45"
应付账款,"20,840,385.79","1,930,771.03","4,295,176.30","5,404,775.93","17,946,716.14","4,166,596.59","3,648,084.11","7,481,504.42","10,744,290.92","28,649,284.00","28,121,213.57","53,040,246.37","56,254,487.16","97,027,734.29","127,321,839.53","203,714,381.53","198,291,315.90","134,745,406.25","241,055,722.93","291,364,334.48","239,720,135.21","377,611,145.29","344,341,133.59","324,882,120.05","400,560,354.02","564,694,454.12","509,732,543.92","726,909,191.25","711,115,309.89","939,433,383.47","1,079,556,599.62","1,043,978,123.14","941,309,539.59","1,383,564,855.06","1,316,804,181.54","1,463,217,030.16",,"1,860,514,056.34",
预付款项,"180,000.00","26,589,415.67","68,566,502.51","96,853,764.12","127,362,400.91","95,685,817.16","106,618,561.11","183,661,943.31","222,351,538.32","229,351,208.85","272,132,206.64","263,047,111.65","247,067,382.39","243,597,287.13","328,098,766.06","350,811,765.90","419,673,462.77","251,608,056.92","472,557,763.62","349,330,360.79","248,527,314.15","177,222,945.31","243,056,648.82","370,023,602.21","319,559,313.31","284,984,639.66","368,980,508.66","529,748,251.05","610,306,414.62","512,703,188.10","675,431,542.92","534,051,531.87","666,214,536.98","443,307,431.63","670,351,030.58","663,011,180.75","838,499,658.81","526,236,042.94","564,129,344.28"
预收款项,"10,902,900.00","18,348,102.92","29,895,889.42","17,983,021.43","14,221,506.92","8,892,418.60","18,572,770.40","47,965,875.22","40,191,365.07","36,186,946.91","24,023,886.85","15,860,794.84","27,561,760.99","17,403,949.77","33,426,472.36","110,012,806.56","88,042,358.73","55,526,689.22","114,090,324.87","172,258,453.94","161,546,506.69","167,279,136.92","173,835,136.67","248,981,426.09","414,730,637.88","226,040,268.30","598,018,313.81","546,704,305.47","601,914,692.25","266,144,788.79","602,247,568.97","620,940,428.45","1,569,704,557.44","1,520,520,524.58","1,704,485,498.34","1,393,249,015.07","1,383,078,016.02","873,854,738.11","903,681,024.43"
