科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-12-31,2014-03-31,2015-12-31
货币资金,"3,254,767.93","3,031,167.39","2,297,025.73","2,020,315.06","1,564,532.47","948,142.89","1,171,232.70","1,503,537.44","1,675,713.36","1,888,662.88","2,004,936.91","4,588,793.08","2,709,218.01","1,416,155.49","1,828,499.66","1,712,210.90","1,350,648.85","2,187,561.98","2,358,642.66","2,892,646.46","3,384,214.16","3,555,865.15","2,230,724.90","2,269,852.85","1,444,463.15","1,589,048.64","14,646,159.14"
短期借款,"166,912,345.01","166,912,345.01","166,912,345.01","163,072,345.01","163,072,345.01","163,072,345.01","163,072,345.01","161,565,130.01","161,565,130.01","161,565,130.01","161,565,130.01","111,415,130.01","111,415,130.01","111,415,130.01","111,415,130.01","31,517,345.01","31,517,345.01","31,517,345.01","31,517,345.01","31,517,345.01","31,517,345.01","31,517,345.01","31,517,345.01","31,517,345.01","31,517,345.01","31,517,345.01","4,900,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,"9,472,106.80","9,472,106.80","9,472,106.80","9,472,106.80",,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"28,285,495.96","22,519,024.42","22,600,661.55","14,094,238.77","12,647,674.77","13,867,336.77","12,643,353.22","11,347,102.72","10,781,026.42","10,653,063.62","11,011,922.86","10,659,892.51","10,626,674.21","10,979,310.65","10,669,493.19","10,623,246.14","10,155,363.11","12,590,839.71","11,192,440.03","11,104,577.86","10,133,735.42","10,913,236.66","11,676,875.06","2,770,775.60","8,993,512.71","8,680,379.21","6,077,675.63"
应付账款,"10,417,750.98","12,653,703.43","12,385,640.71","11,701,212.94","11,554,336.66","11,633,921.50","8,964,770.04","9,058,846.26","9,689,748.26","8,788,056.24","8,378,058.84","8,767,251.00","9,255,507.44","8,787,769.17","8,603,017.13","10,139,888.04","10,543,164.02","11,211,031.78","40,048,465.32","9,066,479.54","8,157,603.81","8,236,413.13","8,641,488.68","8,427,773.97","8,353,518.75","7,889,216.01","25,785,922.28"
预付款项,"4,016,276.55","5,178,100.91","5,658,709.03","1,393,750.40","1,292,070.12","1,439,230.26","44,910.00","1,229,635.55","1,506,937.93","1,969,461.20","1,746,536.33","2,068,949.74","6,956,977.45","2,423,811.90","2,949,240.27","4,233,014.01","3,968,436.39","4,352,323.82","3,645,341.84","3,688,716.45","3,571,412.07","3,720,209.17","3,941,725.11","4,387,267.07","3,735,555.29","3,852,499.46","7,426,496.96"
预收款项,"68,118,668.84","72,690,385.33","77,188,631.28","4,052,663.82","87,512,490.67","93,481,533.77","96,999,184.84","102,124,096.41","107,124,583.27","3,850,765.02","117,136,114.67","86,170,772.88","91,362,550.43","94,172,737.96","3,957,395.93","3,207,695.38","3,396,479.78","33,092,989.14","3,576,052.18","3,693,616.47","3,615,077.30","3,756,732.90","3,736,848.07","38,577,359.59","37,472,217.52","37,482,939.34","40,017,164.51"
其他应收款,"23,895,268.06","26,475,022.06","28,423,281.56","19,197,408.84","20,157,464.80","21,951,981.04","21,454,914.22","23,582,961.69","23,937,458.76","22,954,791.33","22,018,618.94","24,210,234.47","25,655,064.71","26,437,596.11","29,821,782.96","17,605,139.69","15,305,376.09","16,558,271.20","18,394,969.40","17,715,461.89","18,051,857.20","19,387,039.12","20,835,249.75","31,535,343.51","22,020,299.47","22,318,631.47","6,951,918.00"
