科目,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"163,659,482.31","83,613,459.22","130,801,531.09","196,399,836.92","40,654,121.39","69,617,079.75","115,702,728.94","179,044,973.37","59,219,112.32","126,784,452.09","216,390,849.46","327,639,492.73","105,774,267.58","199,618,074.96","323,273,804.31","447,401,181.22","108,356,053.43","227,409,836.44","377,738,459.09","583,713,027.27","123,408,399.13","236,784,542.13","370,921,184.53","589,481,332.57","152,878,095.82","349,555,152.82","633,163,854.26","942,508,545.87","215,259,562.82","474,517,789.24","708,563,779.31","1,172,505,172.97","329,225,451.97","647,000,324.73","1,063,631,876.87","1,685,405,605.54","509,898,158.51","1,022,613,522.43","1,554,284,535.32","2,027,637,464.13","516,099,086.71","934,274,787.94"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,"10,139,094.81",,,,,,,,,,,,,,"93,133,537.27","93,133,537.27","93,133,537.27",,,,,,,,,,,,"50,000.00",,
收到的税费返还,,,,,,,,"1,830,762.22",,,,"36,697.00",,"42,465.76","42,465.76","11,062,856.45","6,552,811.82","13,776,922.57","24,933,835.69","32,803,221.76","5,238,718.88","8,336,284.56","11,359,149.37","13,807,212.81","4,113,803.41","10,740,522.89","17,782,050.18","22,179,161.86","4,179,706.19","7,224,052.99","13,585,364.12","15,053,077.19","733,816.20","1,772,247.75","6,942,532.80","15,853,149.61","11,575,965.04","16,735,916.44","22,137,251.32","42,777,741.44","18,908,127.11","33,676,555.52"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,000,000.00","3,000,000.00","8,000,000.00","718,077,635.42","983,056,558.42","137,143,089.16","469,036,689.16","725,376,489.16","691,878,907.08","3,500,000.00","40,000,000.00","49,400,000.00","719,200,000.00","250,000,000.00","371,780,734.60"
收到其他与经营活动有关的现金,"7,032,993.80","2,733,095.91","3,952,943.24","6,272,161.80","6,481,883.52","11,259,665.30","12,913,700.24","7,419,860.95","1,371,679.28","3,559,223.22","6,322,468.24","7,725,084.15","3,073,895.23","7,083,189.60","10,730,716.91","8,012,304.00","4,448,149.65","6,948,545.66","23,085,114.99","23,026,646.21","5,540,769.87","8,671,483.27","14,039,441.37","21,236,737.24","5,147,473.07","24,536,233.10","34,514,778.49","17,395,508.42","5,441,502.92","3,562,436.06","8,643,691.93","50,673,301.05","4,354,461.83","19,824,345.42","27,392,973.49","42,012,542.92","5,411,640.02","12,639,408.70","20,123,956.85","81,695,982.32","10,269,885.80","148,869,576.66"
投资活动现金流出小计,"43,458,572.73","21,567,878.58","24,943,092.99","10,923,735.19","6,406,284.32","27,661,914.33","34,448,613.57","32,779,165.81","16,443,316.84","56,744,755.03","105,419,715.37","107,409,082.75","14,269,157.00","71,630,146.67","99,819,075.69","177,890,950.93","16,189,354.73","100,403,045.61","218,792,076.04","241,885,749.32","25,512,477.68","61,727,286.79","129,203,408.15","175,039,236.22","45,808,228.37","235,258,441.58","291,596,751.98","503,505,235.40","38,968,695.80","101,024,788.00","835,787,286.36","1,293,350,380.14","199,145,292.23","623,128,330.34","997,306,621.82","1,203,612,127.01","267,483,167.27","408,150,766.19","522,508,304.23","1,494,705,692.71","393,525,266.33","674,980,239.24"
经营活动现金流入小计,"170,692,476.11","86,346,555.13","134,754,474.33","202,671,998.72","47,136,004.91","80,876,745.05","128,616,429.18","188,295,596.54","60,590,791.60","130,343,675.31","222,713,317.70","335,401,273.88","108,848,162.81","206,743,730.32","334,046,986.98","466,476,341.67","119,357,014.90","248,135,304.67","425,757,409.77","639,542,895.24","134,187,887.88","253,792,309.96","396,319,775.27","624,525,282.62","162,139,372.30","384,831,908.81","685,460,682.93","982,083,216.15","224,880,771.93","485,304,278.29","730,792,835.36","1,238,231,551.21","334,313,730.00","668,596,917.90","1,097,967,383.16","1,743,271,298.07","526,885,763.57","1,051,988,847.57","1,596,545,743.49","2,152,111,187.89","545,277,099.62","1,116,820,920.12"
投资活动产生的现金流量净额,"-43,458,572.73","-21,523,878.58","-24,899,092.99","-10,510,047.19","-6,406,284.32","-27,471,314.33","-34,258,013.57","-27,543,916.42","-12,493,316.84","-52,794,755.03","-101,192,715.37","-103,070,777.76","-10,519,157.00","-67,822,146.67","-95,511,075.69","-172,263,960.55","-15,659,354.73","-99,903,045.61","-218,292,076.04","-241,355,749.32","-24,712,477.68","-60,927,286.79","-128,397,408.15","-166,433,236.22","-42,258,228.37","-231,505,784.80","-285,400,441.52","-488,998,388.18","-33,813,634.33","-87,876,170.40","-656,044,757.02","-858,920,341.51","-95,365,575.14","-140,032,950.18","-203,969,189.57","-331,761,313.49","-130,473,058.87","-79,392,171.26","-49,183,212.59","-835,318,258.98","16,399,868.31","105,017,722.21"
购买商品、接受劳务支付的现金,"58,475,288.00","35,019,158.52","50,981,839.44","89,609,741.64","16,551,438.18","33,336,145.36","44,564,018.10","75,449,545.35","25,035,616.64","56,750,734.49","102,472,648.25","180,374,084.60","55,103,524.33","97,803,848.46","178,482,036.80","205,356,510.12","68,993,726.75","128,256,214.53","192,037,427.21","280,356,795.05","67,518,042.64","129,494,163.68","216,635,042.20","333,904,574.41","98,651,768.70","214,747,577.09","427,938,178.28","559,732,209.23","131,155,761.17","280,806,762.28","391,176,798.02","671,294,274.81","205,352,831.78","380,467,900.12","624,339,076.19","955,117,736.66","269,662,662.68","547,961,146.69","846,687,203.18","1,125,353,606.53","319,613,478.35","644,794,860.33"
吸收投资收到的现金,,,"242,843,000.00","235,161,500.00",,"4,088,447.41","4,080,000.00","4,080,000.00",,,,815.11,"52,505,600.00","52,505,600.00","56,805,600.00","366,790,600.00",,,,,"5,811,200.00","5,811,200.00","5,811,200.00","5,811,200.00",,"77,033,296.80","77,033,296.80","77,033,296.80",,,"1,200,462,493.28","1,197,371,223.65",,,"2,400,000.00","100,960,000.00",,,,"45,471,600.00",,
支付给职工以及为职工支付的现金,"25,718,513.87","17,903,261.66","25,640,534.21","34,859,561.59","10,098,432.85","16,324,643.44","23,403,546.58","29,963,102.44","12,069,811.18","20,871,210.11","29,741,061.39","45,581,967.71","17,903,515.35","39,486,138.80","57,119,361.02","74,273,672.33","25,922,189.46","47,212,319.79","74,625,912.67","99,988,793.20","34,684,139.31","60,302,188.60","90,642,641.70","123,504,520.22","41,890,930.37","100,778,869.95","142,145,616.37","167,708,092.68","50,239,417.96","95,058,628.73","145,525,682.91","197,487,496.20","70,456,488.04","127,474,318.90","187,999,323.18","257,742,009.59","98,749,235.43","176,346,887.96","253,932,540.25","366,112,259.57","117,885,232.87","220,056,940.56"
取得借款收到的现金,"55,000,000.00","5,000,000.00","50,000,000.00",,,,,,,,,"3,000,000.00",,,,,,"3,000,000.00","3,600,000.00","6,600,000.00",,,,,,"20,000,000.00","41,680,000.00","180,000,000.00","50,000,000.00","140,000,000.00","240,000,000.00","240,000,000.00",,,"100,000,000.00","100,000,000.00","50,000,000.00","80,000,000.00","150,000,000.00","210,000,000.00",,"42,942,057.06"
