科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2015-12-31
货币资金,"53,111.97","40,096.21","66,244.52","42,172.26","44,533.24","41,522.24","71,427.36","44,550.16","61,330.51","62,311.91","87,780.12","59,643.12","64,780.34","69,797.84","49,199.78","63,199.78","48,921.79","47,342.29","93,918.88","93,918.88","102,106.04","92,043.44","71,798.99","61,739.05","69,439.05","67,035.19","65,808.79","77,563.39","156,412.94"
短期借款,"148,813,000.00","148,813,000.00","148,813,000.00","148,813,000.00","148,813,000.00","148,813,000.00","148,813,000.00","148,813,000.00","148,813,000.00","148,813,000.00","148,813,000.00","148,813,000.00","148,813,000.00","148,813,000.00","148,813,000.00","148,813,000.00","148,813,000.00","148,813,000.00","148,813,000.00","148,813,000.00","148,813,000.00","148,813,000.00","148,813,000.00","148,813,000.00","148,813,000.00","148,813,000.00","148,813,000.00","148,813,000.00","148,813,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付账款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预付款项,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预收款项,"178,161,350.74","184,934,585.76","191,835,734.93",,,"7,164,581.59","14,602,543.62",,,,,,,,,,,,,,,,,,,,,,
其他应收款,"4,999,086.42","4,999,086.42","4,755,588.72","4,949,086.42","4,949,086.42","4,949,086.42","4,949,086.42","4,949,086.42","4,949,086.42","4,949,086.42","4,949,086.42","4,949,086.42","4,949,086.42","4,949,086.42","4,949,086.42","5,288,110.67","5,288,110.67","5,288,110.67","5,216,610.67","5,216,610.67","5,216,610.67","5,216,610.67","5,216,610.67","5,216,610.67","5,216,610.67","5,216,610.67","5,216,610.67","5,188,110.67","5,047,110.67"
应付职工薪酬,"303,524.90","303,670.90","303,678.90","60,809.34","48,744.34","48,744.34","42,226.34","60,809.34","51,150.34","47,097.34","40,579.34","60,809.34","60,809.34","60,809.34","60,809.34","60,809.34","60,809.34","60,809.34","60,809.34","60,809.34","60,809.34","60,809.34","60,809.34","60,809.34","60,809.34","60,809.34","60,809.34","60,809.34","60,809.34"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"2,097,850.35","2,097,850.35","2,097,850.35","2,097,850.35","2,097,850.35","2,097,850.35","2,097,850.35","2,097,850.35","2,097,850.35","2,097,850.35","2,097,850.35","2,097,850.35","2,097,850.35","2,097,850.35","2,097,850.35","2,097,850.35","2,097,850.35","2,097,850.35","2,097,850.35","2,097,850.35","2,097,850.35","2,097,850.35","2,097,850.35","2,097,850.35","2,097,850.35","2,097,850.35","2,097,850.35","2,097,850.35","2,097,850.35"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他应付款,"148,033,767.58","148,071,688.16","147,833,540.68","341,370,729.24","348,595,310.83","348,595,310.83","348,695,310.83","366,039,842.15","373,811,616.06","381,719,331.49","389,866,317.23","397,956,097.70","406,378,397.00","414,887,987.75","423,674,579.54","420,338,514.21","429,412,484.96","438,581,536.82","447,993,316.76","455,727,272.62","465,493,364.10","475,373,163.61","495,598,797.23","506,117,202.21","516,763,024.49","527,679,485.82","536,803,213.96","548,131,901.27","637,199,052.74"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动负债,"124,436,308.20","124,436,308.20","124,436,308.20",,"124,436,308.20",,"124,436,308.20",,"124,436,308.20",,"124,436,308.20",,,,,,,,,,,,,,,,,,
流动资产合计,"5,052,198.39","5,039,182.63","4,821,833.24","4,991,258.68","4,993,619.66","4,990,608.66","5,020,513.78","4,993,636.58","5,010,416.93","5,011,398.33","5,036,866.54","5,008,729.54","5,013,866.76","5,018,884.26","4,998,286.20","5,351,310.45","5,337,032.46","5,335,452.96","5,310,529.55","5,310,529.55","5,318,716.71","5,308,654.11","5,288,409.66","5,278,349.72","5,286,049.72","5,283,645.86","5,282,419.46","5,265,674.06","5,203,523.61"
流动负债合计,"601,845,801.77","608,657,103.37","615,320,113.06","492,342,388.93","623,991,213.72","506,719,487.11","638,687,239.34","517,011,501.84","649,209,924.95","532,677,279.18","665,254,055.12","548,927,757.39","557,350,056.69","565,859,647.44","574,646,239.23","571,310,173.90","580,384,144.65","589,553,196.51","598,964,976.45","606,698,932.31","616,465,023.79","626,344,823.30","646,570,456.92","657,088,861.90","667,734,684.18","678,651,145.51","687,774,873.65","699,103,560.96","788,170,712.43"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,"14,497,235.21","14,497,235.21","14,497,235.21","14,497,235.21","14,497,235.21","14,497,235.21","14,497,235.21","14,497,235.21","14,497,235.21","14,497,235.21","14,497,235.21","14,497,235.21","14,497,235.21","14,497,235.21","14,497,235.21","14,497,235.21","14,497,235.21","14,497,235.21","14,497,235.21","14,497,235.21","14,497,235.21","14,497,235.21","14,497,235.21","14,497,235.21","14,497,235.21","14,497,235.21","14,497,235.21","14,497,235.21","14,497,235.21"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,"124,436,308.20",,"124,436,308.20",,"124,436,308.20",,"124,436,308.20",,"124,436,308.20","124,436,308.20","124,436,308.20","124,436,308.20","124,436,308.20","124,436,308.20","124,436,308.20","124,436,308.20","124,436,308.20","124,436,308.20","124,436,308.20","124,436,308.20","124,436,308.20","124,436,308.20","124,436,308.20","124,436,308.20","124,436,308.20","124,436,308.20"
固定资产,"4,620,024.69","4,248,382.83","3,874,050.09","3,507,465.69","3,138,785.04","2,770,104.39","2,401,407.61","2,034,388.66","1,667,299.25","1,300,641.58","985,051.28","631,318.10","277,545.92","277,555.92","277,555.92","1,774,497.15","1,774,497.15","1,774,497.15","1,774,497.15","1,774,497.15","1,774,497.15","1,774,497.15","1,774,497.15","1,774,497.15","1,774,497.15","1,774,497.15","1,774,497.15","1,774,497.15","1,774,497.15"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,,,,"124,436,308.20",,"124,436,308.20",,"124,436,308.20",,"124,436,308.20",,"124,436,308.20","124,436,308.20","124,436,308.20","124,436,308.20","124,436,308.20","124,436,308.20","124,436,308.20","124,436,308.20","124,436,308.20","124,436,308.20","124,436,308.20","124,436,308.20","124,436,308.20","124,436,308.20","124,436,308.20","124,436,308.20","124,436,308.20","124,436,308.20"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"601,845,801.77","608,657,103.37","615,320,113.06","616,778,697.13","623,991,213.72","631,155,795.31","638,687,239.34","641,447,810.04","649,209,924.95","657,113,587.38","665,254,055.12","673,364,065.59","681,786,364.89","690,295,955.64","699,082,547.43","695,746,482.10","704,820,452.85","713,989,504.71","723,401,284.65","731,135,240.51","740,901,331.99","750,781,131.50","771,006,765.12","781,525,170.10","792,170,992.38","803,087,453.71","812,211,181.85","823,539,869.16","912,607,020.63"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"111,280,000.00","111,280,000.00","111,280,000.00","111,280,000.00","111,280,000.00","111,280,000.00","111,280,000.00","111,280,000.00","111,280,000.00","111,280,000.00","111,280,000.00","111,280,000.00","111,280,000.00","111,280,000.00","111,280,000.00","111,280,000.00","111,280,000.00","111,280,000.00","111,280,000.00","111,280,000.00","111,280,000.00","111,280,000.00","111,280,000.00","111,280,000.00","111,280,000.00","111,280,000.00","111,280,000.00","111,280,000.00","111,280,000.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"124,102,301.52","124,102,301.52","124,102,301.52","124,102,301.52","124,102,301.52","124,102,301.52","124,102,301.52","124,102,301.52","124,102,301.52","124,102,301.52","124,102,301.52","124,102,301.52","124,102,301.52","124,102,301.52","124,102,301.52","124,102,301.52","124,102,301.52","124,102,301.52","124,102,301.52","124,102,301.52","124,102,301.52","124,102,301.52","124,102,301.52","124,102,301.52","124,102,301.52","124,102,301.52","124,102,301.52","124,102,301.52","124,102,301.52"
无形资产,"3,097,400.00","3,028,400.00","2,959,400.00","2,890,400.00","2,821,400.00","2,752,400.00","2,683,400.00","2,614,400.00","2,545,400.00","2,476,400.00","2,407,400.00","2,338,400.00","2,269,400.00","2,200,400.00","2,131,400.00",,,,,,,,,,,,,,
盈余公积,"12,035,243.16","12,035,243.16","12,035,243.16","12,035,243.16","12,035,243.16","12,035,243.16","12,035,243.16","12,035,243.16","12,035,243.16","12,035,243.16","12,035,243.16","12,035,243.16","12,035,243.16","12,035,243.16","12,035,243.16","12,035,243.16","12,035,243.16","12,035,243.16","12,035,243.16","12,035,243.16","12,035,243.16","12,035,243.16","12,035,243.16","12,035,243.16","12,035,243.16","12,035,243.16","12,035,243.16","12,035,243.16","12,035,243.16"
开发支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
