科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"202,548,145.07","222,842,077.97","230,621,146.52",,"541,115,244.33","524,111,325.57","559,440,531.30","494,138,661.70","551,375,471.71","518,714,448.45","589,810,985.92","586,391,053.87","561,008,121.39","529,188,093.83"
短期借款,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,
应付票据,,"9,200.00",,,,,,,,,,,,
应收账款,"45,290,632.94","46,678,073.94","58,618,899.78",,"104,078,563.51","90,029,273.32","84,691,226.45","101,207,915.03","123,595,365.62","140,172,119.27","122,452,752.91","151,866,310.39","158,821,673.55","194,599,771.54"
应付账款,"10,703,795.20","2,733,550.00","816,914.03",,"771,797.23","1,241,799.09","666,340.23","1,752,464.16","2,074,303.48","172,840.23","591,440.23","1,673,640.23","172,840.23","934,640.23"
预付款项,"1,979,809.48","2,613,828.61","2,953,841.67",,"638,584.47","4,933,338.16","4,431,780.72","646,620.41","1,106,100.53","531,921.35","1,119,100.40","904,946.31","1,372,744.56","20,127,307.62"
预收款项,"9,879,764.34","5,720,794.97","2,463,361.43",,"2,152,728.89","3,620,095.00","3,891,981.04","5,681,427.18","2,207,278.80","1,849,448.16","1,151,777.04","795,244.95","927,519.00","3,370,050.35"
其他应收款,"1,206,543.53","1,013,439.12","1,527,824.38",,"1,558,099.91","1,670,778.04","1,935,258.65","2,117,009.50","1,879,945.17","2,547,644.39","2,746,174.13","4,119,093.30","3,581,945.88","3,677,192.93"
应付职工薪酬,"27,769,899.83","30,167,439.10","33,166,401.71",,"22,001,412.44","24,810,809.20","34,091,993.60","19,452,607.44","23,639,131.53","28,962,112.01","42,368,443.99","24,567,696.85","29,776,464.12","36,187,146.63"
应收关联公司款,,,,,,,,,,,,,,
应交税费,"4,870,819.08","1,253,936.78","5,395,739.15",,"5,098,811.00","3,275,876.67","3,512,247.01","3,346,980.48","5,608,267.42","6,255,794.84","4,582,845.88","3,637,638.74","4,386,014.36","7,646,127.90"
应收利息,,,,,,,,,,,"1,201,687.50","757,818.75","1,021,068.75","751,685.42"
应付利息,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,
应付股利,,,,,,,,,"10,214,850.00","588,225.00","585,435.00","585,435.00","1,504,638.10","1,504,638.10"
存货,"4,171,769.03","4,215,383.11","4,270,350.96",,"20,371,395.88","22,020,238.62","4,529,963.50","18,466,694.36","20,549,356.37","19,068,064.72","4,755,000.39","5,812,006.27","12,233,820.18","21,795,573.22"
其他应付款,"344,964.93","52,410.62","44,888.41",,"4,038,722.52","1,014,500.00","365,971.82","9,401,908.14","99,772,360.00","99,862,811.00","99,393,611.00","142,853,898.32","111,821,115.73","112,398,268.86"
其中:消耗性生物资产,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,
其他流动资产,"398,584.92","360,601.72",,,"996,808.16","561,574.39","341,004.75","1,306,548.67","686,187.60","1,409,114.60","1,079,895.26","1,968,352.32","2,183,735.73","2,017,536.89"
其他流动负债,,,,,,,,,,,,,,
