科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"180,968,228.94","228,932,533.07","215,023,711.95","112,340,348.99","167,504,282.20","234,791,210.86","47,606,728.33","103,138,184.06","160,586,689.58","217,110,072.42","73,568,701.33","160,063,992.10","226,025,468.30","289,433,401.47","71,493,548.65","179,063,962.98","229,093,305.70","307,645,656.22","73,480,821.77","148,463,839.72","191,975,953.16","246,427,910.12","44,804,152.01","107,848,292.14","143,831,222.35","192,381,813.58","44,005,856.84","91,209,095.66","118,551,246.69","154,646,388.50","42,752,467.70","86,151,022.25"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,"1,089,432.75","504,103.80","205,271.56","663,142.99","635,160.66","122,946.20","122,946.20","315,946.20","122,996.20",256.00,"1,487.39","34,162.39",,,"1,199,949.91","1,247,202.84","1,251,763.01","26,450.25","32,398.14","222,906.28","664,666.96","2,075,746.77","3,624,409.83","3,881,619.84","3,810,298.16","878,276.57","878,276.57","878,276.57","878,276.57",,
支付其他与投资活动有关的现金,,"13,980,000.00","17,849,132.88",,,,,"3,009,200.00","3,009,200.00","3,009,200.00",,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"33,698,300.77","2,990,196.31","5,164,666.88","884,740.35","4,200,272.49","3,139,983.48","1,961,485.49","2,293,624.41","2,958,774.36","3,796,390.88","429,880.19","1,021,201.72","1,984,418.80","2,511,349.03","1,522,700.46","2,377,367.60","2,888,315.78","3,238,579.20","736,728.52","1,223,576.22","1,610,983.59","1,214,633.65","19,977,635.43","943,303.31","3,177,827.45","1,724,003.32","3,640,219.05","1,396,371.30","4,115,884.27","1,814,516.24","481,196.95","936,792.27"
投资活动现金流出小计,"91,176,489.00","157,164,637.68","95,421,856.81","9,280,052.28","12,485,702.28","18,215,929.95","21,965,723.99","32,301,352.00","38,206,446.87","44,077,818.31","13,080,249.00","21,251,999.00","37,881,593.00","36,367,217.92","22,452,238.23","7,927,383.77","30,366,168.23","23,792,208.47","2,227,926.75","2,342,194.75","3,425,934.75","1,553,241.20","383,947.74","14,157,583.22","14,517,161.22","21,186,066.42","1,707,266.00","6,512,911.56","38,526,409.26","40,158,895.20","31,702,629.00","63,122,824.02"
经营活动现金流入小计,"214,666,529.71","233,012,162.13","220,692,482.63","113,430,360.90","172,367,697.68","238,566,355.00","49,691,160.02","105,554,754.67","163,861,410.14","221,029,459.50","73,998,837.52","161,086,681.21","228,044,049.49","291,944,750.50","73,016,249.11","182,641,280.49","233,228,824.32","312,135,998.43","74,244,000.54","149,719,814.08","193,809,843.03","248,307,210.73","66,857,534.21","112,416,005.28","150,890,669.64","197,916,115.06","48,524,352.46","93,483,743.53","123,545,407.53","157,339,181.31","43,233,664.65","87,087,814.52"
投资活动产生的现金流量净额,"-86,439,234.15","-126,549,410.86","-76,917,971.81","-6,195,227.28","-9,400,877.28","-13,431,104.95","-21,965,723.99","-32,301,352.00","-38,151,446.87","-44,004,518.10","-3,000,470.92","-11,152,080.92","-8,907,674.92","-16,472,721.04","-22,342,870.23","-7,803,158.77","-30,088,058.04","-22,415,901.47","-2,224,576.75","-2,322,644.75","-3,406,384.75","60,271,880.19","59,801,052.26","-13,942,583.22","-14,302,161.22","39,028,933.58","-1,707,266.00","-6,001,183.41","-37,499,642.14","-8,225,756.99","-31,702,629.00","-2,873,618.54"
购买商品、接受劳务支付的现金,"114,379,699.84","103,493,572.11","114,207,406.64","64,774,228.37","92,328,029.83","152,775,821.88","21,039,425.25","106,161,511.80","151,215,821.72","183,214,209.30","37,365,954.60","74,802,046.13","128,132,988.71","151,714,342.05","44,945,988.73","95,624,706.98","120,942,618.51","164,702,228.03","32,674,880.66","65,424,959.41","80,390,705.03","146,766,800.72","23,932,300.02","34,743,830.10","53,336,043.70","70,185,407.39","15,766,949.20","41,354,979.04","56,039,452.41","84,088,241.43","16,566,377.53","33,666,299.78"
吸收投资收到的现金,,,,,,"325,000,000.00",,,,"19,375,000.00",,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"22,859,656.61","25,100,406.15","27,555,457.04","17,311,293.89","25,669,163.83","34,223,864.37","12,187,792.83","22,907,312.15","35,801,638.32","47,874,884.95","15,581,204.27","28,596,888.00","43,052,552.13","57,161,512.53","16,134,114.07","33,472,409.31","47,001,792.67","63,173,930.81","32,792,918.94","46,100,496.79","60,031,139.57","49,069,718.39","-6,051,811.20","16,714,005.57","24,512,287.37","35,280,161.60","11,982,696.35","20,408,703.26","28,909,833.63","37,717,152.14","12,731,847.39","22,149,799.91"
取得借款收到的现金,"333,970,000.00","290,920,000.00","194,100,000.00","126,454,100.00","168,454,100.00","243,454,100.00","36,750,000.00","141,750,000.00","221,250,000.00","321,250,000.00","82,280,000.00","299,280,000.00","411,560,000.00","421,560,000.00","20,000,000.00","172,000,000.00","346,280,000.00","398,280,000.00","30,000,000.00","76,000,000.00","168,430,000.00","220,430,000.00","170,000,000.00","260,000,000.00","260,000,000.00","260,000,000.00","50,000.00","80,050,000.00","80,100,000.00","80,100,000.00",,"80,000,000.00"
支付的各项税费,"19,545,044.91","20,366,008.19","21,851,838.95","5,883,583.30","11,507,589.59","19,304,240.91","7,522,283.43","12,626,224.55","19,838,487.65","23,926,269.00","5,691,863.23","14,993,756.25","21,371,102.70","26,814,451.97","2,112,060.69","11,463,173.68","20,995,158.33","26,661,646.50","2,380,291.48","8,806,615.07","12,385,974.38","20,762,777.08","318,219.27","367,931.35","3,871,627.57","8,868,518.44","3,357,487.11","6,830,585.00","11,520,419.39","17,371,412.77","6,971,252.93","9,183,658.55"
收到其他与筹资活动有关的现金,"31,830,785.20",,"22,198,500.00",,,,,,,,,,,,,"11,351,320.99",,"11,351,320.99",,,,"16,306,668.00",,"75,947,600.00","75,947,600.00",,,,,,,
支付其他与经营活动有关的现金,"45,560,918.15","13,335,430.57","13,326,845.37","7,712,405.26","11,737,009.24","15,622,543.20","7,428,907.29","13,856,308.82","19,287,873.33","17,496,523.98","5,008,161.55","9,688,667.42","14,444,183.26","19,367,530.54","4,924,763.61","8,393,379.06","15,614,477.74","17,489,998.35","7,342,054.92","10,664,798.20","14,858,559.23","30,603,184.96","5,039,034.77","12,207,824.64","18,822,069.95","19,770,153.91","4,581,949.29","7,003,869.65","12,249,272.07","12,352,988.60","3,015,262.81","6,947,286.11"
筹资活动现金流入小计,"365,800,785.20","290,920,000.00","216,298,500.00","126,454,100.00","168,454,100.00","568,454,100.00","36,750,000.00","141,750,000.00","221,250,000.00","340,625,000.00","82,280,000.00","299,280,000.00","411,560,000.00","421,560,000.00","20,000,000.00","183,351,320.99","346,280,000.00","409,631,320.99","30,000,000.00","76,000,000.00","168,430,000.00","236,736,668.00","170,000,000.00","335,947,600.00","335,947,600.00","260,000,000.00","50,000.00","80,050,000.00","80,100,000.00","80,100,000.00",,"80,000,000.00"
经营活动现金流出小计,"202,345,319.51","162,295,417.02","176,941,548.00","95,681,510.82","141,241,792.49","221,926,470.36","48,178,408.80","155,551,357.32","226,143,821.02","272,511,887.23","63,647,183.65","128,081,357.80","207,000,826.80","255,057,837.09","68,116,927.10","148,953,669.03","204,554,047.25","272,027,803.69","75,190,146.00","130,996,869.47","167,666,378.21","247,202,481.15","23,237,742.86","64,033,591.66","100,542,028.59","134,104,241.34","35,689,081.95","75,598,136.95","108,718,977.50","151,529,794.94","39,284,740.66","71,947,044.35"
偿还债务支付的现金,"233,690,000.00","218,600,000.00","158,600,000.00","117,704,100.00","156,204,100.00","279,804,100.00","63,470,000.00","148,970,000.00","210,720,000.00","318,500,000.00","82,280,000.00","289,500,000.00","394,780,000.00","459,780,000.00",,"172,000,000.00","306,280,000.00","324,280,000.00",,"211,000,000.00","327,710,000.00","425,710,000.00","62,000,000.00","237,900,000.00","327,900,000.00","327,900,000.00","100,000.00","100,000.00","80,150,000.00","80,150,000.00",,"50,000.00"
经营活动产生的现金流量净额,"12,321,210.20","70,716,745.11","43,750,934.63","17,748,850.08","31,125,905.19","16,639,884.64","1,512,751.22","-49,996,602.65","-62,282,410.88","-51,482,427.73","10,351,653.87","33,005,323.41","21,043,222.69","36,886,913.41","4,899,322.01","33,687,611.46","28,674,777.07","40,108,194.74","-946,145.46","18,722,944.61","26,143,464.82","1,104,729.58","43,619,791.35","48,382,413.62","50,348,641.05","63,811,873.72","12,835,270.51","17,885,606.58","14,826,430.03","5,809,386.37","3,948,923.99","15,140,770.17"
分配股利、利润或偿还利息支付的现金,"20,725,692.12","23,187,577.10","17,150,050.97","9,571,759.58","14,637,251.23","20,047,369.36","4,009,886.21","26,632,317.53","32,722,067.42","37,755,073.59","4,392,471.66","10,136,738.74","13,937,112.07","17,186,038.56","3,669,409.99","7,581,786.33","11,900,532.99","15,745,548.19","5,158,365.54","9,622,861.19","11,854,135.57","13,190,076.40","1,531,092.40","2,863,162.13","3,190,808.86","4,833,140.63",746.75,"495,871.75","638,513.08","639,204.84",598.12,"216,218.55"
收回投资收到的现金,,,,,,,,,,,"10,000,000.00","10,000,000.00","10,000,000.00",,,,,,,,,,"12,108,573.03",,,,,,,"30,000,000.00",,"60,000,000.00"
支付其他与筹资活动有关的现金,"34,669,770.50","3,569,906.45","21,098,500.00","11,100,000.00","11,100,000.00","18,908,156.21",,"274,058.03","276,783.03","400,000.00",,"90,000.00","90,000.00",,"111,024.80","19,380,000.00",,"19,380,000.00","200,000.00","200,000.00","200,000.00",,"1,182,700.00",,"100,000.00",,,,,,,
