科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"640,793,172.99","624,813,473.55","119,130,815.59","805,298,070.94","208,511,867.46","489,830,566.03","693,746,497.70","1,065,227,473.55","316,957,846.52","711,270,851.18","1,014,313,147.39","1,199,626,433.26","375,267,262.52","655,284,300.67","934,043,917.55","1,284,019,020.28","497,173,983.53","955,129,492.17","1,252,827,523.65","1,836,875,749.82","516,332,327.39","1,176,232,902.66","1,694,482,605.85","2,720,461,379.02","448,281,979.61","1,059,611,572.56","1,503,720,290.04","3,376,705,059.51","479,670,655.70","1,112,277,318.64","1,614,567,869.00","3,245,709,987.82","515,695,418.53","1,010,859,591.84","1,946,284,442.87","4,797,320,946.20","722,041,273.53"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,"17,537,128.73","900,000.00",,,,,,"51,083,347.74","42,157,555.44",,,,,,,,,,,,"50,215,700.00",,"53,565,603.17","186,417,449.08","200,122,544.52",
收到的税费返还,,"234,075.01",,,"233,504.43","405,971.61","616,993.62","405,971.61","269,946.77","436,328.42","436,328.42","436,328.42","549,195.69",,"30,260.21","30,260.21","75,303.53","75,303.53","329,798.88","542,241.35","527,126.48","603,661.00","629,844.41","29,817.49","30,174.36","291,636.40","920,169.89","640,964.12","66,927.44","66,927.44","4,701,281.77","4,932,304.43","3,797,833.58","3,892,842.49","7,180,446.22","7,180,776.22","300,485.38"
支付其他与投资活动有关的现金,,"20,000,000.00",,,,"3,250,000.00","3,250,000.00",,,"262,281.00","252,446.50",,,,,,,,,,,,,,,,"11,902.00",,,,,,,,,,
收到其他与经营活动有关的现金,"53,803,596.21","34,342,646.93","2,891,932.89","29,118,471.55","3,114,321.64","3,467,294.43","13,022,049.94","18,106,466.45","4,545,852.07","7,703,505.71","26,273,439.84","27,308,942.46","7,155,519.79","19,103,109.81","6,258,880.43","42,078,322.52","8,800,803.04","16,413,246.95","2,624,873.05","56,295,811.49","9,172,032.85","31,307,122.12","4,417,476.40","42,616,440.08","7,226,732.76","37,755,401.56","76,847,121.74","50,569,179.13","10,131,881.36","21,844,331.35","53,394,059.26","44,986,022.15","10,245,959.08","20,748,882.25","99,652,158.11","71,317,935.60","9,807,216.80"
投资活动现金流出小计,"115,216,061.23","71,429,870.71","13,805,173.92","149,180,856.27","12,850,000.37","42,124,778.05","66,748,247.66","90,631,318.56","15,295,559.55","27,717,613.62","51,057,763.39","90,337,115.41","7,197,265.62","14,967,596.36","33,747,269.65","189,897,140.17","8,027,702.35","56,348,295.72","499,256,518.18","1,100,829,568.39","235,681,175.70","597,381,309.63","674,407,039.70","975,171,299.13","182,862,578.21","889,591,555.30","1,360,465,557.71","2,511,580,826.55","635,857,360.34","1,069,006,373.82","1,536,169,845.34","1,948,619,393.07","383,327,380.34","698,685,289.50","1,134,929,053.96","494,590,930.39","82,720,367.67"
经营活动现金流入小计,"694,596,769.20","659,390,195.49","122,022,748.48","834,416,542.49","211,859,693.53","493,703,832.07","707,385,541.26","1,083,739,911.61","321,773,645.36","719,410,685.31","1,041,022,915.65","1,227,371,704.14","382,971,978.00","674,387,410.48","940,333,058.19","1,326,127,603.01","506,050,090.10","971,618,042.65","1,255,782,195.58","1,893,713,802.66","526,031,486.72","1,208,143,685.78","1,699,529,926.66","2,763,107,636.59","455,538,886.73","1,097,658,610.52","1,581,487,581.67","3,427,915,202.76","489,869,464.50","1,134,188,577.43","1,672,663,210.03","3,295,628,314.40","529,739,211.19","1,035,501,316.58","2,053,117,047.20","4,875,819,658.02","732,148,975.71"
投资活动产生的现金流量净额,"-87,788,126.43","-66,855,183.57","-13,805,173.92","-122,155,149.43","-12,847,000.37","-37,813,745.96","-62,317,215.57","-86,007,286.47","-14,747,559.55","-26,895,980.54","-50,403,663.39","-89,333,111.40","12,883,903.36","11,008,418.95","-7,741,734.14","-148,921,095.77","-8,026,766.35","-5,228,182.19","-466,177,469.84","-435,948,631.75","-35,087,046.76","-43,721,695.23","-80,238,441.48","-33,303,989.21","87,970,365.14","-163,930,034.21","-82,746,186.68","-253,890,245.65","-72,823,831.80","-81,732,526.47","-219,412,768.44","-207,081,506.18","-112,156,524.33","-159,346,770.53","-320,841,065.56","-427,786,390.20","-44,042,608.77"
购买商品、接受劳务支付的现金,"412,741,174.91","307,378,884.38","107,242,024.66","499,812,320.43","135,492,245.39","349,544,854.39","506,775,335.50","746,031,682.08","212,299,141.65","466,431,318.35","739,497,178.82","800,380,363.56","279,741,782.49","361,799,787.22","514,728,122.88","791,038,159.04","334,944,214.25","654,070,618.40","872,648,792.20","1,276,545,898.17","342,079,462.47","805,489,144.88","1,219,382,051.95","1,871,882,428.04","306,074,052.81","639,008,370.50","890,449,040.87","2,311,218,600.58","311,431,611.57","713,606,132.84","1,015,845,076.12","2,223,844,886.84","260,703,283.13","646,035,353.21","1,186,557,487.84","3,613,340,773.49","483,578,644.93"
吸收投资收到的现金,"30,644,904.81",,,,,,"1,049,770,000.00","1,049,770,000.00","20,000,000.00","23,600,000.00","23,600,000.00","28,100,000.00","9,999,999.97","15,399,999.97","15,399,999.97","15,399,999.97",,,,"4,900,000.00",,,,,,"9,800,000.00","9,800,000.00","122,780,400.00",,,,,,,,,
