科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"1,056,120,487.26","1,663,790,530.30","2,431,185,474.63","1,063,159,197.91","1,566,608,025.94","2,524,115,607.78","285,013,019.97","1,302,830,735.46","1,651,972,563.97","2,881,700,884.58","455,995,803.40","839,890,789.82","1,496,146,415.59","2,564,323,305.32","779,598,087.56","1,387,686,315.35","2,140,653,441.55","2,796,246,698.01","599,092,135.25","1,340,582,833.60","1,982,101,709.47","2,653,717,825.25","470,840,530.80","1,076,320,438.46","1,876,930,286.98","2,678,781,988.64","718,635,221.37","1,226,238,696.35"
取得子公司及其他营业单位支付的现金净额,,,,,,"52,218,188.40",,,,"128,014,093.55","57,091,978.79","79,358,378.70","79,358,378.70","118,257,978.79",,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,"503,861.21","503,861.21",,,,"7,583.20","2,396,894.49",,,"156,499.30",,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,"116,100,000.00","50,000,000.00","70,000,000.00","70,000,000.00",,"10,000,000.00",,,,,,,,,
收到其他与经营活动有关的现金,"12,331,745.82","23,430,528.87","4,520,463.73","1,969,689.20","2,769,875.25","3,273,559.04","1,716,514.47","3,522,885.45","10,507,841.04","11,126,790.33","2,736,610.75","2,806,916.66","4,120,929.10","4,889,725.34","559,041.94","2,443,260.69","4,439,874.00","32,858,223.50","2,288,869.63","7,383,486.73","5,682,359.51","9,679,429.24","1,354,770.57","14,338,152.69","23,576,951.75","13,380,212.76","3,342,192.05","5,949,666.64"
投资活动现金流出小计,"44,200,784.87","62,840,099.54","74,648,101.66","14,881,522.41","15,391,396.03","86,279,254.97","31,111,892.26","36,075,573.77","107,294,376.52","243,515,887.59","91,075,386.53","125,422,534.58","164,055,340.81","338,049,659.95","68,114,868.23","125,759,279.94","184,374,892.36","258,322,318.27","32,331,636.99","158,505,448.96","162,058,911.74","226,816,311.62","15,938,608.24","41,449,245.94","42,169,460.32","47,529,850.43","9,635,065.80","12,386,170.09"
经营活动现金流入小计,"1,068,452,233.08","1,687,221,059.17","2,435,705,938.36","1,065,128,887.11","1,569,377,901.19","2,527,389,166.82","286,729,534.44","1,306,353,620.91","1,662,480,405.01","2,892,827,674.91","458,732,414.15","842,697,706.48","1,500,771,205.90","2,569,716,891.87","780,157,129.50","1,390,129,576.04","2,145,093,315.55","2,829,112,504.71","603,777,899.37","1,347,966,320.33","1,987,784,068.98","2,663,553,753.79","472,195,301.37","1,090,658,591.15","1,900,507,238.73","2,692,162,201.40","721,977,413.42","1,232,188,362.99"
投资活动产生的现金流量净额,"-42,542,047.62","-43,587,845.48","-73,965,486.28","-14,114,680.76","-14,608,796.03","-85,514,254.97","-31,052,063.20","-36,005,573.77","-107,109,376.52","-229,938,173.88","-90,061,379.96","-124,275,138.65","-162,907,944.88","-219,391,000.38","-17,949,986.98","-50,437,904.64","-109,053,517.06","-175,641,175.08","-32,095,599.16","22,592,632.01","226,844,943.27","214,666,322.88","-15,938,608.24","-41,155,643.08","-41,728,358.31","-45,200,352.80","-9,617,571.44","-12,185,702.64"
购买商品、接受劳务支付的现金,"953,320,063.97","1,385,983,842.48","2,074,323,931.17","1,102,204,008.58","1,749,394,223.99","2,350,283,804.82","564,350,499.69","1,270,752,877.97","1,636,451,018.60","2,592,664,203.19","594,039,855.58","919,343,694.93","1,420,380,400.62","2,340,706,354.59","650,186,700.78","1,173,953,612.82","1,773,003,689.89","2,261,128,801.52","608,940,048.46","1,337,066,502.74","1,748,045,595.27","2,106,684,587.08","489,899,585.83","1,090,918,322.44","1,860,250,807.32","2,442,725,355.82","788,392,148.58","1,185,965,109.22"
吸收投资收到的现金,,,"3,524,036.00",,"680,250,000.00","636,733,603.17",,,,,,,,,,,,,,,,,,,,,,
