科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"608,905,437.50","523,276,300.84","599,843,310.16","309,330,638.11",,"794,664,395.82","202,067,195.46","374,979,360.41","624,720,951.14","846,995,137.70","217,965,695.70"
取得子公司及其他营业单位支付的现金净额,"3,587,239.34",,,,,,,,,"1,135,122.06",
收到的税费返还,,,"52,921.49","52,005.21",,"52,005.21",,"1,939,428.11","6,920,565.60","10,099,278.69","3,677,184.37"
支付其他与投资活动有关的现金,,,,,,,,,,,
收到其他与经营活动有关的现金,"23,525,631.54","47,984,434.99","14,978,459.74","2,197,541.35",,"7,792,642.77","7,804,089.28","8,751,942.12","9,980,699.19","16,141,018.91","1,402,006.16"
投资活动现金流出小计,"51,665,565.44","5,026,166.79","36,924,933.97","19,427,084.33",,"35,046,369.08","106,842,996.00","151,127,167.10","165,557,305.74","357,331,118.37","26,391,551.07"
经营活动现金流入小计,"632,431,069.04","571,260,735.83","614,874,691.39","311,580,184.67",,"802,509,043.80","209,871,284.74","385,670,730.64","641,622,215.93","873,235,435.30","223,044,886.23"
投资活动产生的现金流量净额,"-51,665,565.44","-4,770,392.92","-36,724,933.97","-19,427,084.33",,"-35,046,369.08","-106,434,343.04","-67,169,298.60","-79,065,795.63","-105,050,520.59","-26,391,551.07"
购买商品、接受劳务支付的现金,"408,599,564.90","420,759,932.67","468,370,091.00","253,239,592.98",,"686,178,387.91","478,667,610.73","638,860,081.38","852,324,277.92","950,155,136.27","208,320,800.31"
吸收投资收到的现金,,"50,000,000.00",,,,"304,703,100.00",,,,"2,002,028.02","3,049,000.00"
支付给职工以及为职工支付的现金,"43,075,660.20","48,123,396.85","50,993,704.21","32,374,215.42",,"72,115,155.97","19,254,943.90","44,681,971.38","69,982,032.62","90,772,748.41","19,552,751.28"
取得借款收到的现金,"272,950,000.00","255,500,000.00","405,159,096.00","87,200,000.00",,"372,200,000.00","158,000,000.00","306,500,000.00","436,500,000.00","716,500,000.00","120,000,000.00"
支付的各项税费,"40,105,541.13","42,497,014.68","31,720,314.72","20,494,905.67",,"41,858,321.68","9,000,964.56","16,467,624.28","21,577,259.07","26,103,269.05","4,042,623.01"
收到其他与筹资活动有关的现金,,"9,383,170.00",,"6,995,000.00",,"44,229,940.00",,,,"94,617,200.00",
支付其他与经营活动有关的现金,"48,511,186.71","49,119,810.83","49,018,350.73","27,313,123.14",,"57,747,700.02","22,353,015.08","30,056,325.25","53,796,759.18","88,087,639.62","22,329,137.24"
筹资活动现金流入小计,"272,950,000.00","314,883,170.00","405,159,096.00","94,195,000.00",,"721,133,040.00","158,000,000.00","306,500,000.00","436,500,000.00","813,119,228.02","123,049,000.00"
经营活动现金流出小计,"540,291,952.94","560,500,155.03","600,102,460.66","333,421,837.21",,"857,899,565.58","529,276,534.27","730,066,002.29","997,680,328.79","1,155,118,793.35","254,245,311.84"
偿还债务支付的现金,"303,800,000.00","281,650,000.00","338,159,096.00","81,500,000.00",,"254,500,000.00","40,000,000.00","107,200,000.00","207,200,000.00","630,200,000.00","58,500,000.00"
经营活动产生的现金流量净额,"92,139,116.10","10,760,580.80","14,772,230.73","-21,841,652.54",,"-55,390,521.78","-319,405,249.53","-344,395,271.65","-356,058,112.86","-281,883,358.05","-31,200,425.61"
