科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"55,221,378.82","19,911,988.33","74,293,816.09","98,907,799.09","69,615,864.78","106,337,488.35","332,999,124.68","295,488,070.96","270,506,334.30","259,040,480.88","341,110,496.58","339,687,695.60"
短期借款,"6,000,000.00",,"10,000,000.00",,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,"30,000,000.00","50,000,000.00"
交易性金融资产,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,
应收票据,,"5,929,500.00","6,645,187.65","1,894,538.66","123,298,345.95","11,190,167.50","17,975,474.10","9,980,774.20","14,354,628.60","35,225,088.50","39,311,217.50","19,570,100.00"
应付票据,,,,,,,,,,,,
应收账款,"80,648,532.36","40,759,070.66","105,799,320.35","108,023,563.30","2,457,321.45","154,228,192.14","143,174,209.69","158,448,581.12","159,292,709.74","253,694,732.65","159,826,819.74","143,979,058.39"
应付账款,"46,111,979.83","39,317,246.73","41,105,215.28","48,691,811.53","46,850,086.41","75,469,228.81","53,494,415.57","52,190,240.07","61,435,920.39","87,500,950.66","62,582,412.12","54,044,988.50"
预付款项,"267,646.62","88,268.87","2,420,557.13","5,265,015.29",,"3,060,264.79","187,657.13","1,543,938.07","3,919,959.69","126,573.98","129,762.58","683,875.83"
预收款项,"3,354,304.24","12,927,346.51","9,530,805.22","10,973,784.22","14,845,585.59","1,687,045.96","3,763,233.36","2,245,034.46","13,163.51","1,842,264.94","13,163.51","3,020,870.64"
其他应收款,"6,319,556.05","5,172,449.81","4,863,287.61","6,417,162.09","8,401,007.79","3,720,011.18","8,433,144.27","8,529,569.56","22,578,207.39","18,518,926.70","13,584,538.53","9,008,049.70"
应付职工薪酬,"6,988,707.43","7,335,899.97","11,201,466.40","4,126,141.91","5,324,719.09","10,803,873.46","3,147,617.54","3,863,951.80","4,423,241.79","7,646,915.73","2,334,462.27","3,451,286.33"
应收关联公司款,,,,,,,,,,,,
应交税费,"12,828,679.78","14,909,677.07","22,023,454.42","22,994,793.92","13,287,509.60","25,489,385.57","19,873,366.99","15,892,500.66","16,195,809.59","27,175,332.14","18,556,721.38","13,622,190.34"
应收利息,,,,,,,,,,,,
应付利息,"12,100.00",,"18,524.30",,"14,500.00",,"15,950.00","14,500.00",,,"47,850.00","72,555.56"
应收股利,,,,,,,,,,,,
应付股利,"10,000,000.00","12,355,595.06","2,694,031.05","1,347,015.51","1,347,015.51","1,347,015.51",,,,,,
存货,"19,277,816.00","25,542,172.49","25,318,561.84","8,274,010.62","18,431,875.17","15,469,288.14","12,188,279.97","8,819,466.88","19,841,867.76","7,503,501.31","11,805,070.36","19,167,942.19"
其他应付款,"246,283.72","1,008,692.37","1,816,768.76","2,279,009.81","90,162.48","905,830.00","98,840.76","1,267,132.74","77,119.29","1,692,044.55","195,193.43","510,997.93"
其中:消耗性生物资产,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,
其他流动资产,"1,400,272.98","65,159,575.10","1,251,509.97","1,282,699.67","5,612,555.86","1,792,672.72","1,747,571.09","1,895,148.91","1,304,577.19","2,030,094.31","1,450,431.15","2,488,684.36"
其他流动负债,,,,,,,,,,,,
流动资产合计,"163,135,202.83","162,563,025.26","220,592,240.64","230,064,788.72","227,816,971.00","295,798,084.82","516,705,460.93","484,705,549.70","491,798,284.67","576,139,398.33","567,218,336.44","534,585,406.07"
流动负债合计,"85,542,055.00","87,854,457.71","98,390,265.43","90,412,556.90","91,759,578.68","125,702,379.31","90,393,424.22","85,473,359.73","82,145,254.57","125,857,508.02","113,729,802.71","124,722,889.30"
可供出售金融资产,,,,,"1,923,934.95","1,923,934.95","1,998,074.24","19,467,913.43","19,431,337.27","19,388,694.11","19,307,936.28","19,420,712.77"
长期借款,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,
应付债券,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,
长期股权投资,,"2,492,823.25","4,111,144.24","4,706,639.79","4,926,032.12","5,220,591.55","6,216,732.71","6,832,719.91","7,010,774.28","7,483,551.02","7,555,533.14","7,576,260.38"
专项应付款,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,
预计负债,,,,,,,,,,,,
固定资产,"4,362,336.97","4,417,031.62","4,911,816.20","4,635,479.95","7,801,015.10","7,257,954.01","10,264,876.56","9,798,317.95","9,128,901.86","8,945,905.72","8,271,047.65","7,705,739.51"
递延所得税负债,,,,,,,,,,,,
在建工程,,,,,,,,,,,,
其他非流动负债,,,,,,,,,,,,
工程物资,,,,,,,,,,,,
非流动负债合计,"4,715.00","3,978.37","1,666.41",995.43,717.44,479.45,320.00,200.00,120.00,60.00,,
固定资产清理,,,,,,,,,,,,
负债合计,"85,546,770.00","87,858,436.08","98,391,931.84","90,413,552.33","91,760,296.12","125,702,858.76","90,393,744.22","85,473,559.73","82,145,374.57","125,857,568.02","113,729,802.71","124,722,889.30"
生产性生物资产,,,,,,,,,,,,
实收资本(或股本),"45,000,000.00","54,000,000.00","54,000,000.00","54,000,000.00","54,000,000.00","54,000,000.00","72,000,000.00","108,000,000.00","108,000,000.00","108,000,000.00","108,000,000.00","162,000,000.00"
油气资产,,,,,,,,,,,,
资本公积,,"21,423,080.77","21,296,280.30","21,296,280.30","21,296,280.30","21,296,280.30","254,205,305.28","254,205,305.28","254,205,305.28","254,205,305.28","254,205,305.28","200,205,305.28"
无形资产,"6,139,503.98","5,188,911.39","4,324,173.29","3,652,641.71","3,350,625.92","3,067,443.28","2,801,926.87","2,552,910.43","2,320,341.53","2,110,880.86","1,910,227.39","1,725,593.38"
盈余公积,"2,798,301.26","4,302,215.59","8,772,556.95","8,772,556.95","8,772,556.95","17,317,939.35","17,317,939.35","19,299,128.80","17,317,939.35","22,657,676.31","22,657,676.31","22,657,676.31"
开发支出,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,
商誉,"663,918.71","663,918.71","798,691.06","798,691.06","798,691.06","798,691.06","798,691.06","798,691.06","798,691.06","798,691.06","798,691.06","798,691.06"
未分配利润,"42,442,146.45","7,890,791.55","56,970,552.60","72,288,561.18","73,846,545.65","96,335,269.67","103,866,632.61","49,574,068.97","59,714,036.55","93,952,015.24","97,206,512.52","42,553,746.21"
长期待摊费用,"1,192,775.81","3,192,326.65","2,946,363.18","2,414,850.40","2,156,960.11","1,899,069.82","1,641,179.53","1,383,628.17","1,126,754.55","869,880.93","887,481.62","404,562.23"
