科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"217,642,479.35","264,405,717.48","314,653,513.99","67,696,865.65","150,880,455.19","259,111,196.10","385,843,876.03","97,186,838.92","211,448,983.46","333,732,769.02","530,560,041.34","104,343,903.84","268,293,796.19","514,518,218.48","824,070,264.21","160,188,526.23","383,555,360.37","667,184,791.82","1,011,892,653.89","194,159,194.60","460,619,360.16","854,720,073.22","1,263,062,267.04","274,859,348.12","613,987,192.37","1,032,922,043.19","1,711,308,669.07","457,141,183.38","992,754,823.27","1,648,324,707.68","2,457,015,465.82","449,648,354.41","1,155,274,757.97","1,797,672,374.27","2,572,487,726.02"
二、营业利润,"24,480,719.83","20,965,198.90","29,385,600.87","4,511,318.46","9,368,957.49","20,705,581.91","35,810,691.99","7,285,181.30","16,655,772.75","31,104,536.15","51,509,291.02","7,703,938.72","20,801,532.06","56,130,198.91","116,259,098.20","7,985,948.15","29,144,268.79","71,346,417.39","118,396,096.90","15,865,686.24","40,881,865.67","104,401,594.85","164,933,527.32","24,118,160.48","54,115,856.39","110,849,036.39","176,448,899.33","42,924,827.31","99,617,343.39","203,050,693.86","324,532,768.96","44,966,055.93","114,297,584.75","242,388,585.97","378,731,215.08"
减:营业成本,"153,741,812.52","195,763,195.80","234,681,275.57","50,423,059.10","112,258,020.35","193,536,284.75","283,109,735.84","72,832,143.15","156,638,997.33","244,246,054.12","389,305,660.38","76,231,101.26","196,187,895.27","371,631,691.62","570,537,078.75","117,199,822.11","281,764,954.76","476,834,618.01","713,210,855.38","137,640,682.65","328,764,903.04","594,858,595.56","863,544,244.30","193,321,604.82","445,334,313.92","748,239,533.10","1,219,609,059.92","321,643,648.46","707,596,502.60","1,174,652,718.38","1,707,827,205.71","326,790,427.63","847,121,861.71","1,253,181,457.88","1,735,580,804.22"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"5,104,418.54","6,666,111.42","8,838,697.85","1,881,794.12","4,065,066.27","7,450,819.71","11,647,505.88","2,950,414.66","6,323,795.72","10,168,105.28","14,926,486.52","3,458,759.00","7,665,251.53","15,097,666.93","23,354,549.35","5,062,394.57","10,385,950.62","18,527,788.65","26,774,027.94","5,227,404.67","12,359,106.21","24,303,602.21","35,874,743.95","8,267,375.63","16,862,446.63","27,887,033.71","42,327,094.89","7,731,071.66","8,721,363.97","10,678,441.62","13,087,521.76","1,302,774.41","3,907,077.00","5,526,934.26","8,829,538.16"
营业外收入,"2,010,092.37","2,244,311.28","4,781,743.39","1,072,200.00","2,868,603.44","2,931,896.44","5,544,717.24","449,877.70","753,211.76","2,006,958.86","2,485,988.94","533,954.92","3,720,821.82","7,778,111.78","8,993,707.52","5,815,493.41","7,189,160.06","7,723,689.40","8,531,945.65","4,389,227.30","6,528,909.59","9,456,873.93","10,611,988.24","1,760,046.53","6,218,755.48","13,616,918.42","15,516,459.21","5,021,305.77","8,569,348.32","14,729,931.58","25,364,876.56","2,891,141.25","11,590,030.27","14,996,261.14","11,720,503.22"
销售费用,"21,927,621.49","26,569,043.91","24,453,654.63","5,684,460.33","15,659,643.90","23,916,099.84","34,319,676.74","7,211,957.05","18,111,047.62","27,922,676.38","43,412,398.90","9,303,975.63","22,364,385.99","35,044,443.43","56,462,601.93","13,192,704.92","30,464,830.59","48,497,321.39","74,887,869.12","15,599,107.29","35,713,298.87","58,832,401.35","92,787,515.45","22,763,754.74","46,583,207.54","73,558,188.49","123,421,155.91","32,601,146.04","67,718,806.38","106,653,909.85","171,573,397.61","34,034,321.43","83,894,375.84","130,914,497.31","202,093,511.85"
减:营业外支出,"117,150.70","207,988.80","24,693.76",,"3,435.03","59,442.78","4,093,654.77","700,000.00","706,045.46","707,225.46","1,630,536.26","2,570.97","2,570.97","5,074.47","6,760.48","44,528.36","103,176.14","108,498.56","109,241.81","86,262.01","260,923.31","267,375.68","446,628.11",,"38,414.09","538,414.09","562,526.36","240,894.36","374,143.75","389,467.98","399,455.23","30,100.19","377,821.86","453,843.11","549,691.33"
管理费用,"9,234,670.45","10,780,817.67","11,835,219.09","4,451,833.41","7,415,816.80","10,927,357.75","19,788,486.96","5,555,928.54","12,478,213.05","19,149,276.99","28,692,119.36","8,076,369.14","18,708,651.76","32,662,200.38","50,900,322.79","17,078,420.39","32,517,402.62","50,067,322.21","75,644,448.00","18,332,397.91","38,940,277.14","62,206,131.29","91,129,317.19","26,514,169.13","53,658,986.42","78,424,709.23","129,194,710.24","43,592,875.73","94,573,302.11","137,667,904.34","199,249,759.06","43,847,983.61","89,239,964.97","134,176,541.61","210,575,428.85"
其中:非流动资产处置净损失,"86,877.87","7,934.80","18,999.27",,"3,435.03","8,642.78","11,259.23",,"5,719.94","5,719.94","62,548.39",,"2,537.35","5,040.85","5,040.85",478.94,478.94,"3,069.09","3,069.09","76,195.27","76,195.27","82,213.68","107,676.18",,"38,414.09","38,414.09","45,085.17","170,324.36","40,188.18","45,439.46","65,246.34",,"19,367.58","63,132.20",
