科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"1,767,189,636.41","3,802,380,549.53","5,442,049,579.47","2,798,363,615.96","4,299,119,526.88","5,678,398,024.99","1,093,297,053.46","2,381,557,527.23","3,706,658,576.83","5,164,964,428.07","1,168,760,754.52","3,563,927,500.63","3,614,340,478.14","5,051,209,447.69","1,018,774,237.31","2,028,150,223.28","2,951,893,187.54","3,805,793,102.90","723,553,971.69","1,479,133,792.31","2,859,903,071.51","4,139,263,316.69","1,184,590,374.54","2,977,815,960.96","4,087,768,974.50"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,"382,901,580.47","732,684,283.57","661,743,667.57",,,
收到的税费返还,"2,459,731.41","131,787.58","2,091,559.81","10,288,116.34","10,288,116.67","3,485,496.61","6,236,745.60","2,749,605.56","2,756,313.73","2,805,791.74","6,580,760.94","1,420,779.41","1,420,779.41","1,421,205.78","405,230.25","3,433,543.04","16,551,328.60","31,884,039.49","12,010,647.15","29,616,929.14","45,877,242.46","60,359,099.89","10,946,205.53","34,508,196.94","36,848,942.86"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,"2,880,000.00",,"75,117.06","14,333,300.00","75,117.06",,
收到其他与经营活动有关的现金,"10,529,793.46","14,906,625.25","23,505,284.00","108,093,916.80","15,356,385.43","31,768,020.14",,"12,610,294.37","19,270,573.52","36,697,506.99",,"11,039,675.31","18,599,509.56","19,009,842.03","5,785,893.74","81,606,160.72","13,863,388.05","21,561,637.90","4,277,268.32","8,705,127.22","12,586,086.28","81,574,132.77","6,274,368.23","18,144,668.21","18,912,528.21"
投资活动现金流出小计,"87,492,257.89","182,774,676.95","140,762,592.27","28,778,065.52","43,380,583.10","240,118,373.70","7,133,244.23","13,455,763.07","24,272,982.35","658,742,251.87","6,710,558.15","13,922,554.75","685,988,785.85","856,657,105.10","604,387,725.13","541,909,190.73","1,216,947,167.93","1,494,667,483.84","662,404,246.83","1,372,689,128.46","2,119,318,196.15","2,475,773,816.11","388,151,760.44","781,939,514.09","1,061,570,236.04"
经营活动现金流入小计,"1,780,179,161.28","3,817,418,962.36","5,467,646,423.28","2,916,745,649.10","4,324,764,028.98","5,713,651,541.74","1,099,533,799.06","2,396,917,427.16","3,728,685,464.08","5,204,467,726.80","1,175,341,515.46","3,576,387,955.35","3,634,360,767.11","5,071,640,495.50","1,024,965,361.30","2,113,189,927.04","2,982,307,904.19","3,859,238,780.29","739,841,887.16","1,517,455,848.67","2,918,366,400.25","4,281,196,549.35","1,201,810,948.30","3,030,468,826.11","4,143,530,445.57"
投资活动产生的现金流量净额,"-83,255,645.81","-178,993,278.42","-87,687,139.07","-28,522,002.92","-43,112,803.19","-238,698,759.63","-4,154,332.84","-12,037,829.85","-22,154,586.34","-650,496,914.19","-6,675,289.15","-11,645,568.42","-53,425,470.19","-32,002,682.68","-78,300,725.49","44,749,546.54","-172,199,274.21","278,481,494.14","-225,473,683.15","-553,139,607.85","-931,003,533.34","-928,417,843.05","37,200,107.87","-35,896,759.35","-68,757,581.90"
购买商品、接受劳务支付的现金,"1,838,034,750.19","3,562,365,652.01","5,354,753,002.59","2,693,076,268.47","3,970,122,519.36","5,170,956,477.16","1,129,576,889.47","2,343,678,212.43","3,580,414,291.82","4,883,090,391.94","884,706,532.16","3,116,298,719.12","3,141,987,996.04","4,595,779,086.71","742,207,712.75","1,638,288,167.09","2,613,212,782.11","3,332,622,372.61","575,806,040.65","1,354,864,632.44","2,645,490,758.62","3,913,936,892.15","1,036,749,531.13","2,662,908,614.13","3,773,335,888.75"
吸收投资收到的现金,,"27,813,027.68",,"1,278,831,339.72","1,278,831,339.72","1,302,575,000.00",,,,,"965,683.33",,,"49,572.45","25,142.28",,,,,,,,,,
