科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"1,965,395,500.23","2,118,392,788.02","2,363,604,860.33","711,694,393.47","1,247,280,448.47","1,790,815,906.91","2,506,089,568.63","682,905,318.56","1,205,048,536.44","1,740,648,867.82","2,425,114,274.17","679,691,607.06","1,217,005,721.00","1,731,018,278.93","2,409,356,155.17","666,604,120.26","1,187,674,908.10","1,709,501,396.34","2,370,422,257.29","685,505,543.32","1,205,175,540.98","1,670,470,504.88","2,291,049,370.73","662,369,781.06","1,191,581,306.69","1,719,251,554.96","2,415,430,169.82","685,119,505.57","1,209,714,278.96","1,713,912,172.95","2,426,398,486.98"
取得子公司及其他营业单位支付的现金净额,,,,,"490,000,000.00","490,000,000.00","490,000,000.00",,"38,343,250.00","38,343,250.00","38,343,250.00",,,,,,,,,,,,,,,,,,,,
收到的税费返还,"216,434.72","318,311.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,"245,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"10,606,003.20","13,760,424.43","8,633,546.64","2,613,888.24","6,103,320.93","10,856,202.86","22,251,114.57","5,125,701.29","8,572,349.84","12,316,349.74","33,439,114.54","8,984,549.06","18,070,200.78","23,008,738.11","30,480,244.83","7,155,219.57","14,301,065.17","22,373,664.20","34,486,950.84","6,856,994.96","20,469,370.78","26,812,670.61","38,674,587.26","7,997,187.44","16,324,287.86","29,582,278.35","38,604,739.56","6,125,364.09","15,508,836.26","27,557,626.74","42,772,127.94"
投资活动现金流出小计,"220,566,419.40","53,775,920.46","53,205,922.12","3,069,059.28","494,231,647.90","501,765,304.09","505,473,507.12","172,438,822.48","422,009,557.19","437,109,183.74","626,495,506.66","107,895,250.00","410,232,689.15","412,092,633.82","719,025,945.54","4,822,001.91","486,688,399.41","514,257,168.82","997,370,535.57","22,508,084.22","646,264,669.67","649,878,198.17","1,251,750,355.17","22,378,125.26","624,044,262.45","765,307,486.25","1,369,400,226.31","142,134,364.17","803,996,042.07","946,665,265.20","1,680,985,768.11"
经营活动现金流入小计,"1,976,217,938.15","2,132,471,523.49","2,372,238,406.97","714,308,281.71","1,253,383,769.40","1,801,672,109.77","2,528,340,683.20","688,031,019.85","1,213,620,886.28","1,752,965,217.56","2,458,553,388.71","688,676,156.12","1,235,075,921.78","1,754,027,017.04","2,439,836,400.00","673,759,339.83","1,201,975,973.27","1,731,875,060.54","2,404,909,208.13","692,362,538.28","1,225,644,911.76","1,697,283,175.49","2,329,723,957.99","670,366,968.50","1,207,905,594.55","1,748,833,833.31","2,454,034,909.38","691,244,869.66","1,225,223,115.22","1,741,469,799.69","2,469,170,614.92"
投资活动产生的现金流量净额,"-90,329,546.11","-1,237,650.14","-47,461,982.12","-3,069,059.28","-494,216,773.42","-501,714,532.17","-505,422,135.20","-169,115,123.04","-246,779,423.73","-261,852,751.28","-245,802,087.90","-107,802,250.00","-205,336,959.81","-104,903,205.85","-207,159,120.31","1,690,698.09","-39,893,333.28","-67,461,122.69","-57,490,448.58","-1,993,796.55","-91,752,181.96","-95,305,610.46","-81,191,684.52","-2,205,657.86","9,499,389.40","9,283,288.89","13,013,946.09","-458,966.91","-193,980,811.21","-193,446,686.94","-180,926,444.26"
购买商品、接受劳务支付的现金,"1,388,288,949.38","1,535,843,097.99","1,688,046,754.54","570,928,381.48","982,739,616.20","1,344,257,521.23","1,802,979,564.21","571,900,859.10","965,897,058.39","1,314,078,810.59","1,732,579,941.78","543,856,883.21","950,415,519.22","1,294,224,297.77","1,733,770,760.59","538,447,308.90","905,934,917.99","1,263,073,029.95","1,685,736,202.15","470,840,655.33","906,928,240.65","1,242,886,557.61","1,633,333,506.27","468,330,476.15","862,096,864.39","1,227,135,294.57","1,676,274,956.56","560,107,952.56","942,606,348.42","1,283,252,672.12","1,735,036,606.84"
吸收投资收到的现金,,,,"1,037,891,493.59","1,037,891,493.59","1,037,891,493.59","1,037,891,493.59",,,"2,450,000.00","2,450,000.00",,,,,,,,,,,,,,,,"1,890,000.00",,,,
支付给职工以及为职工支付的现金,"76,827,128.31","95,623,211.54","110,712,516.45","25,376,351.55","50,614,460.85","77,219,576.92","126,025,492.72","27,359,179.10","54,545,446.31","81,441,600.85","132,199,389.79","27,507,022.09","56,216,867.47","84,897,139.50","135,165,033.89","28,814,517.81","58,100,154.43","88,125,898.36","137,946,402.95","30,252,340.34","58,895,548.47","88,349,935.51","139,584,401.17","30,046,218.47","60,311,367.59","90,074,640.41","143,214,112.49","31,456,466.51","65,154,142.48","97,101,942.43","155,521,935.60"
取得借款收到的现金,"393,000,000.00","568,000,000.00","523,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付的各项税费,"169,015,661.70","165,943,765.00","184,811,888.55","59,402,332.86","108,773,815.68","142,921,306.22","202,160,021.81","71,775,618.01","118,975,580.67","152,005,331.82","209,371,885.54","60,588,838.75","118,043,773.01","151,763,476.48","209,267,082.97","57,043,999.13","113,394,452.79","148,164,374.51","205,750,032.75","67,570,439.96","115,230,759.04","145,505,745.50","195,320,171.38","40,247,261.63","105,978,538.47","141,735,178.16","204,936,386.20","45,557,469.46","116,500,422.65","148,791,336.94","202,160,242.00"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"75,047,507.15","85,355,209.25","86,632,717.19","24,336,034.14","41,832,936.03","63,012,061.64","95,155,994.01","21,018,202.42","37,899,172.96","62,839,820.29","87,960,707.55","24,052,970.77","64,325,928.47","99,567,266.69","111,486,775.40","26,628,574.63","43,434,174.96","68,068,522.51","89,732,979.49","24,316,690.57","44,606,971.69","70,278,233.06","90,158,204.98","31,209,830.93","55,959,408.09","79,860,253.59","105,659,587.77","27,635,861.81","53,044,021.81","83,649,130.16","103,904,095.64"
筹资活动现金流入小计,"393,000,000.00","568,000,000.00","523,000,000.00","1,037,891,493.59","1,037,891,493.59","1,037,891,493.59","1,037,891,493.59",,,"2,450,000.00","2,450,000.00",,,,,,,,,,,,,,,,"1,890,000.00",,,,
经营活动现金流出小计,"1,709,179,246.54","1,882,765,283.78","2,070,203,876.73","680,043,100.03","1,183,960,828.76","1,627,410,466.01","2,226,321,072.75","692,053,858.63","1,177,317,258.33","1,610,365,563.55","2,162,111,924.66","656,005,714.82","1,189,002,088.17","1,630,452,180.44","2,189,689,652.85","650,934,400.47","1,120,863,700.17","1,567,431,825.33","2,119,165,617.34","592,980,126.20","1,125,661,519.85","1,547,020,471.68","2,058,396,283.80","569,833,787.18","1,084,346,178.54","1,538,805,366.73","2,130,085,043.02","664,757,750.34","1,177,304,935.36","1,612,795,081.65","2,196,622,880.08"
偿还债务支付的现金,"458,000,000.00","603,000,000.00","583,000,000.00","109,000,000.00","109,000,000.00","109,000,000.00","109,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,
经营活动产生的现金流量净额,"267,038,691.61","249,706,239.71","302,034,530.24","34,265,181.68","69,422,940.64","174,261,643.76","302,019,610.45","-4,022,838.78","36,303,627.95","142,599,654.01","296,441,464.05","32,670,441.30","46,073,833.61","123,574,836.60","250,146,747.15","22,824,939.36","81,112,273.10","164,443,235.21","285,743,590.79","99,382,412.08","99,983,391.91","150,262,703.81","271,327,674.19","100,533,181.32","123,559,416.01","210,028,466.58","323,949,866.36","26,487,119.32","47,918,179.86","128,674,718.04","272,547,734.84"
分配股利、利润或偿还利息支付的现金,"158,123,966.16","148,904,377.81","148,091,505.98","8,276,902.50","54,343,412.06","181,277,153.21","185,168,197.68","160,952,531.75","168,911,898.56","168,911,898.56","168,911,898.56",,"157,882,680.00","157,882,680.00","157,882,680.00",,"158,885,880.00","158,885,880.00","158,885,880.00",,"159,364,680.00","159,364,680.00","159,364,680.00",,"159,866,280.00","159,866,280.00","159,866,280.00",,"157,882,680.00","157,882,680.00","157,882,680.00"
收回投资收到的现金,"105,500,000.00","50,000,000.00",,,,,,"2,000,000.00","172,000,000.00","172,000,000.00","372,000,000.00",,"200,000,000.00","300,000,000.00","500,000,000.00","6,500,000.00","430,000,000.00","430,000,000.00","910,000,000.00","20,000,000.00","540,000,000.00","540,000,000.00","1,140,000,000.00","20,000,000.00","620,000,000.00","760,000,000.00","1,360,000,000.00","140,000,000.00","600,000,000.00","743,141,370.40","1,471,201,200.00"
支付其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,"1,352,002.75","1,263,922.50","3,902,735.00",,"14,874.48","14,874.48","14,874.48","1,137,099.44","2,920,733.46","2,920,733.46","8,357,719.76",,"4,802,729.34","7,096,427.97","11,683,825.23",,"16,537,680.84","16,537,680.84","29,610,941.12","483,287.67","14,316,351.71","14,316,351.71","30,302,434.65","172,027.40","13,540,438.35","14,587,561.64","22,410,958.90","1,675,397.26","10,015,230.86","10,077,207.86","28,853,623.85"
