科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"7,975,630,292.88","7,814,071,967.00","3,685,976,963.63","5,956,472,636.78","7,438,212,144.89","2,456,871,406.10","5,674,515,139.77","10,252,058,579.62","14,012,724,787.07","3,148,370,171.94","7,355,769,279.55","12,535,574,142.22","17,227,336,845.76","4,418,387,722.20","9,325,298,736.68","15,514,150,070.92","21,072,016,581.92","5,150,222,263.08","10,374,663,207.80","16,743,782,794.39","22,950,129,588.11","5,694,546,137.21","11,201,372,176.61","18,126,595,746.39","24,757,907,047.49","6,536,584,555.17","12,608,201,960.20","20,601,886,021.89","27,122,696,878.19","6,669,739,054.26","13,066,307,957.12","20,047,027,194.05","27,587,656,699.53","7,181,114,680.67","15,435,753,640.63","24,454,634,769.02","34,072,568,755.59","10,221,825,083.10","23,967,144,169.33"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,350,000.00",,,,,"377,630,375.62"
收到的税费返还,"128,914.28","649,812.17","123,304.97","191,500.41","164,899.32","195,916.60","7,124,640.98","390,602.56","1,777,774.99","2,020,184.60","1,272,619.03","1,688,887.23","963,286.85","984,886.87","9,641,675.88","19,706,067.93","96,301,894.01","20,343,875.79","36,427,648.52","36,724,925.56","55,429,111.99","794,681.87","2,321,097.86","3,096,914.30","4,141,114.55",,"579,848.67","643,253.93","1,400,294.77","159,188.75","2,824,518.37","3,178,524.16","3,416,901.22",458.13,"1,560,231.08","2,080,928.06","3,170,666.81","955,033.98","1,725,095.57"
支付其他与投资活动有关的现金,"14,784,554.33",,,,,,"2,395,974.65","2,395,974.65",,,,,"574,497.79","734,579.52","734,579.52","734,579.52","9,634,752.73",,,,,,"228,844.27","228,844.27","2,199,248.49",,"714,931.55","714,931.55",,,,,"4,051,565.47",,"779,508.98","779,508.98","1,387,402.15",,
收到其他与经营活动有关的现金,"547,586,468.56","348,905,693.55","75,684,080.54","172,036,959.57","244,384,195.31","161,655,876.19","283,799,707.94","427,734,428.73","352,816,079.74","243,423,541.90","368,603,698.00","533,246,336.01","437,504,843.38","293,091,793.71","466,085,754.75","661,081,617.91","508,211,421.58","253,723,827.27","528,720,948.98","825,943,129.72","575,332,129.37","436,347,707.33","273,822,731.43","620,100,153.98","577,901,871.86","146,121,631.97","283,474,381.66","458,735,453.83","642,878,445.22","138,736,374.80","364,429,666.02","738,890,891.24","790,958,078.11","43,824,102.59","1,053,124,631.72","1,464,506,343.81","1,495,011,178.75","131,591,566.34","694,441,570.26"
投资活动现金流出小计,"122,358,473.97","94,375,793.92","39,500,409.57","75,072,632.40","109,620,531.29","46,609,599.67","77,942,750.37","144,409,503.92","197,619,069.35","32,046,128.20","93,338,300.20","137,840,824.22","1,122,886,318.90","46,107,457.44","107,864,425.78","189,269,040.50","325,844,026.51","77,433,730.34","172,539,277.16","378,410,337.85","578,379,606.92","212,492,299.19","2,199,767,965.06","2,675,501,697.98","3,960,007,546.24","1,062,216,356.20","3,823,501,674.79","6,564,019,840.92","10,014,703,652.79","2,763,830,460.23","3,453,646,048.73","5,360,156,122.01","5,834,046,803.34","5,753,631,199.95","5,802,111,846.66","6,567,708,905.19","6,737,297,088.90","102,582,286.87","570,558,895.03"
经营活动现金流入小计,"8,523,345,675.72","8,163,627,472.72","3,761,784,349.14","6,128,701,096.76","7,682,761,239.52","2,618,723,198.89","5,965,439,488.69","10,680,183,610.91","14,367,318,641.80","3,393,813,898.44","7,725,645,596.58","13,070,509,365.46","17,665,804,975.99","4,712,464,402.78","9,801,026,167.31","16,194,937,756.76","21,676,529,897.51","5,424,289,966.14","10,939,811,805.30","17,606,450,849.67","23,580,890,829.47","6,131,688,526.41","11,477,516,005.90","18,749,792,814.67","25,339,950,033.90","6,682,706,187.14","12,892,256,190.53","21,061,264,729.65","27,766,975,618.18","6,808,634,617.81","13,433,562,141.51","20,789,096,609.45","28,382,031,678.86","7,224,939,241.39","16,490,438,503.43","25,921,222,040.89","35,570,750,601.15","10,354,371,683.42","24,663,310,835.16"
投资活动产生的现金流量净额,"-100,364,437.51","-26,236,373.81","9,838,717.05","-15,768,736.22","-39,269,697.14","-28,236,447.67","36,656,739.68","-9,363,776.97","-84,977,657.84","36,027,157.14","-51,009,114.37","-73,255,980.61","-1,069,841,490.89","18,560,333.21","-23,183,875.45","-78,664,977.59","-207,694,385.70","-23,100,811.40","-105,624,060.54","-299,224,680.62","-493,978,376.42","-186,382,473.89","-633,451,914.85","-656,564,143.77","-808,084,896.56","-732,600,060.10","-2,613,000,796.73","-2,162,469,809.03","-5,359,725,449.41","-1,109,206,650.97","-477,521,165.26","-239,958,515.26","4,633,808,197.27","-2,529,743,810.89","-191,257,272.56","802,678,324.69","1,453,802,396.75","-74,616,556.79","-528,369,276.83"
购买商品、接受劳务支付的现金,"6,743,771,114.26","6,643,506,222.35","3,101,786,026.52","4,943,878,742.04","6,083,199,990.45","2,042,795,792.40","4,941,781,533.72","9,150,082,339.81","12,234,603,836.74","2,756,159,814.84","6,429,517,656.94","10,973,212,136.85","14,727,291,268.94","3,637,046,615.23","8,003,918,187.61","13,319,120,157.03","17,648,433,082.50","3,818,054,822.23","8,352,986,473.66","13,774,491,908.92","18,720,881,979.31","4,418,036,416.16","9,309,223,136.14","15,211,192,639.24","20,068,313,923.25","4,883,567,071.13","10,223,422,065.45","16,794,636,932.49","22,172,553,744.46","4,873,272,316.93","10,204,710,962.91","15,940,205,840.25","22,343,981,234.02","5,249,950,718.87","11,455,998,502.58","18,193,380,012.17","25,406,751,076.48","5,865,112,061.59","15,605,677,450.25"
吸收投资收到的现金,"25,995,000.00","360,334,063.85","37,283,650.88","2,568,472,200.53","2,558,379,388.73","3,000,000.00","22,140,228.45","39,203,326.80","49,760,602.35","9,387,735.38","25,340,170.00","58,884,139.25","78,905,971.09","20,735,000.00","45,923,000.00","87,267,000.00","101,933,177.50","5,370,768.63","8,997,768.63","2,513,947,748.82","2,529,302,748.82","4,000,000.00","6,860,000.00","15,845,000.00","26,407,800.00","600,000.00","1,147,000.00","1,147,000.00","6,503,000.00","2,287,730.00","5,504,577.00","6,928,847.00","34,099,533.40","2,940,000.00","3,430,000.00","25,363,080.00","25,613,080.00","31,850,000.00","31,850,000.00"
