科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"3,033,998,318.72","2,566,978,508.04","1,601,347,017.96","2,119,853,043.31","1,819,977,764.48","3,037,826,964.33","3,057,119,151.29","4,430,081,174.15","3,439,817,104.70","4,081,974,159.15","3,258,888,842.79","4,976,853,801.08","4,799,719,141.53","6,237,057,915.58","3,712,927,751.02","3,490,816,499.25","4,054,014,055.38","6,709,302,012.13","5,431,533,150.14","4,046,437,097.30","4,966,625,102.32","5,057,220,914.66","5,276,608,891.05","5,216,051,927.32","7,644,736,010.08","7,726,367,944.80","4,572,166,468.85","4,116,105,466.12","4,607,894,057.44","4,303,705,380.03","8,129,709,582.98","4,934,172,546.11","6,730,682,212.87","21,906,581,548.30","11,953,410,135.40","10,412,897,518.19","5,358,169,748.17","4,571,262,975.92","4,897,787,005.72","5,970,623,098.81","6,019,348,979.15","6,139,993,799.29","7,546,807,000.53","11,666,166,701.29"
短期借款,"2,715,970,000.00","3,300,000,000.00","5,706,000,000.00","5,384,000,000.00","5,512,000,000.00","4,762,000,000.00","5,457,000,000.00","6,780,000,000.00","6,630,000,000.00","5,340,000,000.00","3,090,000,000.00","2,540,000,000.00","1,600,000,000.00","1,750,000,000.00","1,600,000,000.00","1,520,000,000.00","970,000,000.00","1,520,000,000.00","1,780,000,000.00","3,025,300,000.00","6,804,650,000.00","7,396,650,000.00","7,765,172,949.60","8,758,372,949.60","8,538,372,949.60","9,628,372,949.60","9,349,495,939.00","10,754,495,939.00","11,556,495,939.00","10,799,551,838.76","9,646,285,899.76","11,147,880,000.00","10,550,865,000.00","8,435,910,011.20","11,675,715,011.20","13,749,717,411.20","13,574,169,007.50","14,012,118,241.40","14,686,919,944.16","17,042,359,870.00","16,367,700,432.02","16,398,284,612.50","14,995,894,333.55","14,049,951,751.25"
交易性金融资产,"27,556,777.69","35,973,158.74","50,791,842.02","61,427,890.54","45,668,503.18","41,099,533.30","40,597,760.87","30,246,036.33","35,178,672.05","41,118,845.68","41,049,777.01","48,848,156.89","41,782,729.13","30,429,075.45","31,768,260.84","31,381,597.22","32,708,796.25","30,793,214.11","25,758,062.61","26,070,449.26","26,311,301.99","24,103,873.90","23,026,208.55","26,533,099.76","27,125,003.83","21,382,058.55","22,095,394.60","21,684,418.08","22,647,583.88","23,702,095.68","25,261,747.60","37,516,877.48","39,475,009.16","43,683,979.40","32,801,653.40","33,141,452.64","31,073,702.32","30,221,287.56","26,728,378.12","34,011,153.04","36,098,321.88","37,038,764.72","37,021,449.08","37,562,081.96"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,288,049,319.66","1,098,195,620.42","3,261,568,978.50","751,553,553.96","1,929,017,255.68","1,111,950,151.36","4,054,304,031.21","4,423,748,660.00","2,152,912,609.63","3,274,179,136.55","3,309,756,209.96","3,917,341,123.71","4,588,914,836.51","3,816,387,428.99","3,816,756,492.82","3,680,299,588.97","3,767,375,175.01","4,145,841,783.09","4,231,655,317.50","6,226,356,384.61","5,904,678,906.97","6,230,417,205.30","5,421,518,451.64","5,825,644,292.31","4,069,800,463.61","5,187,880,075.22","5,230,378,338.57","5,629,104,283.47","5,482,694,800.07","4,989,654,119.51","7,192,835,518.99","8,011,901,664.63","7,980,794,197.28","7,620,218,536.57","7,829,814,582.10","4,693,080,319.99","5,483,621,208.88","4,756,288,822.86","5,199,487,513.62","4,210,191,140.07","4,024,670,718.31","4,344,719,194.28","4,360,222,404.12","4,004,220,063.48"
应付票据,"150,000,000.00","210,000,000.00","1,553,000,000.00","380,000,000.00","641,600,000.00","916,796,000.00","2,365,700,000.00","2,621,800,000.00","2,265,900,000.00","2,157,887,442.00","1,521,302,442.00","1,463,810,000.00","2,060,790,000.00","2,918,000,000.00","3,281,480,000.00","3,253,980,000.00","3,002,500,000.00","3,157,937,500.00","3,840,550,000.93","4,209,830,000.00","3,444,860,000.00","3,464,680,000.00","4,752,150,000.00","5,644,520,000.00","4,374,160,900.00","5,877,938,990.93","8,705,700,278.89","9,659,586,890.53","8,138,237,028.07","8,624,027,660.30","10,605,497,132.14","12,708,921,210.44","12,507,066,939.69","12,130,911,991.92","12,177,302,823.20","12,374,731,006.55","12,173,236,960.72","11,449,298,426.74","11,533,788,146.88","11,635,487,260.45","12,777,375,787.07","13,590,183,066.65","14,604,691,316.62","16,239,529,156.96"
应收账款,"410,951,421.35","437,627,584.16","446,433,509.55","378,936,060.77","119,417,837.75","185,081,353.46","275,870,777.29","408,803,904.00","409,562,769.86","527,123,429.55","533,276,500.08","276,981,255.50","1,012,130,344.39","798,274,678.55","543,762,175.50","885,570,733.17","377,012,672.58","1,503,671,707.83","436,646,383.28","1,000,995,213.14","719,599,970.64","1,049,275,077.92","984,449,305.20","1,071,101,317.24","1,364,275,953.10","1,240,279,702.64","1,324,421,384.17","1,246,326,367.08","1,070,874,050.43","1,446,018,752.30","1,311,601,985.81","1,727,404,656.64","1,266,684,708.28","1,697,836,176.35","1,795,281,901.66","1,380,644,060.96","1,312,615,762.72","1,639,921,760.03","1,929,258,889.30","1,557,254,038.87","1,768,065,789.00","1,765,517,854.64","2,932,321,312.05","3,084,851,360.82"
应付账款,"2,200,250,831.36","1,776,581,685.72","3,598,750,390.30","6,481,639,948.89","2,696,156,273.11","4,128,342,762.10","4,293,819,896.41","6,051,907,278.85","4,150,008,324.60","7,141,305,718.10","5,930,536,179.43","8,504,824,346.84","8,828,201,709.53","9,631,170,278.41","6,050,416,677.60","7,330,883,466.50","6,327,436,426.59","9,625,946,424.16","7,319,257,003.05","9,544,811,797.18","10,525,617,243.64","10,741,027,228.89","11,395,062,533.14","14,302,887,535.26","16,729,788,064.69","22,303,319,817.36","19,402,006,100.17","20,395,127,917.93","21,341,453,631.39","23,174,006,720.38","24,686,753,806.45","26,564,743,223.68","26,494,912,398.60","33,629,815,905.59","38,826,310,425.20","36,027,709,829.12","38,355,686,351.42","39,778,575,679.77","43,994,278,298.88","42,636,795,010.71","40,883,807,282.86","39,399,774,362.37","38,468,574,693.22","26,362,953,101.42"
预付款项,"385,801,532.15","513,623,616.26","769,869,364.32","1,146,742,914.51","1,192,317,589.79","1,222,331,481.16","883,065,642.87","937,244,148.47","1,034,090,669.12","1,051,899,455.63","1,000,917,367.63","802,203,254.74","611,356,381.58","816,327,972.54","828,407,409.40","975,088,448.57","698,198,604.29","877,877,010.01","555,364,023.30","524,422,800.13","321,402,512.67","609,094,783.09","603,242,312.17","809,972,813.04","586,684,416.17","1,821,889,661.14","400,595,460.15","815,582,078.18","915,441,604.57","997,201,959.32","859,384,111.01","484,997,441.74","652,252,348.63","15,279,884,525.24","760,057,718.27","421,162,836.48","351,366,662.63","725,961,081.19","719,870,241.62","1,485,122,760.23","1,908,329,399.14","1,412,894,257.91","1,978,899,425.36","853,973,336.25"
预收款项,"1,028,620,181.20","1,144,605,169.18","4,328,044,586.33","3,060,669,261.05","4,189,433,118.99","6,399,122,167.70","4,605,239,964.81","5,747,414,946.95","4,789,782,520.56","4,506,724,582.86","5,354,367,791.89","4,419,292,499.33","4,817,604,882.00","4,393,922,872.94","4,882,019,426.94","4,771,846,019.04","5,298,969,882.31","5,415,806,382.77","5,526,039,995.05","4,702,030,909.17","5,887,149,578.42","4,500,905,078.11","5,791,265,204.57","5,483,185,842.89","5,193,850,872.63","4,709,506,510.17","4,301,350,159.45","4,166,649,046.91","4,168,416,326.70","4,159,398,017.86","5,303,641,874.90","5,498,824,062.07","5,695,171,487.70","5,467,049,026.66","5,422,426,753.99","4,684,785,602.28","4,682,019,371.27","4,410,992,193.34","5,106,102,484.60","5,759,242,517.44","7,822,238,949.59","6,796,678,673.30","8,848,929,496.92","7,656,155,023.04"
