科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"766,875,418.17","918,600,583.73","1,898,322,829.33","1,413,421,154.13","2,069,734,947.97","2,706,849,231.45","653,139,415.99","1,269,983,936.44","2,158,311,294.98","2,887,085,459.81","1,055,214,001.89","1,762,839,210.87","2,759,672,501.50","3,869,151,679.85","1,376,126,688.28","2,557,786,446.65","3,763,193,324.53","5,610,546,459.40","1,106,476,150.48","2,138,127,355.70","3,545,184,963.60","5,971,709,983.71","1,133,232,496.43","2,307,610,212.72","3,165,142,098.00","4,900,049,221.55","1,005,448,009.54","2,531,123,286.86","4,089,568,483.29","7,237,272,982.66","2,763,690,990.12","6,462,226,713.12","9,211,906,437.68","13,244,280,385.78","2,364,479,796.83","5,333,559,119.24"
取得子公司及其他营业单位支付的现金净额,,,"38,500,000.00",,,,,,,,,"48,213,087.75","48,213,087.75","115,617,933.40","5,000,000.00",,,,"30,630,000.00","85,119,110.86","165,119,110.86","173,125,915.68",,,,,"82,900,000.00","82,900,000.00","85,221,965.00","237,611,476.73",,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,"254,117.60","23,809.80",,"257,584.73","830,086.94","728,611.93","130,838.32","130,838.32","317,511.64","553,694.95","378,986.54","380,486.84","597,983.82","316,360.66","1,508,348.75","1,537,508.84","1,537,504.27","62,180.21",,"3,386,497.01"
支付其他与投资活动有关的现金,"2,855,754.27",,,,,"1,350,000,000.00",,,"120,550,000.00","100,000,000.00","10,474,850.94","91,466,579.66","194,545,386.06","200,000.00","957,607.00","31,394,748.06","66,851,585.09",,"763,154.39","539,000.00","22,963,583.34","73,106,583.34","10,173,432.73","81,531,228.99","165,124,552.28","531,525,252.85",,,"375,895.00","143,800.00","70,000.00","638,090,000.00","90,000.00","1,578,460,045.24","20,000,000.00","20,111,250.00"
收到其他与经营活动有关的现金,"70,762,203.91","75,586,735.83","6,628,667.32","6,937,501.46","39,242,071.90","15,863,563.68","22,884,491.95","15,280,737.09","43,427,895.06","48,798,202.49","8,376,621.81","25,155,995.42","58,044,517.92","50,851,307.50","19,459,674.80","52,848,895.23","71,446,963.36","32,674,227.27","38,383,184.64","51,122,730.72","129,491,594.06","64,836,033.30","75,600,228.73","50,383,557.05","60,618,816.49","51,265,326.60","80,682,475.81","74,185,444.71","312,496,880.53","319,700,259.12","7,269,301.60","38,256,292.37","60,130,769.00","147,695,489.11","220,644,647.57","187,087,824.50"
投资活动现金流出小计,"42,416,988.75","10,690,299.16","42,223,843.76","2,903,660.00","5,952,073.55","1,359,110,508.57","4,090,824.42","77,691,037.98","214,949,294.47","227,329,155.75","49,056,952.73","227,748,061.73","391,904,316.51","347,704,724.63","50,602,234.07","96,388,551.93","160,468,350.14","108,365,022.97","39,122,670.71","151,153,591.42","270,559,667.79","465,681,124.60","162,623,173.36","321,470,494.87","530,389,183.69","1,361,386,121.11","114,316,639.68","256,847,688.16","642,859,038.80","1,341,041,877.20","238,847,301.80","1,168,402,790.90","837,168,784.14","2,661,908,449.51","756,634,739.47","1,143,533,759.80"
经营活动现金流入小计,"837,637,622.08","994,187,319.56","1,904,951,496.65","1,420,358,655.59","2,108,977,019.87","2,722,712,795.13","676,023,907.94","1,285,264,673.53","2,201,739,190.04","2,935,883,662.30","1,063,590,623.70","1,787,995,206.29","2,817,717,019.42","3,920,002,987.35","1,395,586,363.08","2,610,635,341.88","3,834,894,405.49","5,643,244,496.47","1,144,859,335.12","2,189,507,671.15","3,675,506,644.60","6,037,274,628.94","1,208,963,563.48","2,358,124,608.09","3,226,078,426.13","4,951,868,243.10","1,086,509,471.89","2,605,689,218.41","4,402,663,347.64","7,557,289,602.44","2,772,468,640.47","6,502,020,514.33","9,273,574,710.95","13,392,038,055.10","2,585,124,444.40","5,524,033,440.75"
投资活动产生的现金流量净额,"25,623,934.66","-10,649,593.82","-42,206,843.76","-2,903,660.00","-5,952,073.55","-1,359,110,508.57","-4,090,824.42","24,508,962.02","-112,718,044.46","65,327,297.30","-3,475,500.58","-143,762,068.81","-163,947,339.16","186,198,259.99","170,153,298.57","147,326,898.08","69,794,584.93","81,301,390.68","81,583,397.45","74,594,579.44","68,146,110.08","15,286,460.18","-124,475,822.25","-258,450,671.50","-465,129,120.70","-820,653,475.95","-114,316,639.68","150,463,854.71","-193,547,495.93","-586,960,602.80","-70,796,774.60","-903,866,628.63","-87,198,611.70","-421,121,035.60","-379,680,019.97","-649,507,138.48"
购买商品、接受劳务支付的现金,"699,874,543.30","853,119,332.58","1,619,024,859.05","1,205,848,181.85","1,804,336,398.35","2,359,188,758.16","735,218,171.01","1,456,883,303.69","2,285,067,164.97","2,961,858,438.57","933,478,100.20","1,865,240,394.03","3,188,449,365.30","4,076,725,831.54","1,168,693,310.23","2,362,657,975.36","3,804,313,386.72","4,919,644,414.82","1,555,611,686.72","2,708,858,897.62","4,037,129,650.01","4,927,196,939.83","1,935,255,069.04","2,912,243,578.54","3,932,487,541.92","4,811,447,656.24","1,426,178,259.32","2,422,877,683.02","3,886,590,779.77","6,231,915,309.73","2,497,971,882.54","5,610,716,069.92","8,055,918,066.02","10,873,162,851.22","2,664,001,816.64","4,683,974,790.32"
吸收投资收到的现金,,,,,"2,007,707,200.00","2,007,707,200.00",,,,,,,"8,000,000.00","13,284,313.73",,"70,653,069.00","102,642,913.89","105,650,340.00",,,,,,"239,641,096.00","239,641,096.00","1,457,238,644.96","7,985,600.00","7,985,133.29","7,985,600.00","7,985,600.00","1,800,000.00","4,985,000.00","4,985,000.00","7,740,000.00",365.86,
支付给职工以及为职工支付的现金,"8,424,930.25","14,679,626.35","19,570,976.44","18,829,157.77","28,683,719.64","39,550,159.87","18,803,681.37","36,851,016.47","52,633,622.33","79,002,660.29","36,515,611.23","68,448,167.71","102,655,563.53","143,100,578.62","59,281,094.45","108,209,302.86","171,841,672.83","223,490,095.75","74,975,312.29","144,022,121.89","223,272,852.44","289,926,489.46","95,956,610.67","177,603,596.51","270,178,446.59","347,009,704.08","103,522,505.16","199,903,309.91","300,198,449.30","423,211,229.27","125,114,565.45","250,144,612.67","391,995,561.82","435,864,554.63","182,197,133.12","327,064,813.23"
取得借款收到的现金,"120,000,000.00","140,000,000.00","80,000,000.00",,,,,"130,000,000.00","130,000,000.00","130,000,000.00","120,000,000.00","1,020,000,000.00","1,429,999,999.00","1,145,959,999.00","175,000,000.00","285,000,000.00","784,990,000.00","934,990,000.00","70,000,000.00","600,000,000.00","985,000,000.00","1,096,500,000.00","536,000,000.00","990,000,000.00","1,323,483,334.23","1,614,943,081.27","204,000,000.00","324,788,599.34","361,788,599.34","790,965,259.55","617,000,000.00","868,812,783.33","931,716,232.33","1,007,381,975.00","1,574,198,314.02","1,729,000,000.00"
支付的各项税费,"32,702,460.47","46,310,543.45","88,502,872.54","78,079,039.65","119,559,628.79","161,584,993.97","44,746,029.94","126,797,575.37","167,802,277.04","209,980,602.19","58,615,618.21","175,581,278.01","244,984,022.48","335,375,241.44","74,287,801.90","188,571,325.06","255,411,173.82","371,421,936.66","61,109,101.06","203,247,130.70","273,990,062.38","378,896,237.46","65,351,075.52","232,465,551.87","300,928,314.10","384,338,372.10","70,725,613.61","241,762,044.23","317,486,604.45","416,960,052.13","107,872,398.09","203,111,806.49","266,845,860.79","404,832,470.12","104,050,251.77","233,568,595.61"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,"933,200.00",,"7,248,557.27",,"3,140,000.00","160,280,048.56","148,073,192.86","140,201,079.25","201,050,069.15","5,417,146.11","36,989,773.13","37,239,431.61","138,888,448.47",,"29,500,661.14","30,500,661.14","466,002,960.75","82,992,041.17","1,402,634,359.39","872,323,076.12","890,762,415.06","31,155,795.73","111,304,310.98"
支付其他与经营活动有关的现金,"25,439,250.48","36,804,533.51","46,716,228.75","33,171,618.48","86,269,714.84","59,794,524.12","63,151,503.74","59,243,730.87","128,823,666.00","168,664,082.35","41,396,536.52","72,763,709.54","104,788,710.50","123,412,404.36","46,824,106.56","115,828,753.10","170,640,336.22","186,223,890.96","111,706,795.05","117,053,623.93","204,519,849.53","195,986,044.53","109,801,135.78","129,717,068.35","207,542,007.96","224,640,620.41","75,245,012.25","146,127,958.88","242,469,658.11","270,280,383.02","343,921,022.52","299,249,274.88","402,847,214.26","626,792,474.26","51,585,760.94","146,128,834.81"
筹资活动现金流入小计,"120,000,000.00","140,000,000.00","80,000,000.00",,"2,007,707,200.00","2,007,707,200.00",,"130,000,000.00","130,000,000.00","130,000,000.00","120,000,000.00","1,020,000,000.00","1,437,999,999.00","1,660,177,512.73","175,000,000.00","1,462,901,626.27","1,987,632,913.89","2,143,780,340.00","730,280,048.56","1,748,073,192.86","2,125,201,079.25","2,297,550,069.15","541,417,146.11","2,356,630,869.13","3,188,863,861.84","4,792,745,174.70","711,985,600.00","862,274,393.77","900,274,860.48","2,264,953,820.30","701,792,041.17","2,276,432,142.72","1,809,024,308.45","1,905,884,390.06","1,605,354,475.61","2,937,204,310.98"
经营活动现金流出小计,"766,441,184.50","950,914,035.89","1,773,814,936.78","1,335,927,997.75","2,038,849,461.62","2,620,118,436.12","861,919,386.06","1,679,775,626.40","2,634,326,730.34","3,419,505,783.40","1,070,005,866.16","2,182,033,549.29","3,640,877,661.81","4,678,614,055.96","1,349,086,313.14","2,775,267,356.38","4,402,206,569.59","5,700,780,338.19","1,803,402,895.12","3,173,181,774.14","4,738,912,414.36","5,792,005,711.28","2,206,363,891.01","3,452,029,795.27","4,711,136,310.57","5,767,436,352.83","1,675,671,390.34","3,010,670,996.04","4,746,745,491.63","7,342,366,974.15","3,074,879,868.60","6,363,221,763.96","9,117,606,702.89","12,340,652,350.23","3,001,834,962.47","5,390,737,033.97"
偿还债务支付的现金,"153,207,729.26","150,000,000.00",,"30,000,000.00","45,000,000.00","130,000,000.00",,,,,"50,000,000.00","560,000,000.00","679,999,999.00","690,899,999.00","432,110,000.00","984,060,000.00","1,184,860,000.00","1,347,860,000.00","175,553,333.33","971,870,000.00","1,379,360,000.00","1,655,360,000.00","513,000,000.00","1,219,600,000.00","1,637,650,000.00","2,697,240,406.82","567,850,000.00","1,307,922,287.49","1,530,417,316.80","2,036,210,847.14","415,000,000.00","538,000,000.00","1,068,000,000.00","1,582,000,000.00","1,018,621,752.35","1,839,883,280.00"
经营活动产生的现金流量净额,"71,196,437.58","43,273,283.67","131,136,559.87","84,430,657.84","70,127,558.25","102,594,359.01","-185,895,478.12","-394,510,952.87","-432,587,540.30","-483,622,121.10","-6,415,242.46","-394,038,343.00","-823,160,642.39","-758,611,068.61","46,500,049.94","-164,632,014.50","-567,312,164.10","-57,535,841.72","-658,543,560.00","-983,674,102.99","-1,063,405,769.76","245,268,917.66","-997,400,327.53","-1,093,905,187.18","-1,485,057,884.44","-815,568,109.73","-589,161,918.45","-404,981,777.63","-344,082,143.99","214,922,628.29","-302,411,228.13","138,798,750.37","155,968,008.06","1,051,385,704.87","-416,710,518.07","133,296,406.78"
分配股利、利润或偿还利息支付的现金,"2,195,607.39","4,566,764.68","5,200,500.00","3,519,750.00","4,899,750.00","5,333,250.00",,"32,910,042.22","35,262,441.10","37,598,941.93","4,273,232.97","20,202,606.24","44,370,095.16","54,262,155.15","13,875,842.72","91,829,501.63","101,123,496.66","116,308,100.51","11,581,962.67","121,308,048.73","178,018,946.02","192,598,702.07","49,861,378.13","210,889,064.15","231,036,968.25","240,530,774.86","25,835,499.63","180,856,205.00","187,284,445.53","183,605,905.37","13,856,805.42","76,102,199.75","159,448,721.71","87,653,969.84","13,148,796.54","126,958,360.66"
收回投资收到的现金,"11,490,001.00","11,360.00",,,,,,,,,,,,,,"200,000.00","200,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00",,,,"100,000,000.00",,,"42,000,000.00","273,506,706.48","155,000,000.00","207,998,085.77","659,798,085.77","667,227,282.22","310,451,321.78","413,292,813.90"
支付其他与筹资活动有关的现金,,,,,,,,,,,,"2,000,000.00","2,000,000.00","19,500,678.54","5,403,048.16","7,403,458.30","52,586,191.63","197,848,351.86","500,000.00","4,100,000.00","4,200,000.00","81,965,452.56","7,977,569.37","15,644,942.42","65,335,626.09","194,426,766.87","98,329,632.27","85,654,456.37","123,832,437.64","492,373,478.15","27,175,124.22","68,386,881.60","69,159,467.34","857,336,427.59","67,875,437.63","183,602,608.78"
取得投资收益收到的现金,,"28,095.34",,,,,,,,,,,,,,,,,,,,"1,622,327.78",,,,,,,,"664,800.00","12,983,727.20","63,190,905.08","92,330,243.28","21,919,309.04","46,433,753.88","60,584,057.37"
筹资活动现金流出小计,"155,403,336.65","154,566,764.68","5,200,500.00","33,519,750.00","49,899,750.00","135,333,250.00",,"32,910,042.22","35,262,441.10","37,598,941.93","54,273,232.97","582,202,606.24","726,370,094.16","764,662,832.69","451,388,890.88","1,083,292,959.93","1,338,569,688.29","1,662,016,452.37","187,635,296.00","1,097,278,048.73","1,561,578,946.02","1,929,924,154.63","570,838,947.50","1,446,134,006.57","1,934,022,594.34","3,132,197,948.55","692,015,131.90","1,574,432,948.86","1,841,534,199.97","2,712,190,230.66","456,031,929.64","682,489,081.35","1,296,608,189.05","2,526,990,397.43","1,099,645,986.52","2,150,444,249.44"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"1,250.00","17,000.00",,,,,,,,"15,000.00","15,000.00","15,000.00","248,000.00","82,200.00","82,200.00","82,410.00","82,520.00","2,000.00","42,500.00","47,500.00","1,459,770.86","31,000.00","545,676.00","545,876.00","166,002.00",,,,"186,400.00","5,000.00","5,320.00","5,320.00","20,000.00",,"80,106.21"
筹资活动产生的现金流量净额,"-35,403,336.65","-14,566,764.68","74,799,500.00","-33,519,750.00","1,957,807,450.00","1,872,373,950.00",,"97,089,957.78","94,737,558.90","92,401,058.07","65,726,767.03","437,797,393.76","711,629,904.84","895,514,680.04","-276,388,890.88","379,608,666.34","649,063,225.60","481,763,887.63","542,644,752.56","650,795,144.13","563,622,133.23","367,625,914.52","-29,421,801.39","910,496,862.56","1,254,841,267.50","1,660,547,226.15","19,970,468.10","-712,158,555.09","-941,259,339.49","-447,236,410.36","245,760,111.53","1,593,943,061.37","512,416,119.40","-621,106,007.37","505,708,489.09","786,760,061.54"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"130,292,653.26",,"-6,740,548.58","-6,740,548.58",,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,-590.01,"-7,989.99","-4,349.50","-78,721.48","119,971.53","468,419.38","-47,481.56","217,560.49","226,076.68","676,824.31","-31,059.90","-382,577.08","-305,536.66","-540,360.47","-3,477,094.98","-2,224,367.04"
收到其他与投资活动有关的现金,"56,550,922.41",,,,,,,"102,200,000.00","102,231,250.01","292,656,453.05","45,566,452.15","83,970,992.92","227,941,977.35","533,654,984.62","220,673,332.64","243,433,250.01","229,980,525.07","189,583,893.65","120,704,068.16","220,705,670.86","333,658,277.87","472,885,486.14","38,116,351.11","62,474,147.37","64,714,186.99","440,566,643.16",,"407,311,542.87","407,311,542.87","349,430,714.66","61,800.00","82,400.00","4,577,071.97","1,551,620,822.65","20,069,643.84","20,069,643.84"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"68,040,923.41","40,705.34","17,000.00",,,,,"102,200,000.00","102,231,250.01","292,656,453.05","45,581,452.15","83,985,992.92","227,956,977.35","533,902,984.62","220,755,532.64","243,715,450.01","230,262,935.07","189,666,413.65","120,706,068.16","225,748,170.86","338,705,777.87","480,967,584.78","38,147,351.11","63,019,823.37","65,260,062.99","540,732,645.16",,"407,311,542.87","449,311,542.87","754,081,274.40","168,050,527.20","264,536,162.27","749,970,172.44","2,240,787,413.91","376,954,719.50","494,026,621.32"
五、现金及现金等价物净增加额,"61,417,035.59","18,056,925.17","163,729,216.11","48,007,247.84","2,021,982,934.70","615,857,800.44","-189,986,302.54","-272,912,033.07","-450,568,025.86","-325,893,765.73","55,836,023.99","-100,003,018.05","-275,478,076.71","323,101,871.42","-59,735,542.37","362,303,549.92","151,545,646.43","505,529,436.59","-34,315,409.99","-258,284,379.42","-431,638,116.46","628,173,302.37","-1,151,302,300.67","-441,937,717.60","-695,225,766.11","24,794,059.85","-683,555,571.59","-966,458,917.52","-1,478,662,902.73","-818,597,560.56","-127,478,951.10","828,492,606.03","580,879,979.10","8,618,301.43","-294,159,143.93","268,324,962.80"
