科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"2,082,797,723.94","2,076,081,732.26","791,670,030.49","1,246,312,601.47","1,583,096,024.74","385,054,223.20","850,590,042.48","1,295,034,341.95","1,784,299,288.09","442,498,435.82","1,067,039,980.86","1,645,065,247.99","2,161,575,704.54","599,048,830.01","1,288,155,906.83","2,037,008,921.10","2,659,983,989.60","665,648,660.84","1,382,512,081.88","2,163,869,051.46","2,848,581,559.12","614,981,052.02","1,357,372,621.67","2,095,714,892.92","2,901,822,936.25","560,948,532.29","1,301,077,928.57","1,955,912,301.69","2,721,324,820.48","600,397,740.63","1,316,013,481.20","2,030,386,650.35","2,698,103,712.34","653,564,681.83","1,374,388,029.69","1,996,008,799.93","2,833,002,974.92","892,794,386.25","1,948,992,661.41"
二、营业利润,"124,693,815.82","91,539,986.39","68,896,614.82","100,136,750.91","117,333,670.43","19,117,793.51","49,210,895.29","71,379,322.67","88,908,080.98","26,296,277.01","74,975,879.13","114,859,302.94","128,373,176.74","34,730,976.75","87,353,018.24","148,652,299.19","181,882,658.93","51,758,665.80","125,124,834.84","202,485,249.13","259,020,795.88","53,981,034.53","116,984,424.49","179,275,958.38","206,773,731.07","31,144,703.30","79,790,707.53","122,580,338.56","119,721,209.83","24,642,230.06","63,942,494.09","105,900,498.98","168,224,892.98","24,600,145.52","66,619,159.87","97,367,888.69","147,890,862.47","58,426,535.50","159,798,912.25"
减:营业成本,"1,820,237,503.81","1,796,102,127.17","630,958,271.00","1,010,092,871.51","1,292,368,570.25","331,409,446.76","728,227,178.55","1,108,905,293.79","1,545,280,525.09","374,534,595.35","895,409,857.83","1,378,450,347.85","1,816,832,996.86","495,392,372.82","1,036,070,731.70","1,630,725,296.23","2,133,816,372.97","538,837,254.20","1,075,842,002.21","1,682,072,856.29","2,206,946,068.07","459,821,533.99","1,050,542,323.53","1,630,684,851.69","2,298,264,341.01","441,399,600.45","1,039,693,367.58","1,555,050,915.36","2,183,156,287.66","479,284,183.81","1,023,371,977.09","1,580,418,110.10","2,075,142,892.26","504,258,213.35","1,088,543,954.05","1,564,473,602.00","2,224,776,031.30","686,456,437.72","1,511,443,040.64"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,688,213.92","4,954,240.29","2,003,607.84","3,641,662.56","4,450,120.58","45,061.14","375,700.06","670,710.58","1,542,787.32","707,041.30","1,622,702.73","3,180,754.24","5,695,585.40","353,310.88","951,666.17","2,786,196.03","6,365,723.45","1,648,792.55","3,289,301.38","5,256,531.71","7,595,599.46","1,519,696.42","5,220,728.10","6,369,035.34","7,814,341.04","2,318,127.73","5,415,941.65","7,088,887.43","11,781,592.49","2,422,023.84","5,496,717.30","9,778,564.41","21,613,255.16","5,916,629.93","13,852,025.18","11,321,518.12","15,709,033.40","7,354,396.34","14,680,742.45"
营业外收入,"4,303,418.86","4,546,860.59","1,653,858.73","2,365,757.39","4,595,993.36","1,041,852.83","2,121,771.98","3,455,001.29","6,320,251.05","1,526,109.70","3,516,108.91","6,005,514.99","13,077,692.66","1,353,918.23","4,339,504.37","6,961,737.81","12,402,921.38","1,843,754.82","3,514,263.02","7,507,429.55","15,867,982.65","6,330,727.17","12,335,190.31","19,349,240.84","22,997,714.22","5,335,159.13","8,338,022.70","17,695,809.09","22,233,405.59","3,632,367.16","12,962,228.42","21,054,431.44","29,054,932.40","4,704,622.52","10,755,614.13","25,540,849.69","1,347,213.79","1,162,681.32","1,226,687.21"
销售费用,"54,734,044.77","75,788,892.46","44,520,000.23","66,581,896.35","81,681,133.51","15,973,796.85","37,866,952.75","57,003,089.21","82,676,351.47","18,854,306.41","49,113,651.47","72,449,648.95","100,443,429.70","25,440,819.83","64,418,457.01","99,640,054.23","133,156,662.73","29,722,988.27","68,103,927.07","110,541,691.71","137,167,961.60","28,723,801.49","66,082,641.89","99,711,861.31","141,717,124.95","33,943,917.56","63,263,214.87","98,394,566.91","142,026,744.05","36,567,630.25","77,267,406.70","117,817,844.63","167,497,512.24","38,269,767.12","75,466,181.99","119,803,446.02","165,355,904.80","47,213,688.72","97,105,356.22"
减:营业外支出,"3,084,948.99","3,393,814.88","1,295,906.48","2,047,545.14","1,643,063.42","923,634.37","1,694,244.79","2,278,159.84","3,503,451.32","881,138.38","3,706,779.54","6,542,651.36","6,468,030.44","941,907.83","1,954,071.70","4,280,668.53","7,089,013.49","1,317,178.40","3,680,466.37","5,738,503.81","12,543,987.24","1,371,514.57","4,326,953.26","5,609,584.37","5,532,897.65","1,072,640.70","3,080,462.74","4,181,097.24","5,617,732.00","1,239,877.76","1,972,711.74","2,758,386.21","5,859,764.42","981,973.85","1,778,070.21","1,842,899.57","1,871,202.91","424,663.63","2,028,746.49"
管理费用,"40,726,729.45","54,257,292.55","28,132,389.70","42,787,430.76","57,914,416.01","13,250,585.07","29,132,258.21","47,682,397.85","56,930,374.34","17,079,639.84","34,443,553.07","57,120,185.19","85,248,729.68","29,162,003.30","63,785,565.41","97,430,584.67","129,167,183.48","31,446,471.34","64,632,405.67","111,023,601.09","173,052,024.72","45,069,589.98","90,976,107.87","139,394,845.71","188,799,075.39","41,780,313.05","82,332,281.10","130,018,356.24","192,973,565.96","44,546,973.82","100,132,487.40","148,688,679.44","240,229,715.15","66,630,467.08","99,165,345.90","164,459,434.03","244,475,470.01","63,256,841.57","141,049,118.40"
其中:非流动资产处置净损失,"341,017.49","629,150.96","137,640.30","137,640.30","412,930.62",,,,,,,,"1,780,820.56",,"33,855.08","1,265,616.88","3,226,515.11",,"521,757.87","1,195,559.34","5,784,270.13",,"421,427.40","490,679.16","525,587.17",,"777,538.98","792,269.48","989,856.10","30,668.79","126,192.43","138,514.12","212,366.46","794,119.55","1,448,070.21","1,512,899.57",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"35,176,896.11","41,266,124.57","13,642,211.78","19,141,595.25","25,871,780.48","2,563,632.64","5,455,294.67","8,067,817.27","11,839,072.33","3,981,728.33","10,022,732.95","18,990,842.58","29,360,213.10","8,724,171.48","19,856,252.70","28,289,624.01","42,926,495.84","7,122,694.75","14,839,206.20","22,712,847.65","26,569,088.16","9,607,712.84","14,661,180.93","22,769,084.30","28,330,096.12","8,896,569.07","9,432,645.43","14,054,667.46","17,757,254.08","6,542,503.67","5,111,948.15","8,848,633.93","1,823,720.74","4,802,056.07","8,900,862.69","13,567,477.68","23,721,101.56","19,637,481.18","22,792,498.06"
三、利润总额,"125,912,285.69","92,693,032.10","69,254,567.07","100,454,963.16","120,286,600.37","19,236,011.97","49,638,422.48","72,556,164.12","91,724,880.71","26,941,248.33","74,785,208.50","114,322,166.57","134,982,838.96","35,142,987.15","89,738,450.91","151,333,368.47","187,196,566.82","52,285,242.22","124,958,631.49","204,254,174.87","262,344,791.29","58,940,247.13","124,992,661.54","193,015,614.85","224,238,547.64","35,407,221.73","85,048,267.49","136,095,050.41","136,336,883.42","27,034,719.46","74,932,010.77","124,196,544.21","191,420,060.96","28,322,794.19","75,596,703.79","121,065,838.81","147,366,873.35","59,164,553.19","158,996,852.97"
