科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"517,009,806.67","488,075,898.49","722,226,036.46","181,080,853.43","569,790,662.83","1,115,614,078.84","103,489,777.84","316,368,513.55","519,136,606.93","1,090,161,247.38","293,094,150.29","506,375,310.07","1,376,692,659.47","2,605,146,282.79","413,642,438.09","429,198,492.21","1,225,853,635.36","1,687,426,997.64","471,280,114.83","945,399,075.59","1,446,827,147.36","2,285,967,372.42","372,958,317.26","562,633,120.98","1,259,785,015.29","2,013,676,813.37","453,407,273.63","806,885,108.13","1,231,080,248.26","1,933,389,562.91","578,411,976.27","975,592,416.48","1,483,203,779.70"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,128,900.33","24,700,000.00","13,074,705.07","13,074,705.07"
收到的税费返还,,,"5,683,222.64",,,,,,,,,,,,,,,,"904,000.00","904,000.00","2,894,555.77",,,,"2,338,672.12",,"961,000.00","961,000.00","965,242.80",,"12,351.83",,
支付其他与投资活动有关的现金,,,,,,,,,,"70,000,000.00",,,,"80,611,281.11",,"47,435,356.90","123,296,562.33",,,,,"79,911,625.28",,"2,379,330.00","2,379,330.00","110,410,575.92",,"7,500,000.00","13,683,000.00","28,476,630.23",,"9,891,868.59","9,891,868.59"
收到其他与经营活动有关的现金,"7,247,837.09","8,284,214.66","11,293,765.02","10,257,123.00","16,098,362.25","10,377,003.00","632,360.00","1,306,184.38","9,764,081.95","11,743,098.50","2,619,740.86","2,668,349.91","2,829,429.32","12,691,962.74","563,100.00","1,195,707.00","5,193,273.00","27,672,837.14","8,043,549.17","15,724,669.34","20,597,065.69","38,256,768.43","7,184,907.57","6,923,591.99","20,990,606.05","25,181,196.79","2,698,140.64","7,563,587.31","15,731,199.47","30,521,883.37","24,300,655.86","65,533,046.60","70,231,267.55"
投资活动现金流出小计,"22,989,960.44","20,064,769.71","19,555,136.20","13,335,607.33","23,731,319.89","57,081,084.41","18,192,753.64","67,362,298.14","80,416,714.43","164,881,279.57","29,716,619.05","52,100,103.46","64,366,940.53","171,469,141.21","27,315,986.84","77,852,641.03","162,149,082.06","448,044,608.24","214,043,093.44","219,434,569.93","236,776,703.88","607,091,596.33","40,239,945.22","195,035,689.06","270,841,302.44","614,773,231.69","206,270,320.69","72,325,003.28","159,716,023.01","259,294,869.41","164,276,432.51","95,829,639.80","100,328,603.73"
经营活动现金流入小计,"524,257,643.76","496,360,113.15","739,203,024.12","191,337,976.43","585,889,025.08","1,125,991,081.84","104,122,137.84","317,674,697.93","528,900,688.88","1,101,904,345.88","295,713,891.15","509,043,659.98","1,379,522,088.79","2,617,838,245.53","414,205,538.09","430,394,199.21","1,231,046,908.36","1,715,099,834.78","480,227,664.00","962,027,744.93","1,470,318,768.82","2,324,224,140.85","380,143,224.83","569,556,712.97","1,283,114,293.46","2,038,858,010.16","457,066,414.27","815,409,695.44","1,247,776,690.53","1,963,911,446.28","602,724,983.96","1,041,125,463.08","1,553,435,047.25"
投资活动产生的现金流量净额,"-3,977,595.10","-19,704,050.67","-18,972,920.10","-13,063,630.05","-23,371,062.77","-55,358,835.76","-17,048,621.51","-65,073,033.26","-77,120,227.51","-160,228,923.37","-29,716,619.05","-27,695,791.32","-38,806,427.89","-64,895,621.22","-27,315,986.84","-75,666,386.35","-159,945,855.98","-160,383,367.04","-139,043,093.44","-207,765,986.93","-220,286,737.88","-219,437,340.66","10,197,654.78","-67,271,474.63","-136,814,236.17","-252,039,821.01","81,708,528.65","176,397,742.28","127,405,136.74","182,642,328.39","1,457,039.64","-8,380,448.08","-10,416,337.61"
购买商品、接受劳务支付的现金,"412,031,325.82","499,135,017.59","657,156,936.77","272,514,953.92","650,181,247.34","966,742,744.75","383,759,610.62","568,161,560.44","884,749,292.80","1,330,016,877.12","642,391,965.48","650,102,610.88","1,322,115,678.96","2,249,286,196.36","634,293,297.14","858,347,742.89","1,595,114,568.57","2,122,864,457.44","332,998,722.54","762,727,464.94","1,360,335,186.76","1,885,811,145.70","547,499,691.98","884,360,285.05","1,756,696,176.16","1,882,628,583.62","305,914,283.79","640,503,692.41","1,143,448,208.95","1,542,912,213.02","666,130,178.45","1,011,480,293.89","1,552,993,151.64"
吸收投资收到的现金,"80,800,000.00",,,,,"689,417,127.10",,,,,,,,"14,000,000.00",,,,"2,000,000.00",,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"2,589,404.27","3,471,178.52","6,968,279.83","3,240,551.53","5,086,522.94","8,017,414.55","4,965,793.57","6,405,254.84","9,867,118.73","15,041,619.64","6,293,308.15","10,053,705.41","12,768,456.67","21,328,714.69","6,993,059.51","13,775,992.19","20,886,740.86","25,661,852.32","6,661,911.66","16,548,985.08","23,801,175.38","27,788,264.80","9,448,388.61","15,581,938.05","22,963,816.97","30,785,223.75","13,393,448.65","18,794,882.33","30,785,275.82","42,685,029.13","21,198,285.38","37,280,997.60","48,356,216.47"
取得借款收到的现金,"161,000,000.00","115,000,000.00","301,862,321.09","230,684,136.16","295,201,097.14","364,746,937.86","141,040,496.87","286,756,354.14","534,774,315.48","753,368,866.95","586,236,089.78","700,268,118.31","1,202,521,919.78","1,464,438,310.29","407,761,090.05","694,991,659.77","1,145,013,314.31","1,750,896,723.83","499,313,165.63","1,000,409,977.30","1,749,214,181.59","2,038,824,598.48","624,987,368.96","1,969,935,803.49","2,590,977,815.27","2,728,160,128.34","531,177,027.26","1,112,661,861.61","1,790,079,963.16","2,152,918,557.95","411,310,826.02","887,928,998.93","1,392,346,459.20"
支付的各项税费,"28,848,822.70","18,046,375.40","30,844,035.19","8,336,006.03","24,595,518.74","39,568,654.26","16,339,915.49","21,765,027.75","30,649,763.43","46,658,173.61","7,324,522.88","9,559,856.85","21,556,550.30","73,476,317.63","7,763,994.25","11,787,945.16","17,641,222.85","74,083,620.13","16,067,957.75","25,684,562.96","48,950,225.55","47,932,529.56","25,447,311.93","42,205,145.36","59,871,416.32","62,939,627.74","12,654,181.78","38,969,856.79","47,789,174.23","53,755,388.31","28,756,334.81","58,130,808.92","79,555,163.37"
收到其他与筹资活动有关的现金,,"31,353,459.86",,,,,,,,,,,,,,,,,,,,"59,395,543.98",,,,,,,,"82,688,968.24","41,145,680.00","93,715,240.00","173,016,812.16"
支付其他与经营活动有关的现金,"32,781,502.16","13,813,632.26","18,279,135.58","5,608,742.89","5,899,560.97","30,800,281.21","15,208,911.95","62,747,549.78","17,864,178.09","51,606,965.53","88,327,314.14","163,798,807.38","296,809,618.23","66,255,040.87","82,144,402.15","116,975,847.91","202,959,778.53","58,900,990.18","64,716,842.86","34,133,654.42","50,449,598.74","51,650,273.45","51,259,387.74","40,018,483.60","62,389,673.16","65,385,514.95","31,172,965.91","56,436,612.39","71,505,896.91","131,746,269.92","26,708,941.15","56,871,332.43","77,844,768.93"
筹资活动现金流入小计,"241,800,000.00","146,353,459.86","301,862,321.09","230,684,136.16","295,201,097.14","1,054,164,064.96","141,040,496.87","286,756,354.14","534,774,315.48","753,368,866.95","586,236,089.78","700,268,118.31","1,202,521,919.78","1,478,438,310.29","407,761,090.05","694,991,659.77","1,145,013,314.31","1,752,896,723.83","499,313,165.63","1,000,409,977.30","1,749,214,181.59","2,098,220,142.46","624,987,368.96","1,969,935,803.49","2,590,977,815.27","2,728,160,128.34","531,177,027.26","1,112,661,861.61","1,790,079,963.16","2,235,607,526.19","452,456,506.02","981,644,238.93","1,565,363,271.36"
经营活动现金流出小计,"476,251,054.95","534,466,203.77","713,248,387.37","289,700,254.37","685,762,849.99","1,045,129,094.77","420,274,231.63","659,079,392.81","943,130,353.05","1,443,323,635.90","744,337,110.65","833,514,980.52","1,653,250,304.16","2,410,346,269.55","731,194,753.05","1,000,887,528.15","1,836,602,310.81","2,281,510,920.07","420,445,434.81","839,094,667.40","1,483,536,186.43","2,013,182,213.51","633,654,780.26","982,165,852.06","1,901,921,082.61","2,041,738,950.06","363,134,880.13","754,705,043.92","1,293,528,555.91","1,771,098,900.38","742,793,739.79","1,163,763,432.84","1,758,749,300.41"
