科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"16,084,267.01","39,640,369.31","49,467,204.83","90,855,336.24","22,470,794.55","44,119,852.85","64,997,771.72","108,526,640.45","14,961,435.87","24,014,503.76","46,678,838.14","57,388,876.76","14,947,685.02","39,457,775.71","67,684,031.90","118,942,169.96","17,377,588.11","30,580,132.70","78,927,099.53","147,020,322.41","18,266,316.40","47,788,043.22","76,742,035.04","150,354,778.17","20,323,403.15","51,901,642.79","87,912,426.76","150,567,864.61","24,021,659.67","59,884,382.47","91,442,700.47","176,663,304.95","82,390,559.53","107,892,158.93","159,629,030.79","43,106,078.82","85,863,571.82","130,729,776.16","179,493,179.76","49,931,097.02","130,193,560.28","213,470,165.31"
三、利润总额,"15,022,925.16","40,946,773.06","44,955,071.04","126,893,756.45","72,112,898.71","99,086,275.30","91,350,310.04","-217,016,734.79","-134,965,856.71","-176,199,213.77","-132,579,073.88","-331,823,998.05","169,900,165.48","205,767,290.11","226,317,303.96","368,492,526.99","37,339,835.01","57,937,340.48","61,257,052.15","102,216,636.54","14,583,582.64","49,235,839.30","73,100,612.72","115,534,934.20","26,127,864.18","90,106,254.89","120,468,820.00","124,743,085.56","38,687,242.84","90,857,493.71","118,900,641.45","39,525,834.89","143,073,637.75","185,105,733.33","257,594,205.28","33,294,862.75","72,631,598.71","133,519,083.00","74,987,203.11","34,188,906.39","-159,460,362.11","-231,884,756.93"
资产减值损失,"-13,147,636.00","-11,740,094.42","-13,645,020.00","-117,015,169.67","1,424,565.25","4,172,796.83","6,811,409.52","118,696,947.98","2,137,678.84","2,025,335.35","-82,509.53","26,909,332.83","-177,611.38","5,154,361.92","7,534,760.60","-73,299,193.52","18,334.46","-574,258.45","-968,308.25","-79,484,166.28","808,100.99","452,501.41","-116,727.94","-33,710,330.09","812,013.93","2,138,631.44","2,544,736.00","15,221,734.17","398,650.65","975,959.97","-33,621.29","29,447,097.68","1,979,267.76","7,192,096.76","-32,987,789.87","1,296,145.36","2,815,027.13","6,992,170.90","196,784,138.29","11,866,624.59","195,877,773.37","238,046,354.56"
减:所得税,"3,898,585.53","8,598,383.69","9,071,609.72","21,304,361.88","3,241,698.76","10,158,960.46","13,762,440.32","567,340.24","5,448,576.44","11,273,320.56","20,918,828.66","32,913,266.07","5,601,006.95","12,796,170.45","17,666,309.93","37,405,525.91","9,495,017.80","15,636,258.55","21,345,029.83","25,160,818.16","3,725,853.50","8,601,368.54","14,991,065.21","26,080,150.82","6,515,071.90","16,430,237.66","23,409,663.34","34,511,900.97","9,076,790.98","20,051,567.03","30,754,780.74","50,082,864.67","50,340,632.16","58,388,775.17","60,338,821.45","11,957,367.19","32,260,702.58","51,508,488.97","74,278,335.66","23,809,977.84","43,060,207.27","61,414,178.66"
加:公允价值变动净收益,,,,,,,,,,,,"-323,664.00",,,"323,664.00","-1,061,436.00",,,,"26,570.00",,,,"1,358,530.00",,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"-2,265,305.07","31,461,708.13","36,522,898.78","27,503,799.34","12,217,870.19","-32,250,925.13","-26,383,372.84","-273,864,930.15","-129,463,453.88","-190,351,040.34","-179,307,252.94","-377,673,568.67","-1,606,304.52","24,394,014.91","26,101,345.75","30,116,840.20","2,330,978.89","4,560,703.24","10,189,916.35","22,562,991.62","343,988.24","908,732.30","2,155,153.53","2,050,097.14","149,295.70","1,180,936.93","2,268,793.77","3,449,352.68","747,820.73","1,233,112.80","2,928,905.35","2,327,104.92","1,876,532.35","2,052,355.79","5,038,395.92","-2,380,019.03","-3,027,230.76","-196,543.01","13,253,900.13","949,948.25","246,475.07","7,954,252.84"
四、净利润,"11,124,339.63","32,348,389.37","35,883,461.32","105,589,394.57","68,871,199.95","88,927,314.84","77,587,869.72","-217,584,075.03","-140,414,433.15","-187,472,534.33","-153,497,902.54","-364,737,264.12","164,299,158.53","192,971,119.66","208,650,994.03","331,087,001.08","27,844,817.21","42,301,081.93","39,912,022.32","77,055,818.38","10,857,729.14","40,634,470.76","58,109,547.51","89,454,783.38","19,612,792.28","73,676,017.23","97,059,156.66","90,231,184.59","29,610,451.86","70,805,926.68","88,145,860.71","-10,557,029.78","92,733,005.59","126,716,958.16","197,255,383.83","21,337,495.56","40,370,896.13","82,010,594.03","708,867.45","10,378,928.55","-202,520,569.38","-293,298,935.59"
其中:对联营企业和合营企业的投资权益,"-249,893.15",,,,"12,217,870.19",,,,"-129,463,453.88",,,,"-1,606,304.52",,,"7,709,729.98","2,330,978.89",,,"5,428,542.14","343,988.24","908,732.30",,"861,875.69","149,295.70","1,180,936.93","2,268,793.77","1,874,679.86","747,820.73","1,233,112.80","2,928,905.35",,"1,876,532.35","2,052,355.79",,"-2,380,019.03","-3,027,230.76","-196,543.01",,,"246,475.07","7,954,252.84"
归属于母公司所有者的净利润,"4,677,332.86","30,345,419.43","32,585,804.25","73,243,601.91","62,214,397.21","74,942,366.25","58,154,428.32","-249,612,455.63","-148,525,300.90","-204,308,398.10","-184,582,557.49","-398,732,541.21","154,611,954.20","172,447,584.87","174,523,400.81","281,307,630.90","18,809,229.63","21,862,528.91","5,772,823.49","31,048,112.12","1,624,059.22","17,047,697.36","17,419,699.09","22,933,100.45","2,061,540.88","33,388,559.37","37,262,692.57","17,672,532.43","1,562,309.51","7,010,923.98","-8,895,851.80","-143,005,360.34","11,870,484.77","5,087,729.06","35,746,759.38","-9,965,417.99","-43,676,361.53","-69,591,833.92","-208,415,182.24","-53,418,554.67","-337,124,156.22","-500,788,502.01"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"6,447,006.77","1,573,330.19","2,868,017.32","32,345,792.66","6,656,802.74","13,984,948.59","19,433,441.40","32,028,380.60","8,110,867.75","16,835,863.77","31,084,654.95","33,995,277.09","9,687,204.33","20,523,534.79","34,127,593.22","49,779,370.18","9,035,587.58","20,438,553.02","34,139,198.83","46,007,706.26","9,233,669.92","23,586,773.40","40,689,848.42","66,521,682.93","17,551,251.40","40,287,457.86","59,796,464.09","72,558,652.16","28,048,142.35","63,795,002.70","97,041,712.51","132,448,330.56","80,862,520.82","121,629,229.10","161,508,624.45","31,302,913.55","84,047,257.66","151,602,427.95","209,124,049.69","63,797,483.22","134,603,586.84","207,489,566.42"
