科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"191,028,580.23","209,123,821.62","187,431,728.78","50,550,017.52","64,479,125.20","120,105,540.65","18,435,846.34","74,086,607.23","113,013,700.48","224,876,429.15","50,059,911.58","131,327,246.74"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,"2,909,513.38"
收到的税费返还,"5,802,267.72","3,714,436.15","10,043,410.64",26.73,"5,097,178.40","7,759,116.84","2,919,094.65","3,098,380.03","6,754,890.18","10,296,899.06","665,679.34","1,440,670.11"
支付其他与投资活动有关的现金,,,,,,,,,,,,
收到其他与经营活动有关的现金,"22,563,238.37","8,405,191.77","14,419,966.51","13,349,956.13","15,348,484.02","22,093,087.29","2,148,434.26","5,504,731.15","26,005,557.21","26,125,547.42","5,706,644.83","13,295,835.21"
投资活动现金流出小计,"5,552,357.60","9,914,626.40","11,078,115.50","6,896,445.80","8,004,116.32","15,390,515.47","66,453,438.06","127,906,002.50","190,762,070.22","215,566,057.02","38,117,162.89","56,773,092.71"
经营活动现金流入小计,"219,394,086.32","221,243,449.54","211,895,105.93","63,900,000.38","84,924,787.62","149,957,744.78","23,503,375.25","82,689,718.41","145,774,147.87","261,298,875.63","56,432,235.75","146,063,752.06"
投资活动产生的现金流量净额,"-5,518,307.60","-9,901,306.40","-11,027,521.50","-6,896,445.80","-8,003,826.32","-15,390,225.47","-61,425,150.39","-42,500,057.30","-29,995,385.29","-54,799,372.09","-12,867,060.46","-31,522,990.28"
购买商品、接受劳务支付的现金,"115,871,958.17","123,237,984.56","93,856,576.24","44,963,158.92","60,340,318.75","93,625,782.66","27,685,389.76","58,094,467.48","110,930,112.22","153,227,319.98","57,140,436.20","108,865,096.51"
吸收投资收到的现金,,,"8,000,015.00","1,750,000.00","1,750,000.00","199,354,540.00",,,,"10,049,985.00","12,000,000.00","42,500,000.00"
