科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"14,141,682.00","34,490,458.76","49,126,461.10","18,246,235.12","300,174,217.10","299,412,082.01","242,727,319.77","204,991,839.67","199,515,316.48","185,284,908.66","166,037,723.41","109,471,249.15","107,440,652.01","115,365,636.46","85,959,941.89","68,063,824.54","69,986,088.44","177,606,148.58","108,767,147.72","85,249,390.29","82,272,363.18","117,452,334.08","82,577,171.69","94,972,367.30","168,789,748.44","336,167,405.01","146,007,525.01","177,878,322.59","170,687,333.29","291,245,354.07","141,555,958.90","379,855,500.90"
短期借款,"8,600,000.00","30,000,000.00","36,000,000.00","36,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","5,000,000.00","15,000,000.00","35,000,000.00","35,000,000.00","35,000,000.00","38,000,000.00","36,000,000.00","41,000,000.00","31,000,000.00","30,000,000.00","130,500,000.00","138,500,000.00","164,000,000.00","170,700,000.00","135,700,000.00","121,000,000.00","128,371,368.00","157,146,269.00","165,146,269.00","170,000,000.00","210,000,000.00","173,000,000.00","192,000,000.00","163,200,000.00","246,900,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,"2,220,440.00","1,789,440.00","362,637.80","313,640.00","250,000.00","1,052,426.40","24,628,506.00","1,000,000.00","5,224,807.10","5,683,625.00","3,202,722.43","1,593,963.36","4,404,021.66","2,481,467.92","4,237,313.00","13,628,534.80","10,342,326.03","29,126,692.39","64,823,419.92","41,873,870.58","20,989,047.20","15,462,729.50","75,248,649.08","49,667,381.26","16,239,220.00","29,375,400.73","58,713,455.95","48,673,247.13","23,678,371.02"
应付票据,,,,,,,,,,,,,"5,000,000.00","6,283,719.76","261,470.00",,,"16,893,731.55","39,503,121.98","39,117,811.43","42,060,650.00","58,787,600.00","62,633,157.00","62,560,052.48","75,046,432.70","92,542,890.91","81,806,991.24","112,415,322.96","132,000,371.82","136,496,318.55","136,250,403.79","118,484,624.29"
应收账款,"44,150,654.07","69,445,905.98","95,922,167.78","133,962,937.71","134,035,089.52","151,841,405.49","185,204,128.81","225,413,745.48","222,759,215.16","217,437,377.22","292,781,732.37","340,419,863.28","315,744,840.79","315,044,833.97","288,568,553.21","366,986,918.48","342,291,596.03","594,642,451.54","578,796,562.12","656,025,991.94","661,228,224.64","657,358,969.88","641,387,310.62","740,301,286.43","742,258,686.28","714,760,548.71","686,191,635.19","824,423,897.55","813,812,320.05","1,020,125,540.20","995,618,516.56","1,044,117,829.18"
应付账款,"7,500,119.62","17,529,024.15","20,076,884.96","21,140,425.78","22,791,940.06","27,213,770.68","20,161,214.04","39,370,922.87","38,827,264.24","24,004,562.77","47,135,368.04","77,159,716.64","77,837,326.69","81,627,610.51","65,545,003.35","98,170,832.07","103,165,726.08","269,012,924.42","226,692,714.38","214,002,326.67","205,501,628.79","290,577,347.63","257,266,225.53","319,500,105.06","328,179,829.67","409,753,927.53","320,995,674.50","481,236,833.35","430,562,029.41","503,690,929.53","393,260,737.45","459,744,487.18"
预付款项,"2,973,846.70","2,782,099.56","5,298,823.93","7,635,795.66","8,920,406.79","7,976,330.10","10,928,614.95","17,150,647.57","22,126,084.15","12,108,772.23","15,164,096.82","24,014,220.58","28,871,646.81","18,285,099.25","20,861,553.94","27,168,535.65","31,706,273.53","43,176,990.55","55,854,254.53","75,933,700.28","91,534,373.37","60,165,117.36","84,611,092.08","55,786,801.30","75,674,597.73","68,267,457.02","51,770,225.52","139,166,981.99","156,969,307.82","91,740,800.57","150,936,232.26","118,173,337.45"
预收款项,"5,638,288.06","21,096,303.50","9,055,688.34","6,747,194.38","12,498,238.51","15,292,730.28","19,356,616.17","13,329,034.34","15,607,531.17","10,378,336.65","48,286,750.64","51,786,702.57","41,636,647.20","35,223,086.40","65,013,001.94","35,173,045.28","41,164,242.31","81,198,222.19","84,135,178.64","88,850,606.05","122,032,802.23","92,042,929.33","105,441,269.74","91,431,676.21","124,428,047.80","102,449,382.17","115,125,771.05","171,429,414.28","200,482,155.62","76,586,281.12","142,692,474.54","305,426,659.90"
其他应收款,"4,319,857.91","4,892,185.46","7,398,953.87","9,367,382.46","12,728,640.13","13,110,014.97","15,360,556.30","21,235,434.74","22,561,701.34","9,611,929.03","25,595,673.42","22,980,858.53","33,237,581.29","21,133,358.23","41,290,303.84","31,823,676.15","44,063,013.02","52,033,403.47","78,831,578.19","48,147,615.61","45,314,705.73","40,935,974.54","66,114,996.32","61,367,120.45","67,339,321.59","60,197,048.10","76,052,416.08","84,483,636.99","87,983,669.99","58,400,881.08","83,971,233.89","74,532,972.73"
应付职工薪酬,"425,735.71","706,472.65","517,829.43","300,160.09","268,624.03","707,516.67","2,201,628.56","1,060,538.66","828,600.01","2,102,909.53","1,698,090.00","2,887,157.00","1,601,189.39","3,415,523.42","3,473,538.73","3,688,856.85","2,730,409.26","11,754,589.84","6,961,014.28","9,153,691.08","7,423,403.79","14,207,135.27","8,853,788.80","10,478,075.50","10,729,434.58","15,860,136.15","11,790,913.54","13,647,879.53","12,635,772.56","14,100,519.68","9,551,995.34","10,628,776.53"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"8,979,803.17","6,275,525.06","6,930,476.59","7,388,950.54","5,243,668.28","9,217,999.15","8,297,366.66","9,301,020.65","3,813,407.35","12,365,243.19","12,262,265.20","10,497,151.80","8,141,573.84","11,950,692.11","3,544,988.15","16,634,244.73","14,200,564.55","31,184,315.22","24,081,511.63","25,818,647.23","26,200,528.20","33,793,410.44","32,567,051.13","33,782,508.58","31,685,958.06","36,932,003.63","40,336,398.63","41,893,044.09","42,548,039.02","106,496,862.50","73,516,455.14","78,555,454.06"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,"46,069.00",,,,,,,,"24,692.74","44,692.59","8,255.68","228,821.65","4,899.71","6,330.04","4,558.83","2,806.88","173,494.38","144,181.88",,"19,935.00","22,511.25","22,511.25"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,"17,276,420.50",,,,,,,,,,,,"4,232,863.43","261,098.38",,"5,019,063.76","5,019,063.76","5,019,063.76","5,019,063.76","6,002,324.96","5,019,063.76","5,019,063.76","5,019,063.76","5,019,063.76","5,019,063.76","1,517,060.14","1,517,060.14","1,517,060.14","1,517,060.14","1,517,060.14","1,517,060.14","12,670,076.59"
存货,"18,362,277.39","26,818,538.54","27,861,617.07","33,249,780.71","36,486,900.13","42,705,407.81","46,437,763.06","31,352,034.83","35,586,942.61","41,789,521.83","63,362,332.74","72,717,489.53","77,079,830.10","93,343,767.96","123,019,378.37","79,590,164.61","100,817,700.57","220,157,136.91","246,289,014.82","201,087,491.46","201,519,744.39","268,966,784.36","267,038,056.13","281,325,577.45","328,101,541.61","221,476,232.68","277,043,033.12","351,804,106.13","369,701,930.81","242,778,206.46","315,935,254.22","333,310,901.85"
