科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"216,342,657.73","390,957,621.80","671,082,061.16","202,989,186.12","486,413,672.19","913,488,838.64","1,172,666,567.38","271,210,766.55","537,243,331.72","703,502,617.97","812,428,913.26","110,636,810.02","282,551,264.60","432,641,512.01","547,582,946.71","137,436,552.03","354,714,006.25","602,334,812.54","769,043,911.38","205,660,316.53","620,394,779.04","987,856,058.08","1,365,837,103.09","336,256,536.99","724,037,987.27","1,116,384,116.61","1,587,612,035.77","151,107,124.26","403,312,814.64","746,436,128.35","1,192,388,541.63"
二、营业利润,"15,891,195.04","87,088,554.59","120,173,657.00","37,242,816.22","92,828,756.67","200,052,347.90","231,865,110.36","50,232,952.19","108,423,750.94","154,581,541.88","168,376,858.67","7,624,513.50","32,417,406.15","71,794,953.64","87,448,444.79","12,583,732.50","54,386,873.18","101,761,945.12","128,136,410.98","30,890,124.30","111,410,101.73","163,423,927.34","169,320,372.10","36,226,320.90","68,136,625.40","112,454,478.39","183,820,818.04","-3,061,863.75","-41,837,696.74","-23,614,901.25","-70,335,993.27"
减:营业成本,"154,479,345.03","256,494,440.98","484,365,872.05","149,455,533.65","341,221,330.43","638,134,653.61","850,797,600.70","208,458,204.18","395,902,331.71","507,993,553.23","589,039,199.33","92,879,651.31","217,770,715.80","318,519,318.64","406,386,937.74","115,735,146.04","273,256,281.94","457,161,505.63","577,162,221.03","150,565,399.16","434,750,630.01","707,720,727.16","983,928,512.11","256,891,966.37","562,710,108.91","852,223,239.65","1,167,523,732.34","107,686,212.09","316,483,753.07","593,291,630.30","934,801,185.83"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"35,165.50","490,013.69","1,839,423.63","637,048.42","1,761,050.29","2,050,893.23","4,787,566.72","2,031,604.89","4,232,941.46","4,692,776.22","5,844,579.13","1,151,412.81","2,765,304.94","3,773,758.89","4,171,487.78","137,375.76","479,299.46","2,110,977.77","2,431,173.69","87,769.39","2,232,967.02","5,727,121.63","7,059,377.98","201,916.34","3,251,369.79","5,784,602.33","14,280,982.22","1,322,157.68","2,911,870.91","5,261,786.33","8,994,175.38"
营业外收入,"58,750.00","1,805,250.12","2,413,470.00","5,111,900.00","9,131,300.00","9,604,106.00","13,083,216.59","100,100.00","190,100.00","1,895,800.00","4,921,636.69","1,352,234.72","1,509,775.01","1,625,199.00","3,271,653.15","123,993.98","613,650.02","760,024.01","3,266,198.00","81,673.99","493,204.87","2,802,134.42","14,616,845.63","512,645.16","9,840,565.71","11,668,015.94","25,366,589.13","5,958,337.09","6,346,089.10","7,728,762.67","142,800,159.83"
销售费用,"4,772,893.51","5,916,018.24","8,889,965.40","3,178,919.31","6,444,492.93","10,045,457.28","12,695,087.09","3,247,855.58","6,980,738.63","9,589,750.88","12,124,747.14","1,889,167.43","5,304,125.56","8,336,932.37","14,312,696.74","2,607,007.61","6,385,622.65","10,081,628.81","14,311,933.32","3,926,780.52","10,868,325.58","22,209,677.93","55,819,142.39","11,993,051.25","26,670,698.26","43,675,901.17","68,451,883.16","11,046,221.79","24,115,478.33","36,860,388.47","55,804,747.52"
减:营业外支出,"62,449.45","15,305,927.59","136,321.47",239.00,"57,232.25","57,232.25","655,140.51",,"2,050.50","404,388.31","479,976.74","6,032.78","28,575.44","107,548.43","771,320.93","71,000.47","350,493.60","373,846.58","491,725.20","224,775.83","564,133.14","622,264.71","974,504.48","5,452.18","12,570.57","15,592.15","283,143.88","833,705.64","1,687,566.63","2,814,290.68","839,340.29"
管理费用,"30,265,634.31","33,759,136.34","46,836,009.23","12,341,434.24","42,512,247.22","64,938,318.75","79,260,008.74","13,949,679.64","28,740,404.89","41,446,328.28","56,047,733.10","12,051,103.39","29,360,483.88","42,817,574.71","50,685,822.36","10,671,203.72","25,788,451.12","39,897,581.81","58,342,063.06","15,074,237.29","61,066,180.51","96,393,059.95","151,842,451.53","35,608,348.36","76,518,917.84","117,566,021.90","173,478,241.02","40,833,962.17","80,799,732.07","116,379,601.67","145,781,480.42"
其中:非流动资产处置净损失,,"-1,257,278.88","127,766.74",,,,"655,140.39",,,,"464,982.74","6,032.78","28,575.44","107,548.43","771,320.93","13,805.20","293,298.33","316,651.31","434,529.93","224,775.83","332,022.78","360,071.95","562,311.72","5,452.18","12,570.57","12,917.27","12,917.27","206,752.89","438,091.06","791,657.46",
