科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"1,596,735,830.68","2,511,486,083.11","3,056,943,594.70","817,163,149.54","1,586,065,276.81","2,373,986,436.62","3,486,014,537.72","847,593,457.66","1,726,613,196.45","2,559,493,207.89","3,609,534,332.69","810,660,722.67","1,569,588,604.23","2,279,625,297.85","3,589,993,967.03","990,540,935.47","1,925,273,851.80","2,667,855,005.12","4,383,045,188.49","1,032,281,471.82","1,895,466,732.05","2,616,257,668.92","3,769,158,793.01","1,030,885,672.63","1,903,315,554.74","2,497,309,500.49"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,"1,071,000.00",,,,,,,
收到的税费返还,"1,139,762.58","983,744.15","684,612.00",,,"574,962.83",,,,,,,,,,,,,"482,523.85",,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,"40,094,000.36",,,,,,,
收到其他与经营活动有关的现金,"216,261,018.49","105,718,781.41","126,229,322.91","23,613,066.59","89,542,346.83","95,952,148.81","558,498,178.12","51,858,130.77","158,641,787.95","216,948,437.06","166,792,517.47","77,883,674.29","155,584,836.39","217,867,428.37","192,829,195.43","116,591,002.05","191,277,881.28","293,473,875.99","325,446,363.14","61,861,180.62","130,860,046.48","204,878,822.70","365,680,210.03","78,240,416.82","145,992,806.70","204,269,422.43"
投资活动现金流出小计,"7,502,921.91","270,945,744.38","156,260,917.43","16,750,226.09","87,344,505.35","275,894,426.32","205,913,594.45","129,741,524.61","641,250,330.47","718,693,246.08","2,591,960,442.09","51,921,222.20","125,155,010.07","648,464,565.50","665,279,571.91","671,457,229.60","710,249,387.03","1,160,572,319.38","1,815,242,139.89","476,231,205.90","593,005,464.91","838,877,501.31","1,620,748,268.18","227,554,513.15","317,300,678.32","451,172,254.02"
经营活动现金流入小计,"1,814,136,611.75","2,618,188,608.67","3,183,857,529.61","840,776,216.13","1,675,607,623.64","2,470,513,548.26","4,044,512,715.84","899,451,588.43","1,885,254,984.40","2,776,441,644.95","3,776,326,850.16","888,544,396.96","1,725,173,440.62","2,497,492,726.22","3,782,823,162.46","1,107,131,937.52","2,116,551,733.08","2,961,328,881.11","4,708,974,075.48","1,094,142,652.44","2,026,326,778.53","2,821,136,491.62","4,134,839,003.04","1,109,126,089.45","2,049,308,361.44","2,701,578,922.92"
投资活动产生的现金流量净额,"-7,502,921.91","-270,783,729.18","-116,197,364.80","-2,165,390.20","-38,289,218.78","-78,619,903.89","-205,386,996.73","-77,299,708.45","-634,447,250.23","-510,974,769.07","-724,772,788.76","151,219,951.68","-117,465,564.13","-237,596,854.06","-246,242,053.61","-528,226,835.94","-263,073,036.10","-651,758,689.35","-1,192,325,665.53","-244,700,015.12","131,190,915.27","-16,803,505.79","-355,822,718.75","-158,590,956.91","-10,110,997.48","-30,967,826.65"
购买商品、接受劳务支付的现金,"1,453,960,009.30","1,588,559,920.56","1,885,504,471.25","702,424,364.20","1,195,066,520.98","1,723,025,320.56","2,344,440,150.67","775,108,839.97","1,445,640,506.56","2,009,676,967.00","2,472,246,842.63","536,754,019.45","996,230,016.13","1,623,843,306.41","2,520,945,173.79","512,498,292.48","1,012,277,159.52","1,570,998,193.75","1,995,377,393.98","643,620,477.38","1,124,091,823.39","1,770,110,165.65","2,385,587,433.88","767,902,070.38","1,264,716,256.98","1,850,025,914.21"
吸收投资收到的现金,,"150,000,000.00",,,"2,017,993,500.00","2,017,993,500.00","2,006,699,497.79",,,,,,,,,,,,,,,,,,,
