科目,2012-12-31,2013-12-31,2014-12-31,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"49,257,245.98","53,632,961.23","49,065,973.38","118,993,439.45","126,488,534.31","458,779,655.64","218,711,151.11","155,679,087.23","162,944,712.38","163,299,789.88","190,817,078.34","165,194,064.88","197,631,383.33","169,741,362.01","153,294,698.44","182,050,931.76","187,120,581.35","257,727,802.04"
短期借款,"244,571,000.00","328,020,506.88","262,377,960.00","407,548,450.00","449,902,000.00","500,680,800.00","431,100,000.00","416,000,000.00","434,000,000.00","415,000,000.00","434,548,800.00","404,548,800.00","408,068,400.00","479,135,643.20","482,027,172.86","483,112,758.32","862,508,178.31","962,604,051.16"
交易性金融资产,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,
应收票据,"33,414,913.03","91,415,642.27","37,816,340.06","15,858,736.87","25,879,705.21","22,076,336.97","42,543,569.87","30,653,984.09","34,303,168.76","63,636,409.28","96,621,823.89","87,322,381.64","84,506,829.42","90,657,517.60","49,735,008.92","103,865,705.37","36,451,525.33","98,309,635.37"
应付票据,,"9,500,000.00","5,000,000.00","13,000,000.00","13,600,000.00","14,000,000.00",,"6,359,448.61","9,306,607.01","2,947,158.40",,,,"3,514,465.00","5,811,840.00",,"64,057,204.71",
应收账款,"57,288,957.01","51,392,354.26","64,727,306.93","81,147,426.92","114,989,280.45","146,463,102.74","134,995,944.41","119,329,679.49","103,058,424.32","172,582,792.45","180,509,128.01","158,215,793.29","154,758,968.16","196,794,586.17","215,540,294.28","184,578,576.09","287,629,140.24","268,216,116.94"
应付账款,"71,138,763.14","59,192,460.85","86,639,172.00","68,181,556.70","73,835,157.76","60,700,974.33","73,897,142.27","70,513,558.18","62,263,872.48","59,733,142.00","60,250,564.29","52,631,966.65","62,519,341.07","51,257,064.89","79,327,512.15",,"156,876,083.34",
预付款项,"7,443,737.56","1,298,217.90","2,826,089.44","10,243,759.75","3,864,529.21","7,346,172.43","10,039,751.61","4,864,951.66","1,847,975.25","13,575,838.47","5,702,057.78","11,135,060.12","7,144,899.69","17,778,487.68","5,679,593.18","13,280,990.74","6,938,864.15","8,803,825.64"
预收款项,"20,254,652.15","192,140.46","241,702.04","1,326,976.17","502,638.42",,"194,049.09","905,957.63","2,694,013.41","1,170,822.40","629,922.04","4,874,163.47","1,206,518.76","161,574.68","1,055,213.64","1,366,435.98","229,229.99","916,607.41"
其他应收款,"1,863,435.22","4,525,634.83","3,515,712.09","2,704,796.39","2,639,191.99","2,451,384.92","2,370,857.28","2,338,952.83","1,482,427.77","1,689,758.32","1,506,334.31","1,782,546.53","9,881,627.33","2,279,606.50","3,161,697.53","17,895,444.60","3,243,206.83","3,606,159.47"
应付职工薪酬,"8,807,367.16","11,450,982.91","16,319,790.77","11,234,135.29","20,405,052.48","8,644,685.20","13,095,525.20","15,533,886.21","20,409,920.40","11,828,310.73","13,630,522.19","16,828,636.22","19,537,647.49","11,442,309.97","13,379,269.61","16,483,397.88","23,740,555.07","12,473,435.53"
应收关联公司款,,,,,,,,,,,,,,,,,,
