科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"33,840,594.19","99,426,420.53","112,486,207.63","161,798,340.68","116,282,975.27","96,295,798.04","329,764,218.94","567,033,801.10","464,741,436.21","526,876,287.77","788,724,426.49","743,688,931.37","748,597,468.55","819,087,629.45","948,967,405.66","1,619,855,332.19","1,445,568,776.43","997,248,706.49","1,149,571,308.83","997,682,297.73","906,876,072.10","1,101,032,282.01","1,014,412,506.68","851,378,810.71","989,971,229.70","1,207,888,873.64","787,588,639.45"
短期借款,"89,000,000.00","230,000,000.00","560,000,000.00","680,000,000.00","634,000,000.00","624,000,000.00","624,000,000.00","909,000,000.00","891,000,000.00","964,000,000.00","1,385,100,000.00","1,333,500,000.00","1,531,500,000.00","1,788,114,858.32","2,169,600,000.00","2,304,300,000.00","2,487,660,000.00","2,549,568,091.50","3,136,068,091.50","2,919,434,091.50","3,082,086,091.50","3,343,583,461.17","2,835,306,603.29","2,782,435,185.69","5,082,566,900.94","3,628,442,321.58","5,510,615,621.58"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,"33,198,000.00","279,505,200.00","433,846,500.00","353,075,000.00","479,498,250.00","583,583,280.00","835,014,200.00","810,194,840.00","876,714,480.00","832,340,510.00","916,846,909.45","870,513,440.01","1,702,558,880.01","1,777,053,800.00","2,114,669,660.00","2,340,612,960.00","1,954,231,740.00","1,950,024,710.00","1,180,617,250.00","1,473,704,550.00","1,347,349,610.00","1,483,533,120.00","1,373,024,033.35","975,982,750.01","518,632,820.00",,
应收票据,,,,,,"1,000,000.00","1,000,000.00",,"6,000,000.00","9,000,000.00","3,000,000.00","25,000,000.00","25,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,082,160.30","59,781,338.70","19,800,000.00","71,059,405.01","71,059,405.01",,,,,"47,500,000.00","47,500,000.00"
应付票据,,,,,"2,365,500.00","3,930,000.00","16,000,000.00","14,770,000.00","13,300,000.00","12,500,000.00","12,500,000.00","12,500,000.00","159,000,000.00","111,000,000.00","136,250,000.00","155,750,000.00","125,341,908.50","200,342,008.50","193,092,008.50","192,592,008.50","518,222,280.00","509,118,680.00","989,855,500.00","973,470,000.00",,"656,570,000.00",
应收账款,"92,787,149.20","113,741,208.63","388,395,152.37","627,826,661.14","759,949,558.49","755,005,348.68","985,547,624.25","976,403,541.02","1,004,288,406.68","1,128,444,887.05","1,253,693,627.50","1,478,057,696.58","1,881,248,712.06","1,941,764,763.34","2,492,144,267.37","2,294,310,769.59","2,614,041,405.27","2,715,766,067.54","3,167,898,841.14","3,657,846,729.28","4,406,289,682.80","6,185,890,879.02","5,587,554,026.18","5,518,432,240.61","6,234,812,943.93","4,144,021,834.80","4,809,494,622.20"
应付账款,"248,247,288.61","62,217,227.14","76,557,581.58","33,098,821.85","24,541,748.02","17,898,447.69","40,280,390.39","194,572,344.51","186,407,239.83","96,952,359.98","141,373,711.56","149,071,789.45","328,424,971.21","123,207,728.65","139,114,360.86","149,147,123.99","298,024,798.51","316,133,734.10","490,816,942.70","668,208,286.51","656,241,698.76","1,111,785,780.89","1,307,303,283.29","1,426,867,059.05",,"1,419,333,672.19",
预付款项,"41,419,730.39","76,093,818.44","130,140,524.95","105,506,475.04","89,643,537.52","89,628,855.38","85,517,985.27","90,559,061.21","268,831,716.74","151,430,769.34","400,727,116.71","607,399,310.89","483,491,268.43","396,506,548.69","483,906,962.98","294,532,624.29","395,540,311.34","395,303,217.69","446,759,438.60","645,001,296.02","771,449,546.92","480,728,566.32","1,671,531,176.70","1,066,524,034.26","1,250,217,714.55","556,420,390.05","599,903,957.65"
预收款项,"88,460,896.49","22,854,266.09","102,296,337.57","25,883,927.76","38,893,988.88","115,119,003.77","93,075,319.48","141,378,529.34","117,545,298.02","175,621,569.26","146,675,415.86","260,263,805.39","289,526,067.37","164,594,449.65","162,633,223.45","209,824,043.63","184,145,168.61","270,269,015.60","302,944,038.05","143,011,396.09","232,917,703.93","228,482,121.17","1,158,886,265.66","1,118,432,718.11","1,154,627,056.24","653,362,989.51","609,990,672.75"
其他应收款,"15,661,604.11","53,605,204.93","70,189,065.03","74,761,800.40","88,594,675.54","116,663,663.93","131,618,580.36","150,968,351.25","134,702,309.83","132,016,194.78","120,648,936.07","167,369,916.36","251,611,534.96","246,731,178.38","217,292,736.28","231,926,960.72","280,254,814.97","252,608,030.73","272,770,522.49","345,826,998.08","250,976,996.99","219,421,205.71","235,814,514.78","303,510,895.34","405,214,198.12","646,531,052.66","680,264,109.82"
