科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"4,310,694,752.11","6,799,855,408.24","7,293,618,344.45","3,762,845,613.04","5,462,977,664.97","7,010,382,568.99","2,204,148,591.82","4,254,060,929.06","6,665,206,815.35","8,440,331,100.90","2,050,895,868.55","4,453,363,485.58","6,129,933,567.18","8,244,542,081.93","1,972,778,616.61","4,046,188,388.77","5,753,366,389.76","8,336,437,362.94","1,634,051,428.79","3,381,491,748.39","5,462,048,436.55","7,147,404,806.50","1,987,874,939.49","4,186,549,407.99","6,411,359,759.68","8,797,756,860.13"
取得子公司及其他营业单位支付的现金净额,"-266,011.15",,"-3,738,717.44",,,,,,,,,,,"1,290,628.45","137,410,000.00","137,410,000.00","137,410,000.00","137,410,000.00",,"66,146,567.42","308,317,727.42","333,662,486.93","169,052,880.00","172,167,640.00","188,110,480.00","188,110,480.00"
收到的税费返还,,,,,,"2,949,306.10",,,,"1,445,106.47",,,,"1,864,716.94",,,,"614,389.08",,,,"736,328.18",,,,
支付其他与投资活动有关的现金,,,"1,277,014.73","726,046.63","726,046.63",,,,,,,,,,,,,,,,,,,"771,283.44","771,283.44","981,918.41"
收到其他与经营活动有关的现金,"11,359,970.95","13,778,280.30","93,846,643.01","62,500,899.74","62,676,847.07","30,178,600.45","3,025,348.99","78,924,573.12","81,648,859.81","124,627,807.81","20,577,122.87","65,208,015.02","77,608,905.54","174,279,077.78","11,018,466.25","29,439,676.47","35,108,740.71","49,220,140.28","7,203,524.34","42,238,912.76","47,921,643.79","63,159,806.82","11,779,880.67","14,884,931.66","24,581,465.44","34,269,653.85"
投资活动现金流出小计,"6,257,968.85","69,237,200.30","48,918,123.60","12,632,275.65","32,412,186.07","69,721,530.44","69,842,587.90","32,375,233.27","62,927,221.13","48,973,469.88","13,218,622.70","94,079,939.03","95,222,255.82","59,090,575.62","226,783,163.52","226,115,305.28","208,877,482.36","231,838,847.06","2,087,204.78","112,522,077.07","429,651,225.08","441,879,670.90","177,000,620.13","206,151,494.72","295,249,404.97","342,073,497.43"
经营活动现金流入小计,"4,322,054,723.06","6,813,633,688.54","7,387,464,987.46","3,825,346,512.78","5,525,654,512.04","7,043,510,475.54","2,207,173,940.81","4,332,985,502.18","6,746,855,675.16","8,566,404,015.18","2,071,472,991.42","4,518,571,500.60","6,207,542,472.72","8,420,685,876.65","1,983,797,082.86","4,075,628,065.24","5,788,475,130.47","8,386,271,892.30","1,641,254,953.13","3,423,730,661.15","5,509,970,080.34","7,211,300,941.50","1,999,654,820.16","4,201,434,339.65","6,435,941,225.12","8,832,026,513.98"
投资活动产生的现金流量净额,"-5,724,930.14","-68,815,061.58","-35,599,432.03","-928,127.01","-20,521,145.43","-54,223,929.51","-69,590,576.36","-26,747,323.03","-57,173,233.78","-43,446,284.11","-13,086,262.74","-91,852,861.39","-92,793,665.27","-57,033,372.58","-226,753,079.57","-222,767,045.69","-204,884,665.52","-226,817,852.33","-1,168,133.21","-12,302,828.00","-313,136,394.29","-351,494,142.88","-176,828,264.60","-203,089,703.57","-281,334,443.47","-283,393,442.71"
购买商品、接受劳务支付的现金,"4,174,916,999.23","6,259,027,962.61","6,939,909,421.51","3,718,777,303.96","5,290,848,736.08","6,738,640,198.59","2,004,076,604.35","4,115,957,118.40","6,354,018,837.88","8,273,705,736.88","1,842,470,283.69","4,008,673,792.85","5,531,120,973.33","7,589,822,575.13","1,878,297,225.97","3,658,237,465.14","5,268,426,779.99","7,549,266,773.83","1,441,723,252.72","2,846,740,864.64","4,786,303,017.60","6,051,879,082.99","1,807,416,985.13","3,632,326,086.59","5,554,947,376.22","7,569,351,174.95"
吸收投资收到的现金,,,,"666,000,000.00","666,000,000.00","629,489,200.00",,,,,,,,,,,,"24,880,020.00",,,"1,163,999,991.59","1,122,409,411.27",,"18,192,768.00","18,192,768.00","18,192,768.00"
支付给职工以及为职工支付的现金,"138,030,218.04","154,044,990.03","163,456,045.20","109,556,256.18","144,829,466.96","209,363,961.98","49,953,911.18","124,335,372.18","170,442,212.85","236,796,225.83","53,596,977.87","140,724,937.23","194,878,107.41","265,957,297.30","77,284,080.74","192,857,314.29","236,139,110.38","364,788,410.87","96,065,243.92","213,666,747.48","300,630,944.36","440,312,438.96","132,865,345.38","294,210,133.71","399,918,699.34","542,139,012.47"
取得借款收到的现金,"786,592,429.92","303,762,911.48","753,797,310.40","374,249,000.00","705,291,416.71","1,055,026,038.35","247,685,634.26","501,871,131.19","735,826,807.92","1,112,820,989.20","137,022,547.19","482,384,583.31","566,323,067.29","822,188,994.90","326,173,180.76","820,137,645.00","1,094,807,273.89","1,281,800,219.56","278,886,844.05","546,202,801.09","636,819,585.96","693,617,914.07","36,157,749.16","15,146,666.77","185,789,693.90","171,927,906.52"
支付的各项税费,"38,451,086.35","51,152,745.82","55,813,018.66","31,553,761.79","49,777,305.39","75,710,654.29","12,308,969.11","35,927,301.88","45,752,821.04","80,076,811.82","36,101,414.77","81,584,940.16","113,803,670.41","135,613,058.92","20,095,653.18","50,710,343.61","60,514,515.70","73,022,080.43","18,886,415.04","70,595,123.03","128,530,020.32","113,697,783.78","28,681,269.94","66,194,590.48","138,861,643.25","140,251,678.69"
收到其他与筹资活动有关的现金,"527,179,212.58","130,669,059.12",,,,"4,923,667.21","93,044.69",,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"74,425,646.59","103,812,115.71","163,132,183.02","136,837,029.71","210,301,117.74","191,921,977.38","106,341,536.79","92,719,255.30","200,667,600.99","200,450,991.62","37,775,591.42","102,027,539.33","120,798,408.40","194,819,758.31","33,798,035.79","56,439,377.85","139,984,679.84","125,510,491.78","29,830,616.67","65,948,034.05","124,626,064.42","169,008,100.53","45,698,686.88","69,155,592.95","132,845,566.34","165,624,327.07"
筹资活动现金流入小计,"1,313,771,642.50","434,431,970.60","753,797,310.40","1,040,249,000.00","1,371,291,416.71","1,689,438,905.56","247,778,678.95","501,871,131.19","735,826,807.92","1,112,820,989.20","137,022,547.19","482,384,583.31","566,323,067.29","822,188,994.90","326,173,180.76","820,137,645.00","1,094,807,273.89","1,306,680,239.56","278,886,844.05","546,202,801.09","1,800,819,577.55","1,816,027,325.34","36,157,749.16","33,339,434.77","203,982,461.90","190,120,674.52"
经营活动现金流出小计,"4,425,823,950.21","6,568,037,814.17","7,322,310,668.39","3,996,724,351.64","5,695,756,626.17","7,215,636,792.24","2,172,681,021.43","4,368,939,047.76","6,770,881,472.76","8,791,029,766.15","1,969,944,267.75","4,333,011,209.57","5,960,601,159.55","8,186,212,689.66","2,009,474,995.68","3,958,244,500.89","5,705,065,085.91","8,112,587,756.91","1,586,505,528.35","3,196,950,769.20","5,340,090,046.70","6,774,897,406.26","2,014,662,287.33","4,061,886,403.73","6,226,573,285.15","8,417,366,193.18"
偿还债务支付的现金,"681,406,999.08","216,773,474.97","555,824,747.06","466,571,777.52","826,349,930.61","1,134,319,610.54","200,209,679.35","480,147,876.55","679,722,378.37","883,174,867.49","148,217,408.71","609,659,870.35","738,604,144.33","932,202,085.00","187,818,503.96","641,075,106.69","822,905,398.00","1,106,316,560.70","287,735,262.90","592,250,336.89","1,204,741,981.76","1,354,209,809.87","17,840,040.93","18,074,466.77","55,756,469.93","155,672,312.86"
经营活动产生的现金流量净额,"-103,769,227.15","245,595,874.37","65,154,319.07","-171,377,838.86","-170,102,114.13","-172,126,316.70","34,492,919.38","-35,953,545.58","-24,025,797.60","-224,625,750.97","101,528,723.67","185,560,291.03","246,941,313.17","234,473,186.99","-25,677,912.82","117,383,564.35","83,410,044.56","273,684,135.39","54,749,424.78","226,779,891.95","169,880,033.64","436,403,535.24","-15,007,467.17","139,547,935.92","209,367,939.97","414,660,320.80"
分配股利、利润或偿还利息支付的现金,"138,974,137.50","12,976,744.24","34,845,267.26","43,134,723.57","49,156,562.71","55,365,423.56","4,060,067.67","8,470,189.86","21,864,361.62","29,538,257.17","11,889,420.27","17,833,908.79","37,737,470.18","135,253,592.72","42,705,308.47","70,279,947.78","106,140,565.08","118,046,167.20","6,367,562.19","43,366,606.00","49,996,197.37","80,928,980.90","13,784,304.68","70,402,506.31","91,633,827.84","84,845,277.34"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,"98,000,000.00","98,000,000.00","71,500,000.00",,,"5,897,200.00","13,929,200.00"
支付其他与筹资活动有关的现金,"464,566,883.51","310,637,242.86","19,161,143.36","44,599,712.56","44,599,712.56","9,858,912.56",,,,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,,,,,,,,,,,,,,,,"1,008,000.00","1,008,000.00","1,008,000.00",,,"3,036,263.06","2,314,607.18",,"2,184,000.00","7,071,170.35","42,454,572.88"
筹资活动现金流出小计,"1,284,948,020.09","540,387,462.07","609,831,157.68","554,306,213.65","920,106,205.88","1,199,543,946.66","204,269,747.02","488,618,066.41","701,586,739.99","912,713,124.66","160,106,828.98","627,493,779.14","776,341,614.51","1,067,455,677.72","230,523,812.43","711,355,054.47","929,045,963.08","1,224,362,727.90","294,102,825.09","635,616,942.89","1,254,738,179.13","1,435,138,790.77","31,624,345.61","88,476,973.08","147,390,297.77","240,517,590.20"
处置固定资产、无形资产和其他长期资产收回的现金净额,"867,756.00","422,138.72","2,318,691.57","704,148.64","891,040.64","1,497,600.93","252,011.54","627,910.24","753,987.35","527,185.77","132,359.96","2,227,077.64","2,428,590.55","2,057,203.04","30,083.95","2,340,259.59","2,984,816.84","4,012,994.73","919,071.57","2,219,249.07","2,478,567.73","2,760,205.11","172,355.53","877,791.15","946,591.15","2,296,281.84"
筹资活动产生的现金流量净额,"28,823,622.41","-105,955,491.47","143,966,152.72","485,942,786.35","451,185,210.83","489,894,958.90","43,508,931.93","13,253,064.78","34,240,067.93","200,107,864.54","-23,084,281.79","-145,109,195.83","-210,018,547.22","-245,266,682.82","95,649,368.33","108,782,590.53","165,761,310.81","82,317,511.66","-15,215,981.04","-89,414,141.80","546,081,398.42","380,888,534.57","4,533,403.55","-55,137,538.31","56,592,164.13","-50,396,915.68"
处置子公司及其他营业单位收到的现金净额,"-334,717.29",,,,,,,,,,,,,,,,,,,,"13,000,000.00","13,810,715.73",,,,
四、汇率变动对现金的影响,"2,278,372.32","-2,432,502.38","-9,995,369.20","2,242,917.01","3,038,391.81","-406,488.31","-212,708.55","-4,934,430.49","-6,532,027.69","-4,679,696.69","440,674.07","2,014,287.05","570,977.61","311,273.72","784,452.18","-308,808.04","6,590,218.00","11,060,397.66","-1,433,167.13","9,845,800.89","12,912,999.24","33,605,607.86","-3,755,030.24","-15,680,655.40","-28,879,245.95","-37,791,892.69"
收到其他与投资活动有关的现金,,,"11,000,000.00","11,000,000.00","11,000,000.00","14,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00",,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"533,038.71","422,138.72","13,318,691.57","11,704,148.64","11,891,040.64","15,497,600.93","252,011.54","5,627,910.24","5,753,987.35","5,527,185.77","132,359.96","2,227,077.64","2,428,590.55","2,057,203.04","30,083.95","3,348,259.59","3,992,816.84","5,020,994.73","919,071.57","100,219,249.07","116,514,830.79","90,385,528.02","172,355.53","3,061,791.15","13,914,961.50","58,680,054.72"
五、现金及现金等价物净增加额,"-78,392,162.56","68,392,818.94","163,525,670.56","315,879,737.49","263,600,343.08","263,138,224.38","8,198,566.40","-54,382,234.32","-53,490,991.14","-72,643,867.23","65,798,853.21","-49,387,479.14","-55,299,921.71","-67,515,594.69","-155,997,171.88","3,090,301.15","50,876,907.85","140,244,192.38","36,932,143.40","134,908,723.04","415,738,037.01","499,403,534.79","-191,057,358.46","-134,359,961.36","-44,253,585.32","43,078,069.72"
购建固定资产、无形资产和其他长期资产支付的现金,"6,523,980.00","66,237,200.30","29,076,054.43","11,906,229.02","31,686,139.44","69,721,530.44","19,752,587.90","32,375,233.27","37,927,221.13","48,973,469.88","8,218,622.70","14,079,939.03","15,222,255.82","57,799,947.17","9,373,163.52","38,705,305.28","21,467,482.36","54,428,847.06","2,087,204.78","6,375,509.65","81,333,497.66","108,217,183.97","7,947,740.13","33,212,571.28","106,367,641.53","152,981,099.02"
期初现金及现金等价物余额,"213,717,619.40","135,325,456.84","203,718,275.78","367,243,946.34","367,243,946.34","367,243,946.34","630,382,170.72","630,382,170.72","630,382,170.72","630,382,170.72","557,738,303.49","557,738,303.49","557,738,303.49","557,738,303.49","557,738,303.49","490,222,708.80","490,222,708.80","490,222,708.80","630,466,901.18","630,466,901.18","630,466,901.18","630,466,901.18","1,129,870,435.97","1,129,870,435.97","1,129,870,435.97","1,129,870,435.97"
投资支付的现金,,"3,000,000.00","22,303,771.88",,,,"50,090,000.00",,"25,000,000.00",,"5,000,000.00","80,000,000.00","80,000,000.00",,"80,000,000.00","50,000,000.00","50,000,000.00","40,000,000.00",,"40,000,000.00","40,000,000.00",,,,,
期末现金及现金等价物余额,"135,325,456.84","203,718,275.78","367,243,946.34","683,123,683.83","630,844,289.42","630,382,170.72","638,580,737.12","575,999,936.40","576,891,179.58","557,738,303.49","623,537,156.70","508,350,824.35","502,438,381.78","490,222,708.80","401,741,131.61","493,313,009.95","541,099,616.65","630,466,901.18","667,399,044.58","765,375,624.22","1,046,204,938.19","1,129,870,435.97","938,813,077.51","995,510,474.61","1,085,616,850.65","1,172,948,505.69"
