科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"5,087,408.74","668,778.57","11,169,562.11","10,195,736.36","10,832,554.27","237,562,837.71","219,011,262.64","198,073,028.82","185,635,627.34","154,116,393.62","115,027,406.46","97,929,631.42","66,572,904.95","45,705,050.19","48,105,922.03","25,432,203.25","20,230,975.93","27,728,204.13","20,884,556.43","9,648,457.72","14,358,818.78","11,545,606.90","42,287,819.61","27,291,596.06","20,611,399.94","198,946,384.76","209,295,840.32","165,681,030.19","236,524,320.91","179,098,491.77","198,901,399.66","137,802,567.43","134,236,931.42","286,913,394.95","378,715,171.01","122,528,908.38","118,613,271.20","152,873,056.35","252,883,029.21","139,449,832.16"
短期借款,"10,000,000.00","12,000,000.00","13,750,000.00","24,750,000.00","29,750,000.00","14,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00","20,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,,,"5,000,000.00","25,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00",,"225,000,000.00","225,000,000.00","14,000,000.00",,,,"175,000,000.00","545,000,000.00","582,000,000.00","582,000,000.00","582,000,000.00","670,576,294.45","659,298,200.02"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,"1,300,000.00",,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"64,325.78","569,595.00","1,470,200.87","578,662.48","1,126,396.00","651,451.46","798,649.07","1,843,148.28","885,715.20","2,866,541.32","2,772,845.83","4,893,180.27","6,376,019.70","1,338,749.87","4,219,060.16","1,677,239.00","1,709,476.90","2,314,000.00","8,224,425.70","4,033,780.00","3,805,906.90","5,366,182.00","2,807,364.12","2,830,550.00","5,117,806.60","5,628,209.67","2,018,228.05","450,000.00","8,206,478.27","1,960,443.80","6,346,075.10","899,180.16","2,536,929.35","1,790,200.00","479,955.95","5,249,907.91","5,447,107.20","3,263,719.38","1,659,762.00","34,608,764.83"
应付票据,,,,,,,,,,,,,,"3,200,000.00","7,780,000.00","7,780,000.00","3,200,000.00","4,000,000.00","4,000,000.00","6,700,000.00","11,200,000.00","8,700,000.00","9,200,000.00","14,870,000.00","9,870,000.00",,,"10,000,000.00","10,000,000.00",,"1,600,000.00","24,700,000.00","33,200,000.00","33,430,000.00","34,830,000.00","17,700,000.00","15,500,000.00",,"26,300,000.00",
应收账款,"10,755,489.22","9,973,591.20","10,697,699.74","11,552,304.47","14,356,848.94","12,717,901.54","16,395,279.56","21,861,006.06","18,390,691.94","21,250,517.59","18,889,185.66","30,046,178.03","34,159,774.23","28,362,792.08","22,333,855.21","28,487,310.49","31,400,231.38","22,737,885.23","26,090,249.54","31,579,064.56","33,780,030.26","36,056,196.02","28,340,679.68","30,991,225.59","30,504,921.63","68,698,933.10","64,456,141.90","81,867,803.43","83,878,733.61","83,438,773.23","76,315,079.80","99,282,637.51","111,735,192.27","119,952,436.32","103,364,192.84","136,317,100.03","157,310,630.21","179,392,831.87","185,983,286.71","170,101,694.88"
应付账款,"7,178,678.14","10,762,589.02","7,108,312.79","10,837,040.59","2,583,494.03","3,319,549.33","9,196,054.39","9,440,595.66","11,533,138.75","15,917,028.46","20,988,754.08","22,231,174.48","15,642,910.51","22,755,802.77","22,668,675.51","15,995,424.87","12,947,391.24","13,671,188.07","30,384,028.11","23,541,575.27","22,480,475.78","27,675,153.64","24,956,931.46","23,080,786.76","23,269,862.71","26,604,256.06","20,568,055.25","22,088,496.52","26,666,255.26","26,893,470.46","27,670,831.43","31,442,915.71","31,271,143.58","29,301,652.80","35,879,557.69","38,169,442.91","41,239,985.76",,"60,036,450.95",
预付款项,"4,097,253.01","8,025,808.05","6,138,911.51","7,785,538.10","2,478,620.61","9,830,567.19","5,943,675.23","10,538,252.89","8,185,869.79","13,382,132.64","3,949,455.79","5,934,117.69","3,570,004.42","17,218,025.62","3,641,107.98","6,219,646.24","6,876,370.12","8,277,489.79","3,341,207.06","9,039,592.71","8,837,573.44","18,652,768.80","4,256,839.12","6,021,110.13","7,132,377.91","21,909,038.60","16,525,901.09","36,379,898.76","26,831,102.85","31,793,686.27","13,894,866.53","38,287,854.88","55,401,792.32","48,515,699.41","37,997,119.19","72,707,497.84","69,281,258.10","68,193,218.14","35,454,552.60","59,116,027.18"
预收款项,"415,611.56","839,690.35","1,307,987.13","2,110,708.11","2,513,019.47","1,937,961.28","1,539,334.98","1,513,147.38","7,682,886.59","3,546,529.79","2,542,009.61","2,704,795.56","3,038,793.47","2,124,143.83","1,417,584.13","3,389,877.69","2,248,384.52","1,697,130.13","2,846,658.96","3,609,896.10","4,432,006.10","1,988,977.23","2,820,919.22","5,920,711.08","2,240,997.86","1,477,609.29","4,308,956.99","3,944,281.79","2,641,222.54","4,268,721.89","7,598,962.07","7,398,213.51","8,689,847.90","5,909,343.43","6,938,872.25","10,235,243.28","7,056,224.23","15,364,893.36","7,777,430.82","10,492,381.25"
