科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"162,276,054.32","185,363,305.12","260,167,936.10","160,191,293.23","215,845,447.98","339,763,065.09","45,580,314.30","156,521,194.44","223,452,641.98","325,629,808.45","66,866,418.67","160,252,879.01","252,467,888.48","358,377,607.80","88,133,207.23","218,902,027.49","472,600,697.09","722,703,067.72","128,238,357.10","272,945,763.30","559,131,099.99","640,306,159.16","389,696,207.52","514,113,833.40","917,502,401.11","1,174,580,580.48","345,861,181.38","904,173,970.21","1,230,296,676.99","1,559,255,082.08","718,110,641.45","1,336,089,163.49","1,969,647,999.06","1,462,804,280.42","464,388,566.04"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,"35,516,798.31",,,,"62,257,530.62",,,,"297,869,058.40",,,,"337,622,775.71",,"42,065,500.00",,,
收到的税费返还,"186,538.23","104,284.07","174,474.86","305,502.76","305,502.76","665,879.91","258,524.92","723,358.19","1,242,692.73","1,390,558.61",,"224,041.30","224,041.30","706,051.67",,,,"968,839.29",,"7,061,470.54","6,010,694.01","11,578,961.76","59,507.71","318,240.72","2,291,994.55","6,189,720.76","15,160.17","1,284,122.00","2,203,851.23","3,264,741.00","1,077,226.17","1,566,765.39","24,799,392.47","3,981,764.20","101,724.12"
支付其他与投资活动有关的现金,"13,890,077.87",,,,,,,"13,360,200.50",,,,,,,,,,,,,64.00,,"12,000,000.00",,,,"20,000,000.00","2,078,286.67","2,002,124.40",,"105,000,000.00",,,"12,000,000.00",
收到其他与经营活动有关的现金,"15,676,440.34","6,831,040.34","16,241,939.25","11,832,347.99","15,171,725.99","20,539,729.83","7,534,808.93","13,731,278.06","18,206,282.84","17,671,014.65","2,026,829.97","6,068,014.06","7,804,103.94","9,084,312.78","5,669,425.01","16,690,574.61","45,047,077.81","95,215,043.78","82,075,370.38","32,429,727.81","222,484,452.23","62,400,248.51","216,935,741.96","289,866,096.35","292,994,411.24","315,669,401.54","153,668,548.10","206,900,353.52","641,267,065.24","272,157,109.60","266,136,156.84","120,221,927.74","674,701,863.25","295,707,333.19","424,355,200.16"
投资活动现金流出小计,"28,703,621.34","18,976,424.17","51,017,570.92","33,796,647.47","38,777,903.90","103,859,632.35","24,707,462.00","57,351,384.13","93,885,873.76","107,780,064.65","8,341,879.87","46,038,231.09","68,782,642.94","82,344,869.53","36,039,823.22","54,932,169.16","81,563,428.23","134,942,989.27","56,782,961.10","68,848,778.78","128,913,254.95","152,943,966.72","107,324,221.40","506,467,092.87","564,958,097.82","1,109,539,593.97","580,802,808.98","445,245,353.35","513,061,865.96","1,268,461,364.74","363,136,543.96","1,233,716,578.04","1,714,668,124.13","1,471,373,704.68","315,954,127.20"
经营活动现金流入小计,"178,139,032.89","192,298,629.53","276,584,350.21","172,329,143.98","231,322,676.73","360,968,674.83","53,373,648.15","170,975,830.69","242,901,617.55","344,691,381.71","68,893,248.64","166,544,934.37","260,496,033.72","368,167,972.25","93,802,632.24","235,592,602.10","517,647,774.90","818,886,950.79","210,313,727.48","312,436,961.65","787,626,246.23","714,285,369.43","606,691,457.19","804,298,170.47","1,212,788,806.90","1,496,439,702.78","499,544,889.65","1,112,358,445.73","1,873,767,593.46","1,834,676,932.68","985,324,024.46","1,457,877,856.62","2,669,149,254.78","1,762,493,377.81","888,845,490.32"
投资活动产生的现金流量净额,"-26,534,054.78","-4,321,927.44","-47,586,186.30","-33,446,647.47","-38,427,903.90","-102,825,871.66","-24,542,462.00","-57,186,672.59","-93,666,946.20","-107,711,137.09","-8,341,879.87","-46,019,131.09","-68,733,262.94","-82,296,439.13","-14,176,881.32","-54,857,839.16","-81,371,098.23","-131,040,332.35","-28,496,106.33","-30,363,732.20","-115,465,178.68","-105,449,589.91","-93,182,193.15","-415,819,815.30","-513,032,866.57","-545,925,988.93","-498,344,749.21","-308,350,078.59","-480,989,007.76","-640,176,046.58","-258,091,804.23","-799,222,320.07","-1,142,472,100.41","-773,693,039.00","-315,840,600.20"
购买商品、接受劳务支付的现金,"131,208,770.59","134,353,780.61","166,050,481.00","105,509,615.31","146,923,602.24","241,664,347.97","31,313,340.78","126,565,795.57","174,865,974.47","249,512,674.15","47,277,415.69","107,819,879.49","166,047,241.11","259,496,255.62","54,050,050.42","167,059,615.93","331,942,010.38","466,610,472.69","136,679,093.68","242,505,159.28","470,923,875.72","447,710,804.28","356,583,448.15","430,560,643.37","835,415,712.77","802,541,354.37","430,662,818.37","832,641,481.96","1,417,520,910.73","1,668,110,010.62","677,835,127.41","951,148,449.32","1,473,914,897.39","1,233,941,740.62","215,603,532.20"
吸收投资收到的现金,"500,000.00","10,800,000.00","30,000,000.00",,"332,355,000.00","332,355,000.00",,,,,,,,,"53,767,356.25","53,767,356.25","53,767,356.25","55,009,470.65","15,999,983.48","15,999,983.48","15,999,983.48","15,144,326.58","1,320,400.00","643,520,396.50","643,520,396.50","694,741,927.50","55,268,011.99","11,425,035.42","2,979,201.43","51,786,900.90","12,741,008.10","71,189,008.10","105,689,008.10","120,139,008.10",
