科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"1,809,754,335.67","1,901,583,166.12","2,222,533,376.69","2,184,135,067.08","5,073,165,891.06","5,188,811,884.02","5,228,542,358.47","5,169,652,774.55","5,346,809,310.23","3,936,295,822.83","7,038,672,151.64","6,785,968,245.06","5,874,206,126.83","4,743,774,809.52","6,275,540,397.01","5,991,117,934.61"
短期借款,"8,000,000.00","17,719,500.00","24,309,000.00","34,309,000.00","44,300,000.00","41,500,000.00","46,500,000.00","46,500,000.00","44,300,000.00","69,021,710.00","77,302,170.00","82,302,170.00","96,934,752.00","115,272,155.00","1,125,472,155.00","1,132,880,874.85"
交易性金融资产,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,
应收票据,"46,891,236.80","25,630,000.00","48,118,316.35","57,214,178.00","45,634,268.00","32,425,812.22","27,880,000.00","47,511,835.92","40,144,698.70","14,693,702.00","33,241,720.23","50,438,573.73","36,221,690.07","11,658,400.00","33,844,782.10","85,286,482.10"
应付票据,"9,418,015.00","20,363,306.40","29,389,231.20","28,199,641.84","7,623,428.84","9,812,577.00","12,505,726.80","18,345,047.62","16,700,904.59","16,730,931.09","18,094,527.10","16,161,700.80","511,486,671.00","6,120,330.00","6,281,196.00","7,781,196.00"
应收账款,"133,151,946.05","179,636,461.96","210,050,743.71","235,902,085.63","400,367,085.45","462,515,086.90","282,671,471.23","373,043,907.05","500,147,131.94","533,515,938.55","513,721,945.40","699,601,950.89","671,103,127.48","726,123,874.22","717,839,662.69","590,241,392.78"
应付账款,"1,067,995,224.64","1,148,136,737.27","1,189,460,945.54","1,043,314,772.14","1,199,923,772.58","1,155,030,400.46","1,284,196,065.03","1,114,008,904.15","1,058,784,817.36","1,110,105,659.92","2,410,647,789.85","1,995,084,003.86","2,343,331,600.59","2,058,941,939.77","2,594,346,860.85","2,067,583,215.02"
预付款项,"387,293,606.07","250,780,032.47","231,705,859.88","280,676,855.23","231,564,923.31","231,063,478.30","99,086,381.45","123,782,569.46","82,303,406.09","144,172,400.42","129,811,664.20","244,243,926.79","152,913,957.57","155,294,029.71","159,768,200.58","200,490,851.79"
预收款项,"1,225,045,382.21","1,584,306,422.36","1,848,289,365.36","1,892,768,958.59","1,848,786,322.52","1,864,718,668.96","2,124,852,911.39","2,261,919,618.47","2,295,133,034.07","2,213,491,552.41","4,031,876,540.00","4,524,182,915.38","4,124,601,330.03","3,829,949,679.53","4,031,832,515.24","4,289,340,983.70"
