科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"71,959,771.43","116,546,594.77","174,828,417.01","110,004,994.60","295,630,421.20","98,547,096.26","180,772,675.60","264,395,410.13","471,194,544.39","161,921,073.74","305,670,939.27","454,965,302.98","726,647,048.86","170,480,617.07","323,788,327.55","495,427,305.81","934,465,092.01","292,698,028.45","496,282,070.34","745,058,246.43","1,233,840,938.63","318,503,496.40","638,833,975.47","1,270,155,336.05","2,210,614,695.20","388,391,067.53","1,369,241,918.40","2,134,955,334.82","3,278,164,474.12","506,579,746.85","1,819,085,599.54","2,841,944,214.05"
二、营业利润,"10,293,144.68","19,702,167.83","36,369,001.44","26,164,853.04","67,163,473.34","15,356,860.89","43,444,701.62","55,801,530.96","99,739,015.61","23,732,797.55","59,740,815.41","75,060,859.67","165,229,318.95","23,569,184.94","58,007,759.35","69,086,267.13","202,847,386.27","39,001,244.96","60,446,113.76","74,461,637.13","251,933,137.70","45,541,710.99","95,437,324.58","268,753,469.81","549,935,778.93","89,091,790.10","440,333,001.08","658,632,747.79","1,010,315,072.61","121,645,870.57","549,907,225.19","802,513,684.60"
减:营业成本,"49,764,958.82","67,098,118.12","99,716,468.86","57,267,666.95","173,544,195.88","64,318,721.76","99,054,110.13","145,023,203.18","279,625,518.62","102,414,540.95","168,552,096.10","259,318,407.12","379,544,286.63","97,330,624.22","151,334,056.59","252,264,183.61","503,667,494.73","182,613,397.90","291,690,498.86","444,864,917.93","713,605,193.44","212,464,503.04","432,517,831.11","831,933,224.18","1,399,354,068.35","231,804,990.81","751,504,066.57","1,207,062,676.98","1,835,475,424.90","284,730,529.34","1,035,234,961.41","1,695,178,983.74"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"455,652.83","1,561,754.39","2,624,516.12","1,761,009.23","3,881,427.46","242,134.31","1,300,206.20","1,940,042.00","3,827,928.19","1,174,217.77","2,236,453.95","3,537,069.63","5,042,291.75","1,283,813.34","2,401,567.99","3,123,868.13","5,218,385.47","542,257.89","1,388,843.17","2,182,359.43","4,714,300.48","1,009,317.33","2,902,881.41","6,263,426.93","16,132,498.90","2,960,347.59","8,640,112.99","10,487,177.63","19,696,945.44","2,671,557.16","7,937,993.79","12,444,178.32"
营业外收入,"239,316.25","3,574,147.92","5,487,135.58","3,285,975.29","6,333,630.87","4,399,816.89","5,399,816.89","6,399,816.89","17,426,940.00","154,110.28","2,524,221.63","4,071,020.87","3,565,865.73","5,920,879.71","12,140,299.51","20,936,138.07","22,105,768.85","6,428,792.87","17,405,617.57","19,390,640.80","28,257,967.13","12,306,739.49","15,852,652.42","22,113,877.57","42,251,470.30","49,993,342.54","57,860,071.12","87,529,914.00","111,721,696.52","4,658,899.32","18,012,973.04","27,635,099.78"
销售费用,"1,683,038.03","4,581,116.66","8,737,497.81","6,103,855.08","12,728,769.79","2,739,777.41","6,707,037.87","12,034,460.06","17,223,142.28","6,199,876.35","12,445,557.79","20,152,809.42","29,637,877.76","11,101,675.82","20,742,867.65","33,582,456.54","53,222,895.44","17,901,914.16","36,503,071.32","61,139,591.03","79,917,483.55","18,996,889.02","36,730,260.05","56,183,887.88","75,213,294.70","19,077,857.16","42,901,211.13","71,853,814.40","115,271,201.29","25,941,464.85","54,631,400.39","84,839,632.22"
减:营业外支出,"40,000.00","42,531.00","158,286.55","35,000.00","45,000.00","40,000.00","40,000.00","40,000.00","70,000.00","40,000.00","40,000.00","45,724.29","1,381,157.23","40,000.00","40,062.96","44,838.01","128,450.85","40,464.94","40,464.94","40,820.94","45,675.04","72,475.29","368,094.83","444,475.26","1,599,450.58","135,297.23","137,228.85","184,059.18","3,507,339.85","446,696.76","453,355.12","1,020,968.23"
管理费用,"8,884,985.53","23,251,649.41","26,227,047.23","17,316,101.38","37,338,336.96","15,936,166.55","30,395,766.44","53,465,458.35","78,377,889.65","29,466,186.77","65,343,282.25","101,590,726.31","151,657,104.83","38,985,856.89","84,840,780.23","134,007,599.89","182,664,062.55","48,437,415.63","94,739,599.86","138,165,787.82","171,938,769.36","42,051,962.55","88,277,259.87","128,967,081.51","188,060,624.05","48,029,779.39","97,297,116.06","157,543,539.84","206,602,859.48","51,776,523.66","100,925,046.47","166,455,993.19"
其中:非流动资产处置净损失,,,"28,286.55",,,,,,,,,,"1,321,101.04",,,,"83,423.08",,,,"4,447.95",,"2,088.28","2,088.28","1,020,728.44",222.90,"1,244.50","3,055.47","3,233,805.35","44,965.24","45,982.23","46,448.25"
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
