科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"130,176,155.39","192,772,148.07","243,357,422.34","63,484,666.63","118,159,739.68","171,255,615.12","251,889,556.14","68,219,265.07","128,090,871.97","184,018,141.16","280,878,003.15","56,890,436.38","134,809,757.53","201,517,696.85","284,676,191.06","58,181,590.71","135,965,004.98"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,"1,721.88",727.94,451.26,,,,"1,164,614.67","25,000,000.00","5,364,666.58","2,292,275.14",,,,,,,
收到其他与经营活动有关的现金,"1,645,209.07","2,757,781.59","11,421,083.56","699,874.64","1,589,963.25","3,176,477.43","5,925,658.64","643,545.91","2,701,321.33","7,511,593.73","10,119,013.29","792,110.77","3,442,482.30","5,707,961.40","8,260,811.67","1,582,526.54","4,947,567.81"
投资活动现金流出小计,"64,307,879.29","18,454,484.23","31,375,368.97","6,444,571.61","72,697,496.03","211,516,301.98","310,957,059.05","28,661,717.27","119,177,886.16","247,054,781.08","482,839,561.30","157,924,608.55","424,759,457.30","599,466,433.84","896,139,987.67","290,034,919.28","572,348,682.54"
经营活动现金流入小计,"131,821,364.46","195,529,929.66","254,778,505.90","64,184,541.27","119,749,702.93","174,432,092.55","257,815,214.78","68,862,810.98","130,792,193.30","191,529,734.89","290,997,016.44","57,682,547.15","138,252,239.83","207,225,658.25","292,937,002.73","59,764,117.25","140,912,572.79"
投资活动产生的现金流量净额,"-64,307,879.29","-10,596,666.78","-31,284,988.97","-6,444,571.61","-72,697,496.03","-150,783,315.68","-159,244,144.73","-28,185,087.19","-20,491,322.59","-31,692,307.45","-77,550,623.19","-22,937,313.80","-76,007,485.23","-92,976,854.65","-135,290,965.88","-11,083,939.19","-141,729.12"
购买商品、接受劳务支付的现金,"47,144,296.23","64,572,972.15","78,945,073.02","14,663,566.78","35,642,033.88","50,009,415.28","74,452,440.50","21,278,799.73","32,599,370.99","54,361,227.89","79,816,341.45","19,185,168.32","38,157,958.58","56,077,710.81","82,212,585.80","23,348,529.82","50,223,404.24"
吸收投资收到的现金,,,,,"111,530,100.00","111,530,100.00","121,790,000.00",,,,,,,,,,
