科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"71,686,865.08","120,326,882.03","180,466,753.72","102,305,790.79","152,222,440.53","217,646,900.73","39,828,735.88","134,396,591.24","190,683,332.21","275,622,876.94","74,467,523.90","183,555,265.50","262,308,143.49","386,512,009.99","30,496,753.46","243,443,534.87","318,264,257.70","489,214,248.83","121,887,263.94","324,231,650.74","502,580,135.89","877,287,193.04","138,352,077.58","391,042,034.01","594,934,115.22","973,203,998.00","112,275,929.28","394,334,980.17","595,745,439.83"
二、营业利润,"17,383,466.67","26,927,973.29","36,077,339.30","22,682,403.80","28,948,708.58","35,849,107.05","4,850,227.83","20,033,658.14","24,140,912.23","31,433,854.03","5,802,778.63","16,176,972.17","16,998,571.99","17,728,947.24","-12,119,872.61","7,338,914.06","7,366,947.07","27,088,158.21","-2,406,363.28","-7,081,273.24","-11,170,473.23","28,380,851.48","2,145,732.75","17,867,443.74","30,595,755.56","-12,546,393.81","-11,864,038.23","5,886,641.62","16,696,690.70"
减:营业成本,"36,292,098.67","62,374,706.44","104,754,981.30","54,138,315.60","84,143,468.32","126,371,371.96","22,195,510.52","82,395,950.38","119,464,912.16","168,556,841.30","49,889,941.03","123,003,910.42","175,911,666.72","261,465,362.39","19,127,991.24","172,175,850.50","223,409,822.92","334,402,538.48","87,305,236.69","241,711,300.30","369,405,528.07","648,478,222.85","98,787,733.89","282,591,703.45","424,553,480.47","738,538,776.17","81,457,531.03","279,104,930.49","411,210,516.99"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,403,958.94","2,684,405.11","3,198,327.60","1,339,245.82","2,004,882.73","3,587,607.63","579,461.23","2,822,305.67","4,017,200.52","5,114,284.54","1,210,079.77","3,587,090.27","4,109,027.19","7,378,086.23","1,249,416.58","5,668,043.59","6,524,179.45","10,397,514.63","1,515,661.71","3,259,135.03","5,823,333.74","11,607,668.36","979,444.54","2,797,769.45","3,458,488.75","7,990,234.06","1,117,273.64","3,356,976.36","5,527,482.46"
营业外收入,"115,674.07",,"701,228.97","277,090.00","2,489,024.89","6,908,353.41","1,504,699.68","3,388,486.28","3,735,812.22","9,450,110.94","580,070.86","710,078.37","1,374,432.23","3,192,410.01","1,168,432.06","1,344,645.55","2,662,246.08","5,723,460.53","380,954.09","1,619,671.45","2,941,626.31","4,404,956.17","1,156,871.81","2,712,532.81","4,235,335.62","66,831,450.41","812,799.14","3,916,913.85","4,191,866.80"
销售费用,"7,717,070.24","13,178,385.59","18,003,603.06","13,187,137.32","20,233,058.44","27,173,829.88","8,420,719.43","17,669,251.59","24,610,282.38","33,312,757.30","9,013,129.34","20,839,096.79","32,250,549.26","45,917,026.83","10,733,374.34","22,029,294.01","34,913,427.68","48,287,520.81","11,083,956.23","22,954,078.98","40,370,390.35","56,967,746.44","12,025,070.47","24,903,416.00","38,168,991.78","57,260,167.44","14,620,014.39","33,021,164.11","51,572,577.39"
减:营业外支出,"204,318.32","26,579.04",160.84,,37.34,"1,630.25",20.00,653.33,"25,627.62","25,657.95",224.92,"87,066.45","87,303.06","106,541.45",27.21,"49,179.26","50,412.05","142,554.61","24,769.24","53,988.30","62,153.10","467,325.66","17,577.00","17,577.00","18,933.01","1,063,185.90","114,624.10","362,331.95","362,586.28"
管理费用,"7,674,551.79","10,965,470.08","12,770,282.90","6,451,960.16","11,784,708.49","17,477,929.72","3,789,762.70","10,920,113.32","18,030,797.86","31,042,105.17","7,123,659.27","15,865,963.85","26,207,990.66","39,076,912.31","12,304,596.12","24,835,558.06","35,332,783.40","49,994,754.21","21,921,616.66","43,990,655.32","68,327,390.78","94,612,298.77","21,610,614.15","45,390,686.40","71,950,563.24","104,532,742.26","28,016,792.52","59,790,630.81","83,648,746.71"
其中:非流动资产处置净损失,,,,,,"1,569.01",,,,,,"84,051.08","84,051.08","84,051.08",,"11,818.66","11,818.66","11,818.66","1,381.92","32,020.09","32,020.09","36,270.09",,,"1,356.01","196,563.37",,"247,347.54","247,347.54"
