科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"70,412,615.29","98,318,503.22","121,346,809.99","132,879,048.91","105,970,843.83","387,471,678.28","138,152,150.42","99,785,667.07","122,810,060.74","83,000,902.32"
短期借款,,,,,,,,,,
交易性金融资产,,,,,,,,,,
交易性金融负债,,,,,,,,,,
应收票据,,,,,,,,,,
应付票据,,,,,,,,,,
应收账款,"23,238,743.74","15,226,333.79","11,521,709.98","13,381,382.41","18,495,364.36","8,501,775.09","11,393,814.32","10,354,686.32","13,337,663.96","6,412,063.96"
应付账款,"29,183,454.10","23,791,262.44","17,978,297.80","20,462,639.20","31,465,093.49","21,053,631.06","19,761,441.64","18,778,934.18","21,199,902.05","11,999,743.11"
预付款项,"2,226,899.70","3,201,694.14","5,041,766.60","15,034,537.06","14,470,182.18","2,060,577.49","3,278,152.98","2,255,306.05","1,646,317.63","2,166,784.90"
预收款项,,"1,624,520.00","2,051,379.45","3,263,463.27","2,259,110.00","3,048,665.16","2,943,186.81","2,112,294.62","1,934,107.63","302,014.20"
其他应收款,"5,747,469.70","3,904,432.67","3,877,507.78","4,143,380.59","4,264,128.55","3,401,827.75","3,857,592.55","4,879,211.09","5,616,767.63","3,643,776.09"
应付职工薪酬,"2,483,338.58","2,436,482.43","1,678,017.27","951,719.74","782,006.35","725,331.35","713,139.51","271,537.64","238,137.72","233,080.74"
应收关联公司款,,,,,,,,,,
应交税费,"4,249,326.35","2,773,824.54","2,149,293.79","4,756,547.21","2,713,148.73","958,342.96","-762,113.45","1,216,269.38","1,920,259.38","1,119,241.66"
应收利息,,,,,,,,,,
应付利息,,,,,,,,,,
应收股利,,,,,,,,,,
应付股利,,,,,,,,,,
存货,"1,666,034.97","1,733,637.91","1,755,743.50","1,796,718.74","2,036,317.73","1,796,386.38","1,892,342.79","1,839,730.00","1,781,333.48","1,608,321.73"
其他应付款,"25,665,698.36","24,243,427.96","21,980,074.43","23,780,161.40","24,769,489.17","20,947,523.36","23,321,996.64","22,129,256.60","22,472,587.77","20,097,458.09"
其中:消耗性生物资产,,,,,,,,,,
应付关联公司款,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,
一年内到期的非流动负债,"485,500.00",,,,,,,,,
其他流动资产,"56,000,000.00","50,000,000.00","46,000,000.00","70,019,168.43","111,400,000.00","811,300.62","250,000,000.00","296,811,300.62","270,811,300.62","311,040,333.25"
其他流动负债,,,,,,,,,,
流动资产合计,"159,291,763.40","172,384,601.73","189,543,537.85","237,254,236.14","256,636,836.65","404,043,545.61","408,574,053.06","415,925,901.15","416,003,444.06","407,872,182.25"
流动负债合计,"62,067,317.39","54,869,517.37","45,837,062.74","53,214,530.82","61,988,847.74","46,733,493.89","45,977,651.15","44,508,292.42","47,764,994.55","33,751,537.80"
可供出售金融资产,,,,,,,,,,
长期借款,,,,,,,,,,
持有至到期投资,,,,,,,,,,
应付债券,,,,,,,,,,
长期应收款,,,,,,,,,,
长期应付款,"100,391,855.45","68,037,784.89","36,386,209.01","27,704,575.63","25,431,006.21","23,215,858.10","21,324,173.08","19,766,412.18","18,625,983.58","20,239,790.87"
长期股权投资,,,,,,,,,,
专项应付款,,,,,,,,,,
投资性房地产,"15,674,832.76","15,974,195.14","14,799,238.54","14,173,568.20","13,846,073.43","13,624,281.94","13,330,542.79","12,954,150.79","12,662,705.92","12,142,108.81"
预计负债,"1,702,898.07","1,702,898.07","1,702,898.07","1,702,898.07","1,702,898.07","1,702,898.07","1,702,898.07","1,702,898.07","1,702,898.07","1,702,898.07"
固定资产,"143,409,064.61","104,471,355.88","63,564,975.88","53,362,767.08","49,764,865.34","46,362,801.98","43,540,663.91","43,244,675.96","41,263,243.48","43,305,193.98"
递延所得税负债,,,,,,,,,,
在建工程,"1,500,000.00",,"446,455.39","481,494.23","446,455.39","446,455.39","1,061,717.40","1,061,717.40","1,061,717.40","1,061,717.40"
其他非流动负债,,,,,,,,,,
工程物资,,,,,,,,,,
非流动负债合计,"102,399,753.52","70,733,291.13","38,747,051.01","29,974,335.51","27,655,225.03","25,394,535.86","23,480,434.78","21,854,007.82","20,703,297.46","22,262,329.74"
固定资产清理,,"970,296.43",,,,,,,,"65,275.00"
负债合计,"164,467,070.91","125,602,808.50","84,584,113.75","83,188,866.33","89,644,072.77","72,128,029.75","69,458,085.93","66,362,300.24","68,468,292.01","56,013,867.54"
生产性生物资产,,,,,,,,,,
实收资本(或股本),"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","133,340,000.00","133,340,000.00","133,340,000.00","133,340,000.00","133,340,000.00"
油气资产,,,,,,,,,,
资本公积,"16,572,392.50","16,572,392.50","16,572,392.50","16,572,392.50","16,572,392.50","143,932,209.12","143,932,209.12","143,932,209.12","143,932,209.12","143,932,209.12"
无形资产,"25,978,486.87","26,403,736.56","24,412,836.40","23,251,036.47","22,600,316.05","21,955,117.72","21,311,319.67","20,380,937.96","19,984,617.76","19,319,405.42"
盈余公积,"5,131,337.96","11,012,461.98","15,555,445.98","15,555,445.98","15,555,445.98","20,605,634.46","20,593,106.56","20,605,634.46","20,605,634.46","23,379,070.39"
开发支出,,,,,,,,,,
减:库存股,,,,,,,,,,
商誉,"220,622.54","220,622.54","220,622.54","220,622.54","220,622.54","220,622.54","220,622.54","220,622.54","220,622.54","220,622.54"
未分配利润,"54,704,017.27","58,815,411.81","72,287,933.47","106,319,415.02","114,753,311.10","117,997,998.66","121,315,122.81","130,444,253.26","126,015,992.20","128,991,891.86"
长期待摊费用,,,,,,,,,,
少数股东权益,"601,722.79","2,419,177.75","1,853,278.85","1,599,567.82","1,528,183.34","1,529,772.87","1,430,376.19","1,283,678.67","1,297,019.79","1,239,386.45"
递延所得税资产,"657,865.50","548,074.04","449,126.05","485,959.05","526,044.25","432,144.94","432,144.94","444,891.25","444,891.25","407,457.69"
外币报表折算价差,,,,,,,,,,
其他非流动资产,,,"3,741,249.34",,,"8,015,961.50","6,954,244.10","6,942,244.10","6,942,244.10","6,942,244.10"
非正常经营项目收益调整,,,,,,,,,,
非流动资产合计,"187,440,872.28","148,588,280.59","107,634,504.14","91,975,447.57","87,404,377.00","91,057,386.01","86,851,255.35","85,249,240.00","82,580,042.45","83,464,024.94"
所有者权益(或股东权益)合计,"182,265,564.77","195,370,073.82","212,593,928.24","246,040,817.38","254,397,140.88","422,972,901.87","425,967,222.48","434,812,840.91","430,115,194.50","435,322,339.65"
资产总计,"346,732,635.68","320,972,882.32","297,178,041.99","329,229,683.71","344,041,213.65","495,100,931.62","495,425,308.41","501,175,141.15","498,583,486.51","491,336,207.19"
负债和所有者(或股东权益)合计,"346,732,635.68","320,972,882.32","297,178,041.99","329,229,683.71","344,041,213.65","495,100,931.62","495,425,308.41","501,175,141.15","498,583,486.51","491,336,207.19"
