科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"125,874,083.26","156,490,022.22","94,848,606.10","143,918,955.87","190,643,971.04","46,506,876.57","107,969,563.65","162,076,235.23","227,930,127.66","48,167,710.24","117,593,224.06","183,922,605.28","267,916,554.03","61,857,144.08","146,807,428.04","235,874,304.52","337,940,099.80","80,848,640.33","186,025,020.48","292,268,217.87","430,346,122.28","98,922,709.34","227,805,526.55","370,848,412.83","542,405,933.11","135,617,600.70","294,628,740.94","457,036,935.15","635,755,075.33","170,425,255.32","355,106,850.98","572,175,487.67","849,216,434.07","199,101,754.85","447,208,897.91","731,939,925.75","1,096,268,315.12","279,715,392.14","627,013,954.06","1,018,027,588.41","1,461,550,203.44","347,288,318.05"
二、营业利润,"26,247,316.85","40,459,848.70","21,863,630.67","38,492,654.69","45,750,115.31","7,732,714.38","25,154,768.95","41,600,172.60","50,273,425.13","5,415,402.67","32,168,825.67","52,840,975.75","69,256,450.15","6,196,975.03","26,895,718.65","53,152,039.98","75,641,702.50","15,184,858.59","40,037,991.06","74,325,060.34","101,047,612.58","20,228,228.07","51,516,502.02","92,015,274.20","122,671,801.38","25,052,834.58","66,374,737.15","120,594,493.99","150,139,561.70","40,324,507.21","95,480,332.03","154,164,488.43","219,306,954.25","52,208,007.50","134,104,691.04","224,198,734.98","329,052,338.36","70,870,130.03","154,766,115.49","274,211,346.60","310,629,271.46","74,600,554.85"
减:营业成本,"37,583,101.22","45,527,606.77","28,520,588.40","39,372,187.44","53,011,884.18","13,767,253.26","30,696,124.26","45,398,474.41","64,602,478.14","15,385,904.39","35,917,591.14","54,591,768.64","78,612,408.17","17,497,260.13","40,902,934.82","63,310,837.01","91,990,681.39","21,489,748.09","48,273,056.97","74,335,241.88","117,059,025.22","28,587,593.66","66,529,522.76","105,637,144.79","157,290,704.77","40,827,052.30","88,044,129.73","131,138,849.56","181,220,107.09","46,846,847.27","101,658,407.61","154,630,069.13","219,208,992.44","46,364,250.80","105,488,920.61","161,824,910.76","244,242,258.89","53,145,560.25","122,192,289.51","195,321,298.74","291,167,463.24","71,874,551.92"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,340,737.57","1,726,192.00","984,412.18","1,576,622.69","2,288,221.95","509,002.60","1,320,606.60","2,010,865.24","2,933,642.94","626,090.57","1,575,524.00","2,534,732.98","4,062,085.77","756,021.58","1,854,027.35","3,170,056.28","4,740,761.40","1,206,622.51","2,740,895.16","4,135,418.32","5,654,117.74","914,110.31","2,019,013.38","2,853,598.37","4,227,588.27","724,982.93","1,678,887.59","2,528,660.17","3,929,793.53","1,210,610.30","2,570,097.93","3,922,057.13","9,557,789.64","2,334,053.22","6,190,631.76","9,589,959.55","14,148,970.37","3,235,479.89","6,968,846.36","10,458,073.54","15,646,200.80","3,968,162.62"
营业外收入,"1,798,615.00","1,874,575.63","3,039,400.00","4,300,831.00","5,548,412.03","2,030,000.00","2,414,000.00","3,726,100.00","11,024,700.49","111,250.00","451,492.63","1,158,375.63","5,180,504.69","1,516,332.00","6,385,206.00","7,058,822.45","10,425,907.62","620,256.21","1,393,168.71","2,513,541.21","5,428,269.35","117,372.50","431,745.00","3,389,127.50","4,880,685.52","387,842.50","3,070,375.38","5,995,029.16","8,197,833.68","2,120,164.07","3,825,284.36","9,781,954.35","12,856,208.85","3,042,754.83","513,507.86","542,389.68","846,416.37","8,007.54","14,757.01","21,911.38","64,214.23",
销售费用,"41,357,763.30","49,586,113.11","29,988,865.87","44,347,834.85","63,311,695.40","16,804,843.70","35,959,399.17","51,250,510.16","78,086,478.04","16,635,266.12","39,815,645.44","57,368,441.32","88,606,495.02","24,438,728.04","55,496,651.09","85,537,253.28","120,655,055.81","29,549,685.02","70,154,550.47","105,356,020.69","155,389,942.68","36,008,611.93","79,569,743.10","124,557,446.80","190,304,843.06","45,199,808.30","96,892,400.83","144,567,799.17","218,502,259.30","53,795,209.51","112,262,656.60","175,786,805.48","268,172,984.48","61,505,950.89","147,886,981.84","242,973,629.02","371,290,488.17","113,123,504.09","273,194,077.63","426,056,824.97","640,618,996.98","144,655,951.35"
减:营业外支出,"96,188.33","195,403.11","11,976.77","28,976.77","49,939.71","2,000.00","105,000.00","116,326.47","387,796.82","277,168.90","300,514.12","573,376.95","718,319.61","2,642.28","235,509.85","235,509.85","177,730.80",,"262,996.05","277,996.05","597,561.70",,"180,000.00","180,000.00","840,000.00","109,248.91","571,169.94","2,114,488.01","2,364,554.57","176,837.50","441,837.50","293,510.40","931,012.89","137,715.30","276,109.38","288,378.34","654,879.69","795,573.29","882,543.79","886,857.65","1,097,304.37","168,354.79"
管理费用,"15,887,569.09","18,873,421.22","11,872,918.41","17,923,896.75","25,052,398.01","7,191,711.59","13,956,653.47","20,413,387.98","32,646,331.99","9,143,408.73","20,252,324.34","28,623,181.63","50,927,113.78","12,367,772.44","22,867,194.33","32,172,720.13","50,058,513.71","13,351,792.10","25,221,763.48","35,704,887.39","54,970,922.26","12,951,159.04","28,972,277.19","46,837,107.62","69,284,827.07","23,255,822.20","39,544,692.06","55,751,258.52","83,422,173.55","27,721,010.22","45,929,405.36","82,084,878.26","133,142,209.14","35,423,366.15","72,345,378.43","110,481,067.08","159,720,937.33","38,434,486.24","74,717,354.96","69,769,220.11","98,599,420.04","26,284,563.16"
其中:非流动资产处置净损失,"12,714.48",,"11,976.77","11,976.77","32,939.71",,,,"187,796.82","257,168.90","279,154.45","303,891.12","696,959.94","2,642.28","235,509.85","235,509.85","17,730.80",,"2,996.05","2,996.05","162,561.70",,,,,,"391,169.94","1,934,488.01","1,924,554.57","170,351.76","170,351.76","180,110.30","351,853.33","8,718.00","67,549.46","67,549.46",,,,,,
