科目,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"45,379,767,000.00","66,549,727,058.77","96,517,252,000.00","25,109,908,514.82","52,710,573,000.00","74,148,992,299.77","104,225,261,000.00","19,207,428,000.00","35,466,566,000.00","55,366,666,000.00","85,022,860,000.00","31,778,198,000.00","72,821,685,000.00","107,596,248,000.00","135,068,543,000.00","34,692,115,000.00","80,717,976,000.00","129,321,813,000.00","165,479,297,000.00","41,509,164,000.00","90,159,870,000.00","134,859,613,000.00","190,834,844,000.00","40,166,561,000.00","91,405,978,000.00","140,458,269,000.00","211,819,832,000.00","39,881,635,000.00","86,082,902,000.00","122,018,470,000.00","182,759,056,000.00","32,043,455,000.00","76,339,899,000.00","103,486,571,000.00","141,037,188,000.00","26,442,084,000.00","44,919,884,000.00","80,350,650,000.00","140,088,722,000.00","40,290,675,000.00","80,477,354,000.00","126,113,381,000.00","162,302,871,000.00","35,546,419,000.00","61,712,185,000.00"
取得子公司及其他营业单位支付的现金净额,,,"700,941,000.00",,"4,177,717,000.00","4,102,065,939.67","4,858,396,000.00","75,096,000.00","69,356,000.00","69,356,000.00","99,354,000.00",,"4,965,000.00","-22,893,000.00",,,,,"96,460,000.00",,,,,"403,187,000.00","5,179,000.00","5,179,000.00","211,501,000.00","29,136,000.00","36,756,000.00","36,756,000.00","36,958,000.00",,,,"144,984,000.00",,"7,662,000.00","2,121,423,000.00","2,456,512,000.00",,,,,,
收到的税费返还,,,,,"108,561,000.00","108,560,992.64","257,853,000.00",,"87,498,000.00","136,212,000.00","619,098,000.00",,"123,925,000.00","123,925,000.00","129,928,000.00","126,399,000.00","237,213,000.00","308,603,000.00","265,449,000.00","6,133,000.00","26,391,000.00","26,391,000.00","232,684,000.00","40,360,000.00","103,967,000.00","103,967,000.00","153,761,000.00","13,566,000.00","28,777,000.00","62,690,000.00","78,497,000.00","7,724,000.00","11,216,000.00","12,450,000.00","82,597,000.00","8,461,000.00","12,379,000.00","41,513,000.00","115,021,000.00","10,488,000.00","42,561,000.00","60,968,000.00","64,608,000.00","8,173,000.00","44,659,000.00"
支付其他与投资活动有关的现金,,,,,"94,420,000.00","104,521,579.53","302,874,000.00","4,277,000.00","571,510,000.00","571,510,000.00",,,"584,166,000.00","697,166,000.00","873,410,000.00","50,000,000.00","141,037,000.00","148,192,000.00","602,437,000.00","127,728,000.00","781,167,000.00","786,886,000.00","793,120,000.00","1,099,874,000.00","2,319,970,000.00","4,880,039,000.00","1,341,341,000.00","88,046,000.00","2,320,655,000.00","2,420,610,000.00","5,504,327,000.00","290,651,000.00","175,047,000.00","175,281,000.00","1,008,760,000.00","3,075,308,000.00","1,066,502,000.00","1,101,057,000.00","2,576,240,000.00","328,729,000.00","592,798,000.00","1,801,685,000.00","1,623,951,000.00","155,003,000.00","767,826,000.00"
收到其他与经营活动有关的现金,"3,467,000.00","5,569,049.48","73,707,000.00","217,590,417.09","99,298,000.00","167,194,572.66","411,417,000.00","84,072,000.00","107,969,000.00","158,148,000.00","253,192,000.00","65,338,000.00","136,802,000.00","213,858,000.00","776,400,000.00","87,595,000.00","119,198,000.00","179,125,000.00","346,214,000.00","106,973,000.00","1,449,584,000.00","1,625,446,000.00","1,011,887,000.00","384,116,000.00","1,716,474,000.00","2,660,834,000.00","1,737,460,000.00","206,970,000.00","896,372,000.00","1,030,799,000.00","1,880,413,000.00","1,073,041,000.00","742,703,000.00","891,475,000.00","2,144,524,000.00","804,384,000.00","629,475,000.00","1,027,546,000.00","1,577,700,000.00","1,020,636,000.00","357,259,000.00","564,237,000.00","1,062,938,000.00","794,134,000.00","931,323,000.00"
投资活动现金流出小计,"4,139,320,000.00","6,239,300,109.73","10,903,244,000.00","4,580,634,274.52","13,699,120,000.00","19,174,103,442.92","22,653,040,000.00","2,478,980,000.00","5,524,943,000.00","7,862,922,000.00","10,078,895,000.00","2,072,812,000.00","5,326,223,000.00","7,538,617,000.00","10,123,405,000.00","2,677,663,000.00","5,590,932,000.00","8,228,799,000.00","10,924,289,000.00","2,859,150,000.00","16,274,097,000.00","20,174,873,000.00","23,865,419,000.00","4,158,403,000.00","7,141,893,000.00","12,017,257,000.00","12,599,762,000.00","3,295,391,000.00","6,157,651,000.00","8,339,525,000.00","14,094,752,000.00","2,125,861,000.00","4,262,234,000.00","7,314,534,000.00","11,393,291,000.00","3,927,168,000.00","4,371,679,000.00","8,298,133,000.00","12,788,087,000.00","2,175,177,000.00","7,189,972,000.00","12,135,750,000.00","15,072,912,000.00","1,525,423,000.00","4,098,171,000.00"
经营活动现金流入小计,"45,383,234,000.00","66,555,296,108.25","96,590,959,000.00","25,327,498,931.91","52,918,432,000.00","74,424,747,865.07","104,894,531,000.00","19,291,500,000.00","35,662,033,000.00","55,661,026,000.00","85,895,150,000.00","31,843,536,000.00","73,082,412,000.00","107,934,031,000.00","135,974,871,000.00","34,906,109,000.00","81,074,387,000.00","129,809,541,000.00","166,090,960,000.00","41,622,270,000.00","91,635,845,000.00","136,511,450,000.00","192,079,415,000.00","40,591,037,000.00","93,226,419,000.00","143,223,070,000.00","213,711,053,000.00","40,102,171,000.00","87,008,051,000.00","123,111,959,000.00","184,717,966,000.00","33,124,220,000.00","77,093,818,000.00","104,390,496,000.00","143,264,309,000.00","27,254,929,000.00","45,561,738,000.00","81,419,709,000.00","141,781,443,000.00","41,321,799,000.00","80,877,174,000.00","126,738,586,000.00","163,430,417,000.00","36,348,726,000.00","62,688,167,000.00"
投资活动产生的现金流量净额,"-2,387,436,000.00","-2,703,838,217.88","-7,187,942,000.00","-4,529,368,685.81","-13,341,807,000.00","-18,785,339,040.43","-22,204,494,000.00","-2,338,948,000.00","-5,334,062,000.00","-7,596,466,000.00","-9,477,193,000.00","-1,978,465,000.00","-4,771,293,000.00","-6,465,237,000.00","-8,260,317,000.00","-2,454,677,000.00","-5,249,327,000.00","-7,555,732,000.00","-9,714,547,000.00","-2,749,816,000.00","-16,068,373,000.00","-19,895,189,000.00","-23,153,090,000.00","-3,637,121,000.00","-6,350,004,000.00","-8,774,750,000.00","-7,686,069,000.00","-2,981,049,000.00","-1,089,875,000.00","-2,320,966,000.00","-4,921,338,000.00","3,362,650,000.00","12,989,000.00","2,036,583,000.00","2,952,550,000.00","-3,839,297,000.00","-1,632,170,000.00","-5,322,514,000.00","-4,997,193,000.00","-444,380,000.00","-3,672,733,000.00","-8,343,114,000.00","-7,133,382,000.00","1,758,165,000.00","-739,051,000.00"
购买商品、接受劳务支付的现金,"30,493,947,000.00","47,279,949,406.92","68,781,194,000.00","23,363,045,041.11","44,328,739,000.00","63,498,869,623.80","86,781,291,000.00","17,763,368,000.00","28,612,073,000.00","46,726,740,000.00","75,333,910,000.00","29,359,511,000.00","63,195,608,000.00","93,592,513,000.00","116,432,383,000.00","32,907,239,000.00","69,457,993,000.00","115,999,906,000.00","149,305,870,000.00","40,177,772,000.00","86,624,591,000.00","127,172,878,000.00","176,827,262,000.00","36,719,807,000.00","84,424,365,000.00","129,819,528,000.00","190,101,193,000.00","36,032,724,000.00","75,853,595,000.00","107,612,362,000.00","156,367,798,000.00","29,431,254,000.00","67,224,559,000.00","91,690,940,000.00","121,974,331,000.00","23,851,789,000.00","35,649,301,000.00","65,161,297,000.00","116,983,685,000.00","34,431,891,000.00","67,532,701,000.00","106,348,786,000.00","133,408,401,000.00","30,620,521,000.00","48,378,110,000.00"
吸收投资收到的现金,"4,966,500,000.00","4,966,500,000.00","10,094,000.00","555,444,042.21","7,161,800,000.00","10,169,800,000.00","184,800,000.00",,,,"13,073,000.00","62,249,000.00","183,700,000.00","201,040,000.00","203,100,000.00",,,,,,"5,300,000.00","5,300,000.00","4,104,335,000.00",,"42,808,000.00","53,808,000.00","193,908,000.00","48,031,000.00","52,040,000.00","262,277,000.00","694,957,000.00","101,000,000.00","8,008,472,000.00","7,998,472,000.00","8,158,472,000.00","10,000,000.00","10,000,000.00","332,400,000.00","1,838,540,000.00",,"30,020,000.00","92,943,000.00","12,717,761,000.00","12,000,000.00","216,980,000.00"
支付给职工以及为职工支付的现金,"2,295,766,000.00","2,616,576,367.79","4,284,597,000.00","444,101,559.12","2,870,476,000.00","4,322,747,419.54","6,092,348,000.00","508,799,000.00","2,862,334,000.00","4,463,398,000.00","5,918,452,000.00","1,294,732,000.00","3,150,688,000.00","4,678,102,000.00","5,762,857,000.00","1,534,848,000.00","3,066,561,000.00","4,593,760,000.00","6,425,748,000.00","1,835,916,000.00","3,315,210,000.00","4,996,670,000.00","6,956,005,000.00","1,904,542,000.00","3,637,175,000.00","5,378,066,000.00","7,572,872,000.00","1,422,913,000.00","3,106,113,000.00","4,579,969,000.00","6,575,213,000.00","1,500,058,000.00","2,980,402,000.00","4,522,682,000.00","6,267,919,000.00","1,399,605,000.00","2,737,582,000.00","4,063,412,000.00","6,114,652,000.00","1,478,612,000.00","2,966,929,000.00","4,562,692,000.00","6,702,287,000.00","1,515,909,000.00","3,145,973,000.00"
取得借款收到的现金,"2,520,566,000.00","3,313,357,397.42","5,462,351,000.00","7,210,359,058.89","17,715,278,000.00","25,253,162,847.28","32,401,404,000.00","10,734,021,000.00","18,102,559,000.00","20,502,559,000.00","38,057,460,000.00","10,567,044,000.00","16,801,969,000.00","23,513,465,000.00","34,141,516,000.00","22,664,687,000.00","33,264,103,000.00","39,930,128,000.00","56,477,596,000.00","25,240,588,000.00","48,644,333,000.00","70,223,411,000.00","74,346,531,000.00","20,884,209,000.00","40,860,599,000.00","57,055,842,000.00","98,090,919,000.00","15,891,256,000.00","33,883,934,000.00","39,023,023,000.00","60,225,917,000.00","11,863,176,000.00","27,456,670,000.00","33,666,938,000.00","55,456,234,000.00","6,270,352,000.00","21,739,750,000.00","36,361,057,000.00","47,497,423,000.00","10,085,641,000.00","35,834,821,000.00","51,145,155,000.00","91,327,832,000.00","17,521,134,000.00","44,511,218,000.00"
支付的各项税费,"5,754,306,000.00","8,036,522,811.21","11,338,848,000.00","1,454,871,556.62","3,533,914,000.00","4,816,367,414.85","5,284,946,000.00","960,020,000.00","1,669,772,000.00","3,009,144,000.00","2,551,613,000.00","756,134,000.00","1,677,647,000.00","2,481,205,000.00","3,644,109,000.00","878,031,000.00","2,069,777,000.00","3,059,520,000.00","4,456,241,000.00","943,196,000.00","1,860,447,000.00","2,600,279,000.00","3,668,977,000.00","583,207,000.00","2,064,364,000.00","2,874,983,000.00","4,310,248,000.00","751,104,000.00","1,736,767,000.00","2,709,847,000.00","4,011,206,000.00","1,037,869,000.00","2,191,472,000.00","2,969,920,000.00","4,752,197,000.00","790,071,000.00","1,906,703,000.00","2,750,350,000.00","4,152,165,000.00","1,390,465,000.00","3,281,006,000.00","4,552,969,000.00","5,959,325,000.00","1,344,074,000.00","2,754,120,000.00"
收到其他与筹资活动有关的现金,"2,269,000.00","7,567,968.24",,"3,011,037,500.01","126,270,000.00","126,303,033.00","276,270,000.00",,,,,,,,,,,,,,,,"180,290,000.00","365,400,000.00","393,874,000.00","393,874,000.00","382,329,000.00","21,000,000.00","889,840,000.00","889,840,000.00","4,356,610,000.00","383,655,000.00","2,600,000,000.00","5,329,394,000.00","7,683,960,000.00","93,295,000.00","840,000,000.00","1,040,000,000.00","4,934,398,000.00","1,884,216,000.00","509,000,000.00","509,000,000.00","1,000,036,000.00","44,000,000.00","759,016,000.00"
支付其他与经营活动有关的现金,"238,392,000.00","773,588,564.55","834,539,000.00","764,894,791.97","484,497,000.00","939,571,034.27","1,732,265,000.00","105,260,000.00","1,146,557,000.00","1,582,446,000.00","2,797,129,000.00","539,153,000.00","1,490,367,000.00","1,767,106,000.00","3,031,663,000.00","864,857,000.00","1,655,612,000.00","2,515,762,000.00","3,413,345,000.00","695,881,000.00","1,650,981,000.00","2,537,053,000.00","3,504,819,000.00","2,474,501,000.00","1,438,667,000.00","2,797,674,000.00","3,475,402,000.00","1,740,488,000.00","1,610,170,000.00","2,891,932,000.00","3,990,700,000.00","1,267,780,000.00","1,889,673,000.00","2,127,504,000.00","3,038,412,000.00","1,006,164,000.00","1,372,037,000.00","2,045,877,000.00","3,012,267,000.00","1,490,174,000.00","1,739,126,000.00","2,834,164,000.00","4,232,627,000.00","1,379,386,000.00","1,667,507,000.00"
