科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"6,625,367,409.77","5,243,301,512.77","2,094,966,118.78","4,418,492,016.70","1,578,402,293.12","3,418,548,386.55","5,098,194,361.14","7,246,386,479.11","1,966,619,196.49","4,350,189,167.89","6,465,861,446.31","9,332,726,754.53","2,438,677,965.38","5,023,674,795.00","8,142,816,823.75","10,301,354,489.25","1,975,915,513.12","4,449,801,775.71","7,150,507,776.90","9,767,734,706.66","2,439,997,164.62","5,456,366,443.61","8,057,408,436.62","10,734,099,239.19","1,950,842,401.25","4,158,065,268.77","6,472,926,019.84","9,122,345,286.42","2,106,167,906.11","4,563,736,135.52","6,781,378,771.27","9,665,717,051.89","2,538,721,931.72","5,412,444,766.03","8,271,820,397.68","12,426,007,289.03","3,074,532,948.65","6,553,575,206.05","10,106,037,463.98","14,209,015,450.48","3,033,048,805.94"
取得子公司及其他营业单位支付的现金净额,"47,000,000.00",,,,,,,,,,,,,,"29,900,000.00","58,087,112.69",,"14,544,612.19","14,415,024.38","14,870,412.19",,"39,679,201.80","39,679,201.80","114,013,542.39","52,200,000.00","51,717,058.87","43,601,215.28","28,401,215.28","152,099,091.47","187,254,480.67","187,254,480.67","187,253,728.13",,,,"231,285,830.25",,"61,398,680.57","61,398,680.57","339,566,051.09",
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,"27,846,798.38","670,522,926.05","1,813,309.09","319,280,316.88","460,891,183.65","621,373,998.44","720,323,885.75","1,199,377,955.72","310,413,060.86","969,796,633.09","1,235,855,197.78","1,296,689,187.03","123,245,442.22","221,215,347.66","397,327,865.66","402,349,365.66","134,264,000.00","134,264,000.00","134,269,440.55","134,264,000.00","168,586,489.18","421,374,436.70","538,008,226.70","5,788,930,127.98","989,643,493.12","1,547,949,569.22","1,989,133,299.96","2,553,029,447.11","355,021,381.94","916,823,712.80","1,023,111,713.27","1,050,181,896.29","311,000,000.00","461,000,000.00","830,000,000.00","2,442,200,000.00","929,000,000.00","1,959,000,000.00","1,959,000,000.00","1,326,200,000.00","397,000,000.00"
收到其他与经营活动有关的现金,"145,594,333.96","159,522,897.33","42,619,588.97","75,722,041.23","20,906,972.26","41,462,248.42","75,492,905.11","98,017,759.26","20,975,341.14","38,161,458.47","133,433,798.98","100,890,984.92","24,398,102.05","48,947,653.15","165,815,603.37","177,861,508.45","83,050,948.95","52,378,140.57","136,468,914.35","190,563,393.71","77,219,776.15","67,383,261.89","312,746,506.00","278,725,877.98","38,575,733.24","66,067,747.73","110,849,038.28","826,400,600.11","37,479,271.46","59,573,134.30","119,268,918.98","86,916,415.73","29,459,838.10","52,461,967.73","133,979,217.38","95,466,953.84","36,553,824.99","66,086,290.21","218,307,511.70","97,723,234.67","33,984,148.83"
投资活动现金流出小计,"464,403,855.63","996,552,149.25","209,303,014.03","906,336,351.07","600,214,321.38","1,020,840,320.38","1,462,686,197.18","2,261,194,720.94","604,938,076.19","1,546,090,079.54","2,074,110,814.03","2,612,198,261.49","486,578,877.37","834,213,962.06","1,438,620,119.55","2,003,509,092.37","524,536,762.84","861,180,632.61","1,153,964,459.07","1,551,476,641.00","514,576,966.11","1,003,682,427.32","1,443,541,728.10","7,208,243,557.73","1,482,266,942.74","2,328,051,126.55","3,191,442,923.12","4,134,870,758.81","938,202,882.36","1,806,762,549.40","2,365,405,304.66","2,857,469,293.51","665,631,537.57","1,188,549,519.52","1,906,169,279.71","4,073,465,447.47","1,339,041,574.64","2,779,423,766.58","3,024,040,061.74","2,863,472,110.34","619,125,240.30"
经营活动现金流入小计,"6,770,961,743.73","5,402,824,410.10","2,137,585,707.75","4,494,214,057.93","1,599,309,265.38","3,460,010,634.97","5,173,687,266.25","7,344,404,238.37","1,987,594,537.63","4,388,350,626.36","6,599,295,245.29","9,433,617,739.45","2,463,076,067.43","5,072,622,448.15","8,308,632,427.12","10,479,215,997.70","2,058,966,462.07","4,502,179,916.28","7,286,976,691.25","9,958,298,100.37","2,517,216,940.77","5,523,749,705.50","8,370,154,942.62","11,012,825,117.17","1,989,418,134.49","4,224,133,016.50","6,583,775,058.12","9,948,745,886.53","2,143,647,177.57","4,623,309,269.82","6,900,647,690.25","9,752,633,467.62","2,568,181,769.82","5,464,906,733.76","8,405,799,615.06","12,521,474,242.87","3,111,086,773.64","6,619,661,496.26","10,324,344,975.68","14,306,738,685.15","3,067,032,954.77"
投资活动产生的现金流量净额,"-448,801,654.04","-662,117,350.94","208,583,475.86","-423,811,852.22","-599,968,208.76","-932,833,759.73","-1,348,133,863.69","-1,810,940,231.83","-133,452,588.77","-529,380,761.67","-942,030,001.44","-809,869,146.50","-177,627,457.70","-46,332,402.11","-607,323,598.34","-1,045,177,135.57","-258,429,208.96","-356,465,639.80","-357,074,852.69","-702,146,219.76","-514,376,166.11","-818,980,886.41","-1,163,389,020.89","-2,454,929,042.72","-299,071,150.59","-757,825,459.91","-823,227,235.47","-926,951,046.61","-286,999,209.84","-405,787,446.87","-549,029,112.48","-958,251,024.15","-360,831,733.23","-793,525,281.18","-1,160,761,013.18","-2,173,123,787.31","-356,887,374.64","-624,214,508.93","-277,692,721.92","-720,269,056.44","-462,270,091.50"
购买商品、接受劳务支付的现金,"6,082,055,660.83","4,022,296,713.38","1,549,560,039.29","3,180,519,245.33","1,181,103,021.46","2,736,837,249.95","4,296,865,620.55","6,016,731,341.61","1,581,449,388.83","3,402,230,266.36","5,718,549,414.07","7,596,782,607.92","2,032,420,692.20","4,163,419,677.01","6,806,157,015.38","8,513,337,321.56","1,348,896,318.76","3,311,080,844.14","5,379,258,784.64","7,194,726,874.68","1,812,278,424.97","3,967,427,379.79","6,417,412,177.74","8,349,970,472.49","1,575,632,961.56","3,146,434,726.41","4,630,968,031.98","6,769,480,056.71","1,322,730,472.64","3,052,175,223.92","4,317,752,739.77","6,563,210,282.80","1,881,862,409.25","3,788,686,148.28","5,915,134,367.39","9,445,121,416.47","2,176,663,591.03","4,689,659,272.57","7,354,573,675.83","10,533,433,523.00","2,242,445,571.28"
吸收投资收到的现金,"16,200,000.00","2,750,000.00","17,208,800.00","896,121,300.00",,,,"3,000,000.00",,"48,510,000.00","58,310,000.00","1,015,967,629.99",,,,"3,000,000.00",,"5,000,000.00","5,000,000.00","20,892,000.00","29,400,000.00","29,400,000.00","29,400,000.00","39,200,000.00","22,771,818.80","47,644,200.40","55,018,491.60","75,199,498.08","2,810,016.00","10,675,200.00","175,405,408.10","189,404,831.10",,"15,323,520.00","15,323,520.00","27,223,520.00",,,"9,744,000.00","19,794,000.00",
