科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"118,751,968.04","156,155,508.80","299,908,121.06","167,518,629.64","251,352,206.22","345,128,273.64","67,670,761.88","145,310,538.66","224,496,943.77","313,322,535.60","75,718,901.05","149,925,566.78","255,806,547.00","487,300,369.51","116,199,952.89","289,698,797.63","423,860,416.04","733,162,434.45","188,387,925.89","365,750,813.30","553,714,165.83","773,427,033.08","252,216,989.23","559,739,670.44","902,886,621.55","1,135,536,745.04","373,503,716.80","689,298,589.31","967,014,377.05"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"26,571,400.00","24,696,582.96",,,,,,,"15,000,000.00","61,562,946.44",,,,,,"91,696,426.73","80,290,868.71",,,,
收到的税费返还,"197,578.83","2,280,826.00","13,863,962.36","5,753,815.35","6,869,443.56","11,108,420.97","3,566,776.10","7,300,455.75","10,335,315.93","12,083,837.82","887,773.23","5,020,654.59","8,337,168.31","14,286,199.11","3,957,309.25","5,279,783.41","7,500,022.07","8,512,834.53","3,321,857.22","6,899,616.12","11,121,576.88","12,523,659.79","5,055,238.41","4,094,130.19","14,085,596.80","21,709,652.54","7,172,684.69","9,942,440.24","10,705,998.17"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,"22,030.21","22,030.21","1,512,830.16",,,,,,"4,187,184.92",,,,,
收到其他与经营活动有关的现金,"19,166,937.93","16,053,881.22","25,118,424.69","296,470.14","855,347.82","3,718,506.23","3,425,636.90","11,652,735.06","13,859,860.64","8,626,515.43","4,611,543.85","4,798,565.29","3,896,979.74","11,287,401.17","1,463,850.95","3,341,367.58","3,873,806.04","5,208,647.72","242,274.47","1,342,119.47","9,718,283.45","13,800,796.63","2,712,926.76","4,279,037.17","13,963,131.83","12,448,299.36","5,980,373.95","10,477,047.12","16,729,037.60"
投资活动现金流出小计,"9,917,976.47","12,016,758.73","19,510,467.87","3,315,993.71","5,324,642.52","11,968,869.86","6,973,963.57","30,173,587.61","57,859,992.66","57,641,139.41","8,360,831.41","22,123,689.05","48,234,843.49","55,724,838.57","7,858,913.22","12,151,012.32","117,475,103.99","218,892,885.71","26,129,477.19","110,070,176.66","148,414,456.04","212,409,545.01","39,490,223.70","175,451,684.34","195,684,435.29","322,815,228.18","162,087,255.98","178,208,943.12","367,386,315.40"
经营活动现金流入小计,"138,116,484.80","174,490,216.02","338,890,508.11","173,568,915.13","259,076,997.60","359,955,200.84","74,663,174.88","164,263,729.47","248,692,120.34","334,032,888.85","81,218,218.13","159,744,786.66","268,040,695.05","512,873,969.79","121,621,113.09","298,319,948.62","435,234,244.15","746,883,916.70","191,952,057.58","373,992,548.89","574,554,026.16","799,751,489.50","259,985,154.40","568,112,837.80","930,935,350.18","1,169,694,696.94","386,656,775.44","709,718,076.67","994,449,412.82"
投资活动产生的现金流量净额,"-3,457,982.67","-10,680,854.66","-19,422,602.49","-3,315,993.71","-5,321,642.52","-11,965,869.86","-6,973,963.57","-30,173,587.61","-57,859,992.66","-57,641,139.41","-8,360,831.41","-22,123,689.05","-48,234,843.49","-55,540,814.86","-7,858,913.22","-12,151,012.32","-117,475,103.99","-217,139,290.69","-26,129,477.19","-110,070,176.66","-148,414,456.04","-212,274,474.80","-24,490,223.70","-149,183,887.22","-169,416,638.17","-254,344,567.79","-161,516,922.64","-155,652,359.77","-321,468,452.88"
购买商品、接受劳务支付的现金,"93,847,960.84","124,344,418.57","263,011,296.03","133,922,864.85","201,278,326.89","276,636,237.80","72,168,089.30","145,963,930.83","209,906,154.89","275,304,826.50","67,781,724.35","124,567,951.91","207,657,272.36","408,101,667.47","109,572,706.01","241,356,093.31","345,282,181.07","573,717,812.23","174,938,668.20","342,818,613.26","485,865,452.53","683,219,927.36","296,766,253.78","494,169,567.16","722,765,001.39","890,210,757.76","320,414,398.58","584,733,349.10","809,180,583.79"
吸收投资收到的现金,,"12,664,871.00","20,300,000.00",,,"211,882,832.46",,,,,,,,,,,,"69,999,996.00",,,,,,"531,999,936.70","531,999,936.70","539,999,936.70",,,
