科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"26,393,313.95","37,294,297.43","34,641,101.12","34,828,511.25","366,243,736.03","350,845,916.66","366,767,566.03","337,831,378.61","358,266,689.37","301,411,864.56","247,933,041.35","238,034,734.01","236,612,649.48","263,499,429.26","321,056,350.35","176,403,089.96","132,678,737.87","195,285,962.89","209,728,543.67","181,383,881.55","514,166,406.85","409,719,952.06","465,222,937.75","376,913,156.60","234,527,097.94","157,955,200.39","327,243,708.17","380,327,292.93"
短期借款,"3,000,000.00","2,000,000.00",,,,,,,,,,"17,800,000.00","35,590,000.00","44,490,000.00","49,097,791.00","31,907,791.00","41,600,000.00","122,221,295.00","117,190,310.00","107,390,310.00","108,631,740.00","21,431,740.00","113,048,484.00","111,500,000.00","184,500,000.00","189,000,000.00","191,342,759.00","182,998,328.04"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,"1,483,834.31","1,976,620.81","2,137,904.50","1,980,096.30","3,885,702.70","4,353,266.20","3,134,892.20","4,222,896.40","5,550,374.00","5,744,444.00","5,395,518.90","5,572,722.52","13,314,715.93","12,896,103.95","11,908,032.30","13,714,363.00","10,577,450.00","15,464,469.00","14,734,395.00","17,948,830.61","23,147,111.24","28,980,583.94","31,845,737.33","25,579,163.28","40,970,297.81","33,017,324.14"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"2,495,734.03","6,070,177.28","14,969,959.93","22,750,019.61","25,208,299.97","22,750,880.90","21,251,529.23","31,694,821.61","35,846,319.07","33,176,008.30","35,949,089.23","44,503,775.03","60,866,659.59","142,786,832.24","142,200,683.20","232,598,193.37","266,351,371.89","292,205,464.15","270,455,291.07","317,616,339.98","338,521,891.79","396,809,395.05","334,893,593.11","406,426,386.31","490,949,705.02","560,957,901.37","430,241,674.84","537,494,123.92"
应付账款,"5,626.94","285,245.51","2,182,653.71","2,043,289.92","1,146,346.86","1,337,366.00","2,194,172.08","2,833,879.52","2,581,298.13","1,743,853.60","4,208,793.92","5,709,022.85","11,958,882.88","18,859,793.38","18,945,235.98","18,595,419.74","21,869,346.48","20,621,602.12","21,564,180.38","26,908,732.87","29,601,783.03","28,536,470.78","21,642,587.03","43,495,074.19","49,279,424.87","70,888,359.37","64,198,987.82","97,347,013.83"
预付款项,"2,059,957.39","1,067,654.11","3,422,418.23","2,474,731.23","1,848,230.43","1,277,494.95","3,566,697.19","3,914,483.07","3,717,918.14","3,139,800.20","3,863,777.32","11,709,544.23","7,594,517.06","26,124,239.73","5,335,352.29","17,487,048.60","20,855,584.97","19,875,313.17","10,074,066.90","13,422,387.62","12,003,765.20","18,608,352.49","6,001,095.82","16,450,377.11","22,857,346.88","21,983,124.05","26,375,567.82","39,124,217.22"
预收款项,"1,204,895.50","635,140.70","710,510.89","494,077.23","133,884.77","749,744.14","260,825.19","1,588,447.74","1,172,956.42","2,034,301.28","624,669.48","483,551.96","1,870,052.41","2,456,088.14","4,139,924.06","5,355,430.31","5,374,614.87","7,871,899.87","5,811,885.12","13,225,103.23","8,066,291.27","12,617,827.35","8,125,476.96","16,804,492.25","7,630,159.70","13,967,797.92","14,022,282.45","16,787,940.96"
