科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"626,939,474.75","895,062,815.37","144,258,581.43","967,993,270.42","262,284,975.13","598,733,084.44","936,637,201.51","1,333,594,349.27","408,519,388.38","956,184,503.56","1,548,744,247.58","2,043,291,667.53","459,239,259.16","923,735,730.17","1,397,035,579.47","1,940,447,166.33","516,554,761.92","1,116,445,144.47","1,694,771,639.57","2,344,427,035.79","601,520,960.41","1,278,265,532.26","1,950,880,364.70","2,438,321,866.04","410,666,877.42","900,340,725.08","1,338,107,890.07","1,737,068,946.91","366,180,726.58","823,041,522.32","1,333,244,577.07","1,843,298,400.64","542,093,955.38","1,259,245,896.77","1,982,339,432.18","2,702,247,549.62","680,160,032.14","1,464,005,608.58"
二、营业利润,"85,823,239.92","39,210,559.31","-11,756,154.81","87,610,742.33","26,481,899.22","52,349,389.34","66,168,576.39","75,695,949.64","25,424,182.80","60,361,482.54","90,048,764.61","127,125,558.42","15,660,782.47","34,136,381.65","34,011,900.10","28,970,764.06","2,381,433.96","2,046,334.23","-853,133.65","127,644.04","-18,331,562.30","-8,163,988.66","-10,111,905.57","-6,534,484.56","-10,766,093.85","-25,847,630.85","-45,675,983.39","-103,780,155.95","-23,767,579.10","-7,208,633.92","15,703,683.88","31,846,492.73","20,246,532.40","50,957,527.32","84,887,650.68","72,746,808.09","38,584,206.40","75,358,875.13"
减:营业成本,"460,774,311.28","691,314,604.23","129,948,148.93","739,360,884.18","197,047,090.86","460,552,094.67","747,107,097.43","1,079,518,086.75","341,742,872.28","786,769,369.33","1,259,948,235.17","1,652,484,274.78","387,227,778.80","768,815,541.38","1,167,688,405.70","1,627,948,431.64","443,993,320.26","949,896,443.69","1,441,965,151.83","2,002,768,115.27","539,006,806.97","1,128,080,484.99","1,707,436,669.49","2,121,220,375.18","353,471,661.96","779,696,795.28","1,157,842,482.76","1,487,302,103.69","308,322,323.15","675,776,575.21","1,070,786,672.73","1,467,352,438.91","437,433,664.99","1,019,482,191.03","1,606,347,111.79","2,203,148,727.96","548,304,387.53","1,194,508,332.08"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,280,262.37","3,535,485.05","1,484,605.08","7,097,243.48","219,417.41","1,662,373.23","2,187,694.73","2,858,698.99","430,005.58","2,390,097.23","5,011,635.65","7,871,186.86","1,688,073.50","3,325,215.31","4,013,623.22","5,570,823.39","1,584,374.79","3,235,382.38","4,697,822.99","6,979,280.61","1,512,122.52","3,753,528.77","6,361,745.47","8,114,677.50","395,778.02","2,343,817.09","3,886,211.40","5,981,228.23","1,669,235.61","3,414,040.55","6,287,324.91","15,569,689.93","3,980,467.37","8,648,768.50","15,740,806.77","20,842,036.38","6,468,830.73","11,838,437.89"
营业外收入,"35,233,120.99","2,832,028.72","441,900.01","2,994,665.40","91,450.01","1,579,889.34","1,888,924.95","10,671,889.84","1,449,368.76","1,981,318.77","12,328,900.64","21,431,418.12","2,956,502.97","5,530,127.98","7,455,391.99","18,311,929.24","3,350,838.99","7,483,766.47","14,245,038.51","24,896,240.14","936,133.17","3,249,088.54","12,660,916.03","16,379,280.07","1,977,039.99","3,178,032.58","7,542,259.25","13,350,119.85","2,264,690.55","3,309,519.45","8,786,912.80","22,592,857.50","2,495,293.41","2,688,043.04","4,073,335.87","1,602,821.82","95,144.62","161,614.58"
销售费用,"38,774,616.88","64,947,664.88","9,833,778.76","65,215,485.00","17,856,066.88","41,611,275.50","59,039,123.18","84,518,975.29","17,263,383.36","47,825,283.91","88,061,754.89","115,639,300.92","23,916,063.65","51,230,558.96","82,584,032.22","114,561,588.93","25,405,354.35","59,159,928.34","88,303,842.62","120,979,961.70","30,004,356.40","58,421,486.79","87,213,803.31","122,759,669.98","23,269,622.39","51,945,843.34","82,449,619.86","112,027,349.20","32,387,706.78","62,548,451.48","99,464,246.11","144,918,347.05","30,523,765.59","71,423,038.91","103,296,869.53","138,394,176.49","26,513,650.98","58,873,903.80"
减:营业外支出,"3,516,642.63","2,698,651.41","28,405.05","78,799.79","100,000.00","1,316,600.46","1,316,600.46","1,416,600.46","110,575.95","110,575.95","219,100.48","1,007,961.88","60,350.00","452,952.02","508,522.02","1,116,276.71","30,000.00","31,469.86","679,322.00","1,252,525.67",446.87,"267,379.25","555,780.27","1,141,284.43","452,143.89","1,004,854.96","1,038,289.32","6,683,277.92","22,200.00","70,369.88","1,229,479.02","9,200,239.56","38,140.63","2,759,429.07","2,921,679.66","204,681.74","349,497.82","430,858.01"
管理费用,"24,796,736.28","36,572,272.90","9,217,236.20","31,085,926.17","8,537,702.95","17,680,805.92","28,393,553.69","49,506,800.54","11,921,074.00","28,505,882.58","49,361,331.38","72,884,518.72","15,631,896.56","37,462,391.58","63,052,102.92","93,822,966.23","20,035,441.70","52,955,523.18","86,959,787.83","114,654,641.74","27,935,431.77","54,559,751.98","84,963,537.04","119,500,955.28","25,922,560.79","51,891,532.03","80,083,579.13","132,691,146.19","29,749,623.72","61,253,152.39","94,551,077.81","130,527,238.18","34,246,969.27","74,091,854.27","113,442,316.56","147,761,953.75","33,769,186.61","81,238,371.03"
其中:非流动资产处置净损失,,"1,386,261.41",,"28,405.05",,,,"216,300.46",,,,,,,,"845,708.89",,,,"1,220,481.45",,,,"344,719.00",,,"36,038.60","2,881,387.67",,"27,319.88","781,173.96","8,372,820.77","32,700.00","2,752,494.25","2,606,424.59",,,
