科目,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
现金及存放同业款项,,,,,,,,,,,,,,
短期借款,"641,989,800.00","801,074,092.92","3,875,544,067.78","1,649,542,411.87","259,948,769.89","640,566,910.40","54,994,500.00","412,241,527.80","313,661,693.17","255,192,843.65","358,013,746.56","710,904,560.00","883,712,148.72","2,106,343,950.00"
货币资金,"42,354,459,000.00","59,705,062,185.97","116,071,088,873.63","210,247,474,732.06","157,430,786,231.11","140,737,336,856.23","130,904,423,702.49","112,086,992,970.76","84,990,024,372.27","98,130,406,074.80","77,934,862,687.37","92,945,657,389.33","75,010,243,618.05","74,338,609,586.12"
其中：质押借款,,,,,,,,,,,,,,
其中：客户资金存款,"36,446,780,700.00","47,741,896,457.79","95,195,662,811.12","175,872,964,893.47","112,144,641,692.99","112,887,967,356.20","95,551,893,607.71","88,933,398,773.61","66,956,134,218.66","74,870,320,260.64","51,932,166,217.39","63,833,905,346.52","57,425,153,513.13","51,963,913,432.49"
拆入资金,"3,858,000,000.00","3,669,000,000.00","6,008,000,000.00","6,108,000,000.00","6,439,000,000.00",,"1,150,000,000.00","3,500,000,000.00","1,000,000,000.00","3,000,000,000.00","3,000,000,000.00","5,700,000,000.00","7,000,000,000.00","7,900,000,000.00"
存放中央银行款项,,,,,,,,,,,,,,
交易性金融负债,,,,,"486,124,500.00",,,"315,942,470.00","498,662,500.00","1,054,142,100.00","1,190,043,690.00","1,160,675,000.00","1,082,055,000.00","2,648,100,000.00"
结算备付金,"5,199,716,200.00","10,862,412,147.96","12,879,276,185.55","25,890,724,819.86","18,621,992,650.08","19,511,313,197.15","16,398,007,001.57","13,929,045,871.70","14,511,144,554.36","13,432,698,111.19","25,379,686,811.90","11,235,943,319.72","12,857,968,625.40","12,633,204,980.21"
衍生金融负债,,,"93,955.90","6,247,985.47","55,491,356.84","30,832,537.19","55,846,616.65","84,266,106.68","35,379,571.08","19,997,599.65","14,540,566.04","18,684,602.29","18,992,181.94","32,252,207.15"
其中：客户备付金,"4,169,251,100.00",,,,,,,"11,596,746,065.50","12,445,351,477.92","11,726,379,819.09","23,358,771,865.97","8,812,280,232.35","9,769,268,757.40","10,042,886,080.90"
卖出回购金融资产款,"9,059,545,000.00","18,788,615,520.14","72,965,028,685.59","87,892,059,999.03","73,879,298,689.81","65,141,179,937.97","59,875,127,378.73","51,568,514,108.27","36,784,235,121.35","34,777,733,132.65","38,472,298,341.08","49,984,219,662.46","61,585,582,923.39","64,659,491,538.06"
贵金属,,,,,,,,,,,,,,
吸收存款,,,,,,,,,,,,,,
