科目,2007年1-6月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"205,583,902.41","482,226,250.75","303,714,280.17","506,882,623.49","753,973,375.53","131,638,857.27","343,783,870.38","500,440,587.48","832,017,933.71","105,515,844.74","387,365,010.72","575,353,586.55","923,898,219.85","138,942,929.08","440,103,871.66","690,785,787.93","1,059,540,577.69","187,035,839.86","486,748,530.36","711,580,773.43","925,191,526.30","179,035,562.63","372,641,391.17","551,107,679.44","796,151,249.80","148,002,156.34","367,112,453.49","478,560,677.05","686,015,247.76","139,204,604.02","293,862,986.26","424,500,683.72","707,468,020.07","163,505,831.22","535,302,701.43","746,811,578.67","1,122,143,269.52","259,202,018.77","535,927,519.73","808,438,769.94","1,095,925,832.06","225,975,429.12","529,961,847.54","808,819,490.81","1,103,642,382.06","189,113,758.24"
二、营业利润,"27,941,447.65","79,086,045.58","51,242,152.06","81,636,936.13","110,448,632.83","20,595,311.66","61,231,202.72","90,543,354.74","130,522,192.26","12,893,279.77","54,881,438.84","79,582,916.75","152,538,828.20","17,995,791.43","77,137,666.50","106,876,763.51","204,242,410.00","21,486,085.80","87,665,731.23","104,799,360.31","121,890,094.27","16,436,815.61","60,148,525.24","74,324,295.27","86,257,548.74","8,416,216.27","30,784,342.43","105,041,949.72","117,310,383.02","-2,178,755.36","15,151,918.21","37,387,300.04","89,197,802.91","5,423,321.25","59,681,775.17","88,467,857.40","132,326,538.85","31,036,535.97","77,916,294.35","106,945,573.34","152,761,291.13","21,622,204.94","80,623,814.17","131,537,756.25","182,514,829.92","49,562,880.50"
减:营业成本,"155,772,752.12","351,067,416.46","219,780,496.60","369,121,580.19","555,125,660.01","94,322,285.80","246,129,577.00","358,871,071.84","576,194,085.44","74,386,310.90","266,759,033.79","408,235,222.57","633,180,912.35","99,560,971.05","302,645,421.05","486,202,991.50","739,225,444.14","129,440,955.24","329,851,848.92","481,858,650.09","652,583,247.08","122,092,562.85","248,237,439.98","373,531,015.40","581,366,706.37","104,782,924.93","282,427,563.04","397,669,391.03","621,536,318.63","109,641,130.79","235,534,676.47","340,444,257.78","550,381,697.89","122,207,067.89","393,606,852.71","544,928,273.48","826,614,895.39","198,356,000.71","402,216,003.87","617,859,794.79","871,071,385.66","181,300,248.66","419,164,035.58","655,167,728.02","948,947,187.77","153,542,324.98"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"513,301.37","1,756,781.45","363,645.60","1,827,489.29","4,668,901.11","858,035.26","1,951,253.74","2,861,087.32","8,060,682.70","830,912.73","3,616,462.14","4,583,512.19","7,888,102.52","2,739.00","1,478,871.78","2,631,392.44","4,174,145.20","1,507,492.85","4,188,840.73","6,501,549.77","8,926,293.43","512,017.00","1,298,421.69","1,323,776.81","3,167,310.33","408,842.21","1,251,682.48","1,641,637.76","2,005,403.55","628,369.27","1,452,211.77","1,741,207.03","3,234,256.80","947,666.90","809,931.66","2,095,073.75","8,418,606.21","533,878.45","4,322,972.13","5,608,383.61","16,150,857.34","3,139,076.66","9,470,457.26","10,308,152.77","18,623,999.94","1,723,057.56"
营业外收入,"10,505,944.46","12,866,705.73","17,487,538.80","17,874,369.20","22,214,769.11","2,619,334.00","6,055,684.00","6,823,370.05","13,641,517.11","463,400.00","3,126,899.14","7,036,951.14","9,907,791.01","451,688.00","5,917,695.50","14,030,504.69","14,386,392.02","864,853.85","7,306,071.40","17,166,995.62","26,612,579.89","1,369,992.09","7,751,857.01","10,347,924.34","16,462,090.28","727,716.00","3,768,751.31","5,789,304.46","7,516,309.70","1,727,298.15","2,644,825.22","4,046,698.50","11,201,034.76","941,140.66","2,080,488.58","3,378,270.60","6,278,012.76","1,514,109.51","1,506,214.60","2,875,958.05","975,918.81","111,787.60","2,121,571.80","2,974,965.59","6,337,754.80","447,909.09"
销售费用,"5,649,989.99","10,294,988.29","1,285,229.56","1,706,850.59","7,197,635.13","2,381,435.97","2,632,996.99","6,105,202.23","13,683,641.86","1,875,590.28","4,568,530.72","8,897,307.61","15,395,371.60","3,862,346.11","7,664,707.00","11,936,583.18","17,799,765.44","4,733,357.88","9,045,066.11","17,120,391.32","24,501,104.13","7,626,838.19","12,062,898.20","22,049,033.83","26,356,795.73","6,721,408.79","14,575,878.94","30,567,127.12","36,605,325.11","8,562,939.27","18,776,053.84","28,203,634.20","41,010,493.10","11,120,912.38","21,019,301.53","32,293,803.97","47,717,133.67","10,669,998.98","27,189,392.32","44,940,065.33","47,380,408.21","8,205,844.95","23,681,880.62","37,415,958.90","46,364,651.88","5,499,315.63"
减:营业外支出,"363,027.75","1,092,627.18","831,724.10","913,462.34","1,633,333.31","397,740.01","707,942.15","995,981.47","1,334,896.73","325,217.18","648,608.59","967,053.54","1,355,992.51","408,942.93","749,034.31","1,723,976.29","2,162,844.12","397,714.20","751,521.21","1,215,070.97","1,467,188.72","331,267.88","572,825.11","705,241.19","1,372,963.31","342,376.62","640,308.56","827,993.64","1,205,821.80","229,691.67","618,881.96","806,927.64","864,032.00","499,980.36","650,223.32","908,266.35","1,033,692.48","185,181.45","284,831.59","333,188.37","6,905,672.52","159,132.33","364,303.08","348,317.14","1,654,906.83","177,727.03"
管理费用,"13,783,410.89","34,735,998.71","26,562,898.00","44,698,852.22","67,006,894.71","13,903,149.43","28,358,454.67","41,839,886.53","82,077,077.94","11,776,552.32","38,284,092.12","55,551,497.33","79,182,198.07","13,513,138.12","67,352,726.74","98,303,208.95","113,967,083.03","30,376,014.30","57,443,870.32","98,861,581.85","130,740,750.56","32,674,394.10","50,395,920.05","81,059,075.74","114,634,213.60","36,443,090.42","70,182,451.20","131,239,897.73","168,629,137.87","37,611,658.88","76,786,647.20","107,435,100.13","155,650,395.25","32,725,139.70","81,371,720.97","119,573,925.07","177,008,441.68","38,654,971.00","76,998,334.28","139,100,352.61","168,509,796.17","34,985,016.94","74,045,441.66","109,908,656.82","156,317,629.85","32,273,057.06"
其中:非流动资产处置净损失,"72,431.76","198,118.71",,,"308,125.75",,,,"107,117.82",,,,,,"64,726.47","64,726.47","25,889.30",,"3,000.82",,"7,110.00",,"35,542.04","35,542.04","48,816.17",,,,"46,405.02",,,,"1,369.49",,"117,696.98","132,707.83","151,795.75",,"53,189.50","53,189.50",,,,,,
