科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"299,119,037.77","278,492,080.89","447,437,568.26","458,493,689.14","529,442,236.00","552,943,150.14","529,613,025.52","462,315,196.83","414,627,644.55","1,684,852,085.68","582,402,367.35","424,679,689.54","396,714,260.17","621,590,647.85","483,274,473.06","694,877,676.96","399,090,482.06","989,800,789.95","1,040,257,247.42"
短期借款,"343,000,000.00","388,000,000.00","978,000,000.00","1,183,000,000.00","1,217,000,000.00","1,197,000,000.00","1,467,000,000.00","1,545,000,000.00","1,602,000,000.00","1,932,500,000.00","1,476,500,000.00","1,714,500,000.00","1,894,500,000.00","2,226,147,260.00","2,441,147,260.00","2,640,647,260.00","2,890,647,260.00","3,587,870,000.00","3,726,290,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,
应收票据,"92,469,827.75","25,025,175.70","71,381,666.90","37,403,644.52","33,725,762.80","49,128,177.68","42,249,835.42","119,589,527.76","121,692,099.76","54,532,137.63","92,552,023.21","103,099,901.92","98,798,329.22","119,718,186.89","171,792,719.90","322,324,006.63","185,004,486.89","298,883,519.00","358,514,579.19"
应付票据,"129,200,580.03","113,846,296.90","138,389,223.83","422,931,807.31","404,712,756.20","355,843,700.08","401,019,819.07","476,074,311.73","572,066,502.52","606,785,751.41","518,110,712.44","410,420,869.01","455,474,743.66","516,570,126.63","426,355,864.22","457,201,113.56","364,131,678.65","604,407,348.52","872,686,894.22"
应收账款,"513,549,371.94","669,441,111.68","962,689,745.29","1,056,691,128.39","1,048,682,038.57","1,094,787,146.34","1,044,849,686.76","1,181,396,835.15","1,259,971,810.04","1,284,295,202.08","1,395,988,245.00","1,467,981,955.42","1,551,446,169.23","1,416,247,847.53","1,274,394,650.25","1,296,392,190.60","1,350,817,465.31","2,079,638,617.02","2,029,950,063.36"
应付账款,"457,094,457.61","470,963,722.80","757,086,172.01","614,396,787.42","704,466,443.06","802,383,767.57","1,043,473,588.64","837,848,051.19","769,815,113.90","836,895,260.13","708,317,462.75","708,863,006.51","703,612,982.72","725,783,771.12","682,342,685.92","1,237,215,137.58","1,478,805,127.42","1,542,805,201.49","1,803,880,353.16"
预付款项,"89,028,378.75","115,411,792.01","190,295,565.71","404,604,709.13","591,729,836.86","438,919,150.26","551,843,365.76","540,814,406.60","570,609,021.05","500,274,256.54","446,821,496.05","266,230,732.59","272,838,883.88","249,063,776.38","441,228,215.75","741,390,985.16","1,055,656,352.42","616,142,129.37","798,314,206.45"
预收款项,"285,495,340.37","363,851,755.86","428,620,823.58","498,784,689.62","613,100,801.03","684,921,368.87","624,487,130.70","478,362,911.85","452,836,225.72","358,233,005.41","361,966,810.78","303,590,191.24","370,029,396.00","483,926,483.96","667,157,442.33","937,468,355.82","1,139,820,436.18","851,448,273.62","974,313,197.17"
其他应收款,"19,662,171.77","24,372,695.49","23,403,122.41","32,603,504.89","26,853,791.21","33,672,634.81","40,839,868.29","32,868,578.71","36,748,930.16","30,418,181.77","32,636,359.84","25,757,060.29","34,321,964.22","26,588,586.20","29,735,544.76","29,939,816.56","28,696,169.63","31,116,255.62","33,314,561.80"
应付职工薪酬,"25,175,708.33","23,012,167.24","20,403,401.24","22,892,344.82","22,609,718.89","46,032,848.75","39,946,243.50","30,444,677.36","25,482,755.54","41,050,375.36","27,548,888.09","27,815,869.86","28,071,081.33","64,426,689.12","32,599,758.80","30,665,786.93","32,036,863.86","52,889,595.70","39,938,195.80"
应收关联公司款,,,,,,,,,,,,,,,,,,,
应交税费,"10,536,268.21","26,520,602.15","28,044,053.60","2,699,171.54","-19,965,677.00","3,960,337.34","-55,276,205.68","22,915,619.23","10,652,615.24","3,928,322.45","4,517,159.65","13,511,300.77","4,882,912.32","2,960,714.92","1,971,649.02","9,104,130.38","2,969,941.15","15,401,132.90","7,205,807.49"
应收利息,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,"917,732.16","2,294,330.40"
应收股利,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,
存货,"546,914,083.61","612,165,569.12","940,234,567.12","1,131,240,265.35","1,298,057,713.21","1,326,063,118.41","1,662,817,987.81","1,458,062,074.65","1,489,554,461.45","1,727,973,921.85","1,737,934,578.76","1,721,586,573.02","1,858,775,555.37","2,014,033,132.92","2,150,224,298.92","2,857,800,443.09","3,494,253,148.67","3,123,682,475.45","3,515,207,704.09"
其他应付款,"4,298,947.28","5,737,844.82","38,185,216.20","132,464,171.85","232,017,312.66","1,384,237,642.67","1,205,181,215.65","362,929,042.48","322,127,608.30","261,771,948.12","105,204,689.54","63,823,704.14","65,769,851.09","51,638,637.26","33,247,526.92","35,530,966.87","21,804,575.83","108,359,559.77","20,625,651.07"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,"699,999.99","2,799,999.96","2,099,999.97",,"1,000,000.00","52,000,000.00",,,,"59,999,999.52","34,999,999.76","34,999,999.76","10,000,000.00","67,499,999.52","42,499,999.76"
其他流动资产,,,,,,"31,225,436.77",,,,"64,217,053.53","61,249,772.41","46,076,661.54","39,281,618.98","29,494,042.33","49,527,343.94","41,243,084.75","63,368,808.90","154,932,484.55","147,128,442.97"
其他流动负债,"35,503,484.72","14,598,936.08","51,335,836.00","28,107,918.00","1,847,288.51","2,563,435.52","2,362,576.64","76,862,928.56","176,222,069.68","178,831,368.85","102,322,576.64","101,548,384.43","774,192.22","4,232,102.18","3,174,076.64","2,116,051.10","1,058,025.56","5,184,128.70","3,871,629.35"
流动资产合计,"1,560,742,871.59","1,724,908,424.89","2,635,442,235.69","3,121,036,941.42","3,528,491,378.65","3,526,738,814.41","3,872,213,769.56","3,795,046,619.70","3,893,203,967.01","5,346,562,839.08","4,349,584,842.62","4,055,412,574.32","4,252,176,781.07","4,476,736,220.10","4,600,177,246.58","5,983,968,203.75","6,576,886,913.88","7,294,196,270.96","7,922,686,805.28"
流动负债合计,"1,290,304,786.55","1,406,531,325.85","2,440,064,726.46","2,905,276,890.56","3,176,488,643.34","4,479,743,100.76","4,730,294,368.49","3,830,437,542.40","3,932,202,890.90","4,271,996,031.73","3,304,488,299.89","3,344,073,325.96","3,523,115,159.34","4,135,685,784.71","4,322,996,263.61","5,384,948,802.00","5,941,273,908.65","6,836,782,972.38","7,493,606,058.42"
可供出售金融资产,,,,,,,,,,,,,,,,,,"41,200,000.00","41,200,000.00"
长期借款,"82,053,123.01","69,253,123.05","6,453,123.13","6,453,123.13","56,453,123.13","52,100,000.17","52,100,000.17","50,000,000.00","59,000,000.00","7,000,000.00",,,,,,"300,000,000.00","300,000,000.00","300,000,000.00","300,000,000.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,"223,864,972.39","223,864,972.39","226,670,429.25","226,670,429.25","255,707,945.70","255,707,945.70"
长期应付款,"9,593,533.79",,,,"100,000,000.00","110,000,000.00","210,000,000.00","210,000,000.00","210,000,000.00","210,000,000.00","197,500,000.12","197,500,000.12","172,500,000.36","162,420,000.84","162,420,000.84","162,420,000.84","162,387,231.84","104,887,232.32","104,887,232.32"
长期股权投资,"27,289,910.95","24,566,006.39",,,,,,,,,,,,,,,,"30,240,000.00","30,240,000.00"
专项应付款,,"420,000.00",,,,,,,,,,,,"120,000.00","120,000.00","120,000.00","120,000.00","120,000.00","120,000.00"
投资性房地产,,,,,,,"104,219,187.03",,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,"1,570,740.86","1,570,740.86"
固定资产,"383,584,421.58","386,097,529.79","457,869,256.86","459,003,440.73","497,350,910.56","2,224,713,583.05","2,200,994,932.62","2,164,309,913.25","2,148,637,456.99","2,133,796,988.50","2,109,744,170.65","2,114,188,073.61","2,121,090,650.89","2,193,445,609.95","2,193,050,777.19","2,335,527,319.49","2,325,393,579.29","2,763,765,381.06","2,751,534,631.02"
递延所得税负债,,,,,,"80,103,956.25","80,103,956.25","198,289,584.45","197,242,670.16","193,536,311.04","192,998,469.31","192,117,027.85","191,197,437.16","180,402,785.56","179,877,923.03","178,932,652.89","178,396,957.32","195,214,510.20","194,699,384.49"
