科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"215,072,334.26","262,321,986.25","378,110,555.86","260,213,606.60","384,446,392.77","515,097,924.29","84,004,918.79","198,006,060.38","334,161,493.81","496,750,332.87","59,984,722.12","171,670,124.11","323,822,253.47","468,175,429.00","118,205,690.07","260,992,329.54","453,120,841.28","677,803,906.70","157,007,507.26","321,250,437.53","533,061,522.39","978,997,456.10","186,811,803.06","415,893,784.13","726,333,268.16","1,120,243,224.81","348,048,994.63","663,386,635.35","1,016,243,281.63","1,530,638,748.36"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,"13,120,972.18","19,809,350.95","19,809,350.95",,,,,,,,
收到的税费返还,"4,486,079.31","5,150,409.50","7,951,161.91","1,242,521.29","1,242,521.29","6,873,401.16",,"2,043,999.84","6,634,288.16","10,396,361.48",,"3,761,123.01","6,029,102.84","10,366,546.58","841,452.83","1,488,014.50","4,436,332.14","8,663,094.47","1,393,947.23","4,055,166.39","5,776,490.87","7,043,688.04","1,681,560.57","2,400,740.02","5,603,274.76","7,049,580.32","1,346,020.53","2,283,583.83","4,144,061.94","4,696,962.00"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,"53,927,374.26",,,,"122,520,415.30",,,,,,,,
收到其他与经营活动有关的现金,"16,136,078.70","23,093,299.12","32,589,262.53","13,543,878.01","22,731,166.60","17,158,350.61","4,353,102.00","10,424,153.62","11,894,248.44","44,128,644.71","17,310,315.87","34,659,049.87","68,508,803.71","42,170,271.64","29,234,425.68","53,090,237.01","81,633,590.35","265,406,389.99","25,833,861.03","42,321,674.73","94,235,201.14","152,861,474.42","94,419,937.00","50,755,651.69","115,745,973.40","111,614,396.06","42,875,521.00","65,122,341.55","86,644,043.76","125,180,015.66"
投资活动现金流出小计,"5,963,951.40","11,633,348.14","15,094,018.55","7,170,047.15","8,679,975.91","12,158,976.92","85,864.22","688,578.22","14,028,981.72","21,325,827.75","51,676,705.70","61,911,951.00","77,592,777.58","99,533,923.43","4,296,582.85","21,352,164.55","48,869,709.60","111,674,271.44","8,038,375.38","24,228,362.64","51,081,061.41","200,179,198.31","4,483,147.95","17,297,622.77","202,902,485.23","269,727,727.87","13,511,083.27","62,695,060.59","86,585,960.54","180,629,100.05"
经营活动现金流入小计,"235,694,492.27","290,565,694.87","418,650,980.30","275,000,005.90","408,420,080.66","539,129,676.06","88,358,020.79","210,474,213.84","352,690,030.41","551,275,339.06","77,295,037.99","210,090,296.99","398,360,160.02","520,712,247.22","148,281,568.58","315,570,581.05","539,190,763.77","951,873,391.16","184,235,315.52","367,627,278.65","633,073,214.40","1,138,902,618.56","282,913,300.63","469,050,175.84","847,682,516.32","1,238,907,201.19","392,270,536.16","730,792,560.73","1,107,031,387.33","1,660,515,726.02"
投资活动产生的现金流量净额,"-5,963,951.40","-11,633,348.14","-15,087,585.87","-7,170,047.15","-8,679,975.91","-12,158,976.92","-85,864.22","-533,578.22","-13,848,981.72","-21,115,827.75","-51,640,205.70","-59,754,420.92","-75,435,247.50","-97,376,124.12","-4,296,582.85","-19,236,364.55","-46,733,909.60","-109,846,283.73","-8,038,375.38","-24,228,362.64","-46,960,461.41","-186,712,255.96","-1,483,147.95","-11,297,622.77","-196,902,485.23","-113,349,842.87","87,893,551.30","117,546,982.16","93,750,299.30","5,869,240.71"
购买商品、接受劳务支付的现金,"133,056,263.75","118,482,270.48","207,695,929.54","126,424,775.26","218,875,137.89","276,894,987.75","70,467,450.18","124,457,943.01","227,165,288.56","297,372,203.60","77,076,403.92","204,233,452.56","294,420,146.07","368,487,633.00","318,112,912.42","570,573,713.31","753,434,589.62","860,335,277.83","171,951,094.94","363,050,762.08","673,322,186.03","1,395,507,928.78","242,405,866.80","464,683,170.96","596,528,379.75","1,153,032,557.15","417,592,975.63","819,064,159.49","1,336,255,965.00","1,739,920,395.36"
吸收投资收到的现金,,,,,,"610,040,810.00",,"600,000.00","11,600,000.00","11,600,000.00","4,000,000.00","4,000,000.00","4,000,000.00","7,200,000.00",,,,,,,"986,292,685.38","1,087,999,985.26","855,000.00","6,750,000.00","6,750,000.00","6,750,000.00","691,601.00",,,
支付给职工以及为职工支付的现金,"24,645,703.21","27,866,182.14","33,549,715.83","17,900,130.23","26,769,896.82","37,674,793.33","14,238,978.64","25,816,844.39","38,202,421.40","52,102,518.69","21,192,903.46","38,011,595.48","54,461,222.74","77,210,467.14","32,118,685.77","51,426,968.96","71,865,470.41","100,651,318.65","38,963,758.85","67,027,661.63","91,032,659.46","120,328,082.21","36,201,782.31","66,007,279.12","95,428,767.53","133,647,548.96","44,690,708.58","78,467,674.98","110,188,040.25","147,958,515.89"
取得借款收到的现金,"42,581,000.00","44,780,000.00","54,812,000.00","33,569,000.00","33,569,000.00","32,384,020.00",,"70,000,000.00","120,000,000.00","213,160,000.00","140,000,000.00","250,611,000.00","250,611,000.00","278,000,000.00","184,207,950.00","394,181,121.00","599,023,980.67","858,841,269.44","349,372,871.83","481,959,194.22","481,959,194.22","826,425,112.03","168,099,537.55","465,883,691.79","545,666,894.00","620,646,633.61","212,200,000.00","288,196,316.00","500,896,316.00","746,896,316.00"
