科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"152,241,414.02","212,679,679.76","221,387,371.77","195,530,490.13","338,830,761.75","49,640,928.12","106,404,558.10","232,278,796.28","476,905,352.37","102,957,701.47","252,216,553.36","327,777,754.63","582,193,451.19","104,021,487.08","260,770,436.04","373,166,663.13","620,980,481.10","96,456,474.34","185,046,976.83","299,790,966.22","581,497,394.09","134,457,587.69","254,241,420.97","380,077,929.80","674,808,074.58","141,962,031.23","298,484,394.32","423,648,628.82","663,325,514.01","148,202,880.12","335,957,759.48","468,994,853.56"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"10,362,130.99",,,,,"941,965.39","941,965.39","941,965.39","941,965.39",,"-123,094.91","-123,094.91","96,198,485.59",,,,,,"1,869,722.26","1,869,722.26","1,869,722.26",,,
收到的税费返还,"7,048,737.53","7,534,659.57","2,697,017.01","4,901,100.18","8,614,599.49","652,288.36","652,288.36","652,288.36","6,782,753.79","1,602,051.35","4,277,420.62","5,762,663.04","8,664,395.80","3,238,985.47","5,020,745.60","7,084,923.58","8,540,399.62","4,745,543.31","7,075,775.35","8,198,051.07","14,639,402.74","3,526,752.72","4,569,624.60","9,260,492.55","14,469,172.08","2,606,723.27","5,260,364.16","8,685,483.82","9,351,239.35","2,080,294.76","3,230,005.77","7,107,487.16"
支付其他与投资活动有关的现金,"9,595,326.79",,,,,"78,523.10",,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"670,714.62","634,097.31","816,050.76","4,677,975.62","2,291,133.18","-3,339,578.02","1,406,345.78","11,729,928.74","13,925,882.73","3,389,900.60","3,938,687.71","29,530,490.35","24,733,193.20","24,095,695.37","39,777,038.47","53,988,561.74","33,718,132.44","3,350,486.66","27,292,065.17","32,865,097.73","53,432,607.46","22,004,428.18","30,755,550.19","64,910,129.36","69,941,948.15","11,690,031.43","33,406,963.47","40,968,736.54","49,682,159.12","27,782,981.20","37,646,131.97","52,868,105.41"
投资活动现金流出小计,"29,688,458.16","8,006,606.98","20,843,403.89","9,045,188.86","17,786,599.14","6,358,934.86","20,252,536.31","34,281,660.36","62,197,972.79","16,450,608.66","24,860,782.44","232,486,104.10","241,374,869.25","511,452,815.10","585,994,607.19","1,020,654,335.84","1,302,066,395.14","167,914,541.01","328,702,512.88","721,403,467.13","1,051,884,432.32","418,254,466.35","729,845,329.62","733,071,442.67","738,061,030.77","6,615,720.08","1,517,209,712.99","2,603,847,689.57","3,140,933,371.84","1,407,486,764.33","3,349,911,900.84","4,962,763,755.99"
经营活动现金流入小计,"159,960,866.17","220,848,436.64","224,900,439.54","205,109,565.93","349,736,494.42","46,953,638.46","108,463,192.24","244,661,013.38","497,613,988.89","107,949,653.42","260,432,661.69","363,070,908.02","615,591,040.19","131,356,167.92","305,568,220.11","434,240,148.45","663,239,013.16","104,552,504.31","219,414,817.35","340,854,115.02","649,569,404.29","159,988,768.59","289,566,595.76","454,248,551.71","759,219,194.81","156,258,785.93","337,151,721.95","473,302,849.18","722,358,912.48","178,066,156.08","376,833,897.22","528,970,446.13"
投资活动产生的现金流量净额,"-27,107,923.19","-3,467,094.90","-20,836,357.63","-9,028,149.26","-17,733,159.54","-6,358,934.86","-20,252,536.31","-34,278,660.36","-62,184,184.33","-16,450,608.66","-24,860,782.44","-232,486,104.10","-165,335,893.31","-374,754,597.18","-449,294,889.27","-526,028,116.50","-565,198,376.06","169,546,303.51","234,647,877.94","91,365,627.26","48,480,703.32","5,351,494.66","425,538,923.45","422,327,699.40","417,348,556.53","-6,612,720.08","-1,499,195,748.60","-1,142,736,481.19","-448,643,812.94","-1,009,312,422.30","-1,527,006,495.46","-1,557,563,942.23"
购买商品、接受劳务支付的现金,"86,895,866.06","113,076,493.18","105,495,065.13","144,359,642.97","196,282,611.73","94,525,653.78","163,450,001.75","236,450,444.93","331,666,486.26","39,752,194.68","94,795,646.81","188,962,997.07","273,338,182.20","86,048,216.53","164,704,171.04","241,836,415.08","293,928,770.29","69,159,845.86","129,135,994.13","217,084,784.40","334,108,808.50","81,342,971.42","158,844,336.13","230,860,326.50","343,045,622.89","91,882,751.61","175,832,445.19","276,841,150.58","337,009,565.86","85,580,378.35","173,347,721.56","264,187,989.15"
吸收投资收到的现金,"5,250,000.00",,,,,"669,396,000.00","677,358,000.00","677,358,000.00","677,358,000.00",,,,"2,650,000.00",,,,,,,,,,,,,,"1,361,582,377.43","1,361,582,377.43","1,361,582,377.43",,,
支付给职工以及为职工支付的现金,"17,396,770.85","20,637,226.99","21,340,653.83","17,164,967.69","24,015,108.84","6,596,827.49","13,771,016.74","20,479,171.85","30,662,304.01","12,829,191.50","22,936,696.81","33,135,597.51","42,922,802.44","14,925,796.82","26,515,557.79","40,767,954.24","54,707,740.41","18,257,457.44","31,912,650.96","46,217,254.12","68,493,043.75","35,688,174.47","51,580,117.04","78,152,776.90","103,604,051.21","36,626,367.82","63,251,826.44","92,234,879.89","126,312,963.91","34,549,600.02","62,396,067.67","90,221,844.18"
取得借款收到的现金,"30,000,000.00","44,500,000.00","38,500,000.00","17,000,000.00","17,000,000.00",,"1,000,000.00","1,000,000.00","1,000,000.00",,,,,,,,,,,,,"4,000,000.00","40,000,000.00","55,000,000.00","58,000,000.00","20,000,000.00","30,000,000.00","50,000,000.00","50,000,000.00","18,000,000.00","25,000,000.00","45,000,000.00"
支付的各项税费,"14,377,191.84","26,995,949.02","24,773,767.85","23,610,672.37","39,144,552.57","13,527,014.09","16,975,388.22","22,887,239.96","54,707,620.60","29,605,929.17","42,453,642.81","57,240,946.53","83,797,721.48","31,416,524.09","42,431,226.05","51,021,577.82","67,559,210.87","23,724,367.72","35,971,999.36","51,271,307.47","75,573,710.39","17,386,147.10","31,542,474.62","53,443,273.34","82,522,490.94","29,061,874.42","48,543,722.11","65,955,239.43","77,510,668.61","21,281,016.56","30,454,013.54","45,278,746.80"
收到其他与筹资活动有关的现金,,,"15,800,000.00",,,"223,803.64",,,,,,,,,,,,,,,,,,,,,,,,,,
