科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"1,769,827,501.81","2,056,454,995.64","2,534,100,114.69","741,285,867.15","1,491,077,570.32","2,288,101,469.96","3,228,268,429.79","963,828,364.83","1,961,538,245.65","2,979,781,614.52","4,282,369,991.24","1,217,418,468.94","2,548,031,551.03","3,869,406,465.76","5,470,452,863.36","1,767,499,186.82","3,397,567,128.72","5,254,383,812.43","7,827,804,389.35","2,648,938,013.04"
取得子公司及其他营业单位支付的现金净额,"27,100,000.00","15,197,700.46",,,,"61,168,983.00","134,237,862.05","68,519,000.00","113,681,980.07","214,735,619.06","260,640,421.24","26,600,000.00","110,576,560.11","133,676,560.11","166,230,561.23","68,006,723.38","243,194,971.97","1,064,944,849.30","1,239,315,597.29","247,471,307.25"
收到的税费返还,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,"280,000,000.00","712,000,000.00","1,421,500,000.00","1,737,000,000.00","171,648,027.32","559,201,250.00","2,591,550,000.00","3,586,630,000.00","1,043,126,560.11","1,574,600,000.00","2,654,860,000.00","3,155,267,239.31","1,156,620,000.00","2,296,412,902.83","3,007,122,321.01","3,736,540,000.00","512,490,000.00"
收到其他与经营活动有关的现金,"10,336,101.14","8,659,338.74","14,882,713.71","1,710,415.94","9,732,837.49","12,276,412.73","19,374,310.39","1,952,428.55","10,553,345.56","15,771,164.47","21,868,280.46","1,679,638.56","15,314,924.84","20,448,955.76","26,729,836.92","26,020,386.23","53,288,014.33","29,967,415.83","47,699,447.09","38,386,123.29"
投资活动现金流出小计,"119,308,297.57","71,803,678.47","95,981,233.35","296,459,596.82","754,559,792.83","1,607,608,523.14","2,033,611,837.09","377,552,169.50","830,557,793.91","2,995,778,619.17","4,102,126,655.59","1,098,050,805.75","1,768,293,951.46","2,941,647,046.77","3,589,424,615.26","1,266,553,445.62","2,629,369,756.91","4,271,364,654.57","5,232,025,965.43","817,266,633.52"
经营活动现金流入小计,"1,780,163,602.95","2,065,114,334.38","2,548,982,828.40","742,996,283.09","1,500,810,407.81","2,300,377,882.69","3,247,642,740.18","965,780,793.38","1,972,091,591.21","2,995,552,778.99","4,304,238,271.70","1,219,098,107.50","2,563,346,475.87","3,889,855,421.52","5,497,182,700.28","1,793,519,573.05","3,450,855,143.05","5,284,351,228.26","7,875,503,836.44","2,687,324,136.33"
投资活动产生的现金流量净额,"-113,457,429.84","-71,599,058.43","-95,694,709.79","-296,439,885.18","-633,419,608.07","-839,528,726.86","-696,493,944.21","-176,067,785.94","-181,035,507.41","-1,414,273,729.92","-1,540,658,221.33","-25,977,809.36","-56,560,298.67","-120,805,432.80","-149,043,996.60","228,514,704.26","232,243,553.14","-319,612,400.12","-482,262,825.62","-293,601,365.25"
购买商品、接受劳务支付的现金,"1,133,837,795.75","1,256,920,191.36","1,495,404,416.92","448,870,646.40","941,644,792.68","1,396,936,133.18","1,998,066,326.18","624,495,255.57","1,249,761,577.88","1,862,847,298.97","2,745,570,247.92","721,230,561.97","1,593,446,358.93","2,397,009,855.98","3,257,749,203.67","1,136,465,630.08","2,142,285,872.82","3,236,003,200.38","4,654,431,762.82","1,609,068,832.48"
吸收投资收到的现金,,,,"737,040,000.00","737,040,000.00","737,540,000.00","737,040,000.00",,,"1,325,395,209.28","1,330,316,871.37",,,,,,"15,000,000.00","15,000,000.00","5,000,000.00",
支付给职工以及为职工支付的现金,"229,432,040.30","272,009,702.39","348,284,435.70","106,244,987.54","207,890,654.07","311,863,819.55","432,934,873.83","143,627,711.93","281,958,482.87","430,456,868.57","595,360,179.28","206,076,734.28","388,456,153.29","546,820,308.06","785,990,719.53","241,069,067.24","509,781,822.79","744,739,400.29","1,142,293,014.96","440,939,747.73"
取得借款收到的现金,"15,000,000.00",,,,,,,,,,,,,,,,,"314,500,000.00","789,000,000.00","24,000,000.00"
