科目,2012-12-31,2013-12-31,2014-12-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"638,778,702.60","497,051,401.34","531,232,382.17","1,279,650,099.60","726,192,649.87","615,068,341.65","589,003,523.42","514,075,442.19","604,740,342.85","550,647,050.95","668,623,701.43","605,588,964.27","430,212,247.83","365,630,391.43","691,208,196.88","521,600,153.02","487,654,889.40","442,114,749.13","519,791,284.65"
短期借款,"124,681,480.21","34,489,580.00",,,,,,,,,,,,,"104,445,577.41","293,563,238.01","126,000,000.00","56,000,000.00","86,000,000.00"
交易性金融资产,,,,,,,,,,,"96,142.50","209,201.17","51,923.70","689,864.95","685,993.53",,,"454,558.83","99,250.09"
交易性金融负债,,,,,,"567,659.94",,,,"380,826.56",,,,,,"903,884.75","2,614,015.83",,
应收票据,"385,875,552.26","501,154,967.78","499,865,016.31","721,715,879.08","685,689,983.38","683,730,762.41","582,311,793.10","590,702,381.55","631,508,554.01","676,404,496.36","716,258,387.35","960,466,005.15","871,712,128.18","964,267,182.05","1,092,337,937.71","1,225,745,928.09","1,087,131,769.58","967,635,254.44","842,603,567.61"
应付票据,,,,,,,,,,,,,,,,,,,
应收账款,"62,838,728.39","56,842,130.91","65,980,794.55","156,128,711.68","124,615,619.20","100,909,684.59","95,447,261.73","88,468,914.11","94,017,750.30","70,724,127.21","85,658,218.92","76,628,059.32","71,948,214.54","81,541,383.68","100,186,755.14","95,651,377.25","112,152,485.21","157,950,427.87","166,075,311.09"
应付账款,"231,708,551.10","199,587,595.71","137,754,078.02","230,608,550.70","171,187,099.30","192,950,037.63","153,897,669.30","126,062,655.70","116,530,212.69","172,161,132.35","286,540,217.09","276,949,651.23","259,750,311.46","319,164,334.04","410,807,447.28","355,683,552.52",,"389,952,918.56",
预付款项,"34,546,790.65","23,883,392.72","22,849,657.66","50,153,550.56","67,968,741.81","28,535,692.98","22,385,053.71","23,479,468.21","32,522,929.47","33,535,964.74","33,306,335.36","28,551,470.30","22,361,633.96","7,458,609.11","20,149,073.39","15,755,963.95","27,833,894.28","21,261,031.40","31,791,058.66"
预收款项,"89,001,587.95","32,885,940.33","34,022,534.08","65,214,324.15","60,771,651.11","37,459,068.75","49,067,776.77","44,047,722.19","55,994,275.04","60,523,719.03","88,488,937.82","91,981,648.83","96,638,377.71","30,095,270.46","44,420,935.21","54,731,013.57","61,245,086.08","40,488,202.91","59,968,445.82"
其他应收款,"1,338,227.56","4,340,811.52","3,225,493.27","2,079,583.08","2,074,347.66","4,710,323.41","3,655,056.60","1,148,889.82","7,735,245.43","7,220,742.93","8,906,895.29","8,927,531.35","13,178,460.60","12,010,734.87","12,150,040.08","11,893,085.78","8,852,172.86","47,285,326.38","47,278,919.58"
应付职工薪酬,"27,884,990.40","31,788,114.19","36,859,837.57","20,622,770.38","27,475,396.22","32,236,537.66","14,032,791.21","24,476,146.42","29,152,406.81","40,030,923.05","17,457,289.14","30,870,101.56","39,819,942.67","48,144,037.04","30,519,753.59","34,715,319.67","42,775,168.72","52,964,095.76","26,839,968.39"
应收关联公司款,,,,,,,,,,,,,,,,,,,
