科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"193,438,024.47","224,547,507.69","336,249,415.62","102,163,175.02","157,412,498.14","261,352,921.29","496,464,069.64","92,451,665.71","224,447,574.92","432,997,325.46","717,448,205.00","128,699,314.62","312,920,599.81","534,434,959.06","824,741,067.50","199,712,617.76","354,256,376.21","508,758,113.12","757,594,961.54","63,459,562.37","229,868,563.52","343,556,694.83","520,783,393.69","40,836,534.44","147,984,796.56","267,072,457.72","478,776,024.14","27,838,799.19","135,812,085.33","198,722,599.99","325,030,505.35","44,175,969.03","92,126,406.03","99,630,142.84","104,835,366.74"
二、营业利润,"22,984,634.15","22,411,096.48","36,628,521.83","7,546,009.34","6,930,971.83","16,036,792.69","33,267,935.46","3,199,537.75","14,281,645.69","34,288,731.61","52,846,577.52","3,262,559.08","9,025,415.27","26,373,137.98","21,530,506.75","6,705,370.22","-31,630,215.45","-57,635,854.23","-158,860,219.69","-38,232,825.05","-47,743,818.63","-98,439,891.03","-336,954,219.26","-45,581,266.15","-67,720,872.46","18,180,754.26","14,073,038.99","-29,698,317.08","-60,410,515.28","-75,134,079.02","-108,314,106.51","-26,210,989.30","-38,933,744.67","-46,762,625.78","-22,514,203.89"
减:营业成本,"112,484,494.10","134,592,527.39","199,932,857.96","65,139,627.64","100,397,076.40","159,284,997.24","314,058,422.47","55,536,210.32","133,841,017.97","268,529,002.47","454,573,091.61","81,847,103.24","197,374,981.94","329,465,559.34","510,333,552.43","122,303,552.71","226,095,887.52","322,650,250.12","502,106,146.80","42,056,964.95","147,704,414.51","241,768,978.28","440,480,656.82","36,676,609.69","124,373,032.61","215,108,708.34","377,342,701.61","21,024,319.01","106,570,981.19","156,373,499.90","252,924,451.64","33,148,823.75","67,110,626.91","69,364,054.77","69,941,527.10"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,096,032.94","3,349,021.84","5,797,461.47","1,875,446.87","3,334,000.22","5,880,678.83","10,311,991.68","1,667,528.97","4,227,247.43","7,624,163.30","14,370,545.00","1,653,922.87","4,592,162.40","8,578,548.72","13,363,155.32","4,584,945.41","7,252,221.82","10,203,755.53","14,939,253.61","924,499.59","4,269,083.97","6,199,612.45","9,673,986.33","1,163,937.45","3,157,555.54","6,092,753.63","10,395,954.55","2,031,324.65","3,924,679.32","4,626,140.93","5,867,736.33","337,563.26","863,279.80","983,243.53","1,036,656.45"
营业外收入,"12,076,678.76","12,660,374.29","17,792,445.54","4,642,070.54","9,011,679.75","14,265,523.97","23,293,094.78","5,688,396.11","6,535,952.55","8,994,456.48","22,430,777.49","7,274,890.83","12,288,197.64","16,240,460.47","21,995,220.66","1,354,587.47","5,423,110.97","8,806,748.80","14,621,045.32","2,026,531.61","3,552,346.33","5,018,274.62","16,315,528.73","1,241,280.16","2,019,118.32","6,025,074.41","35,237,499.65","823,800.43","1,455,477.55","2,393,075.25","7,681,690.04","30,316,643.38","55,695,732.70","55,695,732.70","30,409,119.01"
销售费用,"30,618,494.64","34,960,721.32","48,731,159.77","12,716,140.33","22,359,293.31","38,344,078.92","62,988,559.75","14,548,255.54","34,734,637.36","60,203,533.40","102,751,719.39","18,659,021.44","48,540,548.35","81,279,584.66","121,774,250.34","29,553,317.10","70,196,155.13","109,455,969.00","180,971,525.47","23,388,117.13","51,167,487.39","79,302,669.88","135,396,492.80","15,257,442.13","30,778,365.79","47,112,213.73","79,701,715.57","10,939,298.85","28,546,132.20","40,741,001.82","71,366,822.43","14,451,454.98","18,660,954.59","20,484,327.80","23,580,733.49"
减:营业外支出,596.79,"446,906.85","77,059.03","14,030.30","81,905.36","209,812.19","270,897.51","11,313.15","12,181.20","24,361.18","503,716.75","14,959.46","22,986.12","68,454.91","237,563.66","150,026.02","232,832.07","513,582.86","1,481,065.74","163,008.02","289,227.53","838,015.62","11,088,659.37","71,646.48","200,332.99","1,199,697.72","2,901,470.94","16,894.28","63,014.93","725,516.72","1,416,429.68","3,293.92","342,384.31","343,361.02","1,001,106.83"
管理费用,"21,421,709.56","22,578,281.49","38,437,578.45","12,810,457.86","20,175,489.78","34,523,230.90","65,886,598.78","16,669,448.95","36,029,302.40","54,226,601.17","81,177,785.53","21,483,911.64","45,937,942.71","70,717,791.27","125,477,222.98","30,158,794.35","64,651,078.40","99,262,880.47","147,182,221.02","24,769,614.07","52,317,410.46","92,806,617.38","146,026,998.68","19,433,170.97","33,354,253.09","47,109,194.20","63,324,288.88","11,147,379.84","35,049,294.35","48,079,089.72","66,712,793.96","18,425,935.60","38,644,557.91","50,528,553.35","60,356,432.61"
其中:非流动资产处置净损失,,"239,574.65","58,073.67","4,030.30","32,078.70","39,251.40","47,336.72","11,313.15","11,127.83","11,127.83","447,805.44","14,959.46","21,443.33","40,120.36","76,985.51",806.88,"4,928.89","74,519.34","1,320,727.93","3,798.47","87,314.41","129,984.47","8,091,328.68","2,872.95","71,490.28","449,149.40","643,173.88","12,432.36","22,176.32","64,128.49","248,268.04",,"8,449.55","8,449.55",
