科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"639,478,592.48","404,874,884.07","731,662,751.10","469,202,622.26","640,951,585.92","820,090,562.66","177,632,246.53","394,771,497.58","539,360,672.49","789,577,816.87","221,315,195.03","483,178,236.35","705,638,264.82","965,382,340.43","196,981,639.65","433,011,175.55","705,098,562.99","1,068,796,191.57","265,749,041.91","615,138,524.07","1,022,711,562.04","1,631,042,560.00","423,001,389.69","888,376,461.49","1,324,775,375.34","1,847,391,081.84","612,156,580.71","1,262,280,095.75","1,797,303,663.71","2,456,391,218.16","657,642,184.56"
二、营业利润,"105,946,596.23","74,331,925.81","113,647,913.58","84,293,683.40","111,002,895.83","130,412,687.83","28,635,631.02","76,225,808.15","89,626,785.78","117,609,721.96","35,595,151.77","71,245,289.83","98,077,696.95","136,094,438.77","19,364,775.66","40,678,751.81","68,983,539.17","99,851,027.49","27,508,543.05","79,439,877.86","168,832,568.69","293,659,423.92","105,488,690.57","212,258,446.56","288,805,810.27","360,733,947.17","118,036,991.56","249,567,155.24","346,152,538.15","441,138,642.75","76,086,846.32"
减:营业成本,"447,889,209.37","249,155,678.00","498,840,802.37","294,317,658.51","402,979,000.42","531,176,597.10","119,441,195.91","254,538,342.21","355,153,963.38","521,890,826.97","156,289,971.45","341,931,917.73","496,650,507.02","670,813,034.48","139,161,166.72","315,018,885.76","507,051,456.85","768,038,724.03","177,861,626.05","408,201,899.27","666,132,747.07","1,072,076,772.12","261,347,307.03","523,069,803.54","774,816,435.69","1,093,192,340.75","379,066,624.18","763,209,419.26","1,076,327,673.26","1,483,217,632.66","437,269,597.20"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"4,576,691.03","4,126,801.40","5,622,497.25","3,394,963.58","6,183,916.99","7,563,965.76","1,261,607.64","3,884,074.67","5,460,486.73","6,498,688.86","591,991.58","2,868,816.48","4,833,119.15","7,449,893.22","2,075,024.70","4,342,226.78","6,871,760.42","9,556,522.01","3,557,840.46","7,469,738.39","11,091,047.01","13,891,686.96","1,931,265.36","5,589,750.11","7,888,050.01","19,407,331.18","7,259,068.72","14,190,798.90","20,515,098.81","29,290,483.29","8,779,622.51"
营业外收入,"627,227.28","445,565.69","768,060.65","5,185,333.80","8,574,065.60","10,576,468.13","4,191,715.87","4,951,952.37","6,208,491.65","9,537,453.94","780,628.21","2,068,378.58","8,009,245.65","9,922,765.79","1,008,542.13","2,107,251.66","6,270,270.77","14,535,979.99","1,043,398.09","2,166,220.73","3,446,853.70","5,967,218.29","951,099.03","5,445,432.80","8,499,527.37","10,882,263.08","907,992.32","3,270,422.03","7,197,083.24","4,132,920.46","819,230.38"
销售费用,"6,710,158.71","6,459,453.65","10,156,455.64","11,738,887.71","16,095,605.96","18,337,717.22","4,075,108.68","7,025,899.15","10,896,233.47","17,382,391.08","2,902,536.70","7,576,609.49","12,802,972.93","16,340,221.83","5,135,968.81","11,730,498.82","15,881,130.72","24,163,207.61","7,590,713.09","16,053,033.36","30,523,308.30","38,193,258.80","4,311,945.47","44,739,353.16","79,823,343.73","127,782,137.46","38,085,936.17","79,063,494.58","115,835,567.74","161,946,615.94","28,654,047.33"
减:营业外支出,"351,518.25","23,732.64","483,767.13","486,783.88","585,080.53","592,960.87","40,974.43","140,250.95","293,894.90","319,454.45","62,001.53","267,917.84","328,291.57","923,645.96","372,603.87","524,424.22","1,162,569.75","2,698,975.30","277,119.47","411,840.47","777,840.97","1,775,061.59","410,638.17","1,072,725.59","1,955,593.33","3,371,951.22","170,917.41","477,646.97","1,215,204.83","1,488,939.12","234,495.82"
管理费用,"47,734,088.26","49,034,496.27","80,905,786.97","57,192,219.80","82,818,317.63","102,116,537.31","23,011,740.16","49,409,278.43","78,100,978.64","116,980,991.07","25,488,351.72","53,964,969.23","86,828,470.19","122,575,848.35","31,816,342.18","65,725,165.53","111,377,146.03","159,983,783.44","51,106,501.61","121,462,995.86","172,162,246.28","251,304,890.35","50,658,210.92","114,411,910.42","179,481,284.70","248,517,248.97","70,210,928.97","149,051,947.09","227,571,290.36","322,376,512.33","91,954,482.65"
其中:非流动资产处置净损失,"161,925.24","3,732.64","373,767.13","483,783.88",,"589,960.87",,"136,247.95","288,963.52","311,289.92","60,311.53","161,485.84","210,742.57","801,986.97","370,255.56","521,158.62","1,146,891.82","2,678,344.22","277,119.47","406,369.04","696,185.19","1,760,397.97","405,893.24","621,694.43","1,284,388.68","2,634,995.87","149,162.16","445,267.80","1,158,503.93",,
