科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"2,676,116,537.52","2,507,354,720.61","2,375,203,443.17",,"1,354,306,121.80","2,127,572,582.94","2,855,624,866.03","711,887,722.76","1,300,030,910.14","2,092,741,114.68","3,018,021,632.35","949,930,581.10","1,704,255,453.17","2,702,844,930.18","3,791,624,240.91","1,242,258,989.76","2,103,324,636.61","3,210,029,708.61","4,334,843,173.79","1,220,863,953.97"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"9,899,076.17","25,155,625.88","12,211,388.90",,"2,783,355.53","3,645,690.14","10,987,538.95","4,703,230.01","7,251,541.31","9,833,921.80","13,948,477.13","3,280,222.96","6,454,825.41","11,845,606.98","15,343,060.57","3,148,144.03","6,605,700.98","8,686,102.72","18,140,597.75","3,816,980.08"
投资活动现金流出小计,"156,736,372.88","163,087,353.94","690,457,839.16",,"32,198,979.13","485,765,287.36","854,764,099.45","294,217,807.99","690,102,377.54","1,636,901,798.49","3,510,818,576.48","657,004,929.65","1,213,741,540.27","1,812,438,600.92","2,840,081,665.58","329,619,407.77","1,119,639,548.12","1,790,531,728.25","3,299,186,734.74","1,076,101,215.76"
经营活动现金流入小计,"2,686,015,613.69","2,532,510,346.49","2,387,414,832.07",,"1,357,089,477.33","2,131,218,273.08","2,866,612,404.98","716,590,952.77","1,307,282,451.45","2,102,575,036.48","3,031,970,109.48","953,210,804.06","1,710,710,278.58","2,714,690,537.16","3,806,967,301.48","1,245,407,133.79","2,109,930,337.59","3,218,715,811.33","4,352,983,771.54","1,224,680,934.05"
投资活动产生的现金流量净额,"-148,308,025.80","-152,994,306.32","-31,696,748.52","-18,182,400.00","-28,476,175.68","-478,799,973.87","-792,756,233.36","-88,737,774.11","-137,720,696.39","-444,071,292.32","-592,077,590.13","-17,239,143.39","-40,570,846.50","-282,900,983.83","-598,244,104.06","-67,786,964.70","-393,092,246.67","-545,223,298.14","-748,834,883.61","-5,367,976.27"
购买商品、接受劳务支付的现金,"873,127,360.06","881,557,371.41","903,437,383.28",,"446,022,752.86","638,274,725.39","783,698,501.17","253,068,307.03","466,962,444.41","684,100,815.98","932,254,786.53","168,059,851.00","383,897,424.61","598,471,464.10","789,652,315.26","302,142,540.60","518,675,647.67","784,034,261.16","1,071,597,436.52","253,950,224.20"
吸收投资收到的现金,,,,,"891,371,345.93","891,371,345.93","891,371,345.93",,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"192,369,107.85","220,763,318.22","219,014,108.79",,"129,483,637.32","169,045,354.70","224,315,954.49","85,683,786.76","135,081,944.62","181,145,388.46","233,721,142.43","76,677,211.90","126,035,628.17","168,642,926.50","227,404,112.58","84,595,602.59","139,389,638.53","187,230,032.40","248,048,949.91","84,425,153.26"
取得借款收到的现金,"521,000,000.00","369,500,000.00","450,000,000.00",,"200,000,000.00","200,000,000.00","200,000,000.00",,,,,,,,,,,,,
支付的各项税费,"895,895,998.72","781,392,339.47","779,664,361.27",,"572,697,493.11","712,877,169.66","930,758,774.41","387,365,855.03","640,785,239.93","817,276,318.69","1,050,887,197.03","452,242,867.92","808,778,826.89","996,358,562.56","1,029,154,909.87","955,390,299.42","1,340,790,737.27","1,671,087,966.19","1,681,429,581.22","743,522,710.80"
收到其他与筹资活动有关的现金,,,,,"18,628,654.07","18,628,654.07","23,928,654.07",,,,"5,000,000.00",,,,,,,,,
支付其他与经营活动有关的现金,"301,722,254.99","371,130,017.97","380,385,133.42",,"174,575,430.56","279,422,090.53","391,642,259.06","84,880,852.60","92,112,382.12","128,142,727.76","175,434,286.48","58,239,168.51","105,575,192.68","153,396,858.26","191,921,393.91","63,384,856.43","106,254,740.69","178,214,858.78","232,192,089.96","77,932,005.28"
筹资活动现金流入小计,"521,000,000.00","369,500,000.00","450,000,000.00",,"1,110,000,000.00","1,110,000,000.00","1,115,300,000.00",,,,"5,000,000.00",,,,,,,,,
经营活动现金流出小计,"2,263,114,721.62","2,254,843,047.07","2,282,500,986.76",,"1,322,779,313.85","1,799,619,340.28","2,330,415,489.13","810,998,801.42","1,334,942,011.08","1,810,665,250.89","2,392,297,412.47","755,219,099.33","1,424,287,072.35","1,916,869,811.42","2,238,132,731.62","1,405,513,299.04","2,105,110,764.16","2,820,567,118.53","3,233,268,057.61","1,159,830,093.54"
偿还债务支付的现金,"411,000,000.00","409,500,000.00","446,000,000.00",,"180,000,000.00","460,000,000.00","460,000,000.00","60,000,000.00","80,000,000.00","100,000,000.00","100,000,000.00",,,,,,,,,
经营活动产生的现金流量净额,"422,900,892.07","277,667,299.42","104,913,845.31","-151,919,500.00","34,310,163.48","331,598,932.80","536,196,915.85","-94,407,848.65","-27,659,559.63","291,909,785.59","639,672,697.01","197,991,704.73","286,423,206.23","797,820,725.74","1,568,834,569.86","-160,106,165.25","4,819,573.43","398,148,692.80","1,119,715,713.93","64,850,840.51"
分配股利、利润或偿还利息支付的现金,"74,314,993.98","102,921,873.69","132,728,482.22",,"118,597,407.99","123,296,104.27","124,707,894.26","1,134,658.04","211,430,737.51","211,524,457.51","211,530,057.51",,"96,351,798.15","270,000,000.00","270,000,000.00",,,"450,000,000.00","450,000,000.00",
收回投资收到的现金,,,"644,000,000.00",,,,"50,000,000.00","200,000,000.00","538,000,000.00","1,168,000,000.00","2,841,000,000.00","630,000,000.00","1,150,000,000.00","1,490,100,000.00","2,163,000,000.00","250,000,000.00","700,000,000.00","1,190,000,000.00","2,465,950,000.00","1,050,000,000.00"
支付其他与筹资活动有关的现金,,,,,"2,488,087.72","10,936,201.25","10,936,201.25",,"63,000.00","163,000.00",,,,,,,,,,
取得投资收益收到的现金,,,,,,,,,,,,,,"64,068.14",,,,,,
筹资活动现金流出小计,"485,314,993.98","512,421,873.69","578,728,482.22",,"301,085,495.71","594,232,305.52","595,644,095.51","61,134,658.04","291,493,737.51","311,687,457.51","311,530,057.51",,"96,351,798.15","270,000,000.00","270,000,000.00",,,"450,000,000.00","450,000,000.00",
处置固定资产、无形资产和其他长期资产收回的现金净额,"545,332.83","779,187.70","1,638,520.00",,"130,000.00","130,000.00","827,475.73",100.00,"2,559,992.77","2,643,163.44","3,061,880.37","37,500.00","37,500.00","57,500.00","157,864.08","715,696.35","753,696.35","753,696.35","753,696.35","20,000.00"
筹资活动产生的现金流量净额,"35,685,006.02","-142,921,873.69","-128,728,482.22","-5,145,000.00","808,914,504.29","515,767,694.48","519,655,904.49","-61,134,658.04","-291,493,737.51","-311,687,457.51","-306,530,057.51",,"-96,351,798.15","-270,000,000.00","-270,000,000.00",,,"-450,000,000.00","-450,000,000.00",
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,"78,246.40",,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"7,883,014.25","9,313,859.92","13,122,570.64",,"3,592,803.45","6,835,313.49","11,180,390.36","5,479,933.88","11,821,688.38","22,187,342.73","74,679,105.98","9,728,286.26","23,133,193.77","39,316,048.95","78,601,451.04","11,116,746.72","25,793,605.10","54,554,733.76","83,648,154.78","20,713,239.49"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"8,428,347.08","10,093,047.62","658,761,090.64",,"3,722,803.45","6,965,313.49","62,007,866.09","205,480,033.88","552,381,681.15","1,192,830,506.17","2,918,740,986.35","639,765,786.26","1,173,170,693.77","1,529,537,617.09","2,241,837,561.52","261,832,443.07","726,547,301.45","1,245,308,430.11","2,550,351,851.13","1,070,733,239.49"
五、现金及现金等价物净增加额,"310,277,872.29","-18,248,880.59","-55,511,385.43","-175,246,900.00","814,748,492.09","368,566,653.41","263,096,586.98","-244,280,280.80","-456,873,993.53","-463,848,964.24","-258,934,950.63","180,752,561.34","149,500,561.58","244,919,741.91","700,590,465.80","-227,893,129.95","-388,272,673.24","-597,074,605.34","-79,119,169.68","59,482,864.24"
