科目,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"177,259,909.88","218,465,342.30","281,071,224.66","301,551,843.32","341,927,378.99","1,081,851,301.09","895,086,120.27","655,172,589.42","946,705,926.05","965,226,711.80","971,912,770.49","1,005,865,803.29","927,265,319.24","984,559,898.59","951,385,767.46","1,063,916,901.07","1,031,429,271.07","888,067,087.40","856,874,917.00"
短期借款,"90,315,045.00","29,000,000.00",,,,,,,,,,,"1,000,000.00","1,000,000.00","16,936,000.00","16,354,274.60","16,335,500.00","15,716,892.10",
交易性金融资产,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,
应收票据,"13,298,143.76","9,840,248.58","6,595,740.00","11,809,466.00","8,258,591.60","8,629,749.60","10,042,202.60","7,792,826.60","5,301,320.00","5,601,773.00","8,300,580.00","6,462,784.00","4,798,844.00","8,744,142.80","7,446,769.98","8,213,569.98","7,125,380.10","5,567,842.64","5,259,674.14"
应付票据,,,,,,,,,,,,,,,,,,,
应收账款,"167,606,894.08","181,611,884.92","191,289,701.82","208,739,076.90","201,090,125.71","258,787,908.28","261,143,136.97","251,928,705.07","203,101,960.63","259,786,655.50","277,397,370.68","268,571,277.23","246,051,821.55","290,255,337.04","332,907,862.75","319,046,354.38","320,136,635.37","362,681,516.97","371,359,410.38"
应付账款,"148,128,125.04","139,145,242.99","174,889,255.75","171,071,565.84","154,862,258.71","188,556,298.49","174,000,167.47","173,352,469.11","167,831,550.10","200,412,126.08","220,377,119.69","197,591,707.71","120,916,763.65","110,317,111.14","131,170,338.94","106,607,714.55","126,323,504.98","189,452,539.67","156,235,776.25"
预付款项,"39,128,642.12","32,086,212.86","64,366,384.37","34,590,898.23","29,472,429.67","26,672,271.98","31,201,326.31","31,518,124.91","54,120,542.41","44,177,507.99","55,197,178.16","33,977,772.68","37,477,575.80","65,947,735.80","59,749,837.31","58,249,196.30","75,464,608.02","101,381,678.82","78,283,897.60"
预收款项,"18,552,877.74","9,666,888.50","29,118,358.01","13,799,943.78","32,059,040.02","21,619,893.98","14,251,835.10","17,453,630.63","66,179,254.85","24,763,738.76","36,087,442.42","28,583,447.59","47,714,236.98","23,523,558.74","20,908,094.86","24,725,743.05","19,283,044.49","19,297,649.25","16,105,327.96"
其他应收款,"4,153,833.06","5,175,521.12","6,408,785.75","8,663,767.32","7,274,704.95","4,443,153.18","4,738,459.82","4,769,092.10","7,320,690.91","11,440,421.45","4,655,050.03","16,692,437.50","3,341,044.17","7,089,995.95","7,901,875.01","8,019,310.60","3,254,074.25","10,663,410.29","7,931,894.78"
应付职工薪酬,"694,367.98","754,922.55","771,096.91","614,836.32","663,263.81","1,147,481.77","870,851.51","2,139,436.62","566,980.15","1,224,440.60","983,378.60","626,715.54","11,964,989.19","1,390,979.43","462,088.65","568,500.73","13,780,577.71","1,036,385.46","1,442,196.46"
应收关联公司款,,,,,,,,,,,,,,,,,,,
应交税费,"21,119,506.04","16,904,736.05","21,311,904.01","17,728,538.13","22,574,553.36","19,384,399.90","20,675,398.57","17,473,505.85","23,044,937.11","23,803,726.63","23,267,688.31","25,260,274.15","37,253,840.59","23,999,144.62","14,751,354.39","23,975,928.22","41,085,335.14","17,856,655.44","17,539,913.35"
