科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"147,933,004.83","154,874,500.65","151,821,849.93",,"57,799,754.91","109,789,792.55","134,936,436.32","36,212,069.64","74,293,097.59","107,618,813.96","142,746,539.88","40,843,963.36"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"1,292,176.28",
收到的税费返还,,,"4,720,754.23",,,,"260,904.82",,,"7,458.71",,
支付其他与投资活动有关的现金,,"1,370,000.00","446,997.00",,,,"680,000.00",,"539,464.65","859,052.71",,"344,486.24"
收到其他与经营活动有关的现金,"3,422,916.85","5,737,691.85","7,778,915.86",,"1,690,836.92","9,240,802.98","5,111,236.20","133,730.00","4,615,845.33","6,861,941.10","9,673,210.88","61,063.29"
投资活动现金流出小计,"3,130,723.21","19,292,159.77","26,767,504.36",,"242,204,088.40","697,623,015.06","967,211,243.21","170,332,611.90","327,846,078.26","584,719,643.09","858,202,526.87","157,359,246.07"
经营活动现金流入小计,"151,355,921.68","160,612,192.50","164,321,520.02",,"59,490,591.83","119,030,595.53","140,308,577.34","36,345,799.64","78,908,942.92","114,488,213.77","152,419,750.76","40,905,026.65"
投资活动产生的现金流量净额,"11,882,276.79","-19,292,159.77","-17,937,504.36","-11,697.00","-7,706,566.78","-347,716,607.14","-269,995,845.10","-69,460,745.14","-37,842,473.96","-32,693,021.62","-42,894,736.23","-12,357,709.03"
购买商品、接受劳务支付的现金,"87,673,022.96","84,932,463.24","64,114,797.48",,"27,764,759.69","59,524,039.82","63,307,034.00","17,682,399.58","42,650,699.08","66,250,679.03","75,066,927.71","22,348,237.03"
吸收投资收到的现金,,,,,,"209,125,000.00","181,125,000.00",,,,,"590,000.00"
支付给职工以及为职工支付的现金,"7,551,670.12","7,601,114.46","8,184,762.94",,"4,242,018.74","6,931,109.25","8,611,142.52","3,635,650.01","5,767,464.89","7,544,925.73","10,321,454.66","4,999,592.44"
取得借款收到的现金,,,,,,,,,,,,
支付的各项税费,"18,947,781.69","19,318,233.56","21,514,025.79",,"8,083,433.53","12,464,693.05","17,837,154.49","5,489,928.79","9,989,137.31","15,540,373.27","22,571,122.74","5,013,966.04"
收到其他与筹资活动有关的现金,,,,,,,,,,,,
支付其他与经营活动有关的现金,"9,754,755.32","9,283,180.86","9,204,232.99",,"3,386,519.19","8,631,604.79","6,881,326.68","1,157,238.00","4,924,851.81","9,246,688.20","14,466,376.90","10,471,702.08"
筹资活动现金流入小计,,,,,,"209,125,000.00","181,125,000.00",,,,,"590,000.00"
经营活动现金流出小计,"123,927,230.09","121,134,992.12","103,017,819.20",,"43,476,731.15","87,551,446.91","96,636,657.69","27,965,216.38","63,332,153.09","98,582,666.23","122,425,882.01","42,833,497.59"
偿还债务支付的现金,"10,000,000.00",,,,,,,,,,,
经营活动产生的现金流量净额,"27,428,691.59","39,477,200.38","61,303,700.82",381.64,"16,013,860.68","31,479,148.62","43,671,919.65","8,380,583.26","15,576,789.83","15,905,547.54","29,993,868.75","-1,928,470.94"
分配股利、利润或偿还利息支付的现金,"150,577.77",,,,,,,,,"43,329,999.61","43,329,999.61",
收回投资收到的现金,,,,,"232,190,000.00","346,690,000.00","691,690,000.00","100,000,000.00","286,000,000.00","545,000,000.00","795,200,000.00","142,950,000.00"
支付其他与筹资活动有关的现金,,,,,,"31,086,174.22","4,926,929.00",,,,,
取得投资收益收到的现金,,,,,"2,307,521.62","3,179,407.92","5,525,398.11","871,866.76","3,990,774.82","7,008,860.04","10,135,499.30","2,051,537.04"
筹资活动现金流出小计,"10,150,577.77",,,,,"31,086,174.22","4,926,929.00",,,"43,329,999.61","43,329,999.61",
处置固定资产、无形资产和其他长期资产收回的现金净额,"13,000.00",,,,,"37,000.00",,,"12,829.48","17,761.43","32,291.34",
筹资活动产生的现金流量净额,"-10,150,577.77",,,,,"178,038,825.78","176,198,071.00",,,"-43,329,999.61","-43,329,999.61","590,000.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,
四、汇率变动对现金的影响,"188,739.63","33,932.45","53,191.63",-0.74,"48,322.60",,"134,631.51",,,,"-106,499.02",
收到其他与投资活动有关的现金,"15,000,000.00",,"8,830,000.00",,,,,,,,"9,940,000.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"15,013,000.00",,"8,830,000.00",,"234,497,521.62","349,906,407.92","697,215,398.11","100,871,866.76","290,003,604.30","552,026,621.47","815,307,790.64","145,001,537.04"
五、现金及现金等价物净增加额,"29,349,130.24","20,218,973.06","43,419,388.09","-11,316.09","8,355,616.50","-138,198,632.74","-49,991,222.94","-61,080,161.88","-22,265,684.13","-60,117,473.69","-56,337,366.11","-13,696,179.97"
购建固定资产、无形资产和其他长期资产支付的现金,"3,130,723.21","17,922,159.77","26,320,507.36",,"10,014,088.40","17,733,015.06","18,641,243.21","3,332,611.90","5,306,613.61","6,860,590.38","9,710,350.59","1,064,759.83"
期初现金及现金等价物余额,"59,935,048.04","89,284,178.28","109,503,151.34",,"152,922,539.43","152,922,539.43","152,922,539.43","103,611,316.49","102,931,316.49","103,611,316.49","102,931,316.49","47,273,950.38"
投资支付的现金,,,,,"232,190,000.00","679,890,000.00","947,890,000.00","167,000,000.00","322,000,000.00","577,000,000.00","847,200,000.00","155,950,000.00"
期末现金及现金等价物余额,"89,284,178.28","109,503,151.34","152,922,539.43",,"161,278,155.93","14,723,906.69","102,931,316.49","42,531,154.61","80,665,632.36","43,493,842.80","46,593,950.38","33,577,770.41"
